Bed;1381788000000;REM
Bed;1381788600000;N1
Bed;1381788900000;N2
Bed;1381789800000;N4
Bed;1381792800000;REM
Bed;1381794600000;N2
Bed;1381795800000;N3
Bed;1381796700000;N4
Bed;1381798500000;N1
Bed;1381799100000;REM
Bed;1381801200000;N2
Bed;1381803000000;N3
Bed;1381804800000;N2
Bed;1381805400000;N1
Bed;1381808700000;N2
Bed;1381811400000;N1
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;N3
Ubisense;1381813380000;9.770897439399379;5.415623212648098
Ubisense;1381813380989;9.49214884782101;5.483719906189811
Ubisense;1381813382371;9.221953297081532;5.85026655251903
Ubisense;1381813383770;8.968493728248578;5.897239065887908
Ubisense;1381813386613;8.697861802678526;5.504883051419123
Ubisense;1381813388327;9.019235684720663;4.97749872189157
Ubisense;1381813389143;8.447264172452831;4.581811026130877
Ubisense;1381813389946;8.494208989935633;4.612173834006661
Ubisense;1381813390714;8.689753388230534;4.374652436942271
Ubisense;1381813391434;8.752730844611344;3.7411920382996118
Ubisense;1381813392023;8.466000440253387;3.774033825000687
Ubisense;1381813392533;8.481839774648602;3.42
Ubisense;1381813393319;8.660166903323775;2.977426350976902
Ubisense;1381813394429;8.60578956467551;2.637357347595296
Ubisense;1381813395037;8.849681882773442;2.2086605673406075
Ubisense;1381813395587;9.27700460626281;2.466534918324065
Ubisense;1381813396301;9.938047311279828;2.16937167095041
Ubisense;1381813396513;10.272388504277904;2.4872671671288495
Ubisense;1381813397248;10.71614311895115;2.74
Ubisense;1381813397719;10.783155575554572;2.7234819856719685
Ubisense;1381813398292;11.200897069923931;2.687458853212394
Ubisense;1381813403170;11.434540816845434;2.6799689347986977
Ubisense;1381813403711;11.08039692874522;2.7528606067225763
Ubisense;1381813404239;10.881533486738318;2.6137227384801704
Ubisense;1381813404342;10.626527349600021;2.772363081335178
Ubisense;1381813404532;10.246425205324845;2.4939118679115495
Ubisense;1381813405332;9.422508983118131;2.7399911498930605
Ubisense;1381813405453;9.327713010093058;2.6132711751697975
Ubisense;1381813405616;8.750443349582564;2.7120791504230555
Ubisense;1381813405856;8.497761434613622;2.7498410626166048
Ubisense;1381813406446;8.547842088840978;2.8401361169182375
Ubisense;1381813407319;8.073048388186026;2.7761437775844273
Ubisense;1381813410000;10.997383451846453;7.78961241838578
Ubisense;1381813410500;10.99577233276226;8.513992565922647
