Bed;1381788000000;REM
Bed;1381788600000;N1
Bed;1381788900000;N2
Bed;1381789500000;N3
Bed;1381789800000;N4
Bed;1381792800000;REM
Bed;1381794600000;N2
Bed;1381796700000;N4
Bed;1381798500000;N1
Bed;1381799100000;REM
Bed;1381801200000;N2
Bed;1381801800000;N4
Bed;1381803000000;N3
Bed;1381804800000;N2
Bed;1381805400000;N1
Bed;1381808700000;N3
Bed;1381811400000;N1
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;WACH
Ubisense;1381813380000;9.766625640876272;5.427325586627571
Ubisense;1381813380989;9.482816651162063;5.489148650483053
Ubisense;1381813382371;9.226394334597616;5.840597508011516
Ubisense;1381813383770;8.963408071339021;5.90023722287767
Ubisense;1381813386613;8.692193553353732;5.49
Ubisense;1381813388327;9.029458341221714;4.9872792940480535
Ubisense;1381813389143;8.43;4.588796366738644
Ubisense;1381813389946;8.481631167546649;4.617191491096847
Ubisense;1381813390714;8.6906485641399;4.370457637053607
Ubisense;1381813391434;8.74769326264233;3.752722524642218
Ubisense;1381813392023;8.476793563458969;3.77146242731803
Ubisense;1381813392533;8.49112822809435;3.3902019065345383
Ubisense;1381813393319;8.680163735553444;2.982688636564863
Ubisense;1381813394429;8.629999999999999;2.638848664863505
Ubisense;1381813395037;8.847494133546569;2.21023529996546
Ubisense;1381813395587;9.279956940006858;2.468663223252469
Ubisense;1381813396098;9.602139620349654;2.416676319930463
Ubisense;1381813396301;9.942271428744315;2.1759613803505315
Ubisense;1381813396513;10.264833257326504;2.5
Ubisense;1381813397248;10.722880846744625;2.7149243695694
Ubisense;1381813397719;10.777866611676396;2.709664632193746
Ubisense;1381813398292;11.19;2.6834561329813034
Ubisense;1381813403170;11.435236737935478;2.66440546365561
Ubisense;1381813403711;11.08590682060373;2.755939667460139
Ubisense;1381813404239;10.876801851050043;2.592001966269497
Ubisense;1381813404342;10.61266182283366;2.762559649817688
Ubisense;1381813404532;10.252564410397147;2.49
Ubisense;1381813404872;9.957776243923618;2.467275425079663
Ubisense;1381813405453;9.319024880465461;2.6154436574650592
Ubisense;1381813405616;8.757392673194909;2.713512285720004
Ubisense;1381813406446;8.569302958476563;2.8398298165643805
Ubisense;1381813407319;8.074214618662454;2.7954092246289006
Ubisense;1381813410000;11.004354984599725;7.798788858951404
Ubisense;1381813410500;11.004540832046908;8.501971198674278
Ubisense;1381813470000;10.99612999634466;8.497228382406098
Water;1381813470000;BATH_TOILET_COLD;ON
Ubisense;1381813470928;9.69634104547633;8.497881861069091
Water;1381813485000;BATH_SINK_COLD;ON
Water;1381813500000;BATH_SINK_COLD;OFF
Water;1381813525000;BATH_SHOWER_HOT;ON
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;OFF
Ubisense;1381813705000;7.997164842003511;8.503126128246928
Ubisense;1381813705798;9.00122284686238;8.000296683807852
Ubisense;1381813735000;8.997467907128554;7.999223781880322
Ubisense;1381813735614;9.698682205212071;8.498766272441626
Ubisense;1381813760008;9.417191905722733;7.674315194345315
Ubisense;1381813760352;9.08821155958677;7.56023529592897
Ubisense;1381813760573;8.75554715631187;7.378088764850398
Ubisense;1381813760964;8.441061227771653;7.224071200786681
Ubisense;1381813761956;8.128421562010436;7.174805836613874
Ubisense;1381813762455;7.823578701246065;7.085806308927951
Ubisense;1381813762982;7.51570683667288;7.086672383144384
Ubisense;1381813764297;7.212863073480825;7.08
Ubisense;1381813764492;6.954750597542332;6.773926629086018
Ubisense;1381813764674;6.934058116315703;6.468170048767267
Ubisense;1381813764826;6.900418139870518;6.154784892834166
Ubisense;1381813765016;6.890000000000001;5.8670103797219175
Ubisense;1381813765242;6.9037547335668386;5.548910979571054
Ubisense;1381813765366;6.920804012872317;5.212496643857004
Ubisense;1381813765553;6.932618614864491;4.916602060710305
Ubisense;1381813765713;6.963004242206591;4.601895240579971
Ubisense;1381813766120;7.012311039390817;3.948547649252947
Ubisense;1381813766417;7.03;3.6492415797373607
Ubisense;1381813766653;7.066122544655116;3.342808840501535
Ubisense;1381813766862;7.124711114202214;3.032796503722195
Ubisense;1381813767307;7.207457092151277;2.719899656747935
Ubisense;1381813767919;7.40841103430627;2.4138389321745635
Ubisense;1381813768334;7.713260476590371;2.2144716060646137
Ubisense;1381813768960;8.051672126452875;1.9679156205497346
Ubisense;1381813800000;9.498543523177162;2.4943935623433333
Ubisense;1381813800714;9.496233666673078;1.505569507345801
Storage;1381813810000;SLEEPING_ROOM_WARDROBE;OPENED
Ubisense;1381813825000;9.49470766683481;1.51
Ubisense;1381813826000;10.906477224216236;1.5049082006298529
Ubisense;1381813826071;10.996788116561673;1.5028619976753648
Ubisense;1381813930000;10.993461090842098;1.4981788107520106
Ubisense;1381813931000;9.599356028347543;1.5012668565764276
Ubisense;1381813931071;9.501868096431618;1.4957578133610296
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813945000;9.50058837203044;1.5078347419171734
Ubisense;1381813945714;9.497593786539646;2.5020964304416813
Ubisense;1381813965000;9.07;1.9068150217058362
Ubisense;1381813965006;8.950067938624366;2.227445644042031
Ubisense;1381813965259;8.621660628220651;2.3147488120329376
Ubisense;1381813965815;8.303034371488161;2.3699999999999997
Ubisense;1381813965948;7.9785163625140525;2.3597299034018735
Ubisense;1381813966038;7.662375128108918;2.4239273816343117
Ubisense;1381813966159;7.333562411148737;2.5129379712415454
Ubisense;1381813966878;7.012047759199551;2.6342607163514473
Ubisense;1381813967003;6.694233821548026;2.686713342418649
Ubisense;1381813967324;6.262403201431064;2.819144793646563
Ubisense;1381813967571;5.933955924390214;3.138159876540481
Ubisense;1381813967695;5.6625066441537895;3.490546099100092
Ubisense;1381813968249;5.420187112847374;3.868607699814705
Ubisense;1381813968469;5.229614431895509;4.228114537175192
Ubisense;1381813968584;5.140000000000001;4.570967027219036
Ubisense;1381813968708;4.994666804883377;4.95108591891114
Ubisense;1381813969174;4.857833566597403;5.269980753985813
Ubisense;1381813969854;4.175030265343515;5.406061600861632
Ubisense;1381813970005;3.8324874918067446;5.423609162981658
Ubisense;1381813970584;3.4831353949553283;5.463319893383996
Ubisense;1381813970858;3.161312947849103;5.512885587041249
Ubisense;1381813971055;2.846651584483107;5.561988811301292
Ubisense;1381813971655;2.5093295394678607;5.6272782129150185
Ubisense;1381813971940;2.1606336049101773;5.675106575208257
Ubisense;1381813972675;1.8486323178109274;5.728684913036213
Ubisense;1381813990000;2.499731508963385;5.500764173829442
Ubisense;1381813991000;3.352587564324726;6.612468417702207
Ubisense;1381813991171;3.49867286631578;6.797274514630566
Storage;1381813995000;KITCHEN_FRIDGE;OPENED
Storage;1381814000000;KITCHEN_FRIDGE;OBJECT_TAKEN
Storage;1381814005000;KITCHEN_FRIDGE;CLOSED
Ubisense;1381814005000;3.4982988934822967;6.79824101992293
Ubisense;1381814006000;2.879498271314073;8.048455197323806
Ubisense;1381814006118;2.797478853950116;8.192765536917083
Power;1381814020000;HERD;ON
Ubisense;1381814290000;2.798760813370232;8.209999999999999
Ubisense;1381814291000;2.1910345114085508;6.946786909337646
Ubisense;1381814292000;1.5891874657868887;5.682220730073847
Ubisense;1381814292140;1.4917726547035814;5.490428830809283
Storage;1381814310000;KITCHEN_SHELF;OPENED
Storage;1381814315000;KITCHEN_SHELF;OBJECT_TAKEN
Storage;1381814325000;KITCHEN_SHELF;CLOSED
Ubisense;1381814325000;1.5006987532210307;5.498445860786147
Ubisense;1381814326000;2.1044424404805504;6.760659939898388
Ubisense;1381814327000;2.7063588400642837;8.024795353118218
Ubisense;1381814327140;2.8030724430611738;8.20036598408929
Power;1381814350000;HERD;OFF
Ubisense;1381814355000;2.79373085113979;8.198765112551447
Ubisense;1381814355282;1.8450747896694608;5.666739374072894
Ubisense;1381814355453;2.1560648162149794;5.566427049232853
Ubisense;1381814355625;2.4984628982799757;5.508944584589721
Ubisense;1381814356000;2.1483062605125363;6.95919670202967
Ubisense;1381814356233;2.814741260917943;5.493956380282857
Ubisense;1381814356546;3.1351102433625773;5.435091824061711
Ubisense;1381814357000;1.5078560259107479;5.72423820311779
Ubisense;1381814358637;3.4630206143687388;5.323363425823329
Ubisense;1381814359355;3.779153885268271;5.274750590349
Ubisense;1381814359605;4.105698653433852;5.296516431113769
Ubisense;1381814359839;4.4567816689251485;5.274040757980714
Ubisense;1381814360323;4.772618715833377;5.219711775480414
Ubisense;1381814360838;4.95;4.885470490326155
Ubisense;1381814361509;4.936614973708264;4.568142161368781
Ubisense;1381814361869;4.910672394662761;4.253497913265578
Ubisense;1381814362009;4.828429370895338;3.8917701302113543
Ubisense;1381814362680;4.720830907321989;3.223374586813277
Ubisense;1381814363430;4.127905909663743;2.68
Ubisense;1381814363586;3.77;2.4606263471699785
Ubisense;1381814363757;3.4551737815173564;2.2638611687719146
Ubisense;1381814364039;3.129309184370163;2.042063142108161
Ubisense;1381814365646;2.8198311124274027;1.913690932013728
Ubisense;1381814366115;2.4939819606060327;1.7912047138436296
Ubisense;1381814366708;2.1634197963861825;1.640818997623522
Ubisense;1381814367645;1.8423285637276758;1.4544149114564173
Ubisense;1381814880000;1.5224486376730433;5.7294403185086775
Ubisense;1381814880282;1.8459966233799712;5.677938932036974
Ubisense;1381814880453;2.1500000000000004;5.564092469532135
Ubisense;1381814880625;2.4955248321519647;5.506398149185353
Ubisense;1381814881233;2.8109082986546676;5.480657975421301
Ubisense;1381814881546;3.128894311710588;5.436445846659126
Ubisense;1381814883637;3.4555145690035154;5.3100000000000005
Ubisense;1381814884355;3.7741998044788367;5.275777071714311
Ubisense;1381814884605;4.105845893063381;5.297507896443562
Ubisense;1381814884839;4.457356022662911;5.2799307154294945
Ubisense;1381814885323;4.767602398850902;5.215068829049538
Ubisense;1381814885838;4.9381247613683845;4.896052996169297
Ubisense;1381814886509;4.938235210411819;4.572702544205753
Ubisense;1381814886869;4.915451229742897;4.25027470365228
Ubisense;1381814887009;4.831432705732842;3.9065801059440184
Ubisense;1381814887150;4.79070315103588;3.566630966836728
Ubisense;1381814887680;4.726513494028806;3.2173471870899224
Ubisense;1381814888274;4.4485615804689385;2.892963332656496
Ubisense;1381814888430;4.126383834561578;2.687325734774102
Ubisense;1381814888586;3.7810319589154924;2.4600000000000004
Ubisense;1381814888757;3.4635101209835493;2.262257274966973
Ubisense;1381814889039;3.1287363196302267;2.0436327768455906
Ubisense;1381814890000;1.337101728494355;1.1802346300957265
Ubisense;1381814890563;1.6453783755466909;1.386253843951552
Ubisense;1381814890646;2.813238954353515;1.9043000171720068
Ubisense;1381814891115;2.4957445621500787;1.8041091158337548
Ubisense;1381814891156;1.9656072460486653;1.65
Ubisense;1381814891406;2.3155775874378732;1.795651690148633
Ubisense;1381814891708;2.1593760139816895;1.6392403171455525
Ubisense;1381814892186;2.65279874826562;1.9573194599788906
Ubisense;1381814892375;2.9756730561411078;2.1161042541324115
Ubisense;1381814892645;1.8431078677159392;1.454202766049344
Ubisense;1381814892780;3.2855336187064346;2.3054611537964895
Ubisense;1381814893560;3.6185562637828697;2.4973144013442443
Ubisense;1381814893811;3.940155695165112;2.8
Ubisense;1381814894575;4.253798282833023;3.055541910068263
Ubisense;1381814894841;4.553677884147764;3.3875484673782683
Ubisense;1381814895107;4.750892456407901;3.743172993879197
Ubisense;1381814897181;4.913374002949859;4.056361924740866
Ubisense;1381814897448;4.956394294074768;4.37
Ubisense;1381814898290;4.910958469259689;4.709170917844339
Ubisense;1381814898759;4.826270847587818;5.026087544164446
Ubisense;1381814899211;4.501939553140228;5.304268124378336
Ubisense;1381814899430;4.1753357086830745;5.407047205810684
Ubisense;1381814899790;3.8585298192805157;5.4918104975629545
Ubisense;1381814899961;3.5390550098734908;5.54588959887324
Ubisense;1381814900000;3.9955297296667545;3.0027183736340235
Ubisense;1381814900148;3.2156293980421538;5.610896339691367
Ubisense;1381814900336;2.8506288923920033;5.727190844001879
Ubisense;1381814900679;2.5433557356489187;5.817889865297249
Ubisense;1381814901000;2.881472832090659;2.1619595657090547
Ubisense;1381814901273;2.2131815382035676;5.816676005720977
Ubisense;1381814901785;1.9955400278479503;1.500120952540752
Ubisense;1381814902115;1.8873424449227147;5.771954402477358
Ubisense;1381814902350;1.5725608956321244;5.8084255806503595
Ubisense;1381815800000;1.9963649085055777;2.9008510880891407
Ubisense;1381815801000;1.0767114113835954;2.553834708052408
Ubisense;1381815802000;0.6068501692380056;1.693140113824698
Ubisense;1381815803000;0.8161388118757721;0.7377547715106046
Ubisense;1381815804000;1.6116175656786333;0.15908793179677258
Ubisense;1381815805000;2.5835364661767417;0.22904703574647317
Ubisense;1381815806000;3.2740893355622256;0.913768955732394
Ubisense;1381815807000;3.3428698397449184;1.904969534230251
Ubisense;1381815808000;2.7488119669705653;2.6747844300199057
Ubisense;1381815808796;1.9958742646355478;2.8964190816448507
Ubisense;1381819700000;3.0098871575088286;0.9901105591546949
Ubisense;1381819701000;3.007192327226588;0.9861105612900298
Ubisense;1381819702000;2.997202123371751;0.9915533507768971
Ubisense;1381819703000;2.9990319598634403;0.9836726607166558
Ubisense;1381819704000;3.000573807693039;0.9819667895140018
Ubisense;1381821200000;1.3287801965681172;1.1743841615549362
Ubisense;1381821200563;1.6491596412977285;1.390745994704385
Ubisense;1381821201156;1.9715547365749784;1.640889117056894
Ubisense;1381821201406;2.3259153067967397;1.79
Ubisense;1381821202186;2.6598205659806795;1.9504454102223523
Ubisense;1381821202375;2.9673418210922926;2.112764996328287
Ubisense;1381821202780;3.2864112532253893;2.3000000000000003
Ubisense;1381821203560;3.6182628354623034;2.5066471969878483
Ubisense;1381821203811;3.9321253810068493;2.7975323204451907
Ubisense;1381821204575;4.261974713497633;3.0611340503384485
Ubisense;1381821204841;4.550642004449055;3.387671797119144
Ubisense;1381821205107;4.752392959335853;3.7300000000000004
Ubisense;1381821207448;4.964974335433699;4.37537728523015
Ubisense;1381821208290;4.909668863422024;4.7112376487972165
Ubisense;1381821208759;4.829644012371492;5.039960204228536
Ubisense;1381821209211;4.5063021386018836;5.302111670928521
Ubisense;1381821209430;4.1866962262819865;5.409103560491231
Ubisense;1381821209790;3.861603817737218;5.48450331176501
Ubisense;1381821209961;3.5456641707944576;5.538409316152593
Ubisense;1381821210148;3.2;5.624746581966388
Ubisense;1381821210336;2.8699999999999997;5.724975119619251
Ubisense;1381821210679;2.537113389574894;5.805788616176097
Ubisense;1381821211273;2.2198788189021976;5.8059093129066754
Ubisense;1381821212115;1.8812394613119898;5.781728002161216
Ubisense;1381821212350;1.5699805136628442;5.816611506473186
Storage;1381821230000;KITCHEN_SHELF;OPENED
Storage;1381821233000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381821235000;0.9971323600620284;5.501389549302939
Ubisense;1381821235714;0.9983657721163187;6.506583344915539
Ubisense;1381821248000;0.9905090112031234;6.497306044063494
Ubisense;1381821248714;1.0002365115975094;5.498589990255983
Ubisense;1381821250000;1.0006345485356343;5.495212587132113
Storage;1381821250000;KITCHEN_SHELF;OBJECT_PUT
