Bed;1381788000000;REM
Bed;1381788900000;N2
Bed;1381789500000;N3
Bed;1381792800000;REM
Bed;1381794600000;N2
Bed;1381795800000;N3
Bed;1381796700000;N4
Bed;1381798500000;N1
Bed;1381799100000;REM
Bed;1381801200000;N2
Bed;1381801800000;N4
Bed;1381803000000;N3
Bed;1381804800000;N2
Bed;1381805400000;N1
Bed;1381808700000;N2
Bed;1381811400000;N1
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;WACH
Ubisense;1381813380000;9.764744598138025;5.4315390218007815
Ubisense;1381813380989;9.480406117227357;5.4804080512684425
Ubisense;1381813382371;9.217605658684493;5.849548465338467
Ubisense;1381813383770;8.97;5.912817183512956
Ubisense;1381813386613;8.690858879370413;5.495583218828703
Ubisense;1381813388327;9.035382869287849;4.992019503151487
Ubisense;1381813389143;8.435004120000293;4.587255441870358
Ubisense;1381813389946;8.480425328478063;4.603779795103966
Ubisense;1381813390714;8.686372193750573;4.371003191425302
Ubisense;1381813392023;8.472745595808084;3.7840852144508554
Ubisense;1381813392533;8.485454423531253;3.3968123284263423
Ubisense;1381813393319;8.672041018736786;2.9899999999999998
Ubisense;1381813394429;8.616802826417773;2.6453761815330545
Ubisense;1381813395037;8.847457969932805;2.202658494570852
Ubisense;1381813395587;9.271237141023416;2.4718042912628158
Ubisense;1381813396098;9.598625362972106;2.413499836808459
Ubisense;1381813396301;9.937004141702962;2.1839585561178723
Ubisense;1381813396513;10.266494433293357;2.49133226280993
Ubisense;1381813397248;10.720833849088748;2.7236302264950925
Ubisense;1381813397719;10.786099685963169;2.709979302792944
Ubisense;1381813398292;11.198864208794035;2.6924001491526863
Ubisense;1381813403170;11.440112805490386;2.6602765581412657
Ubisense;1381813403711;11.092605050235207;2.7524397411261403
Ubisense;1381813404239;10.88886954185808;2.602208866001179
Ubisense;1381813404342;10.618693911172553;2.7691696821986342
Ubisense;1381813404532;10.255050673774129;2.500966270620021
Ubisense;1381813404872;9.966287074574304;2.4590414237136167
Ubisense;1381813405332;9.406923315447502;2.744928944745446
Ubisense;1381813405453;9.316452596411905;2.6061931790044084
Ubisense;1381813405616;8.754576206486279;2.715510189837357
Ubisense;1381813405856;8.49;2.76
Ubisense;1381813406446;8.554132287606945;2.841748932141216
Ubisense;1381813407319;8.069079179320282;2.7963494180729582
Ubisense;1381813410000;11.002226732819516;7.796840730491848
Ubisense;1381813410500;10.998381260221135;8.503299779848996
Ubisense;1381813470000;11.00331201070432;8.492191797092435
Water;1381813470000;BATH_TOILET_COLD;ON
Ubisense;1381813470928;9.696096454901697;8.506909004573451
Water;1381813485000;BATH_SINK_COLD;ON
Water;1381813500000;BATH_SINK_COLD;OFF
Ubisense;1381813515000;8.995552555584226;7.995864249241535
Ubisense;1381813515798;8.007850926409658;8.493757856032753
Water;1381813525000;BATH_SHOWER_HOT;ON
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;ON
Ubisense;1381813705000;7.9913676706195815;8.505531572479816
Ubisense;1381813735000;9.000527851556106;7.994977849862018
Ubisense;1381813735614;9.692597136017016;8.49
Ubisense;1381813760000;9.778149450966323;7.982072984084678
Ubisense;1381813760008;9.422640118053295;7.67437527649562
Ubisense;1381813760352;9.087984358752694;7.559971658751076
Ubisense;1381813760573;8.741646106155555;7.369878053567103
Ubisense;1381813760964;8.432462033508648;7.225330461254007
Ubisense;1381813761956;8.124664708741763;7.166078480962636
Ubisense;1381813762455;7.836361129930535;7.091933894628435
Ubisense;1381813762982;7.51847614119064;7.085118589737825
Ubisense;1381813764297;7.208002009447749;7.084617800581183
Ubisense;1381813764492;6.952448969827393;6.780257572392438
Ubisense;1381813764674;6.929563507015454;6.466220313721847
Ubisense;1381813764826;6.905308193338957;6.1548718254559
Ubisense;1381813765016;6.894984487851722;5.867214675869002
Ubisense;1381813765366;6.93012030918596;5.206474030885219
Ubisense;1381813765553;6.930444151565858;4.910418225902867
Ubisense;1381813765713;6.957581953244014;4.602318993361595
Ubisense;1381813765938;6.980076492822531;4.2993959582012895
Ubisense;1381813766120;7.013005356604749;3.951734635082395
Ubisense;1381813766417;7.048034827812748;3.644746456686054
Ubisense;1381813766653;7.072451813252633;3.337964499254275
Ubisense;1381813766862;7.13532361646185;3.0258611146680754
Ubisense;1381813767307;7.2112245872748275;2.713786929120264
Ubisense;1381813767919;7.413206541640237;2.4225910044496937
Ubisense;1381813768334;7.708823060776467;2.215662629239876
Ubisense;1381813768960;8.047763396096586;1.97325940802908
Ubisense;1381813800000;9.49138037395815;2.506506704233852
Ubisense;1381813800714;9.50348245866903;1.4996398313525343
Storage;1381813810000;SLEEPING_ROOM_WARDROBE;CLOSED
Storage;1381813815000;SLEEPING_ROOM_WARDROBE;OBJECT_TAKEN
Ubisense;1381813825000;9.50014605529729;1.4989033515956054
Ubisense;1381813826000;10.900147019905534;1.505210873124058
Ubisense;1381813826071;10.999674305741234;1.500700471217555
Ubisense;1381813930000;11.006829331804687;1.4962962790628918
Ubisense;1381813931000;9.591890752584035;1.4958731523055377
Ubisense;1381813931071;9.49782663623488;1.4982307530207608
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813945000;9.497178552571368;1.4977868928019566
Ubisense;1381813945714;9.491725309630748;2.497053362817394
Ubisense;1381813965000;9.058278796699135;1.9163752987260172
Ubisense;1381813965006;8.959669194025004;2.2250748418470607
Ubisense;1381813965259;8.61792448242854;2.305664415653008
Ubisense;1381813965815;8.30053031313788;2.352151138995658
Ubisense;1381813965948;7.9899509244205555;2.3529469401413263
Ubisense;1381813966038;7.65;2.4207317754945645
Ubisense;1381813966159;7.333514914259358;2.516454892851263
Ubisense;1381813966878;7.014500739904245;2.6265724632097363
Ubisense;1381813967003;6.6920296216724875;2.6838828306593445
Ubisense;1381813967324;6.2623442953671935;2.8152239738837084
Ubisense;1381813967571;5.932805872092494;3.1452045041800227
Ubisense;1381813967695;5.669026632397411;3.4804256684380763
Ubisense;1381813968249;5.416820177640872;3.86445782164146
Ubisense;1381813968469;5.228344109691513;4.222664007458126
Ubisense;1381813968584;5.155754817060428;4.572354344921953
Ubisense;1381813968708;4.990047054102814;4.953674483670629
Ubisense;1381813969174;4.866305537061378;5.26721833770213
Ubisense;1381813969574;4.53879750584432;5.545998342612137
Ubisense;1381813969854;4.180776182245261;5.414623547077895
Ubisense;1381813970005;3.829649346961715;5.43644244623739
Ubisense;1381813970584;3.4822390844377837;5.462876255175596
Ubisense;1381813970858;3.1590443064814977;5.503649672217277
Ubisense;1381813971655;2.502319934512299;5.6280834034332585
Ubisense;1381813971940;2.1614762654616313;5.660100726053538
Ubisense;1381813972675;1.8418079112604133;5.723449051897294
Ubisense;1381813990000;2.501043923734599;5.503845924895651
Ubisense;1381813991000;3.3473759010840873;6.6143399247091486
Ubisense;1381813991171;3.49;6.797104680792397
Storage;1381813995000;KITCHEN_FRIDGE;OPENED
Storage;1381814000000;KITCHEN_FRIDGE;OBJECT_TAKEN
Storage;1381814005000;KITCHEN_FRIDGE;CLOSED
Ubisense;1381814005000;3.51;6.80372691510812
Ubisense;1381814006000;2.874150899396924;8.051311188626515
Ubisense;1381814006118;2.794334082979301;8.201077059676624
Ubisense;1381814290000;2.8004719502604227;8.204404788287881
Ubisense;1381814291000;2.182136679301955;6.945472164660295
Ubisense;1381814292000;1.5877230742516695;5.677135040195786
Ubisense;1381814292140;1.4982678310791335;5.496538810163203
Storage;1381814310000;KITCHEN_SHELF;OPENED
Storage;1381814315000;KITCHEN_SHELF;OBJECT_TAKEN
Storage;1381814325000;KITCHEN_SHELF;CLOSED
Ubisense;1381814325000;1.49;5.492928994380481
Ubisense;1381814326000;2.112847083665064;6.757042060163287
Ubisense;1381814327000;2.710721080932328;8.019958922899118
Ubisense;1381814327140;2.8072223768233187;8.202198855837235
Power;1381814350000;HERD;OFF
Ubisense;1381814355000;2.7915021257390693;8.199393828039785
Ubisense;1381814355000;1.518267064439891;5.731042041606352
Ubisense;1381814355282;1.8377355494702907;5.669800880836697
Ubisense;1381814355453;2.164221768838755;5.564077905775541
Ubisense;1381814356000;2.1511915036068174;6.959412935547914
Ubisense;1381814356233;2.808255436624379;5.487796341062179
Ubisense;1381814356546;3.1332618134690415;5.437221401630054
Ubisense;1381814357000;1.5118663872463605;5.7270769771729535
Ubisense;1381814357012;1.5038195232021592;5.702597360241347
Ubisense;1381814358637;3.466252608730613;5.315208265634971
Ubisense;1381814359355;3.778245701584211;5.266047367312074
Ubisense;1381814359605;4.109316524214952;5.3021947971350665
Ubisense;1381814359839;4.4473635110768654;5.266053017901824
Ubisense;1381814360323;4.7674266560672285;5.222524468170261
Ubisense;1381814360838;4.941375276111564;4.884630944749029
Ubisense;1381814361509;4.943044845872407;4.573395720963983
Ubisense;1381814361869;4.9052293816426085;4.26
Ubisense;1381814362009;4.828947660124825;3.900246686909745
Ubisense;1381814362150;4.79570114339226;3.5731995074167515
Ubisense;1381814362680;4.7213067949626755;3.221506817871564
Ubisense;1381814363274;4.449693578673342;2.89794507904
Ubisense;1381814363430;4.125230140520507;2.6856622512507164
Ubisense;1381814363586;3.783383604319663;2.4680275888664243
Ubisense;1381814363757;3.4632311131571507;2.261021232599975
Ubisense;1381814364039;3.137214252139729;2.037311112921954
Ubisense;1381814365646;2.8078175375183116;1.9140395252820936
Ubisense;1381814366115;2.488613799940656;1.8044232907288387
Ubisense;1381814366708;2.154277323607133;1.6359782224430073
Ubisense;1381814367645;1.8348232563188238;1.4498070372752443
Ubisense;1381814880000;1.5128914951869226;5.733892870783642
Ubisense;1381814880282;1.8410957859783859;5.663209438697917
Ubisense;1381814880453;2.1569070608574106;5.570214231940345
Ubisense;1381814880625;2.4941186437832243;5.503381963332017
Ubisense;1381814881233;2.8133656439492887;5.4927899272285545
Ubisense;1381814881546;3.131637690986881;5.426810278061097
Ubisense;1381814883637;3.461995772567595;5.312883677152551
Ubisense;1381814884355;3.7797752758408105;5.268847595507918
Ubisense;1381814884605;4.100178015479114;5.303727369129312
Ubisense;1381814884839;4.449343047178215;5.2668416608174144
Ubisense;1381814885323;4.772978760169525;5.221833809341497
Ubisense;1381814885838;4.9356113677829;4.897164049147223
Ubisense;1381814886509;4.948318235137937;4.569608386061081
Ubisense;1381814886869;4.914372513136506;4.249162470288869
Ubisense;1381814887009;4.832643456047734;3.896383553677518
Ubisense;1381814887150;4.794873749810214;3.572943653375941
Ubisense;1381814887680;4.722107591610377;3.2149700478862835
Ubisense;1381814888274;4.443493689156571;2.8953414110933657
Ubisense;1381814888430;4.132224579784134;2.6872743333731615
Ubisense;1381814888586;3.773147000294281;2.4607429951376867
Ubisense;1381814888757;3.4619815095889566;2.2638079193388982
Ubisense;1381814889039;3.1303707339454996;2.0405200365179557
Ubisense;1381814890000;1.3266315717977157;1.1889296447414803
Ubisense;1381814890563;1.6486131828381885;1.3830651781000338
Ubisense;1381814890646;2.810510740069293;1.9035464670432285
Ubisense;1381814891115;2.4853046662174374;1.8059866235082866
Ubisense;1381814891156;1.9713517424868026;1.6428769905857266
Ubisense;1381814891406;2.3200203161944755;1.801332301511809
Ubisense;1381814891708;2.1648581315333315;1.6397140750613999
Ubisense;1381814892186;2.642235228745419;1.9586693488710731
Ubisense;1381814892375;2.9683903398616702;2.119689744372348
Ubisense;1381814892645;1.835827987462533;1.44798379565459
Ubisense;1381814892780;3.295988683004107;2.3045916694660513
Ubisense;1381814893560;3.6106067784331612;2.4987877711877085
Ubisense;1381814893811;3.93980815757731;2.796946968585789
Ubisense;1381814894575;4.266923002017659;3.0658069849611302
Ubisense;1381814894841;4.567239575991237;3.392502727949003
Ubisense;1381814895107;4.751617782767924;3.743081231027952
Ubisense;1381814897181;4.912054505351329;4.0587564991578455
Ubisense;1381814897448;4.963760804583617;4.38094640403417
Ubisense;1381814898290;4.907267472082015;4.709267704100292
Ubisense;1381814898759;4.8296336162937195;5.026357242501846
Ubisense;1381814899211;4.509970532183785;5.301761714237484
Ubisense;1381814899430;4.178014976766431;5.412929331325723
Ubisense;1381814899790;3.862225055477994;5.487451852661342
Ubisense;1381814899961;3.5325558543211963;5.530386090388093
Ubisense;1381814900000;3.9954112187556925;3.000210685511622
Ubisense;1381814900148;3.202261002482809;5.614217812647919
Ubisense;1381814900336;2.8561339440680866;5.736460969876828
Ubisense;1381814901000;2.8825086898821195;2.1617231905220486
Ubisense;1381814901273;2.2116708107258605;5.812183483287712
Ubisense;1381814902115;1.897115992097293;5.786282823866781
Ubisense;1381814902350;1.5702744560692012;5.804755499193101
Ubisense;1381815800000;2.0024869450956015;2.899457758789026
Ubisense;1381815801000;1.0792462993925085;2.5547884636736136
Ubisense;1381815802000;0.6091530564845992;1.6998887303526506
Ubisense;1381815803000;0.8182708223073233;0.75
Ubisense;1381815805000;2.586912926628582;0.2289805852585195
Ubisense;1381815806000;3.28;0.9145300712341958
Ubisense;1381815808000;2.76;2.6787698427139457
Ubisense;1381815808796;1.9917867665321596;2.9042013589618283
Ubisense;1381819700000;2.998728400084542;1.0020363756782622
Ubisense;1381819702000;3.002389060697239;0.9931389347555154
Ubisense;1381819703000;2.9982326822632674;0.9951830989812601
Ubisense;1381819704000;2.9897336789232516;1.0023183263993611
Ubisense;1381821200000;1.3349746800410887;1.183399084984493
Ubisense;1381821200563;1.6490838524531768;1.3896384677183362
Ubisense;1381821201156;1.9652936320622736;1.640371712284086
Ubisense;1381821201406;2.3299999999999996;1.7982189165069387
Ubisense;1381821202186;2.656075313279675;1.9595454311168012
Ubisense;1381821202375;2.9607772654324163;2.1141976163710052
Ubisense;1381821202780;3.2931858557978066;2.3125604904126287
Ubisense;1381821203560;3.6108005433052757;2.494751377790351
Ubisense;1381821203811;3.9405359532399684;2.794741657720279
Ubisense;1381821204575;4.262899432011714;3.0618383875638213
Ubisense;1381821204841;4.556529494028643;3.3800000000000003
Ubisense;1381821205107;4.744193790033928;3.7300000000000004
Ubisense;1381821207181;4.904163781395077;4.056771751427467
Ubisense;1381821207448;4.966251575623438;4.3727901516086805
Ubisense;1381821208290;4.908623754545363;4.710492116145978
Ubisense;1381821208759;4.831289912331953;5.03324019087008
Ubisense;1381821209211;4.504951664164795;5.292710624273796
Ubisense;1381821209430;4.178540489180234;5.413263307669128
Ubisense;1381821209790;3.8640719409491298;5.492627967824309
Ubisense;1381821209961;3.5434447196652217;5.5489778306023325
Ubisense;1381821210148;3.2183943496814362;5.622665042907157
Ubisense;1381821210336;2.8623612067098563;5.726756368549755
Ubisense;1381821210679;2.538568578351456;5.8
Ubisense;1381821211273;2.216630176105531;5.819359638224762
Ubisense;1381821212115;1.8835157103634073;5.7874686687477785
Ubisense;1381821212350;1.568436687120545;5.813226911776853
Ubisense;1381821235000;0.9967575286345274;5.502718136710946
Ubisense;1381821235714;1.000075039546162;6.507326720075105
Ubisense;1381821248000;0.9990652578940193;6.493579830293976
Ubisense;1381821248714;0.9922285709364759;5.501305820727503
Storage;1381821250000;KITCHEN_SHELF;OBJECT_PUT
Ubisense;1381821250000;1.0026886129589796;5.5088460442111025
