Bed;1381788000000;REM
Bed;1381788600000;WACH
Bed;1381788900000;N2
Bed;1381789500000;N3
Bed;1381789800000;N4
Bed;1381792800000;REM
Bed;1381794600000;N2
Bed;1381795800000;N3
Bed;1381796700000;N4
Bed;1381798500000;N1
Bed;1381799100000;REM
Bed;1381801200000;N2
Bed;1381801800000;N4
Bed;1381803000000;N3
Bed;1381808700000;N2
Bed;1381811400000;N1
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;WACH
Ubisense;1381813380000;9.760992760411465;5.4308363716949755
Ubisense;1381813380989;9.476157367290565;5.483373248388463
Ubisense;1381813382371;9.211976106269528;5.848757268637188
Ubisense;1381813383770;8.960527839199324;5.9128818426614
Ubisense;1381813386613;8.709040270073803;5.504078901389746
Ubisense;1381813388327;9.036072533144925;4.985489059786517
Ubisense;1381813389143;8.442276418422646;4.588355660520394
Ubisense;1381813389946;8.477378372158016;4.606571070062218
Ubisense;1381813390714;8.691430174776267;4.3631159164093285
Ubisense;1381813391434;8.734621623133865;3.7476712422823417
Ubisense;1381813392023;8.473176410963337;3.77
Ubisense;1381813392533;8.496083360377053;3.403178357964627
Ubisense;1381813393319;8.685458273025562;2.9718134674132104
Ubisense;1381813394429;8.622297326996156;2.6412998293744887
Ubisense;1381813395037;8.8492665825419;2.2147750911595807
Ubisense;1381813395587;9.274631446935246;2.48
Ubisense;1381813396098;9.603583224717845;2.4295541075375615
Ubisense;1381813396513;10.259695026057122;2.49363742024787
Ubisense;1381813397248;10.725874312199275;2.7195046725866567
Ubisense;1381813397719;10.786922576043144;2.713476194968846
Ubisense;1381813398292;11.195150582464906;2.6883138121277863
Ubisense;1381813403170;11.4410701656786;2.6637235482271198
Ubisense;1381813403711;11.087558666980954;2.759990417890878
Ubisense;1381813404239;10.880673430362105;2.597838301609661
Ubisense;1381813404342;10.617946447685904;2.768237619998825
Ubisense;1381813404532;10.251897708650805;2.4969045772264016
Ubisense;1381813404872;9.96437239899198;2.465296700456664
Ubisense;1381813405332;9.413371810602122;2.7475635109387317
Ubisense;1381813405453;9.321715250638269;2.616977534646383
Ubisense;1381813405616;8.74;2.7119259132172937
Ubisense;1381813405856;8.479837766388465;2.7509025506906943
Ubisense;1381813406446;8.566652583678948;2.838284862046657
Ubisense;1381813407319;8.079066009979137;2.7925019731392284
Ubisense;1381813410000;10.99;7.7966293345622795
Ubisense;1381813410500;11.002433984237685;8.50990584206145
Ubisense;1381813470000;11.009675933782935;8.504961963864941
Water;1381813470000;BATH_TOILET_COLD;ON
Ubisense;1381813470928;9.707754325050129;8.50378365520559
Water;1381813485000;BATH_SINK_COLD;ON
Water;1381813500000;BATH_SINK_COLD;OFF
Ubisense;1381813515000;9.001843445388358;7.99
Ubisense;1381813515798;8.002526312411678;8.491633896024362
Water;1381813525000;BATH_SHOWER_HOT;ON
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;OFF
Ubisense;1381813705000;7.999241991122159;8.505225101972679
Ubisense;1381813705798;8.998816269426403;7.9957806887846745
Ubisense;1381813735000;8.999964218753274;8.008476552407098
Ubisense;1381813735614;9.704968801797182;8.490560560084694
Ubisense;1381813760000;9.785230615882437;7.977195707570571
Ubisense;1381813760008;9.41277648955159;7.667183815425333
Ubisense;1381813760352;9.078018544346774;7.556902500039739
Ubisense;1381813760573;8.753935631742058;7.371409975082329
Ubisense;1381813760964;8.43624560542852;7.228858588823414
Ubisense;1381813761956;8.127779975180422;7.17550503367164
Ubisense;1381813762455;7.84;7.092415764724265
Ubisense;1381813762982;7.517364926096313;7.082769345943838
Ubisense;1381813764297;7.212114747221832;7.088004733188111
Ubisense;1381813764492;6.961362773916729;6.777017922548931
Ubisense;1381813764674;6.9250182560207465;6.461587085632427
Ubisense;1381813764826;6.890000000000001;6.152154045101843
Ubisense;1381813765016;6.893907806744844;5.854542363470512
Ubisense;1381813765242;6.890951966261768;5.544739396704405
Ubisense;1381813765366;6.931955187751061;5.21627646474809
Ubisense;1381813765553;6.935377403823984;4.917176945714398
Ubisense;1381813765713;6.957551958742977;4.595378101186543
Ubisense;1381813765938;6.98760686993669;4.286034997755382
Ubisense;1381813766120;7.0158831455999735;3.9469835077454265
Ubisense;1381813766417;7.047270312214512;3.643783354298523
Ubisense;1381813766653;7.070829389836063;3.335836511536456
Ubisense;1381813766862;7.132188762637286;3.0356324921668385
Ubisense;1381813767307;7.22;2.718589693688073
Ubisense;1381813767919;7.41215186792428;2.4127773850512684
Ubisense;1381813768334;7.719319883736386;2.2169636943787037
Ubisense;1381813768960;8.048793598370144;1.9763367541735999
Ubisense;1381813800000;9.498908518494076;2.494598653143191
Ubisense;1381813800714;9.502345144386677;1.4921127043123104
Storage;1381813815000;SLEEPING_ROOM_WARDROBE;OBJECT_PUT
Ubisense;1381813825000;9.506944236173293;1.5039247894326317
Ubisense;1381813826000;10.898266932649108;1.4910837110215314
Ubisense;1381813826071;10.993493336839414;1.5035709669278519
Ubisense;1381813930000;10.996129504019555;1.5002178157175703
Ubisense;1381813931000;9.59304497200783;1.4979880306552376
Ubisense;1381813931071;9.493917435902969;1.4982627680356155
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813945000;9.508025673281878;1.4960716884634595
Ubisense;1381813945714;9.493323401572596;2.5059671891023094
Ubisense;1381813965000;9.057895190239748;1.907670027556657
Ubisense;1381813965006;8.949884126544138;2.230134002355988
Ubisense;1381813965259;8.617330580372363;2.304642984849278
Ubisense;1381813965815;8.29843677639007;2.3687190610465176
Ubisense;1381813965948;7.981079496822738;2.360502852033784
Ubisense;1381813966038;7.6670164049888205;2.41986230858994
Ubisense;1381813966159;7.333916079355061;2.5176672664771855
Ubisense;1381813966878;7.006035895257465;2.631500517042064
Ubisense;1381813967003;6.697284797859102;2.6833067654514116
Ubisense;1381813967324;6.254973418486193;2.8222812485160365
Ubisense;1381813967571;5.923069600018607;3.147922203016712
Ubisense;1381813967695;5.654744138318755;3.486022408447161
Ubisense;1381813968249;5.422502522072315;3.863774021617683
Ubisense;1381813968469;5.229679535553038;4.219195902990955
Ubisense;1381813968584;5.1429343996346955;4.576194811291938
Ubisense;1381813968708;4.991146235349982;4.96
Ubisense;1381813969174;4.865559260428501;5.2799832129040976
Ubisense;1381813969574;4.534893238326972;5.535711748959089
Ubisense;1381813969854;4.175122948669164;5.408670774787023
Ubisense;1381813970005;3.826123440533122;5.434862985286189
Ubisense;1381813970584;3.4724723493863507;5.458085702788814
Ubisense;1381813970858;3.1661931032839856;5.5123665364750885
Ubisense;1381813971055;2.8311694775708816;5.562613577977437
Ubisense;1381813971655;2.5175312761534068;5.6256057414288305
Ubisense;1381813971940;2.1661280556592666;5.663280625362563
Ubisense;1381813972675;1.8496630435856343;5.732312460225561
Ubisense;1381813990000;2.4973400897599336;5.499926342925094
Ubisense;1381813991000;3.3492524815020803;6.614848157298672
Ubisense;1381813991171;3.4960855497190413;6.8007497339819185
Storage;1381813995000;KITCHEN_FRIDGE;OPENED
Storage;1381814000000;KITCHEN_FRIDGE;OBJECT_TAKEN
Storage;1381814005000;KITCHEN_FRIDGE;CLOSED
Ubisense;1381814005000;3.500721487035571;6.798905581984805
Ubisense;1381814006000;2.862561778727363;8.04717174697132
Ubisense;1381814006118;2.807496202129366;8.20627761080444
Power;1381814020000;HERD;ON
Ubisense;1381814290000;2.7973941946129224;8.19
Ubisense;1381814291000;2.191736768182553;6.943422394059633
Ubisense;1381814292000;1.5863815271309936;5.67561121984763
Ubisense;1381814292140;1.5049822622177167;5.501802374028486
Storage;1381814310000;KITCHEN_SHELF;OPENED
Storage;1381814315000;KITCHEN_SHELF;OBJECT_TAKEN
Storage;1381814325000;KITCHEN_SHELF;CLOSED
Ubisense;1381814325000;1.5035876328143731;5.496720081504015
Ubisense;1381814326000;2.1154731948005594;6.753388024941888
Ubisense;1381814327000;2.7177366454042615;8.03
Ubisense;1381814327140;2.7993998893040755;8.201652427373446
Ubisense;1381814355000;1.5140994957024667;5.732854218304044
Ubisense;1381814355000;2.791902659663884;8.208992321670161
Ubisense;1381814355282;1.8382697219284103;5.663900145730669
Ubisense;1381814355453;2.1643634347046086;5.5786178195807
Ubisense;1381814355625;2.494066543012825;5.515040831127324
Ubisense;1381814356000;2.145042410604009;6.9545543622707875
Ubisense;1381814356233;2.8115318479141456;5.496806280720305
Ubisense;1381814357000;1.511678341745624;5.720698933509093
Ubisense;1381814357012;1.4961079425459032;5.702379994966054
Ubisense;1381814359355;3.786823603445239;5.275660655958667
Ubisense;1381814359605;4.098745640905382;5.307851781633931
Ubisense;1381814360323;4.760325942979291;5.227767209121946
Ubisense;1381814360838;4.938901787860186;4.889946051266514
Ubisense;1381814361509;4.943108847916207;4.57267208013535
Ubisense;1381814361869;4.909399939503244;4.251319057527861
Ubisense;1381814362150;4.799505926079921;3.575170077864049
Ubisense;1381814362680;4.726892915794457;3.2235670435441315
Ubisense;1381814363274;4.4563830179765;2.899760390005206
Ubisense;1381814363430;4.121560101221515;2.6879050605340025
Ubisense;1381814363586;3.77522560995947;2.4737349880002757
Ubisense;1381814363757;3.4632685580746405;2.2677756102070883
Ubisense;1381814364039;3.1287850184087858;2.0379637231491086
Ubisense;1381814366115;2.481745653641252;1.7994340436476528
Ubisense;1381814366708;2.156040397882507;1.6403304390253732
Ubisense;1381814367645;1.8345795690376745;1.4477428262572702
Ubisense;1381814880000;1.5252185505028943;5.733147447503833
Ubisense;1381814880282;1.8432035256630372;5.661043297191839
Ubisense;1381814880453;2.166687226274694;5.568425929348618
Ubisense;1381814880625;2.489852085073041;5.511934236821557
Ubisense;1381814881233;2.8056387330975547;5.492901847934827
Ubisense;1381814881546;3.1271329996053367;5.430325192389927
Ubisense;1381814883637;3.45845265457841;5.32231266595937
Ubisense;1381814884355;3.780806749935776;5.266975677603006
Ubisense;1381814884605;4.10426439475224;5.29335507008473
Ubisense;1381814884839;4.45256499381697;5.271557971540529
Ubisense;1381814885323;4.765728574706918;5.214767116437875
Ubisense;1381814885838;4.937987443433824;4.8838946562384
Ubisense;1381814886509;4.941394745954742;4.565423084743061
Ubisense;1381814886869;4.914371994493759;4.24853873927932
Ubisense;1381814887009;4.835743542912183;3.9099999999999997
Ubisense;1381814887150;4.797949537821958;3.5734710398520706
Ubisense;1381814887680;4.723857473543649;3.220773612838182
Ubisense;1381814888274;4.441446285617354;2.8992036761051394
Ubisense;1381814888430;4.122859381438783;2.6916995881998997
Ubisense;1381814888586;3.7840864970490564;2.472778261308986
Ubisense;1381814888757;3.4647081905244494;2.256239890978153
Ubisense;1381814889039;3.1352803157961544;2.0350645691001343
Ubisense;1381814890563;1.6479754781750322;1.3961576479213362
Ubisense;1381814890646;2.805434595768906;1.9038469561482534
Ubisense;1381814891115;2.4980216399043695;1.7932331114491509
Ubisense;1381814891156;1.9668500790738415;1.6327389616175967
Ubisense;1381814891406;2.3205993289568116;1.800612796003857
Ubisense;1381814891708;2.15798199330677;1.6402058354020075
Ubisense;1381814892186;2.6549084564216527;1.9640172357352104
Ubisense;1381814892375;2.9776801455474216;2.121463234618105
Ubisense;1381814892645;1.8408505466587552;1.4521390605586078
Ubisense;1381814892780;3.287514754560826;2.3168760958310886
Ubisense;1381814893560;3.621930239634902;2.494451328072456
Ubisense;1381814893811;3.9499999999999997;2.782993419717535
Ubisense;1381814894575;4.258095464076433;3.0632239078574046
Ubisense;1381814894841;4.5657999137286245;3.3876507109730007
Ubisense;1381814895107;4.755837319646056;3.749096249366169
Ubisense;1381814897181;4.908028977192636;4.058627884741009
Ubisense;1381814898290;4.9092241118145274;4.716325976921057
Ubisense;1381814898759;4.820992687110023;5.03538119022855
Ubisense;1381814899211;4.506428701694052;5.302646304700022
Ubisense;1381814899430;4.179061399915681;5.406686730752298
Ubisense;1381814899790;3.852616778753708;5.492871505204383
Ubisense;1381814899961;3.54570811877385;5.5413810867227
Ubisense;1381814900000;3.9932857199058995;2.998063028462285
Ubisense;1381814900148;3.2021794529409298;5.622106424970036
Ubisense;1381814900336;2.862115211184692;5.727699989426123
Ubisense;1381814900679;2.5395547217151013;5.808606279613988
Ubisense;1381814901000;2.8754898949795957;2.162200213136565
Ubisense;1381814901273;2.217396083778966;5.813930771896606
Ubisense;1381814901785;1.9947677398937478;1.5013023382748487
Ubisense;1381814902115;1.8886678808803568;5.79
Ubisense;1381814902350;1.5652643743555235;5.806012275524903
Ubisense;1381815800000;2.01;2.8925809362697206
Ubisense;1381815801000;1.0764636834660013;2.5589228535131583
Ubisense;1381815802000;0.605392702989729;1.7031198304687865
Ubisense;1381815803000;0.8172834635671246;0.73787945442006
Ubisense;1381815804000;1.601605276105516;0.1525835729422857
Ubisense;1381815805000;2.5767557606571616;0.22991783561312984
Ubisense;1381815806000;3.272891683001641;0.9242765788724631
Ubisense;1381815808000;2.75786819084106;2.69
Ubisense;1381815808796;2.0051569793640054;2.9012851690283727
Ubisense;1381819700000;2.991800708150647;1.0051051361431746
Ubisense;1381819701000;2.996330912783337;0.9980090940352087
Ubisense;1381819702000;2.9938548188566494;0.9963958829065026
Ubisense;1381819703000;2.987651105217225;0.9990146643165604
Ubisense;1381819704000;2.988742946930741;0.9936226233445195
Ubisense;1381821200000;1.3324362063713464;1.1817910235305638
Ubisense;1381821200563;1.6444743376363;1.390238602103011
Ubisense;1381821201156;1.9711653527264235;1.6381773276819835
Ubisense;1381821201406;2.3136033395540676;1.7951660699569993
Ubisense;1381821202186;2.654963933017954;1.9568330805350158
Ubisense;1381821202375;2.9696395532862194;2.1225628591151637
Ubisense;1381821202780;3.292616428809608;2.3035504866867473
Ubisense;1381821203560;3.6143398606255412;2.4921433989630803
Ubisense;1381821203811;3.939494320473247;2.7872765486782116
Ubisense;1381821204575;4.255892406419198;3.0619806674857752
Ubisense;1381821204841;4.556050955072879;3.384098649261019
Ubisense;1381821205107;4.742727829914322;3.7397614674132234
Ubisense;1381821207181;4.9;4.053221546970126
Ubisense;1381821207448;4.959455064345124;4.381418126321328
Ubisense;1381821208290;4.9031226307333355;4.7105596637292955
Ubisense;1381821208759;4.827780613610875;5.03312536590275
Ubisense;1381821209211;4.506816601822382;5.308029989885457
Ubisense;1381821209430;4.180646401749642;5.407858929011818
Ubisense;1381821209790;3.8564993047827927;5.490337621694918
Ubisense;1381821209961;3.539936542587899;5.5379431309734635
Ubisense;1381821210148;3.2107000543750117;5.619748335413413
Ubisense;1381821210336;2.85;5.7345357850725165
Ubisense;1381821210679;2.5325916164979114;5.81143667665588
Ubisense;1381821212115;1.8884245052762216;5.781229775171738
Ubisense;1381821212350;1.5724544311571211;5.805317216913222
Storage;1381821230000;KITCHEN_SHELF;OPENED
Storage;1381821233000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381821235714;1.0040175629766421;6.507557902228548
Ubisense;1381821248000;0.9902306712310615;6.495154056895771
Ubisense;1381821248714;1.005935241279123;5.4969183103616
Ubisense;1381821250000;0.9941502754412799;5.507480615635792
Storage;1381821250000;KITCHEN_SHELF;OBJECT_PUT
