Bed;1381788000000;REM
Bed;1381788600000;N1
Bed;1381788900000;N2
Bed;1381789800000;N4
Bed;1381792800000;REM
Bed;1381794600000;N2
Bed;1381795800000;N3
Bed;1381796700000;N4
Bed;1381798500000;N4
Bed;1381799100000;REM
Bed;1381801200000;N2
Bed;1381801800000;N4
Bed;1381803000000;N3
Bed;1381804800000;N2
Bed;1381805400000;N1
Bed;1381808700000;N2
Bed;1381811400000;N1
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;WACH
Ubisense;1381813380000;9.766214567519894;5.436000330178463
Ubisense;1381813380989;9.476980862169935;5.483373895320256
Ubisense;1381813382371;9.21670410712755;5.8568705239337495
Ubisense;1381813383770;8.959281760780973;5.909465811686434
Ubisense;1381813388327;9.025835418054378;4.989380172164569
Ubisense;1381813389143;8.449115785700789;4.59055978203658
Ubisense;1381813389946;8.483572386244898;4.6137233501727275
Ubisense;1381813390714;8.684649616263657;4.377843941431049
Ubisense;1381813391434;8.746601190052708;3.751479265544389
Ubisense;1381813392023;8.463322185725348;3.784894610178835
Ubisense;1381813392533;8.493563247619404;3.3914828637730996
Ubisense;1381813393319;8.686388000907538;2.9825591930255597
Ubisense;1381813395037;8.855441976637392;2.2153708300111483
Ubisense;1381813395587;9.2635493692334;2.467741272577394
Ubisense;1381813396098;9.598037606193573;2.424264872745862
Ubisense;1381813396301;9.943253716618559;2.1857860430940064
Ubisense;1381813397248;10.729382200011282;2.7159940374178593
Ubisense;1381813397719;10.776080964868374;2.716409863290606
Ubisense;1381813398292;11.201169356535615;2.6873206707675448
Ubisense;1381813403170;11.435510665109415;2.664738202549598
Ubisense;1381813403711;11.085239618681603;2.7568652030877367
Ubisense;1381813404239;10.873305500554824;2.5989649023796346
Ubisense;1381813404342;10.622395645629833;2.7688951399934507
Ubisense;1381813404532;10.250265694733994;2.499624745706689
Ubisense;1381813404872;9.95250310527614;2.466615590800116
Ubisense;1381813405332;9.42;2.7521123231245936
Ubisense;1381813405453;9.318632452118907;2.609617231786679
Ubisense;1381813405616;8.743071509934136;2.708240312395682
Ubisense;1381813405856;8.476386093493613;2.749027430679043
Ubisense;1381813406446;8.562952611012319;2.8367287049807346
Ubisense;1381813407319;8.06508908764865;2.7905534458744814
Ubisense;1381813410000;10.998315190022408;7.7950172526600054
Ubisense;1381813410500;10.99848721029444;8.504885790278747
Ubisense;1381813470000;10.993734114001136;8.490591135816207
Water;1381813470000;BATH_TOILET_COLD;ON
Ubisense;1381813470928;9.698796926124174;8.500632041697
Water;1381813485000;BATH_SINK_COLD;ON
Water;1381813500000;BATH_SINK_COLD;OFF
Ubisense;1381813515000;9.002205534536934;7.993292219530822
Ubisense;1381813515798;8.004063943348228;8.506816456216422
Water;1381813525000;BATH_SHOWER_HOT;ON
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;OFF
Ubisense;1381813705000;8.002393848585022;8.509264559103649
Ubisense;1381813705798;9.003986520457957;7.997390999994521
Ubisense;1381813735000;9.001567366574045;8.000749444982796
Ubisense;1381813735614;9.707725667290457;8.496530127810196
Ubisense;1381813760000;9.783438547076278;7.9742547472528535
Ubisense;1381813760008;9.418913836237131;7.667878859216107
Ubisense;1381813760352;9.083296467729317;7.559786310951647
Ubisense;1381813760573;8.744952529341283;7.372605060831245
Ubisense;1381813760964;8.441894782642937;7.229205807006187
Ubisense;1381813761956;8.129117978283013;7.1679150862255625
Ubisense;1381813762455;7.838876884666954;7.089442103281984
Ubisense;1381813762982;7.524627997402081;7.08562081799723
Ubisense;1381813764297;7.2169114452;7.099125752089847
Ubisense;1381813764492;6.9649185500367095;6.775215999073093
Ubisense;1381813764674;6.929857160310415;6.479765434152919
Ubisense;1381813764826;6.897527814252987;6.156351606018077
Ubisense;1381813765242;6.90916467297077;5.548358125100285
Ubisense;1381813765366;6.922477580939056;5.208906671632407
Ubisense;1381813765553;6.924416747699314;4.916923079730817
Ubisense;1381813765713;6.96425103783488;4.607826919007531
Ubisense;1381813765938;6.9929266004094845;4.288326140005577
Ubisense;1381813766120;7.013499050713985;3.9556540691197952
Ubisense;1381813766417;7.04318230005328;3.6475500012676005
Ubisense;1381813766653;7.07351996510019;3.3333196587961385
Ubisense;1381813766862;7.1202083596147325;3.024505052557919
Ubisense;1381813767307;7.21106161111402;2.71911841206377
Ubisense;1381813767919;7.409005642919756;2.4237050540372755
Ubisense;1381813768960;8.049303095008545;1.9740949578992004
Ubisense;1381813800000;9.502731701570589;2.4939790883252555
Ubisense;1381813800714;9.501295344118462;1.4974811712163758
Storage;1381813810000;SLEEPING_ROOM_WARDROBE;OPENED
Ubisense;1381813825000;9.502729445907956;1.496960203759055
Ubisense;1381813826000;10.897846621511082;1.5015079037804362
Ubisense;1381813826071;10.99978061053753;1.503496395103584
Ubisense;1381813931000;9.60535388464538;1.5009900307280857
Ubisense;1381813931071;9.495045797120072;1.496314809492168
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813945000;9.505402787339161;1.5011952960445087
Ubisense;1381813945714;9.49908437180798;2.4975964596730513
Ubisense;1381813965000;9.064461827458096;1.9081703499894576
Ubisense;1381813965006;8.959783003581476;2.224517392540664
Ubisense;1381813965259;8.627594047792028;2.3145029356993154
Ubisense;1381813965815;8.299017458954594;2.3592106434821978
Ubisense;1381813965948;7.978233602273864;2.3699999999999997
Ubisense;1381813966038;7.661050606741624;2.4190361916191416
Ubisense;1381813966159;7.32516109816333;2.5202057424694204
Ubisense;1381813966878;7.010161963846478;2.628385747627408
Ubisense;1381813967003;6.6865368613367835;2.6893322623627776
Ubisense;1381813967324;6.2603725197421;2.81178287192624
Ubisense;1381813967571;5.926715929423163;3.1320040229376884
Ubisense;1381813967695;5.661676377836324;3.490207396118707
Ubisense;1381813968249;5.43;3.877747537264578
Ubisense;1381813968469;5.225967394188538;4.218805168568481
Ubisense;1381813968584;5.151230133757077;4.576046096116798
Ubisense;1381813968708;4.989845690157054;4.948252299823963
Ubisense;1381813969174;4.865289374720121;5.2678526061338165
Ubisense;1381813969574;4.524440375225828;5.540051035207854
Ubisense;1381813969854;4.182886527432651;5.411359972004169
Ubisense;1381813970005;3.837830273838569;5.430266409642368
Ubisense;1381813970584;3.479236680030471;5.459602904443112
Ubisense;1381813970858;3.1651145425664353;5.5061282577222155
Ubisense;1381813971055;2.83643789729277;5.5600000000000005
Ubisense;1381813971655;2.5118839900673846;5.621600434880966
Ubisense;1381813971940;2.158174196364333;5.665810604990202
Ubisense;1381813972675;1.8479426809250734;5.725818042170271
Ubisense;1381813990000;2.5012785345497863;5.5035818009313715
Ubisense;1381813991000;3.349525452187037;6.606779139997651
Storage;1381813995000;KITCHEN_FRIDGE;OPENED
Storage;1381814000000;KITCHEN_FRIDGE;OBJECT_TAKEN
Ubisense;1381814005000;3.49655776967143;6.795242598562011
Storage;1381814005000;KITCHEN_FRIDGE;CLOSED
Ubisense;1381814006000;2.8629676512445474;8.048302170227503
Ubisense;1381814006118;2.8099999999999996;8.194368708862298
Ubisense;1381814290000;2.806057588929291;8.209615230425024
Ubisense;1381814291000;2.196070003966442;6.940194047533253
Ubisense;1381814292000;1.5904707196947558;5.677981668499081
Ubisense;1381814292140;1.5047398467897897;5.499417890047058
Storage;1381814310000;KITCHEN_SHELF;OPENED
Storage;1381814315000;KITCHEN_SHELF;OBJECT_TAKEN
Storage;1381814325000;KITCHEN_SHELF;CLOSED
Ubisense;1381814325000;1.4953615590367286;5.504157652977216
Ubisense;1381814326000;2.114361509237412;6.751453470318574
Ubisense;1381814327000;2.7088801420720006;8.018970377230419
Ubisense;1381814327140;2.7972414269804133;8.19776582244453
Power;1381814350000;HERD;OFF
Ubisense;1381814355000;1.5210496989023994;5.728182466680151
Ubisense;1381814355000;2.79;8.196896576882569
Ubisense;1381814355282;1.8383536430181806;5.674903846631923
Ubisense;1381814355453;2.161405367390908;5.5797249978281975
Ubisense;1381814355625;2.4908500729904732;5.51556661450642
Ubisense;1381814356000;2.1580422912821895;6.956637645928929
Ubisense;1381814356233;2.810287958938722;5.493974765336933
Ubisense;1381814356546;3.1261241187795306;5.423700925770471
Ubisense;1381814357000;1.5116542790669505;5.723405730615243
Ubisense;1381814357012;1.4914014020485644;5.71
Ubisense;1381814359355;3.7867444866659343;5.268443817050613
Ubisense;1381814359605;4.101707965391699;5.304180899548202
Ubisense;1381814359839;4.444034201138047;5.261381705702267
Ubisense;1381814360323;4.774082121164288;5.216926087929625
Ubisense;1381814360838;4.947168142740779;4.8899012406865054
Ubisense;1381814361509;4.940356201046948;4.573540866773612
Ubisense;1381814361869;4.901754023511278;4.258651032687839
Ubisense;1381814362009;4.823727727503921;3.9025967688165615
Ubisense;1381814362150;4.799716071675884;3.5628587288930618
Ubisense;1381814362680;4.712013079887778;3.220562099692633
Ubisense;1381814363274;4.44;2.8981745088463975
Ubisense;1381814363430;4.128850343147925;2.68633915043884
Ubisense;1381814363586;3.7786693810522642;2.4797802315731974
Ubisense;1381814363757;3.460442604432363;2.2699999999999996
Ubisense;1381814364039;3.1302148613630996;2.043679492578521
Ubisense;1381814365646;2.814166776527312;1.9109029809654656
Ubisense;1381814366115;2.4896015442125425;1.8059206690730627
Ubisense;1381814366708;2.1600195343416093;1.6394369637599697
Ubisense;1381814367645;1.84737055522761;1.443384642648003
Ubisense;1381814880000;1.5183137924066306;5.729553281396814
Ubisense;1381814880282;1.8350295188054708;5.671158187096097
Ubisense;1381814880453;2.157508193582341;5.565104749374169
Ubisense;1381814880625;2.4907734690324235;5.516917190470328
Ubisense;1381814881233;2.8156575416141703;5.48
Ubisense;1381814881546;3.1399999999999997;5.430992351560126
Ubisense;1381814883637;3.453929277619124;5.329724477728478
Ubisense;1381814884355;3.7815302613767185;5.263139193460207
Ubisense;1381814884605;4.101122169874193;5.303650837811632
Ubisense;1381814884839;4.444195417440929;5.2617246804629785
Ubisense;1381814885323;4.766145120831811;5.223788441141181
Ubisense;1381814885838;4.939907523019066;4.8848456397878985
Ubisense;1381814886509;4.937778889708065;4.5631667058115255
Ubisense;1381814886869;4.9093986918601455;4.2478988299465605
Ubisense;1381814887009;4.84;3.89
Ubisense;1381814887150;4.799155937961976;3.569450970525061
Ubisense;1381814887680;4.717217801053501;3.2212541522172393
Ubisense;1381814888274;4.442136382993595;2.896896507893681
Ubisense;1381814888430;4.132282415189994;2.6981097955673152
Ubisense;1381814888586;3.777806373289244;2.4730792083659963
Ubisense;1381814888757;3.4609205428103076;2.2681338236560245
Ubisense;1381814889039;3.1272550684196965;2.0400466431573223
Ubisense;1381814890563;1.654576516603991;1.3841598955680134
Ubisense;1381814890646;2.815434395643602;1.906582721601702
Ubisense;1381814891115;2.5;1.7982834937458794
Ubisense;1381814891156;1.9745555985185812;1.6381158181660376
Ubisense;1381814891406;2.316520368595277;1.8031302905130484
Ubisense;1381814891708;2.161677624080923;1.65
Ubisense;1381814892186;2.651433505824952;1.961216743717236
Ubisense;1381814892375;2.97118038888813;2.1283891671801065
Ubisense;1381814892645;1.8378001440675553;1.4504946599162936
Ubisense;1381814892780;3.2907779140315165;2.305167511314002
Ubisense;1381814893811;3.944059530887974;2.7950893844183753
Ubisense;1381814894575;4.254580948459691;3.057481561627592
Ubisense;1381814894841;4.558169772820277;3.3948802999277574
Ubisense;1381814895107;4.752860611498321;3.7449888200628534
Ubisense;1381814897181;4.90541675504505;4.066662923773986
Ubisense;1381814897448;4.964110633904486;4.385512198725414
Ubisense;1381814898290;4.92;4.701844383645869
Ubisense;1381814898759;4.830061305492563;5.029975720391066
Ubisense;1381814899211;4.518148178709885;5.301510560479932
Ubisense;1381814899430;4.183842632024438;5.415695294635758
Ubisense;1381814899790;3.8668305191048926;5.494637886877339
Ubisense;1381814899961;3.5438985688807683;5.543015020499195
Ubisense;1381814900000;3.993377012223629;3.004165712219075
Ubisense;1381814900148;3.2049771023512448;5.620225052768598
Ubisense;1381814900336;2.861132330913465;5.733300422296066
Ubisense;1381814900679;2.5334624508398846;5.811162541022578
Ubisense;1381814901000;2.87;2.1618904704939412
Ubisense;1381814901273;2.229206954213758;5.802703437494652
Ubisense;1381814902115;1.8827213694528482;5.77608720519764
Ubisense;1381814902350;1.5721684192766046;5.806894850873484
Ubisense;1381815801000;1.080061700233146;2.5576050632729426
Ubisense;1381815802000;0.6062821178195064;1.7026887330358031
Ubisense;1381815803000;0.83;0.7402815507779926
Ubisense;1381815804000;1.6112807793470578;0.1663386937813528
Ubisense;1381815805000;2.5831407591436224;0.23357162116539307
Ubisense;1381815806000;3.2610747541145875;0.91
Ubisense;1381815807000;3.338932587707995;1.9062029627319728
Ubisense;1381815808000;2.7554146767649823;2.67987239551705
Ubisense;1381815808796;2.0024144021049177;2.892210791951949
Ubisense;1381819700000;3.001842252204651;1.0042105411822317
Ubisense;1381819701000;3.0063877132133703;1.008211193953437
Ubisense;1381819702000;3.0158625386434017;1.0110415254700902
Ubisense;1381819703000;3.013171290157698;1.0163310333640936
Ubisense;1381819704000;3.01006344324009;1.0160237523722664
Ubisense;1381821200000;1.3353503332736927;1.174385534312765
Ubisense;1381821200563;1.6517908965493173;1.3913531439546072
Ubisense;1381821201156;1.9725368096549245;1.6399278579595291
Ubisense;1381821201406;2.31;1.8077710477653972
Ubisense;1381821202186;2.642820017874207;1.957848665280729
Ubisense;1381821202780;3.2918667299706565;2.3094402938588243
Ubisense;1381821203560;3.6162464208471117;2.496012725059531
Ubisense;1381821203811;3.937583494067472;2.7977086115668173
Ubisense;1381821204575;4.259826922348843;3.0641527001190103
Ubisense;1381821204841;4.5651048266226555;3.3975863829066864
Ubisense;1381821205107;4.7514733731151875;3.740961729987905
Ubisense;1381821207181;4.900650543483213;4.05855953504971
Ubisense;1381821207448;4.957691604993665;4.376246162857925
Ubisense;1381821208290;4.9;4.712089793907599
Ubisense;1381821208759;4.823856791065328;5.027335909865356
Ubisense;1381821209211;4.5162406666516866;5.296574047209413
Ubisense;1381821209430;4.1899999999999995;5.401615332879878
Ubisense;1381821209790;3.867387495943425;5.498785785239148
Ubisense;1381821209961;3.543813296160779;5.54209103457792
Ubisense;1381821210148;3.212670903485602;5.614422587329542
Ubisense;1381821210336;2.8628978819316147;5.73644954426987
Ubisense;1381821210679;2.537456184859498;5.809908350309743
Ubisense;1381821211273;2.211792306619786;5.81952073928775
Ubisense;1381821212115;1.884402196904018;5.778691862892233
Ubisense;1381821212350;1.5725410570263347;5.807665739279708
Storage;1381821233000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381821235000;1.0028631501072387;5.502740773755358
Ubisense;1381821235714;1.006090978324504;6.501707071981532
Ubisense;1381821248000;1.0082728014649667;6.49
Ubisense;1381821248714;0.9952397011560223;5.497016581183468
Storage;1381821250000;KITCHEN_SHELF;OBJECT_PUT
Ubisense;1381821250000;0.9986813522268222;5.4997551622689125
Ubisense;1381821251000;0.9921811103020959;6.901960541112276
Ubisense;1381821251428;1.0024260349428975;7.500708611886947
Water;1381821255000;KITCHEN_SINK_COLD;ON
