Bed;1381788000000;REM
Bed;1381788600000;N1
Bed;1381788900000;N2
Bed;1381789500000;N3
Bed;1381789800000;N4
Bed;1381792800000;REM
Bed;1381794600000;N2
Bed;1381795800000;N3
Bed;1381796700000;N4
Bed;1381798500000;N1
Bed;1381799100000;REM
Bed;1381801200000;N2
Bed;1381801800000;N4
Bed;1381803000000;N3
Bed;1381804800000;N2
Bed;1381805400000;N1
Bed;1381811400000;N1
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;WACH
Ubisense;1381813380000;9.770609347666502;5.423279922476806
Ubisense;1381813380989;9.47743095741858;5.47993744866614
Ubisense;1381813382371;9.221240286111282;5.84507902494747
Ubisense;1381813383770;8.967735981570216;5.910151787470453
Ubisense;1381813386613;8.70195309479105;5.505501419609414
Ubisense;1381813388327;9.03173824472404;4.984876416471711
Ubisense;1381813389143;8.442538775922493;4.594134895778541
Ubisense;1381813389946;8.480411629253533;4.610968300844469
Ubisense;1381813390714;8.693298095599646;4.375629532223404
Ubisense;1381813391434;8.738658353470818;3.7514930753792775
Ubisense;1381813392023;8.466278617977203;3.7787693254486223
Ubisense;1381813392533;8.48857469128763;3.395096235313869
Ubisense;1381813393319;8.685769308543723;2.9708659179544057
Ubisense;1381813394429;8.614217642266047;2.65
Ubisense;1381813395037;8.846167444432993;2.2141822444769566
Ubisense;1381813396098;9.603003713873905;2.4299999999999997
Ubisense;1381813396301;9.936603579987823;2.178538155504795
Ubisense;1381813396513;10.254240242318357;2.4800000000000004
Ubisense;1381813397248;10.714565918250255;2.720427244756953
Ubisense;1381813397719;10.78239252520124;2.7199999999999998
Ubisense;1381813398292;11.200486119496947;2.697304277810717
Ubisense;1381813403170;11.45;2.654862320723826
Ubisense;1381813403711;11.096197111942013;2.7643060300649593
Ubisense;1381813404239;10.873753536332641;2.6007187021052496
Ubisense;1381813404342;10.621498057312497;2.769271715939705
Ubisense;1381813404532;10.24711805967569;2.493760281266156
Ubisense;1381813404872;9.957201260869951;2.465683935105055
Ubisense;1381813405332;9.404710601407038;2.7498525539067855
Ubisense;1381813405453;9.33;2.6066267511954067
Ubisense;1381813405616;8.751642970704609;2.712629936753436
Ubisense;1381813405856;8.471906336362386;2.7555025322228346
Ubisense;1381813406446;8.565800111668263;2.845066665202371
Ubisense;1381813407319;8.069611312629947;2.790870698083736
Ubisense;1381813410000;10.991845873125303;7.801121570864645
Ubisense;1381813410500;10.99600939317458;8.50221243129175
Ubisense;1381813470000;10.999921941100931;8.499521918786407
Water;1381813470000;BATH_TOILET_COLD;ON
Ubisense;1381813470928;9.702770925791127;8.49
Water;1381813485000;BATH_SINK_COLD;ON
Water;1381813500000;BATH_SINK_COLD;OFF
Ubisense;1381813515000;9.007748121654084;7.998844447250211
Ubisense;1381813515798;8.00494373639478;8.498003273371232
Water;1381813525000;BATH_SHOWER_HOT;ON
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;OFF
Ubisense;1381813705000;7.994528970423731;8.49690025290458
Ubisense;1381813705798;8.99502757031285;8.004849957413679
Ubisense;1381813735000;8.99993083295211;7.995820651334667
Ubisense;1381813735614;9.692657369514297;8.499807500388986
Ubisense;1381813760000;9.77589310333796;7.97795113787237
Ubisense;1381813760008;9.420253329324893;7.675034511475002
Ubisense;1381813760352;9.089552601306139;7.557833621783745
Ubisense;1381813760573;8.751095506098542;7.3640461573422265
Ubisense;1381813760964;8.44140598294632;7.222199451012645
Ubisense;1381813762455;7.825398807418062;7.092780949607654
Ubisense;1381813762982;7.524734898405354;7.0834606677485255
Ubisense;1381813764297;7.206433146784334;7.086150929003787
Ubisense;1381813764492;6.95627403490929;6.783651513826995
Ubisense;1381813764674;6.9296535943786335;6.4765047084921274
Ubisense;1381813764826;6.904098974101997;6.163353776820124
Ubisense;1381813765016;6.899985015542709;5.854873365354112
Ubisense;1381813765242;6.903144694768181;5.552383007247899
Ubisense;1381813765366;6.937490153852141;5.208668032839492
Ubisense;1381813765553;6.925700216755633;4.915207617391003
Ubisense;1381813765713;6.9692179584448315;4.605422222092645
Ubisense;1381813766120;7.006804974798158;3.9454190091867325
Ubisense;1381813766417;7.032525787028315;3.6545321679808507
Ubisense;1381813766653;7.076298708556406;3.3368275791961546
Ubisense;1381813766862;7.132434508945698;3.0315053865135124
Ubisense;1381813767307;7.208684025606823;2.716283654119715
Ubisense;1381813767919;7.406274201391162;2.4182699869454733
Ubisense;1381813768334;7.7081490099635905;2.2216345968217057
Ubisense;1381813768960;8.047298155449969;1.9711175374960934
Ubisense;1381813800000;9.51;2.4951816790544115
Ubisense;1381813800714;9.494128397159942;1.5039938433818236
Storage;1381813810000;SLEEPING_ROOM_WARDROBE;OPENED
Storage;1381813815000;SLEEPING_ROOM_WARDROBE;OBJECT_TAKEN
Ubisense;1381813825000;9.50040335437629;1.4947398448931863
Ubisense;1381813826000;10.902250917271598;1.51
Ubisense;1381813826071;11.000528752551551;1.4966427761546308
Ubisense;1381813931000;9.603847937948421;1.495460771034616
Ubisense;1381813931071;9.507786583551962;1.505132306362359
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813945000;9.49;1.5012640033275841
Ubisense;1381813965000;9.065167311604867;1.9143996194506459
Ubisense;1381813965006;8.943982092804086;2.2285763451721263
Ubisense;1381813965259;8.62485402579553;2.3069751638387985
Ubisense;1381813965815;8.298645653341344;2.364098341447214
Ubisense;1381813966038;7.663462694592944;2.4175704501242783
Ubisense;1381813966159;7.331051522210466;2.5123081779054757
Ubisense;1381813966878;7.008604520939476;2.6305289320236196
Ubisense;1381813967003;6.68750579547482;2.6944654999657462
Ubisense;1381813967324;6.259237427021843;2.814364930750853
Ubisense;1381813967571;5.932302639264852;3.149272608060323
Ubisense;1381813967695;5.656940821055667;3.4887712848762775
Ubisense;1381813968249;5.421064881774184;3.8682587845270584
Ubisense;1381813968584;5.144712942212779;4.571615755126957
Ubisense;1381813968708;4.991166451607694;4.949536901686382
Ubisense;1381813969174;4.854766901083968;5.272638544663046
Ubisense;1381813969854;4.182694795540911;5.411586746523858
Ubisense;1381813970005;3.8322580574116683;5.43804675893796
Ubisense;1381813970584;3.47;5.452904289545285
Ubisense;1381813970858;3.1547697634822924;5.5150769964193564
Ubisense;1381813971055;2.8322825180797575;5.5760192907640445
Ubisense;1381813971655;2.511667118658455;5.623982077234819
Ubisense;1381813971940;2.1592409969465867;5.67529814931507
Ubisense;1381813972675;1.8470837199747683;5.729387281594663
Ubisense;1381813990000;2.506461376276375;5.51
Ubisense;1381813991000;3.3538788624269364;6.611093810871391
Ubisense;1381813991171;3.5057307285368142;6.804609505013396
Storage;1381813995000;KITCHEN_FRIDGE;OPENED
Storage;1381814000000;KITCHEN_FRIDGE;OBJECT_TAKEN
Ubisense;1381814005000;3.5015711372496656;6.799313706917074
Storage;1381814005000;KITCHEN_FRIDGE;CLOSED
Ubisense;1381814006118;2.792823581636283;8.19588004278445
Power;1381814020000;HERD;ON
Ubisense;1381814291000;2.184793569750229;6.940863469917517
Ubisense;1381814292000;1.5951987829755843;5.672674045966034
Ubisense;1381814292140;1.5005684064028262;5.498755985266292
Storage;1381814310000;KITCHEN_SHELF;OPENED
Storage;1381814315000;KITCHEN_SHELF;OBJECT_TAKEN
Storage;1381814325000;KITCHEN_SHELF;CLOSED
Ubisense;1381814325000;1.5076465090375213;5.505978600394972
Ubisense;1381814326000;2.110816070303675;6.752455970712638
Ubisense;1381814327000;2.7;8.02241406221334
Ubisense;1381814327140;2.7999576295675466;8.205484270238154
Power;1381814350000;HERD;OFF
Ubisense;1381814355000;2.8036093910496853;8.201119671315226
Ubisense;1381814355000;1.511455976463182;5.7302186355794165
Ubisense;1381814355282;1.837613494422485;5.68
Ubisense;1381814355453;2.1605925885425568;5.569985566101008
Ubisense;1381814355625;2.493560651277415;5.5
Ubisense;1381814356000;2.153963772122677;6.9520171211556985
Ubisense;1381814356233;2.816960538752473;5.49685092756796
Ubisense;1381814356546;3.131307027702842;5.430034537437093
Ubisense;1381814357000;1.5075334840129544;5.710406258488874
Ubisense;1381814357012;1.500424700500662;5.696394288382073
Ubisense;1381814358637;3.461814330323516;5.3259625763795855
Ubisense;1381814359355;3.783973982634537;5.274510164213296
Ubisense;1381814359605;4.102011832417143;5.30634225660408
Ubisense;1381814359839;4.459578679393379;5.270292310833517
Ubisense;1381814360323;4.776535086236676;5.220653774553555
Ubisense;1381814360838;4.940682568083513;4.883632301516287
Ubisense;1381814361509;4.939677173130073;4.564535094156695
Ubisense;1381814361869;4.9041906814213085;4.251582248318045
Ubisense;1381814362009;4.836865307174664;3.906103098849634
Ubisense;1381814362150;4.800722052505303;3.562147879909439
Ubisense;1381814362680;4.722721640847289;3.2184985108487485
Ubisense;1381814363274;4.457724171693721;2.901569626765449
Ubisense;1381814363430;4.130519431502893;2.690092528932147
Ubisense;1381814363586;3.7848569684504034;2.469918387934766
Ubisense;1381814363757;3.4579396885968703;2.2646074642655316
Ubisense;1381814364039;3.1284954881963487;2.043537718006268
Ubisense;1381814365646;2.815307696208481;1.903393107534121
Ubisense;1381814366115;2.4878090691183843;1.796526677557108
Ubisense;1381814366708;2.1611010348027038;1.6475585802474277
Ubisense;1381814367645;1.8389496976129593;1.4517677057726697
Ubisense;1381814880282;1.8376270777864916;5.669505647316269
Ubisense;1381814880453;2.16352981813696;5.577504650158823
Ubisense;1381814880625;2.490992853496086;5.508494808169653
Ubisense;1381814881233;2.8167530293977494;5.486679831870369
Ubisense;1381814881546;3.1328980937232735;5.426299741602311
Ubisense;1381814883637;3.4570929813558005;5.317550322566894
Ubisense;1381814884355;3.781198229269821;5.262850621670559
Ubisense;1381814884605;4.096423431591037;5.2981155090709935
Ubisense;1381814884839;4.453030502068488;5.272654761652756
Ubisense;1381814885323;4.769750632771482;5.224090792640532
Ubisense;1381814885838;4.93685239757953;4.89078503595397
Ubisense;1381814886509;4.941197479830913;4.5665627514120235
Ubisense;1381814886869;4.916367970505111;4.248379252583858
Ubisense;1381814887009;4.826679348499773;3.891087805917325
Ubisense;1381814887150;4.806261228593236;3.5730694057404433
Ubisense;1381814887680;4.719924686714749;3.2136376843129852
Ubisense;1381814888274;4.454369908455851;2.89
Ubisense;1381814888430;4.122202810850796;2.6857459097794742
Ubisense;1381814888586;3.779195874674277;2.4643074900772977
Ubisense;1381814888757;3.455785798889357;2.262645643895331
Ubisense;1381814889039;3.1343750541324207;2.0321748814524034
Ubisense;1381814890000;1.3234614921410552;1.182341926680312
Ubisense;1381814890563;1.6560771538047454;1.38
Ubisense;1381814890646;2.8084567120591353;1.9068974582083527
Ubisense;1381814891115;2.493235241483035;1.803958082510605
Ubisense;1381814891156;1.96607832114703;1.65
Ubisense;1381814891406;2.3165345440326233;1.7904165068463358
Ubisense;1381814891708;2.1616026875757086;1.6354626238136876
Ubisense;1381814892186;2.6508102640769478;1.9638433987653385
Ubisense;1381814892375;2.9700684568441864;2.1227870559564823
Ubisense;1381814892645;1.847219078711765;1.443881936069109
Ubisense;1381814892780;3.2836438068285894;2.3095891639528303
Ubisense;1381814893560;3.6141354649284496;2.501424148449551
Ubisense;1381814893811;3.9494110458170395;2.791977528190393
Ubisense;1381814894575;4.260245557137377;3.054933261190122
Ubisense;1381814894841;4.556417630833172;3.3845964145023117
Ubisense;1381814895107;4.750283924049137;3.742871206090346
Ubisense;1381814897181;4.9155323115200655;4.054920685780061
Ubisense;1381814897448;4.958191519993869;4.380992276573571
Ubisense;1381814898290;4.9148109186975;4.707918003986566
Ubisense;1381814898759;4.830974648236235;5.0334910657039895
Ubisense;1381814899211;4.500143938811028;5.302569035526527
Ubisense;1381814899430;4.176455186758519;5.416764756242143
Ubisense;1381814899790;3.8629866592306707;5.488731402317601
Ubisense;1381814900000;4.000382106514826;2.9956297051796787
Ubisense;1381814900148;3.218372479335806;5.610871015912175
Ubisense;1381814900336;2.852855379654168;5.739497041503335
Ubisense;1381814900679;2.5369563308684895;5.813410570718457
Ubisense;1381814901273;2.2100000000000004;5.808108917497786
Ubisense;1381814901785;1.9955724398081272;1.4978401017973046
Ubisense;1381814902115;1.8919354661138614;5.783289398512413
Ubisense;1381814902350;1.5740541604403926;5.815952044134164
Ubisense;1381815800000;2.0010826988362287;2.9052010626984783
Ubisense;1381815801000;1.0808495057625067;2.559474603952959
Ubisense;1381815802000;0.6113720072194944;1.7002007471690939
Ubisense;1381815803000;0.8183819677965337;0.7443003019613822
Ubisense;1381815804000;1.617963413934439;0.15347541766937356
Ubisense;1381815805000;2.573237019368774;0.22970215175941128
Ubisense;1381815806000;3.2606332062649237;0.91131487792945
Ubisense;1381815807000;3.341195827642668;1.895788172035962
Ubisense;1381815808000;2.7488242624420964;2.6737934546789384
Ubisense;1381815808796;1.9985134767988983;2.8964804035467493
Ubisense;1381819700000;3.00149552806216;1.008319520210554
Ubisense;1381819701000;2.9958225172719493;1.0113182730334607
Ubisense;1381819702000;2.9898965788118064;1.007845196517888
Ubisense;1381819703000;2.993201268286758;1.0091645069618573
Ubisense;1381819704000;2.99177440712697;1.0088171475685734
Ubisense;1381821200000;1.3290070845010953;1.1844867032756994
Ubisense;1381821200563;1.6540981972443665;1.3893366544096917
Ubisense;1381821201156;1.973012964117856;1.6438485997345198
Ubisense;1381821201406;2.324094678770235;1.7935072117418625
Ubisense;1381821202186;2.654006829487531;1.9545814220526214
Ubisense;1381821202375;2.9733346044775226;2.115430531789445
Ubisense;1381821202780;3.2874491812020956;2.309704453734902
Ubisense;1381821203560;3.6227059882030592;2.5061075738586855
Ubisense;1381821203811;3.941626013120771;2.7962298628992492
Ubisense;1381821204575;4.2557877262807144;3.0640160968297043
Ubisense;1381821204841;4.566002056550043;3.3920731233282293
Ubisense;1381821205107;4.748607468995005;3.748369322190649
Ubisense;1381821207181;4.907971960808378;4.0628523077896395
Ubisense;1381821207448;4.960539083652261;4.372098236613046
Ubisense;1381821208290;4.909539040541782;4.707525628993103
Ubisense;1381821208759;4.826328233404598;5.035680333872661
Ubisense;1381821209211;4.508892479476477;5.299253592188292
Ubisense;1381821209430;4.175746749173523;5.410361957346644
Ubisense;1381821209790;3.8615799639843296;5.498859295166292
Ubisense;1381821209961;3.5431951782939466;5.54124666910233
Ubisense;1381821210148;3.212337528854924;5.620419945375248
Ubisense;1381821210336;2.8615480228160535;5.729401736178368
Ubisense;1381821211273;2.2222071954720484;5.805128835909585
Ubisense;1381821212115;1.899701297489711;5.773378383360793
Ubisense;1381821212350;1.5725653121040746;5.819999999999999
Storage;1381821230000;KITCHEN_SHELF;OPENED
Storage;1381821233000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381821235000;0.998360849793036;5.503597482780096
Ubisense;1381821235714;1.006955176697333;6.500991816658205
Ubisense;1381821248000;1.0017011971541314;6.499721695265851
Ubisense;1381821248714;0.9910646418117974;5.496679328141131
Ubisense;1381821250000;0.992637847504941;5.494651527496584
Storage;1381821250000;KITCHEN_SHELF;OBJECT_PUT
Ubisense;1381821251000;0.9941408004359654;6.89193843988438
