Bed;1381788000000;REM
Bed;1381788600000;N1
Bed;1381788900000;N2
Bed;1381789500000;N3
Bed;1381789800000;N4
Bed;1381792800000;REM
Bed;1381794600000;N1
Bed;1381795800000;N3
Bed;1381796700000;N4
Bed;1381798500000;N1
Bed;1381801200000;N2
Bed;1381801800000;N4
Bed;1381804800000;N2
Bed;1381805400000;N1
Bed;1381808700000;N2
Bed;1381811400000;N1
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;WACH
Ubisense;1381813380000;9.76947947946887;5.4312665779208
Ubisense;1381813380989;9.481999690621041;5.479345562884072
Ubisense;1381813382371;9.218966205511462;5.858568364621549
Ubisense;1381813383770;8.967304238410232;5.9093266752944205
Ubisense;1381813386613;8.700709647552841;5.4956790769348505
Ubisense;1381813388327;9.030874997242089;4.997346833937833
Ubisense;1381813389143;8.436905949789535;4.586970166808666
Ubisense;1381813389946;8.482722028348002;4.602747614703402
Ubisense;1381813390714;8.684335086643612;4.36796423508214
Ubisense;1381813392023;8.471280679556731;3.786626102368667
Ubisense;1381813392533;8.5;3.3988635282880186
Ubisense;1381813393319;8.683128270527863;2.9773477229902445
Ubisense;1381813394429;8.617605811247476;2.6465339335419658
Ubisense;1381813395037;8.848241898753907;2.2089898198117197
Ubisense;1381813395587;9.27075592721631;2.469619924611929
Ubisense;1381813396098;9.602773059247108;2.4184925017026413
Ubisense;1381813397248;10.73;2.71576798138236
Ubisense;1381813397719;10.770185914198333;2.7161109210485557
Ubisense;1381813398292;11.200352170607463;2.695340806431993
Ubisense;1381813403170;11.434411923554594;2.6620050953111836
Ubisense;1381813403711;11.094064268008612;2.7619124321397743
Ubisense;1381813404239;10.871309131722386;2.5985016124260896
Ubisense;1381813404342;10.619078628719759;2.764609609417921
Ubisense;1381813404532;10.251354237019903;2.4986656721839577
Ubisense;1381813405332;9.408333029905371;2.750442902692519
Ubisense;1381813405453;9.320121341898496;2.61844666097349
Ubisense;1381813405616;8.747326645416006;2.711553675920556
Ubisense;1381813405856;8.477433637514626;2.7429112766480843
Ubisense;1381813406446;8.553254070405382;2.8362116989162165
Ubisense;1381813407319;8.071724684614122;2.7932374919265874
Ubisense;1381813410000;10.992045139142748;7.799151710864197
Ubisense;1381813410500;11.00824276915445;8.497500219901175
Ubisense;1381813470000;10.998463101347049;8.503824136125251
Water;1381813470000;BATH_TOILET_COLD;ON
Ubisense;1381813470928;9.70231608015349;8.505810820450355
Water;1381813485000;BATH_SINK_COLD;ON
Water;1381813500000;BATH_SINK_COLD;OFF
Ubisense;1381813515000;9.01;7.996814426413369
Ubisense;1381813515798;8.002106496987098;8.49
Water;1381813525000;BATH_SHOWER_HOT;ON
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;OFF
Ubisense;1381813705000;7.995215737465474;8.5099502169917
Ubisense;1381813705798;9.001336077328581;7.99
Ubisense;1381813735000;9.01;7.994543334750367
Ubisense;1381813735614;9.699122327995568;8.498034109351387
Ubisense;1381813760000;9.777644477557576;7.981372953361994
Ubisense;1381813760008;9.421009175350372;7.6678270540884625
Ubisense;1381813760352;9.080320561214828;7.556157805689937
Ubisense;1381813760573;8.74;7.368161027787004
Ubisense;1381813760964;8.442027379888067;7.227300903965044
Ubisense;1381813761956;8.134776838891295;7.173903183844086
Ubisense;1381813762455;7.828465053791586;7.0830597485906015
Ubisense;1381813762982;7.520058866624411;7.083183341688235
Ubisense;1381813764297;7.214511725962475;7.081997274480366
Ubisense;1381813764674;6.922643897155113;6.468671389610711
Ubisense;1381813765016;6.905222418004098;5.8627807448409985
Ubisense;1381813765242;6.895183141206378;5.551152266648849
Ubisense;1381813765366;6.920784887402759;5.2117293210178355
Ubisense;1381813765553;6.931188386002779;4.911181887189555
Ubisense;1381813765713;6.9655220715159425;4.603238298902477
Ubisense;1381813765938;6.9919493985319905;4.285713399644187
Ubisense;1381813766417;7.043445544520338;3.64
Ubisense;1381813766653;7.075890971905519;3.3395032463043957
Ubisense;1381813766862;7.1296214752560445;3.023774288948029
Ubisense;1381813767307;7.21484103526054;2.7241706185906946
Ubisense;1381813768334;7.7;2.2147503978831744
Ubisense;1381813768960;8.04282828887522;1.9743923255703923
Ubisense;1381813800000;9.49776158423238;2.4970558361788684
Ubisense;1381813800714;9.492991368647024;1.51
Storage;1381813810000;SLEEPING_ROOM_WARDROBE;OPENED
Storage;1381813815000;SLEEPING_ROOM_WARDROBE;OBJECT_TAKEN
Ubisense;1381813826000;10.896210499508024;1.5029902476298729
Ubisense;1381813826071;11.005118469574521;1.50617149852077
Ubisense;1381813930000;10.99580980567171;1.4966574642805466
Ubisense;1381813931000;9.598499057273889;1.4967265271993464
Ubisense;1381813931071;9.495336195857918;1.5039789228426774
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813945000;9.49921277448355;1.4960697486854777
Ubisense;1381813945714;9.505631779750148;2.506195455879611
Ubisense;1381813965000;9.054495503281828;1.9121534269395224
Ubisense;1381813965006;8.949693356981125;2.2362122225649794
Ubisense;1381813965259;8.620514127654163;2.3096461987551438
Ubisense;1381813965815;8.292900464600631;2.358513937569914
Ubisense;1381813966038;7.657917855233679;2.4299999999999997
Ubisense;1381813966159;7.33342635668149;2.517815158095134
Ubisense;1381813966878;7.004957632312887;2.62107157006202
Ubisense;1381813967003;6.685090286930756;2.6847740721741524
Ubisense;1381813967324;6.27;2.8265359608868064
Ubisense;1381813967571;5.931285663197053;3.1412839437069726
Ubisense;1381813967695;5.655646264773582;3.4910268659594017
Ubisense;1381813968249;5.4133919515347735;3.8667660072178553
Ubisense;1381813968469;5.23843744086699;4.217234969666158
Ubisense;1381813968584;5.146393886822666;4.5600000000000005
Ubisense;1381813968708;4.9912064348972125;4.95427965164344
Ubisense;1381813969174;4.86266428583554;5.279999999999999
Ubisense;1381813969574;4.529220733302188;5.534836678227558
Ubisense;1381813969854;4.171271543569486;5.412451877635406
Ubisense;1381813970005;3.8353732396216538;5.4279397361040145
Ubisense;1381813970584;3.4845543055243584;5.459540174104245
Ubisense;1381813970858;3.1583909538725408;5.511193615258833
Ubisense;1381813971055;2.838691952351231;5.56753085737981
Ubisense;1381813971655;2.508852091758976;5.621649884558107
Ubisense;1381813971940;2.152108425794003;5.664525989269127
Ubisense;1381813972675;1.8400941856534758;5.728541050581172
Ubisense;1381813990000;2.5003121885038264;5.498182998613359
Ubisense;1381813991000;3.3504961335078995;6.60924439758952
Ubisense;1381813991171;3.507506658686933;6.8042590372793805
Storage;1381813995000;KITCHEN_FRIDGE;OPENED
Storage;1381814000000;KITCHEN_FRIDGE;OBJECT_TAKEN
Storage;1381814005000;KITCHEN_FRIDGE;CLOSED
Ubisense;1381814005000;3.5039184281459477;6.8013554207922695
Ubisense;1381814006000;2.870699802219207;8.046526173022666
Ubisense;1381814006118;2.801913915329696;8.195011770409273
Power;1381814020000;HERD;ON
Ubisense;1381814290000;2.7940846624602567;8.199738594866242
Ubisense;1381814291000;2.1934774768305827;6.942742436612936
Ubisense;1381814292000;1.5849314126346687;5.6826509136646814
Ubisense;1381814292140;1.5078953869002;5.500229792290506
Storage;1381814310000;KITCHEN_SHELF;CLOSED
Storage;1381814315000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381814325000;1.4900752521693474;5.498366290128074
Storage;1381814325000;KITCHEN_SHELF;CLOSED
Ubisense;1381814326000;2.1128076607152053;6.758977801230679
Ubisense;1381814327000;2.701864383190182;8.023743626125011
Ubisense;1381814327140;2.8056738725798946;8.197917980568423
Power;1381814350000;HERD;OFF
Ubisense;1381814355000;2.795136443323078;8.196989709010698
Ubisense;1381814355000;1.5186299134980115;5.726433907788592
Ubisense;1381814355282;1.8377294139380895;5.666268216364901
Ubisense;1381814355453;2.167151963195885;5.566587696766152
Ubisense;1381814355625;2.4928124069454136;5.507644798204068
Ubisense;1381814356000;2.1486604140460925;6.9649921381864415
Ubisense;1381814356233;2.807933900607909;5.498993678355686
Ubisense;1381814356546;3.133351663941574;5.4260401138523084
Ubisense;1381814357000;1.5061461174987134;5.725948191263791
Ubisense;1381814357012;1.4938178803854323;5.699676325911008
Ubisense;1381814358637;3.4576927989546666;5.318600709635958
Ubisense;1381814359355;3.7800057389181094;5.263559723634446
Ubisense;1381814359605;4.092632753372322;5.302739987168888
Ubisense;1381814359839;4.451688012147752;5.266947495006911
Ubisense;1381814360323;4.771379032829255;5.2243904695085
Ubisense;1381814360838;4.946169199707648;4.893377959598005
Ubisense;1381814361509;4.938652419675285;4.568565789196916
Ubisense;1381814361869;4.901429075694067;4.254490181316932
Ubisense;1381814362009;4.82572363880638;3.898924003981026
Ubisense;1381814362150;4.802724566318191;3.5610701287367257
Ubisense;1381814362680;4.718494225230648;3.2136731410271704
Ubisense;1381814363274;4.454718170282843;2.8932749839695266
Ubisense;1381814363430;4.1306572248496565;2.689198323261192
Ubisense;1381814363586;3.7798749427106424;2.4650055165827283
Ubisense;1381814363757;3.4568812107805207;2.2502822529442827
Ubisense;1381814364039;3.13442276740447;2.039838126779983
Ubisense;1381814365646;2.817002259091954;1.9149815992775174
Ubisense;1381814366115;2.4867571161579662;1.8031856887521969
Ubisense;1381814366708;2.1636248327373564;1.6366227265620135
Ubisense;1381814367645;1.8372019774312867;1.446005592190112
Ubisense;1381814880000;1.5242804094834386;5.725934222109256
Ubisense;1381814880282;1.8427064466108944;5.67449096132872
Ubisense;1381814880453;2.17;5.569358713303235
Ubisense;1381814880625;2.491914350144574;5.509257531305698
Ubisense;1381814881233;2.8117313674176034;5.490088409462003
Ubisense;1381814881546;3.1331840434183182;5.433025709862707
Ubisense;1381814883637;3.4503208389422424;5.317315344708576
Ubisense;1381814884355;3.7769100949851047;5.271178631746302
Ubisense;1381814884605;4.1016012105688695;5.297140079755415
Ubisense;1381814884839;4.452843394180494;5.267388603824045
Ubisense;1381814885838;4.937796872019854;4.890930605075782
Ubisense;1381814886509;4.940875635195101;4.5712057142286975
Ubisense;1381814886869;4.909768473490754;4.252299674572988
Ubisense;1381814887009;4.826972147857874;3.897239352331843
Ubisense;1381814887150;4.798191304846224;3.5707890321722244
Ubisense;1381814887680;4.710278289266631;3.220290399234282
Ubisense;1381814888274;4.454806786932526;2.9008464418386195
Ubisense;1381814888430;4.127225499840752;2.68
Ubisense;1381814888586;3.7792456428998835;2.4741637319528396
Ubisense;1381814888757;3.4552126025152963;2.2628238572290735
Ubisense;1381814889039;3.132852086251984;2.0400087738393875
Ubisense;1381814890000;1.3312073723126785;1.1807966981052107
Ubisense;1381814890563;1.6522205003363832;1.3905429732733219
Ubisense;1381814890646;2.8057670672840116;1.9090103885849434
Ubisense;1381814891115;2.4877528992460656;1.7932607925690678
Ubisense;1381814891156;1.9698275248216048;1.6419348129607338
Ubisense;1381814891406;2.31595841807162;1.8008365627421108
Ubisense;1381814891708;2.1613076001512432;1.6319052607375752
Ubisense;1381814892186;2.6517553424927067;1.9681969265822494
Ubisense;1381814892375;2.974826649966369;2.12200052671337
Ubisense;1381814892645;1.8314888539706764;1.44
Ubisense;1381814892780;3.280150729019212;2.309065945008893
Ubisense;1381814893560;3.619585054355583;2.5087633424755422
Ubisense;1381814893811;3.941531405708694;2.7808880800918794
Ubisense;1381814894575;4.259617221332195;3.0669939977165286
Ubisense;1381814894841;4.565695208492727;3.392893418576803
Ubisense;1381814895107;4.74905266399082;3.74298114789648
Ubisense;1381814897181;4.908818711487107;4.056564472423628
Ubisense;1381814897448;4.955160430305211;4.382810478188083
Ubisense;1381814898290;4.913843219417774;4.72
Ubisense;1381814898759;4.833187408697932;5.033257810676281
Ubisense;1381814899211;4.510954107388503;5.308120609491101
Ubisense;1381814899430;4.179497198419363;5.416532175601336
Ubisense;1381814899790;3.865382476955473;5.482626703982089
Ubisense;1381814899961;3.536983590082298;5.534542020619277
Ubisense;1381814900000;4.002855412597708;2.998853297656333
Ubisense;1381814900148;3.2199999999999998;5.6206703792687485
Ubisense;1381814900679;2.546564357924292;5.8
Ubisense;1381814901000;2.888673394535915;2.164253490793331
Ubisense;1381814901785;2.0082915312147667;1.5004041704647804
Ubisense;1381814902115;1.8914437893832414;5.7700000000000005
Ubisense;1381814902350;1.5731017520322623;5.809025406081498
Ubisense;1381815800000;1.9959688881652768;2.8981238016613426
Ubisense;1381815801000;1.075502865685819;2.5610339005440688
Ubisense;1381815802000;0.6186997641488893;1.6964756274484198
Ubisense;1381815803000;0.818924325454465;0.7471525554072972
Ubisense;1381815804000;1.6178842118410155;0.15753382474883076
Ubisense;1381815805000;2.575531536057643;0.22391998690215476
Ubisense;1381815806000;3.2634314707524315;0.9190764260255787
Ubisense;1381815807000;3.33;1.9056323443373016
Ubisense;1381815808000;2.7453443572971272;2.6760776995984754
Ubisense;1381815808796;2.009060781599741;2.9044797937596023
Ubisense;1381819700000;2.9942365273283054;0.9978063883584891
Ubisense;1381819701000;3.001681937338119;0.997632990501538
Ubisense;1381819702000;3.0130485001777543;0.985862819418735
Ubisense;1381819703000;3.024585752884357;0.9785193706972914
Ubisense;1381819704000;3.03552116896808;0.9774622954903327
Ubisense;1381821200000;1.3250322971264008;1.1753760444408663
Ubisense;1381821200563;1.64;1.393615174452234
Ubisense;1381821201156;1.9750087733352306;1.6373230529123861
Ubisense;1381821201406;2.3155875255897054;1.801309266611014
Ubisense;1381821202186;2.6511130014565802;1.9637865464752955
Ubisense;1381821202375;2.979828805373477;2.1216888221753547
Ubisense;1381821202780;3.2928786439685913;2.307975705507118
Ubisense;1381821203560;3.623357853698266;2.5008773170317378
Ubisense;1381821203811;3.943806056322473;2.7850979166635663
Ubisense;1381821204575;4.27;3.0500000000000003
Ubisense;1381821204841;4.5553542619526395;3.3918371297574113
Ubisense;1381821205107;4.746304202545123;3.7300000000000004
Ubisense;1381821207181;4.912081202958937;4.056465026380569
Ubisense;1381821207448;4.9624048493566475;4.379424969258733
Ubisense;1381821208290;4.913700538016052;4.71010351242695
Ubisense;1381821208759;4.832524507607574;5.024993166905906
Ubisense;1381821209211;4.506932322330591;5.292630075366188
Ubisense;1381821209430;4.172213811831081;5.404606245837229
Ubisense;1381821209790;3.8585042780528833;5.499739368774401
Ubisense;1381821209961;3.542366612786453;5.539601918353874
Ubisense;1381821210148;3.2;5.626627430752337
Ubisense;1381821210336;2.860126878198751;5.737037290990805
Ubisense;1381821210679;2.5485639580983976;5.8126474725127775
Ubisense;1381821211273;2.216823381545148;5.810979609471779
Ubisense;1381821212115;1.885628844112814;5.785969692375453
Ubisense;1381821212350;1.5711302029982546;5.808901259541432
Storage;1381821230000;KITCHEN_SHELF;OPENED
Storage;1381821233000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381821235000;0.9946485795480879;5.49185649604277
Ubisense;1381821235714;0.9984817976252661;6.506769551812422
Ubisense;1381821248000;0.9938038939899668;6.499530895406477
Ubisense;1381821248714;1.0068830254193373;5.501866562895514
Ubisense;1381821251000;0.9971281825406811;6.908576999767949
Ubisense;1381821251428;0.9999297123635471;7.501647252622479
Water;1381821255000;KITCHEN_SINK_COLD;ON
