Bed;1381788000000;REM
Bed;1381788600000;N1
Bed;1381789500000;WACH
Bed;1381789800000;N4
Bed;1381792800000;REM
Bed;1381795800000;N3
Bed;1381796700000;N4
Bed;1381798500000;N1
Bed;1381799100000;REM
Bed;1381801200000;N2
Bed;1381801800000;N4
Bed;1381803000000;N3
Bed;1381804800000;N2
Bed;1381805400000;N1
Bed;1381808700000;N2
Bed;1381811400000;N1
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;N4
Ubisense;1381813380000;9.76736442339129;5.428142932930482
Ubisense;1381813382371;9.220426305152683;5.845918306782886
Ubisense;1381813383770;8.966718840527209;5.912256755877171
Ubisense;1381813386613;8.69628943233978;5.501473345273575
Ubisense;1381813388327;9.034038023468648;4.992197365344174
Ubisense;1381813389143;8.445251375659478;4.591431874119728
Ubisense;1381813389946;8.484530917391513;4.608919264869804
Ubisense;1381813390714;8.691318229736929;4.376918602830263
Ubisense;1381813391434;8.739961450274999;3.74
Ubisense;1381813392023;8.460979633512915;3.7848295421600557
Ubisense;1381813392533;8.491517166232516;3.4037035991725504
Ubisense;1381813393319;8.674153529204471;2.974233489074336
Ubisense;1381813395037;8.847419580404079;2.2143920870806073
Ubisense;1381813395587;9.275326301723988;2.471771778493481
Ubisense;1381813396098;9.607859760735806;2.4187827553966286
Ubisense;1381813396301;9.943301313486987;2.184086144923901
Ubisense;1381813396513;10.259673208498533;2.495357691972976
Ubisense;1381813397248;10.718736532422449;2.722866072727098
Ubisense;1381813397719;10.770093504217172;2.7176931212042827
Ubisense;1381813398292;11.200891701087393;2.690839743457537
Ubisense;1381813403170;11.43702728948516;2.656271847242589
Ubisense;1381813403711;11.082444082371877;2.758059485868331
Ubisense;1381813404239;10.874674332907063;2.599338411354776
Ubisense;1381813404342;10.619946483871344;2.765216212844358
Ubisense;1381813404532;10.248974180339456;2.5003601216665463
Ubisense;1381813404872;9.961617075803533;2.460275812408226
Ubisense;1381813405332;9.4104899503847;2.7523829364844374
Ubisense;1381813405453;9.313902242237532;2.615667115264461
Ubisense;1381813405616;8.751699823165218;2.7030075840201535
Ubisense;1381813405856;8.479906848930433;2.7542042661503294
Ubisense;1381813406446;8.555690133235414;2.8366192842260594
Ubisense;1381813407319;8.067812557532127;2.78884067112983
Ubisense;1381813410000;10.99880150690948;7.80311803322714
Ubisense;1381813410500;10.9965854866793;8.502806538530866
Ubisense;1381813470000;10.997225313282266;8.50224128209944
Water;1381813470000;BATH_TOILET_COLD;ON
Ubisense;1381813470928;9.695865502993055;8.503055371248477
Water;1381813485000;BATH_SINK_COLD;ON
Water;1381813500000;BATH_SINK_COLD;OFF
Ubisense;1381813515000;9.004027663510215;8.005985369969128
Ubisense;1381813515798;8.003096358460299;8.50300840477985
Water;1381813525000;BATH_SHOWER_HOT;ON
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;OFF
Ubisense;1381813705000;7.998071677019226;8.504575683651442
Ubisense;1381813705798;9.000030948715116;7.998675842500548
Ubisense;1381813735000;9.003513282209617;8.000552246668873
Ubisense;1381813735614;9.709999999999999;8.499258599052398
Ubisense;1381813760000;9.777782643627958;7.979756164850914
Ubisense;1381813760008;9.41625313612455;7.670845420933094
Ubisense;1381813760352;9.083699084961154;7.563577141356032
Ubisense;1381813760573;8.751341805909387;7.367306397385423
Ubisense;1381813760964;8.440205027994127;7.236091756555544
Ubisense;1381813761956;8.130033474040832;7.168554627439692
Ubisense;1381813762455;7.834676986018982;7.094056153632424
Ubisense;1381813762982;7.529287339180185;7.086384218384494
Ubisense;1381813764297;7.22;7.1
Ubisense;1381813764492;6.961565765081645;6.783553687963301
Ubisense;1381813764674;6.9399999999999995;6.46
Ubisense;1381813764826;6.9020576565783625;6.156425087289667
Ubisense;1381813765016;6.892550909958001;5.863301788342045
Ubisense;1381813765242;6.905222410751712;5.543700674679172
Ubisense;1381813765366;6.925821654306865;5.211185508715323
Ubisense;1381813765553;6.926255696210507;4.912331930702703
Ubisense;1381813765713;6.9582769144929175;4.598493416221591
Ubisense;1381813765938;6.9964373052281;4.3
Ubisense;1381813766120;7.007284209565364;3.9442377436469216
Ubisense;1381813766417;7.047864622715222;3.648953799622699
Ubisense;1381813766653;7.075725698634071;3.3379447054441442
Ubisense;1381813766862;7.129173346054825;3.030647856066411
Ubisense;1381813767307;7.205990632490045;2.7250200826157065
