Bed;1381788000000;REM
Bed;1381788600000;N1
Bed;1381788900000;N2
Bed;1381789500000;N2
Bed;1381789800000;N4
Bed;1381792800000;REM
Bed;1381794600000;N2
Bed;1381795800000;N3
Bed;1381798500000;N1
Bed;1381799100000;REM
Bed;1381801800000;N4
Bed;1381803000000;N3
Bed;1381804800000;N2
Bed;1381805400000;N1
Bed;1381808700000;N2
Bed;1381811400000;N1
Alarm;1381813200000;alarm;wecker
Ubisense;1381813380000;9.77311570273506;5.4375541234380655
Ubisense;1381813380989;9.478607192948003;5.49
Ubisense;1381813382371;9.21903374375007;5.8507778535365595
Ubisense;1381813383770;8.95715705561003;5.9027759022516335
Ubisense;1381813386613;8.697155564327716;5.502467089336586
Ubisense;1381813388327;9.030840219786658;4.9930672057773835
Ubisense;1381813389143;8.43324820105541;4.598362226113974
Ubisense;1381813389946;8.475470651987441;4.607900846606971
Ubisense;1381813390714;8.691692044159131;4.363474339741768
Ubisense;1381813391434;8.740782494215143;3.755766010345936
Ubisense;1381813392023;8.469544366079585;3.775129012712628
Ubisense;1381813392533;8.485164072283856;3.4028057026559417
Ubisense;1381813393319;8.67770185161719;2.9781704186757465
Ubisense;1381813395037;8.847281574621752;2.215018379109965
Ubisense;1381813395587;9.26904691697197;2.4658117543109976
Ubisense;1381813396098;9.59994738546139;2.42337338209262
Ubisense;1381813396301;9.942058812634809;2.182722880021837
Ubisense;1381813396513;10.257413060822465;2.4998358634718443
Ubisense;1381813397248;10.729913432928052;2.7100000000000004
Ubisense;1381813397719;10.784499767143696;2.7132023728140933
Ubisense;1381813398292;11.202895150001954;2.68201226252773
Ubisense;1381813403170;11.439593258246854;2.6591585530599113
Ubisense;1381813403711;11.081693616733226;2.7500919677572466
Ubisense;1381813404239;10.883743278367048;2.602350801782648
Ubisense;1381813404342;10.619817461174533;2.76831670567335
Ubisense;1381813404532;10.242842429603881;2.5044039349614913
Ubisense;1381813404872;9.962029146542706;2.45956281481164
Ubisense;1381813405332;9.406854870818162;2.7520268802915284
Ubisense;1381813405453;9.33;2.6063158688535384
Ubisense;1381813405616;8.745115213089342;2.7052645957259216
Ubisense;1381813405856;8.49;2.752436967686698
Ubisense;1381813406446;8.566958957417619;2.8376204477873994
Ubisense;1381813407319;8.070608183336184;2.7878560687927223
Ubisense;1381813410000;11.004380236806986;7.800168873007262
Ubisense;1381813410500;10.99;8.503270500623055
Ubisense;1381813470000;11.00558752820158;8.508804206122287
Ubisense;1381813470928;9.70374589853801;8.49
Water;1381813485000;BATH_SINK_COLD;ON
Ubisense;1381813515000;9.007795264538359;7.998974614191909
Ubisense;1381813515798;8.00282647894463;8.498946054223376
Water;1381813525000;BATH_SHOWER_HOT;ON
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;OFF
Ubisense;1381813705000;7.997357277893121;8.51
Ubisense;1381813705798;9.003030352336372;8.003466932011351
Ubisense;1381813735000;9.003622518160912;8.009002504683522
Ubisense;1381813735614;9.705423882024563;8.502770775615952
Ubisense;1381813760000;9.781026673605954;7.981431802849717
Ubisense;1381813760008;9.41652030684176;7.673436182299951
Ubisense;1381813760352;9.084383896547576;7.556411161960109
Ubisense;1381813760573;8.758747351086086;7.37403983886242
Ubisense;1381813760964;8.442616722111584;7.226968206503913
Ubisense;1381813761956;8.121812041015247;7.170475626597196
Ubisense;1381813762455;7.836436110679038;7.0895742811159925
Ubisense;1381813762982;7.510105080120044;7.092506535750849
Ubisense;1381813764297;7.2097864755494205;7.08793727210749
Ubisense;1381813764492;6.961791368167538;6.780950755164288
Ubisense;1381813764674;6.931437903823468;6.4743060638587275
Ubisense;1381813764826;6.902556545233644;6.160298254438226
Ubisense;1381813765016;6.9035737889995135;5.854315029124917
Ubisense;1381813765242;6.895755946872088;5.548651352551476
Ubisense;1381813765366;6.933910717386528;5.213676781900937
Ubisense;1381813765553;6.926390196103735;4.9064324665031736
Ubisense;1381813765713;6.962077950317622;4.600378069145023
Ubisense;1381813765938;6.98931826320723;4.298036750576968
Ubisense;1381813766120;7.013553993545098;3.95399224900539
Ubisense;1381813766417;7.0340850388155465;3.6493270401517717
Ubisense;1381813766653;7.070799229788802;3.3467780122159
Ubisense;1381813766862;7.12711275665921;3.0249411852476658
Ubisense;1381813767307;7.203422328477709;2.713206055743766
Ubisense;1381813768334;7.709260501048952;2.2167212382256194
Ubisense;1381813768960;8.058073736512382;1.9673011908013358
Ubisense;1381813800000;9.498895006428002;2.5075871081238588
Ubisense;1381813800714;9.508295688205635;1.4994499395527994
Storage;1381813815000;SLEEPING_ROOM_WARDROBE;OBJECT_TAKEN
Ubisense;1381813825000;9.499313658472946;1.4992704591369805
Ubisense;1381813826000;10.901501624992456;1.5010578312051226
Ubisense;1381813930000;10.992549654030233;1.5008731621753082
Ubisense;1381813931000;9.60100898134339;1.4969174138038248
Ubisense;1381813931071;9.502271945258109;1.51
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813945000;9.50631250683634;1.5060680613675983
Ubisense;1381813965000;9.055300519145307;1.9030418266751763
Ubisense;1381813965006;8.945775777492317;2.235661478880513
Ubisense;1381813965259;8.61710879414334;2.3106961810191073
Ubisense;1381813965815;8.300015139888629;2.362677948712546
Ubisense;1381813965948;7.977057571860351;2.361128714368987
Ubisense;1381813966038;7.658825000937657;2.421152519075939
Ubisense;1381813966159;7.327294323534014;2.513316939194787
Ubisense;1381813966878;7.0024334971911735;2.6322926865689262
Ubisense;1381813967003;6.685547746238483;2.692709314117186
Ubisense;1381813967324;6.2571068014986135;2.825647070284827
Ubisense;1381813967571;5.935179296490671;3.132541123538563
Ubisense;1381813967695;5.6522458414537935;3.4917696265200524
Ubisense;1381813968249;5.420747840352069;3.8717606318133155
Ubisense;1381813968469;5.2315889221861305;4.220253369441686
Ubisense;1381813968584;5.148969648679005;4.572810367306374
Ubisense;1381813968708;4.984785267142214;4.9560490658976155
Ubisense;1381813969174;4.864026171027647;5.26642837974768
Ubisense;1381813969574;4.5315968944351495;5.534947046710074
Ubisense;1381813969854;4.172293753210818;5.404817076028128
Ubisense;1381813970005;3.8275876971120195;5.43950359747038
Ubisense;1381813970584;3.479090972109576;5.453328789093462
Ubisense;1381813970858;3.163124788205906;5.512121283757775
Ubisense;1381813971055;2.8408698448852108;5.565997477731056
Ubisense;1381813971655;2.5075606023729264;5.619623966515491
Ubisense;1381813971940;2.1555752610775185;5.668462714785057
Ubisense;1381813972675;1.837451626265961;5.731627877158192
Ubisense;1381813990000;2.49;5.496654606597258
