Bed;1381788000000;REM
Bed;1381788600000;N1
Bed;1381788900000;N2
Bed;1381789500000;N3
Bed;1381789800000;N4
Bed;1381792800000;REM
Bed;1381794600000;N2
Bed;1381795800000;N4
Bed;1381796700000;N4
Bed;1381799100000;REM
Bed;1381801200000;N2
Bed;1381801800000;N4
Bed;1381803000000;N3
Bed;1381804800000;N2
Bed;1381805400000;N1
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;WACH
Ubisense;1381813380000;9.7675920390992;5.434341795163551
Ubisense;1381813380989;9.478755876467545;5.479597738139914
Ubisense;1381813382371;9.217482593266055;5.844498597644161
Ubisense;1381813383770;8.955572962280328;5.913632545283245
Ubisense;1381813386613;8.6993508175613;5.499919521189739
Ubisense;1381813389143;8.435977088913482;4.58769026889247
Ubisense;1381813389946;8.47717996358836;4.612297016262935
Ubisense;1381813390714;8.68567198468078;4.36668865506005
Ubisense;1381813391434;8.744907141128863;3.74
Ubisense;1381813392023;8.462380203318123;3.78000417230121
Ubisense;1381813392533;8.4947894623221;3.391612088654104
Ubisense;1381813393319;8.681511918319101;2.9802587176462714
Ubisense;1381813394429;8.619067943954821;2.6353760298546662
Ubisense;1381813395037;8.851489694536362;2.2136828324487148
Ubisense;1381813395587;9.278673368776357;2.475745087905929
Ubisense;1381813396098;9.60111963370477;2.4166757564063137
Ubisense;1381813396301;9.944461391900832;2.176726201820962
Ubisense;1381813396513;10.256582609010144;2.4800000000000004
Ubisense;1381813397248;10.72466484264331;2.716233633905141
Ubisense;1381813397719;10.781405255871293;2.712570253061638
Ubisense;1381813398292;11.196006153053508;2.692015571940612
Ubisense;1381813403170;11.441011551611556;2.6641690430749234
Ubisense;1381813403711;11.08;2.760929413973238
Ubisense;1381813404239;10.88522611836062;2.5956936311376824
Ubisense;1381813404342;10.616949248400214;2.770024485196375
Ubisense;1381813404532;10.247528494998106;2.5010718170173725
Ubisense;1381813404872;9.957557745787735;2.4628238726931
Ubisense;1381813405332;9.40042604477607;2.745782909233147
Ubisense;1381813405453;9.320108516050965;2.6043230626656273
Ubisense;1381813405616;8.746739942612674;2.709638261347704
Ubisense;1381813405856;8.484797032917951;2.7446021142390937
Ubisense;1381813406446;8.55;2.835664664257878
Ubisense;1381813407319;8.066628298635242;2.786458128893737
Ubisense;1381813410000;11.001836566020573;7.800728910067441
Ubisense;1381813410500;11.00214971486697;8.492057762279765
Ubisense;1381813470000;11.01;8.509565374030625
Water;1381813470000;BATH_TOILET_COLD;ON
Ubisense;1381813470928;9.699532181684983;8.504184909558932
Water;1381813485000;BATH_SINK_COLD;ON
Water;1381813500000;BATH_SINK_COLD;OFF
Ubisense;1381813515000;8.998467034788684;8.000617362793646
Ubisense;1381813515798;7.99696512799076;8.507004884589609
Water;1381813525000;BATH_SHOWER_HOT;ON
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;OFF
Ubisense;1381813705000;7.994395969295914;8.493647552659024
Ubisense;1381813705798;9.006981640026037;8.007286907837212
Ubisense;1381813735000;8.993452865624464;8.000000258820242
Ubisense;1381813735614;9.708458475075444;8.496019154479464
Ubisense;1381813760000;9.772901487251701;7.981055445414786
Ubisense;1381813760008;9.416389013589136;7.67147781113658
Ubisense;1381813760573;8.755115847198878;7.372471836633631
Ubisense;1381813760964;8.442117759224557;7.24
Ubisense;1381813761956;8.133017233446495;7.169228409942764
Ubisense;1381813762455;7.826656431129812;7.088377098560294
Ubisense;1381813764297;7.20644399769293;7.0882269477017354
Ubisense;1381813764492;6.960252980972488;6.787941489497363
Ubisense;1381813764674;6.927261626881614;6.472671890682448
Ubisense;1381813764826;6.898288274861079;6.162588791193258
Ubisense;1381813765016;6.897095082033803;5.858883713410298
Ubisense;1381813765242;6.897239906858662;5.5537309661651895
Ubisense;1381813765366;6.9368356675524385;5.210768422126169
Ubisense;1381813765553;6.921940645048001;4.9103951214021455
Ubisense;1381813765713;6.954788681096003;4.594482074331056
Ubisense;1381813765938;6.9868624532562285;4.292598761123551
Ubisense;1381813766120;7.016619028018871;3.941268856508146
Ubisense;1381813766417;7.0369495796606145;3.648860768582875
Ubisense;1381813766653;7.0711420653903545;3.3391195183352353
Ubisense;1381813766862;7.124548500391445;3.0232971213302484
Ubisense;1381813767307;7.21402857230593;2.721852446552227
Ubisense;1381813767919;7.414464521032982;2.4261097805567
Ubisense;1381813768334;7.7;2.2221932305352734
Ubisense;1381813768960;8.04572823363484;1.9705526553201906
Ubisense;1381813800000;9.504821501953685;2.5076268413243
Ubisense;1381813800714;9.505725953936563;1.5061846810531956
Storage;1381813810000;SLEEPING_ROOM_WARDROBE;OPENED
Storage;1381813815000;SLEEPING_ROOM_WARDROBE;OBJECT_TAKEN
Ubisense;1381813825000;9.498096334839408;1.4976685900137854
Ubisense;1381813826000;10.90014719645611;1.5041134009805714
Ubisense;1381813826071;11.00578206880507;1.4985106810126998
Ubisense;1381813930000;10.998614558608136;1.504108534163723
Ubisense;1381813931000;9.59560841686735;1.4986389963020426
Ubisense;1381813931071;9.498266809358771;1.4994346571622859
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813945000;9.502345022981764;1.4971000015629465
Ubisense;1381813945714;9.509341355053698;2.498808317070077
Ubisense;1381813965000;9.056996153893753;1.9183061934410799
Ubisense;1381813965006;8.955724822310398;2.2341347265016216
Ubisense;1381813965259;8.629348649715446;2.3144337418533696
Ubisense;1381813965815;8.303057282399825;2.35721086234039
Ubisense;1381813965948;7.975949923105624;2.361661924720724
Ubisense;1381813966038;7.654184303999564;2.4212798938217923
Ubisense;1381813966159;7.32;2.5227248214916647
Ubisense;1381813966878;7.007684980707805;2.6375441522183545
Ubisense;1381813967003;6.692456823944011;2.6938458700815353
Ubisense;1381813967324;6.266495999461978;2.8225633510720742
Ubisense;1381813967571;5.922711734606911;3.136049868930984
Ubisense;1381813967695;5.654958294612802;3.4871643996363684
Ubisense;1381813968249;5.425017519450805;3.8657063876665725
Ubisense;1381813968469;5.224145826691756;4.221533814121537
Ubisense;1381813968584;5.143113123787735;4.5723257170136336
Ubisense;1381813969174;4.858632243679968;5.264719549734293
Ubisense;1381813969574;4.528720052372202;5.536997647523493
Ubisense;1381813969854;4.176202372225634;5.409979367524999
Ubisense;1381813970005;3.823764941496291;5.429997196897548
Ubisense;1381813970584;3.484728895267087;5.465686651160858
Ubisense;1381813970858;3.165471819111511;5.511123192261234
Ubisense;1381813971055;2.8454202305152276;5.56490540228608
Ubisense;1381813971655;2.5101219019447956;5.622509713661423
Ubisense;1381813971940;2.168491926964121;5.673158823770639
Ubisense;1381813972675;1.8364724403817374;5.732802889926604
Ubisense;1381813990000;2.494891691420004;5.499332675032089
Ubisense;1381813991000;3.346730844709518;6.611234642479605
Ubisense;1381813991171;3.493074429628098;6.800393599728281
Storage;1381813995000;KITCHEN_FRIDGE;OPENED
Storage;1381814000000;KITCHEN_FRIDGE;OBJECT_TAKEN
Ubisense;1381814005000;3.508320044569231;6.798635008537595
Storage;1381814005000;KITCHEN_FRIDGE;CLOSED
Ubisense;1381814006000;2.8705263678409287;8.04970515487154
Ubisense;1381814006118;2.7992448981112292;8.204467085662845
Power;1381814020000;HERD;ON
Ubisense;1381814290000;2.8086268307009346;8.200383236755947
Ubisense;1381814291000;2.182428683571344;6.936927396422287
Ubisense;1381814292000;1.5902812419878378;5.678356638279969
Ubisense;1381814292140;1.5001770197042563;5.504492957755656
Storage;1381814310000;KITCHEN_SHELF;OPENED
Storage;1381814315000;KITCHEN_SHELF;OBJECT_TAKEN
Storage;1381814325000;KITCHEN_SHELF;CLOSED
Ubisense;1381814325000;1.4967234461663947;5.505806798944717
Ubisense;1381814326000;2.1196137811482183;6.768720339596832
Ubisense;1381814327000;2.713295826300148;8.01269490976984
Ubisense;1381814327140;2.805415401675481;8.202607242652492
Power;1381814350000;HERD;OFF
Ubisense;1381814355000;2.8047971839382475;8.197251892745722
Ubisense;1381814355000;1.523098411360739;5.732014899895222
Ubisense;1381814355282;1.8406349848031394;5.66744692246545
Ubisense;1381814355453;2.1622923907105385;5.57254689482805
Ubisense;1381814355625;2.4856735802046863;5.515014503838068
Ubisense;1381814356000;2.1482751036715837;6.95
Ubisense;1381814356233;2.8154171960732484;5.49080609562773
Ubisense;1381814356546;3.1282937694843103;5.428353308492182
Ubisense;1381814357000;1.5070387117440804;5.72220325661439
Ubisense;1381814357012;1.4965639328145182;5.6996560180494065
Ubisense;1381814358637;3.458229195074944;5.312017265936803
Ubisense;1381814359355;3.7750722604628963;5.265554827847694
Ubisense;1381814359605;4.098229805119951;5.306399661521612
Ubisense;1381814359839;4.448856820316029;5.263112332544486
Ubisense;1381814360323;4.768085177089103;5.229948634679774
Ubisense;1381814360838;4.936848436012201;4.8999999999999995
Ubisense;1381814361509;4.936064785448846;4.576834607942707
Ubisense;1381814361869;4.917526334945235;4.249342486482586
Ubisense;1381814362009;4.833246231308642;3.89
Ubisense;1381814362150;4.796852093203294;3.56
Ubisense;1381814362680;4.724565522508615;3.2189283010931358
Ubisense;1381814363274;4.4478627001093765;2.9039689456026316
Ubisense;1381814363430;4.1294146212230745;2.686988789076895
Ubisense;1381814363586;3.7708309083606046;2.4678061444896566
Ubisense;1381814363757;3.4664490515050224;2.2597520444281582
Ubisense;1381814364039;3.130563610496455;2.0366193517279134
Ubisense;1381814365646;2.8033656223802077;1.9177177211673588
Ubisense;1381814366115;2.4944123189163236;1.8063402131120654
Ubisense;1381814366708;2.1562907669252542;1.63
Ubisense;1381814367645;1.8451966567451958;1.4492126036373707
Ubisense;1381814880000;1.5233337728761964;5.738707066211759
Ubisense;1381814880282;1.8356910226017493;5.675710657065758
Ubisense;1381814880453;2.1500000000000004;5.564529133849985
Ubisense;1381814880625;2.486722927197208;5.510611090202294
Ubisense;1381814881233;2.810797427810502;5.488909734810994
Ubisense;1381814881546;3.125597124982414;5.428778426108379
Ubisense;1381814883637;3.4529859864184065;5.311762755128037
Ubisense;1381814884355;3.780453468039397;5.268053313899214
Ubisense;1381814884605;4.0960014463701455;5.296124444313738
Ubisense;1381814884839;4.444904545770358;5.261352473929585
Ubisense;1381814885323;4.773848287595396;5.21821360214957
Ubisense;1381814885838;4.943640529596509;4.894320944238711
Ubisense;1381814886509;4.933508736380112;4.5732704721650865
Ubisense;1381814886869;4.912010907278159;4.244752685848309
Ubisense;1381814887009;4.829246933169018;3.903794315393323
Ubisense;1381814887150;4.801366983895944;3.5716482265050122
Ubisense;1381814887680;4.71781360986815;3.2161579665166884
Ubisense;1381814888274;4.453540600309526;2.897088863544767
Ubisense;1381814888430;4.136153812333795;2.6932900197589653
Ubisense;1381814888586;3.7846198249655734;2.471462188273841
Ubisense;1381814888757;3.460009705857148;2.2559409053225834
Ubisense;1381814889039;3.1343734711273554;2.03787265289594
Ubisense;1381814890000;1.3242200852331034;1.1767195268395396
Ubisense;1381814890563;1.6454586314637645;1.3810986685530584
Ubisense;1381814890646;2.8133872570124185;1.9157361933117194
Ubisense;1381814891115;2.4886784037860625;1.8053756196667259
Ubisense;1381814891156;1.9772769237167456;1.6409241758141735
Ubisense;1381814891406;2.3131905592312534;1.8011662191513633
Ubisense;1381814891708;2.1616290013634742;1.6421954614279257
Ubisense;1381814892186;2.659269017263713;1.95543553318945
Ubisense;1381814892375;2.9691590996273987;2.1180151548713635
Ubisense;1381814892645;1.8374163865827176;1.4421996289506365
Ubisense;1381814892780;3.297103544683122;2.31190380226917
Ubisense;1381814893560;3.6143257438695104;2.5003130087648717
Ubisense;1381814894575;4.25950117331807;3.062847854815273
Ubisense;1381814894841;4.565289174767344;3.39529667627624
Ubisense;1381814895107;4.752410374210211;3.734798435691945
Ubisense;1381814897181;4.912309831967167;4.067476321575205
Ubisense;1381814897448;4.9696190364018555;4.374549820218987
Ubisense;1381814898290;4.9184051876787525;4.703403453446479
Ubisense;1381814898759;4.831517314541731;5.028946860639834
Ubisense;1381814899211;4.510691766017874;5.31
Ubisense;1381814899430;4.1840058569578344;5.403046239577934
Ubisense;1381814899790;3.861009828551004;5.490359964000126
Ubisense;1381814899961;3.543547546633919;5.536247807901032
Ubisense;1381814900336;2.862570440585245;5.728981558484487
Ubisense;1381814900679;2.5382483901112827;5.8060181100972486
Ubisense;1381814901000;2.878376397580966;2.1699447107511975
Ubisense;1381814901273;2.2151110413981128;5.815785688336778
Ubisense;1381814901785;1.998501495780663;1.5013927261667255
Ubisense;1381814902115;1.8807124530613086;5.786890149059851
Ubisense;1381814902350;1.5741407856949143;5.806317127164538
Ubisense;1381815800000;2.003522755048498;2.9050927293142155
Ubisense;1381815801000;1.074924976878632;2.5537224487671946
Ubisense;1381815802000;0.6076622385023652;1.7086235174484536
Ubisense;1381815803000;0.8254204168706784;0.7382842277098003
Ubisense;1381815804000;1.6146829980220898;0.1614021766721237
Ubisense;1381815805000;2.583803431105819;0.23245911944870265
Ubisense;1381815806000;3.2704432453018653;0.928269418039145
Ubisense;1381815807000;3.338361885423376;1.8971431360829347
Ubisense;1381815808000;2.7552513003958183;2.6733451404604387
Ubisense;1381815808796;1.9918326458926372;2.8980708774868433
Ubisense;1381819700000;2.9976444878304456;1.0006042689500316
Ubisense;1381819701000;2.9923861502145352;1.0118809648919278
Ubisense;1381819702000;2.9940289117140604;1.0080001474876288
Ubisense;1381819703000;2.9890572399730666;1.0017829404463765
Ubisense;1381819704000;2.992482572180349;0.9851131762757805
Ubisense;1381821200000;1.3308464597546072;1.1780052913142671
Ubisense;1381821200563;1.6469391102866504;1.3883987463198515
Ubisense;1381821201156;1.9669708734445583;1.637040768284319
Ubisense;1381821201406;2.3224816967520354;1.8004134800223384
Ubisense;1381821202186;2.648302532046497;1.954823052759869
Ubisense;1381821202375;2.9671803711407074;2.125744703065129
Ubisense;1381821202780;3.2880093877373215;2.3152758913665834
Ubisense;1381821203560;3.6179711550900127;2.5056451929651287
Ubisense;1381821203811;3.942710914829598;2.7866207718566587
Ubisense;1381821204575;4.259896191345832;3.0647351815253843
Ubisense;1381821204841;4.564763128295315;3.3879506997196924
Ubisense;1381821205107;4.7424581291304015;3.7411318943109615
Ubisense;1381821207181;4.9085094512167595;4.061361620010266
Ubisense;1381821207448;4.959975466087341;4.373863685033824
Ubisense;1381821208290;4.903285817239666;4.71508963829173
Ubisense;1381821208759;4.823672932130838;5.022863412917511
Ubisense;1381821209211;4.510096426792821;5.304393573665136
Ubisense;1381821209430;4.185670632159644;5.404446976175175
Ubisense;1381821209790;3.8632072540813125;5.48229028648495
Ubisense;1381821209961;3.5300000000000002;5.537714244534715
Ubisense;1381821210148;3.2089350523366984;5.627635464064195
Ubisense;1381821210336;2.8646665304916947;5.732508451447924
Ubisense;1381821210679;2.5394699766060724;5.806036369954386
Ubisense;1381821211273;2.2182644448248;5.807016821899984
Ubisense;1381821212115;1.8818751937643707;5.777585006241522
Ubisense;1381821212350;1.5650894181921156;5.814417789428993
Storage;1381821230000;KITCHEN_SHELF;OPENED
Storage;1381821233000;KITCHEN_SHELF;OBJECT_TAKEN
