Bed;1381788000000;REM
Bed;1381788600000;N1
Bed;1381788900000;N2
Bed;1381789500000;N3
Bed;1381789800000;N4
Bed;1381792800000;REM
Bed;1381794600000;N2
Bed;1381795800000;N3
Bed;1381796700000;N4
Bed;1381798500000;N1
Bed;1381799100000;REM
Bed;1381801200000;N2
Bed;1381801800000;N4
Bed;1381803000000;N3
Bed;1381804800000;N2
Bed;1381805400000;N1
Bed;1381808700000;N2
Bed;1381811400000;N1
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;WACH
Ubisense;1381813380000;9.765860109551006;5.42
Ubisense;1381813380989;9.486732433113726;5.480348155936891
Ubisense;1381813382371;9.219006733033902;5.855822505743539
Ubisense;1381813383770;8.964173712511505;5.909659307997985
Ubisense;1381813386613;8.709999999999999;5.501504407816223
Ubisense;1381813389143;8.439310306461007;4.589624206381751
Ubisense;1381813389946;8.489916616963562;4.6090909981844534
Ubisense;1381813390714;8.697881735592535;4.3677928970711895
Ubisense;1381813391434;8.73762790192121;3.749752336672053
Ubisense;1381813392023;8.476070745168078;3.7753395679869395
Ubisense;1381813392533;8.49437899090579;3.396601502788726
Ubisense;1381813393319;8.681685672394895;2.975485540863662
Ubisense;1381813394429;8.624122588939159;2.636366741382254
Ubisense;1381813395037;8.854865164604199;2.2199999999999998
Ubisense;1381813395587;9.269615610207792;2.4653984542683474
Ubisense;1381813396098;9.593020194923334;2.422482221015078
Ubisense;1381813396301;9.94362186450221;2.1795312485949734
Ubisense;1381813396513;10.25571356392745;2.4929740563813967
Ubisense;1381813397248;10.715200748397864;2.7177441055040297
Ubisense;1381813397719;10.775583496978834;2.709539722471152
Ubisense;1381813398292;11.199574129041727;2.6826585962039182
Ubisense;1381813403170;11.44050574648819;2.6600511429410494
Ubisense;1381813403711;11.08214774165925;2.75631914973935
Ubisense;1381813404239;10.877061738700508;2.6015409553456017
Ubisense;1381813404342;10.620040951137222;2.769322580520889
Ubisense;1381813404532;10.252048960089564;2.4953544689148015
Ubisense;1381813404872;9.956341329577562;2.463715223211977
Ubisense;1381813405332;9.412359421472216;2.7490941051433553
Ubisense;1381813405453;9.315423739741654;2.6199999999999997
Ubisense;1381813405616;8.74717444318274;2.7045690187337987
Ubisense;1381813406446;8.563302416318834;2.8428448156858717
Ubisense;1381813407319;8.06710539903834;2.787001217979165
Ubisense;1381813410000;10.996020756848544;7.801157650592042
Ubisense;1381813410500;10.992773148783643;8.49553592544198
Ubisense;1381813470000;11.003629503583706;8.499965904113369
Water;1381813470000;BATH_TOILET_COLD;ON
Ubisense;1381813470928;9.69597587899701;8.49906887930036
Water;1381813485000;BATH_SINK_COLD;ON
Ubisense;1381813515000;8.99922829764134;8.001495099039472
Ubisense;1381813515798;8.004326840546545;8.50545103528661
Water;1381813525000;BATH_SHOWER_HOT;ON
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;OFF
Ubisense;1381813705000;7.996377274109178;8.498424524637148
Ubisense;1381813705798;9.001008338675872;7.994595054287691
Ubisense;1381813735000;8.998919335358988;7.995720312163083
Ubisense;1381813735614;9.696620689394022;8.496243553690155
Ubisense;1381813760000;9.783175067583757;7.981251907953402
Ubisense;1381813760008;9.41862064381587;7.6693549237373455
Ubisense;1381813760352;9.082823751903295;7.560184856619603
Ubisense;1381813760573;8.75541586268254;7.375123175733577
Ubisense;1381813760964;8.445962707152553;7.2296074849968885
Ubisense;1381813762455;7.82;7.092347061203325
Ubisense;1381813764297;7.2;7.085218609182173
Ubisense;1381813764492;6.953723457593195;6.786570996734125
Ubisense;1381813764674;6.929895389681632;6.47428500968563
Ubisense;1381813764826;6.900855073536154;6.1624953047756
Ubisense;1381813765016;6.90552875672681;5.855127530534349
Ubisense;1381813765242;6.908462214620226;5.548048415527374
Ubisense;1381813765366;6.925611588257138;5.213548888884824
Ubisense;1381813765553;6.931997095178569;4.910223721868293
Ubisense;1381813765713;6.959762628918054;4.601702731508492
Ubisense;1381813765938;6.999698557399508;4.296353022152239
Ubisense;1381813766120;7.010312037772405;3.940989189952746
Ubisense;1381813766417;7.034488697062741;3.645422035227639
Ubisense;1381813766653;7.0696940967651605;3.3464766498433955
Ubisense;1381813766862;7.123115370385881;3.022725510601122
Ubisense;1381813767307;7.207139116454055;2.727360226884385
Ubisense;1381813767919;7.413908400650091;2.4203566079138783
Ubisense;1381813768334;7.711153366531311;2.2214076399297316
Ubisense;1381813768960;8.048550270974756;1.9696061914039082
Ubisense;1381813800000;9.4950820541057;2.5052989916185306
Ubisense;1381813800714;9.492937236817003;1.4947808466558783
Storage;1381813810000;SLEEPING_ROOM_WARDROBE;OPENED
Storage;1381813815000;SLEEPING_ROOM_WARDROBE;OBJECT_TAKEN
Ubisense;1381813825000;9.50726059186213;1.4980877931857257
Ubisense;1381813826000;10.896058039178337;1.4968815678231293
Ubisense;1381813826071;10.999271548896234;1.4976190926212265
Ubisense;1381813930000;10.996368335896562;1.5054185050327256
Ubisense;1381813931000;9.60305050090446;1.4951051223627407
Ubisense;1381813931071;9.4964585206301;1.4955996475433153
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813945000;9.500277206245313;1.5036744209171118
Ubisense;1381813945714;9.502182140313627;2.49
Ubisense;1381813965000;9.056037207450796;1.9115369213092848
Ubisense;1381813965006;8.952637629279744;2.2263033197784763
Ubisense;1381813965259;8.622338875760462;2.30697680278672
Ubisense;1381813965815;8.305203239456745;2.367776927496011
Ubisense;1381813965948;7.99;2.355348560104817
Ubisense;1381813966038;7.6587471543063685;2.418947953698024
Ubisense;1381813966878;7.0073416704735365;2.628414187253562
Ubisense;1381813967003;6.690384311949131;2.6938652930903557
Ubisense;1381813967324;6.2596240762874436;2.8188110571967906
Ubisense;1381813967571;5.93181294013708;3.1438171129674006
Ubisense;1381813968249;5.419602294664259;3.874863945204033
Ubisense;1381813968469;5.230766323555064;4.2224512130218335
Ubisense;1381813968584;5.143214128295127;4.573833260519656
Ubisense;1381813968708;4.98;4.950131005451556
Ubisense;1381813969174;4.867396299473848;5.260360126633636
Ubisense;1381813969574;4.5345245204727025;5.537402598448246
Ubisense;1381813969854;4.18260655530102;5.419910930791215
Ubisense;1381813970005;3.8346170245371303;5.436326031921882
Ubisense;1381813970584;3.4899999999999998;5.465531796663568
Ubisense;1381813970858;3.1636992936751156;5.504723639547301
Ubisense;1381813971055;2.835001125283691;5.574720576810801
Ubisense;1381813971655;2.511819135405711;5.61879875442915
Ubisense;1381813971940;2.1677520978407547;5.67446257528655
Ubisense;1381813972675;1.8367148382216518;5.7309817859069305
Ubisense;1381813990000;2.502174780690465;5.506406238465801
Ubisense;1381813991000;3.355108092241711;6.619473476245776
Ubisense;1381813991171;3.4973995390987085;6.801785151877114
Storage;1381813995000;KITCHEN_FRIDGE;OPENED
Storage;1381814000000;KITCHEN_FRIDGE;OBJECT_TAKEN
Ubisense;1381814005000;3.502418978610673;6.790654148436112
Storage;1381814005000;KITCHEN_FRIDGE;CLOSED
Ubisense;1381814006000;2.8719412738680643;8.044240817465496
Ubisense;1381814006118;2.8000452772600886;8.195977329327524
Power;1381814020000;HERD;ON
Ubisense;1381814290000;2.8099999999999996;8.201975849698137
Ubisense;1381814291000;2.185288255501847;6.931628741774985
Ubisense;1381814292000;1.5975764680661488;5.678739694131527
Ubisense;1381814292140;1.5000729618094193;5.503710214480781
Storage;1381814310000;KITCHEN_SHELF;OPENED
Storage;1381814315000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381814325000;1.4949194772208687;5.499759792787956
Storage;1381814325000;KITCHEN_SHELF;CLOSED
Ubisense;1381814326000;2.1184914427851504;6.753261456303372
Ubisense;1381814327000;2.7092537501023646;8.017831796907673
Ubisense;1381814327140;2.803675446357491;8.199444267181393
Power;1381814350000;HERD;OFF
Ubisense;1381814355000;2.8036557095043033;8.195631356770395
Ubisense;1381814355000;1.5173172918859128;5.72649768823804
Ubisense;1381814355282;1.8441713477830874;5.669274276757945
Ubisense;1381814355453;2.158752926451907;5.579239237605166
Ubisense;1381814355625;2.485782085147342;5.51007062362888
Ubisense;1381814356000;2.1407690071788896;6.967884463850426
Ubisense;1381814356233;2.808732153229682;5.491152923575965
Ubisense;1381814356546;3.127503676203971;5.430543222163302
Ubisense;1381814357000;1.5127359834897074;5.721267687800931
Ubisense;1381814357012;1.4944515468464576;5.697370174353625
Ubisense;1381814358637;3.4541050154485005;5.319531825764536
Ubisense;1381814359355;3.7848727620812967;5.271223510081651
Ubisense;1381814359605;4.100171449833423;5.29
Ubisense;1381814359839;4.45247809636983;5.26478174935432
Ubisense;1381814360323;4.7729461770515025;5.21624300200671
Ubisense;1381814360838;4.938329543720052;4.891948522316473
Ubisense;1381814361509;4.9415608440633685;4.571251889161083
Ubisense;1381814361869;4.909284626340308;4.2478911553500645
Ubisense;1381814362009;4.834104263993662;3.894279767270523
Ubisense;1381814362150;4.803275871454159;3.5721637934503327
Ubisense;1381814362680;4.719858790235135;3.2270493318364206
Ubisense;1381814363274;4.45205011143461;2.8986714766879884
Ubisense;1381814363430;4.1318732099558515;2.687707639887642
Ubisense;1381814363586;3.782044437572103;2.46857420530166
Ubisense;1381814363757;3.469277907758932;2.25701479835306
Ubisense;1381814364039;3.125012585824937;2.0384107389821637
Ubisense;1381814365646;2.802585989325792;1.9114243869407976
Ubisense;1381814366708;2.1541138636285098;1.636428707392362
Ubisense;1381814367645;1.8348693608646696;1.442307634369589
Ubisense;1381814880000;1.5233682960099253;5.728830879008226
Ubisense;1381814880282;1.8451079961884247;5.668268746794266
Ubisense;1381814880453;2.156435174184837;5.562766577220607
Ubisense;1381814880625;2.4868790907643277;5.505337211087726
Ubisense;1381814881233;2.805669236898746;5.492905882476843
Ubisense;1381814881546;3.124121818216422;5.429713359480059
Ubisense;1381814883637;3.4638480712076927;5.322932139887237
Ubisense;1381814884605;4.097427814062215;5.307425073682707
Ubisense;1381814884839;4.445651676071753;5.263930061974137
Ubisense;1381814885323;4.76894187312976;5.228049040819477
Ubisense;1381814885838;4.938221137610979;4.891715919980804
Ubisense;1381814886509;4.9465307302180985;4.566165759311696
Ubisense;1381814886869;4.9124072110022095;4.26
Ubisense;1381814887009;4.828624843406053;3.9013320470323385
Ubisense;1381814887150;4.8007155070035585;3.5719935147171573
Ubisense;1381814887680;4.722728722481807;3.21355655998165
Ubisense;1381814888274;4.4498260820464015;2.905088545842397
Ubisense;1381814888430;4.132195691016333;2.6876441256369867
Ubisense;1381814888586;3.7835864691620835;2.475271181008963
Ubisense;1381814888757;3.465064904777351;2.261759217817385
Ubisense;1381814889039;3.1222791471621405;2.048117744514615
Ubisense;1381814890000;1.3311022411783746;1.1840164484126918
Ubisense;1381814890563;1.6526968746039286;1.3931924208968869
Ubisense;1381814890646;2.812726620507075;1.9095404582303745
Ubisense;1381814891156;1.9762761590662068;1.6312291350556691
Ubisense;1381814891406;2.3279286638030534;1.8036353694021838
Ubisense;1381814891708;2.1602974386489877;1.6436303939856902
Ubisense;1381814892186;2.6477065312197356;1.9564747618812532
Ubisense;1381814892375;2.9700435248648795;2.1169138760175894
Ubisense;1381814892645;1.8455941702391216;1.450180400096446
Ubisense;1381814892780;3.2922208813300173;2.3140858700472546
Ubisense;1381814893560;3.615586011576976;2.498530996418944
Ubisense;1381814893811;3.9420466698811136;2.7862712601485726
Ubisense;1381814894575;4.263402161935427;3.0674122850654832
Ubisense;1381814894841;4.5633210131174575;3.387635056517232
Ubisense;1381814895107;4.749062146642373;3.7380694185649164
Ubisense;1381814897181;4.911681459731019;4.061245021390576
Ubisense;1381814897448;4.965702525793278;4.386685396718185
Ubisense;1381814898290;4.902390619670302;4.703147109715548
Ubisense;1381814898759;4.8266450759598785;5.029226651231072
Ubisense;1381814899211;4.514968074307663;5.30712972743822
Ubisense;1381814899430;4.177105427625156;5.408107984329526
Ubisense;1381814899790;3.8570841258796156;5.481771673377461
Ubisense;1381814899961;3.5446119751684697;5.541703041918883
Ubisense;1381814900000;3.9955155686067325;3.0062005266805114
Ubisense;1381814900148;3.2118927374574255;5.6192819674722525
Ubisense;1381814900336;2.8566527413591225;5.725056032795545
Ubisense;1381814900679;2.5387056414023883;5.81167213608703
Ubisense;1381814901000;2.884708284027125;2.1647629656821143
Ubisense;1381814901273;2.23;5.8080036592095965
Ubisense;1381814901785;2.005506871121254;1.4999072630989554
Ubisense;1381814902115;1.8929278588798575;5.7700000000000005
Ubisense;1381814902350;1.5751244718830215;5.811704726348677
Ubisense;1381815800000;2.002950390858849;2.900171480301322
Ubisense;1381815801000;1.0887534997978723;2.5587487619194507
Ubisense;1381815802000;0.6102279693419472;1.7064791161970683
Ubisense;1381815803000;0.8141160355767263;0.7425087492371163
Ubisense;1381815804000;1.6;0.1592412541368688
Ubisense;1381815805000;2.5700000000000003;0.22873270179512914
Ubisense;1381815806000;3.271798174832718;0.9204657221997451
Ubisense;1381815807000;3.3429317635543074;1.898469444878993
Ubisense;1381815808000;2.76;2.674838429602333
Ubisense;1381815808796;1.9986252963319397;2.901192959162973
Ubisense;1381819700000;2.995796400133121;1.0019055943526785
Ubisense;1381819701000;2.998215786830013;0.9997786218472422
Ubisense;1381819702000;3.0009169937627362;1.0065668660094709
Ubisense;1381821200000;1.326053328760679;1.1786774590413063
Ubisense;1381821200563;1.6552092854967813;1.3923024093642657
Ubisense;1381821201156;1.9728450691386135;1.6368601218114787
Ubisense;1381821201406;2.31962586875033;1.8000256617144765
Ubisense;1381821202186;2.650990804112344;1.953559639413892
Ubisense;1381821202375;2.9654960347727233;2.1159098146792235
Ubisense;1381821202780;3.285437027117816;2.3094930495313184
Ubisense;1381821203560;3.6100000000000003;2.503668346992833
Ubisense;1381821203811;3.940972596454819;2.786231238968794
Ubisense;1381821204575;4.268505625573673;3.0567485838107853
Ubisense;1381821204841;4.559052638297176;3.3892213812591976
Ubisense;1381821205107;4.752535422253207;3.733743180745131
Ubisense;1381821207181;4.911068241254293;4.068302734804803
Ubisense;1381821207448;4.9631891574332;4.3835832598049596
Ubisense;1381821208290;4.908285308727936;4.710130214777391
Ubisense;1381821208759;4.832353374588964;5.02900304816224
Ubisense;1381821209211;4.508623155630459;5.292445202184251
Ubisense;1381821209430;4.177132365366076;5.4181064260703735
Ubisense;1381821209790;3.868059639619676;5.498360385584691
Ubisense;1381821209961;3.55;5.5399957889209075
Ubisense;1381821210148;3.208514921020853;5.620273176203029
Ubisense;1381821210336;2.855978352631988;5.723116000360207
Ubisense;1381821210679;2.531520096352369;5.808470792249778
Ubisense;1381821212115;1.8834060300728799;5.778138901901663
Ubisense;1381821212350;1.5670483271585296;5.810712706843195
Storage;1381821230000;KITCHEN_SHELF;OPENED
Storage;1381821233000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381821235714;1.000565693643757;6.5039246298078615
Ubisense;1381821248000;1.0002663425245686;6.506255152949309
Ubisense;1381821248714;1.0038254410464913;5.504945815859533
Storage;1381821250000;KITCHEN_SHELF;OBJECT_PUT
Ubisense;1381821250000;1.004008438443749;5.51
