Bed;1381788000000;REM
Bed;1381788600000;N1
Bed;1381788900000;N2
Bed;1381789500000;N3
Bed;1381789800000;N4
Bed;1381792800000;REM
Bed;1381795800000;N3
Bed;1381798500000;N1
Bed;1381799100000;REM
Bed;1381801200000;N2
Bed;1381803000000;N4
Bed;1381804800000;N2
Bed;1381805400000;N1
Bed;1381808700000;N2
Bed;1381811400000;N1
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;WACH
Ubisense;1381813380000;9.75;5.439324848301181
Ubisense;1381813380989;9.474568341004614;5.486276351995019
Ubisense;1381813382371;9.223228728211199;5.8512673950466105
Ubisense;1381813383770;8.95722762438401;5.903037272415373
Ubisense;1381813388327;9.040413080771254;4.9759000725896945
Ubisense;1381813389143;8.444909046079834;4.587853627372087
Ubisense;1381813389946;8.469872459350446;4.6082474215252205
Ubisense;1381813390714;8.6841845891708;4.363150570787903
Ubisense;1381813391434;8.744367184517795;3.739274109902965
Ubisense;1381813392023;8.473892137190068;3.7855469272341327
Ubisense;1381813392533;8.474330878965498;3.395488860604184
Ubisense;1381813393319;8.685307648756721;2.9847452396165237
Ubisense;1381813394429;8.625992128492891;2.6570142403205876
Ubisense;1381813395037;8.850918249648085;2.2206540958884236
Ubisense;1381813395587;9.2685373737867;2.482230731617159
Ubisense;1381813396098;9.582579315830689;2.405974878764866
Ubisense;1381813396301;9.939502845720249;2.168484092467755
Ubisense;1381813396513;10.247799112629595;2.4926335071513677
Ubisense;1381813397719;10.798483544125524;2.704741534792225
Ubisense;1381813398292;11.19385223308306;2.6977285961946302
Ubisense;1381813403170;11.453490421689198;2.6609708757465103
Ubisense;1381813403711;11.086104560179962;2.7548864946406866
Ubisense;1381813404239;10.871184691921682;2.6018430284803933
Ubisense;1381813404342;10.631491315528626;2.7620860871791435
Ubisense;1381813404532;10.238620382519445;2.5113787420093803
Ubisense;1381813404872;9.967794449765918;2.450010601652182
Ubisense;1381813405332;9.394933250817019;2.733931719876911
Ubisense;1381813405453;9.314963773793188;2.613637498837044
Ubisense;1381813405616;8.758114722728756;2.6988380792796622
Ubisense;1381813405856;8.492357821785891;2.7516415865301247
Ubisense;1381813406446;8.550929891516779;2.8381361446945514
Ubisense;1381813407319;8.073976163720138;2.795881645480167
Ubisense;1381813410000;11.002183901882097;7.812122919059184
Ubisense;1381813470000;10.984226751968864;8.508172951651108
Water;1381813470000;BATH_TOILET_COLD;ON
Ubisense;1381813470928;9.691688526078003;8.489125152545155
Water;1381813485000;BATH_SINK_COLD;ON
Water;1381813500000;BATH_SINK_COLD;ON
Ubisense;1381813515000;9.01013178326847;8.007328654287727
Ubisense;1381813515798;7.990406776393803;8.50293679307533
Water;1381813525000;BATH_SHOWER_HOT;ON
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;ON
Water;1381813620000;BATH_SHOWER_HOT;OFF
Water;1381813695000;BATH_SHOWER_HOT;OFF
Ubisense;1381813705000;8.008354005574832;8.48973822898083
Ubisense;1381813705798;8.993771924798528;7.992827646978618
Ubisense;1381813735000;8.988467927901642;8.006744796617305
Ubisense;1381813760000;9.786459009252352;7.9855124988383155
Ubisense;1381813760008;9.420273579771601;7.681206063053338
Ubisense;1381813760352;9.075902441995703;7.563401024414995
Ubisense;1381813760573;8.734453399172027;7.37454915609744
Ubisense;1381813760964;8.438948815770695;7.235789135808698
Ubisense;1381813761956;8.13368100483629;7.173096205475062
Ubisense;1381813762455;7.822762719683396;7.102466261871279
Ubisense;1381813762982;7.524026587348247;7.108364561218974
Ubisense;1381813764297;7.20655117596607;7.086913330278815
Ubisense;1381813764492;6.9799999999999995;6.785458146435305
Ubisense;1381813764674;6.912849327386101;6.482285331015349
Ubisense;1381813764826;6.893900553749994;6.158144586515544
Ubisense;1381813765016;6.910243707642442;5.859665975880821
Ubisense;1381813765242;6.896581812389749;5.544219006142983
Ubisense;1381813765366;6.934675892184552;5.216807832941001
Ubisense;1381813765553;6.943134812897165;4.914314128565641
Ubisense;1381813765713;6.949729163787958;4.587570261256873
Ubisense;1381813765938;6.987537485453286;4.275430692996457
Ubisense;1381813766120;7.015168079485049;3.9646311947688866
Ubisense;1381813766417;7.044205790635934;3.649514592825732
Ubisense;1381813766653;7.0801775241206215;3.341500078426806
Ubisense;1381813766862;7.14261090198942;3.0155200100816875
Ubisense;1381813767307;7.20530125157176;2.7209619533140987
Ubisense;1381813767919;7.409661124017544;2.4181010223993686
Ubisense;1381813768334;7.699864980057606;2.216685193572407
Ubisense;1381813768960;8.030000000000001;1.9588193053795138
Ubisense;1381813800000;9.51041849132306;2.52
Ubisense;1381813800714;9.503176353020367;1.5092638540864878
Storage;1381813810000;SLEEPING_ROOM_WARDROBE;OPENED
Storage;1381813815000;SLEEPING_ROOM_WARDROBE;OBJECT_TAKEN
Ubisense;1381813825000;9.505606860830277;1.4992994980508263
Ubisense;1381813826000;10.894404827708675;1.5167851705871804
Ubisense;1381813826071;10.982784802104668;1.52
Ubisense;1381813930000;10.994710812761882;1.494286450815022
Ubisense;1381813931000;9.591670346057104;1.4948815105043454
Ubisense;1381813931071;9.504149290325493;1.5080156691877775
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813945000;9.50036286405708;1.4996383625914655
Ubisense;1381813945714;9.497147480372568;2.52
Ubisense;1381813965000;9.069854555694743;1.915963373821358
Ubisense;1381813965006;8.95067086100366;2.2260768514092355
Ubisense;1381813965259;8.63029605887901;2.3066213436745806
Ubisense;1381813965948;7.96971217772177;2.3610169560727696
Ubisense;1381813966038;7.674290098025146;2.438307958035812
Ubisense;1381813966159;7.336446839899363;2.5222374144942226
Ubisense;1381813966878;7.003027862223795;2.639449188596327
Ubisense;1381813967003;6.681727436351407;2.6799720703232013
Ubisense;1381813967324;6.243808163263676;2.8013626960140523
Ubisense;1381813967571;5.947176059994439;3.1323113245946708
Ubisense;1381813967695;5.670392934466405;3.493930973936687
Ubisense;1381813968249;5.4311441354172185;3.864994571051397
Ubisense;1381813968469;5.220880944548995;4.2
Ubisense;1381813968584;5.145641849760507;4.570423899860788
Ubisense;1381813969174;4.869961138524757;5.265603423513983
Ubisense;1381813969574;4.535848793002661;5.5468815984050215
Ubisense;1381813970005;3.828553083733887;5.426739645596167
Ubisense;1381813970584;3.4635390876048984;5.4659823776969585
Ubisense;1381813970858;3.1672014471656;5.50750070129966
Ubisense;1381813971055;2.834745925496143;5.5739419638625005
Ubisense;1381813971655;2.4899999999999998;5.613612961289257
Ubisense;1381813971940;2.1649905570447516;5.65647607349773
Ubisense;1381813972675;1.86;5.720456685044808
Ubisense;1381813990000;2.499858295312594;5.508960962010005
Ubisense;1381813991000;3.3446063558162695;6.614696283851542
Ubisense;1381813991171;3.4959188480619443;6.810806161000856
Storage;1381813995000;KITCHEN_FRIDGE;OPENED
Storage;1381814005000;KITCHEN_FRIDGE;CLOSED
Ubisense;1381814005000;3.5017372150266604;6.806767233692388
Ubisense;1381814006000;2.8686753196798804;8.04711293010189
Power;1381814020000;HERD;ON
Ubisense;1381814290000;2.8117217442358173;8.19497572340351
Ubisense;1381814291000;2.1900354718233577;6.955283659610408
Ubisense;1381814292000;1.584222807027926;5.673221111777731
Ubisense;1381814292140;1.4943158298299384;5.50545277677253
Storage;1381814310000;KITCHEN_SHELF;OPENED
Storage;1381814315000;KITCHEN_SHELF;OBJECT_TAKEN
Storage;1381814325000;KITCHEN_SHELF;CLOSED
Ubisense;1381814325000;1.5025355412023937;5.52
Ubisense;1381814326000;2.1278045480638603;6.760012606962157
Ubisense;1381814327000;2.706782532519737;8.025051811505325
Ubisense;1381814327140;2.791710196223772;8.202939204945936
Power;1381814350000;HERD;ON
Ubisense;1381814355000;1.513820089191754;5.727767588881914
Ubisense;1381814355000;2.799138077208138;8.186818006399339
Ubisense;1381814355282;1.82;5.668676708068053
Ubisense;1381814355453;2.1565881860683604;5.576298961273555
Ubisense;1381814355625;2.4932983209676096;5.494161514366384
Ubisense;1381814356000;2.1558161415589403;6.971405145491228
Ubisense;1381814356233;2.817892254390908;5.507857101043702
Ubisense;1381814356546;3.1350297483074034;5.428243609800809
Ubisense;1381814357000;1.5067191559860122;5.712114370512557
Ubisense;1381814357012;1.4974624461827069;5.689961065110393
Ubisense;1381814359355;3.772789389818423;5.252338071329513
Ubisense;1381814359605;4.099127063901106;5.303463303267077
Ubisense;1381814359839;4.448997573497357;5.2717307540460165
Ubisense;1381814360323;4.775542307608083;5.215794643372154
Ubisense;1381814360838;4.9337739026627645;4.87
Ubisense;1381814361509;4.932888006164557;4.554704181140215
Ubisense;1381814361869;4.913589462502323;4.2588901041451965
Ubisense;1381814362009;4.8213478767368825;3.911087857321652
Ubisense;1381814362150;4.794909533787775;3.5773146002419605
Ubisense;1381814362680;4.721045934468196;3.2336219248077223
Ubisense;1381814363274;4.456967239479181;2.8885861384919815
Ubisense;1381814363430;4.142931769686486;2.6970818528824303
Ubisense;1381814363586;3.779555651419289;2.4757319910284363
Ubisense;1381814363757;3.463105884673237;2.2689951458446815
Ubisense;1381814364039;3.1382338206652056;2.0468892073118763
Ubisense;1381814365646;2.8297327655794096;1.904910939922606
Ubisense;1381814366115;2.4858749286407433;1.7988180282178183
Ubisense;1381814366708;2.1467560080199544;1.651409847466784
Ubisense;1381814367645;1.8417009642462152;1.4620653825771088
Ubisense;1381814880000;1.5314685685477751;5.727628847799853
Ubisense;1381814880453;2.1718858089075255;5.554600079359968
Ubisense;1381814880625;2.4943409606077864;5.529999999999999
Ubisense;1381814881233;2.8126353740069083;5.491877955604083
Ubisense;1381814881546;3.1227262428638416;5.434463793753147
Ubisense;1381814883637;3.4556745212052795;5.300000000000001
Ubisense;1381814884355;3.7700850687995677;5.265406180427853
Ubisense;1381814884605;4.096900784307615;5.302998504299592
Ubisense;1381814884839;4.451035257498605;5.270289815543492
Ubisense;1381814885323;4.75;5.204994313650154
Ubisense;1381814885838;4.920000000000001;4.882662668354357
Ubisense;1381814886509;4.9451440372433355;4.550000000000001
Ubisense;1381814886869;4.890000000000001;4.27
Ubisense;1381814887150;4.79584195541109;3.5726580417728626
Ubisense;1381814887680;4.732785098149359;3.219383690113153
Ubisense;1381814888274;4.47;2.9070935828379825
Ubisense;1381814888430;4.123707168006695;2.6744627487762918
Ubisense;1381814888586;3.8;2.474613277470909
Ubisense;1381814889039;3.136080048519784;2.0411716123001984
Ubisense;1381814890000;1.341360836947426;1.1816598996890013
Ubisense;1381814890563;1.6359660231242747;1.3811973229444963
Ubisense;1381814890646;2.8161146338026812;1.923401584069982
Ubisense;1381814891115;2.485627907708389;1.7939078843413148
Ubisense;1381814891156;1.95;1.6529063654468703
Ubisense;1381814891406;2.306826963184835;1.7957048316056838
Ubisense;1381814891708;2.1718978150565893;1.6503252996671327
Ubisense;1381814892186;2.6553363416611826;1.9579881258686997
Ubisense;1381814892375;2.9676090825968893;2.102143585640262
Ubisense;1381814892645;1.8447040903205485;1.4645122000948407
Ubisense;1381814892780;3.296087772524086;2.3047572731414188
Ubisense;1381814893560;3.6355443460788766;2.4960428681920153
Ubisense;1381814893811;3.933849977040608;2.793912803330867
Ubisense;1381814894575;4.249351567900878;3.064796735204655
Ubisense;1381814894841;4.565975066988633;3.3827393734825777
Ubisense;1381814895107;4.746076338843755;3.7486403873621876
Ubisense;1381814897181;4.9255806440618715;4.060753733906107
Ubisense;1381814897448;4.969174163190688;4.3946572889241535
Ubisense;1381814898290;4.917505593029461;4.701770358570803
Ubisense;1381814898759;4.826563313225325;5.028574769780495
Ubisense;1381814899211;4.5029686440894405;5.303349281394898
Ubisense;1381814899430;4.178986625207772;5.4110250724654305
Ubisense;1381814899790;3.85472983972998;5.4880619104427995
Ubisense;1381814899961;3.541717809295954;5.538870268410451
Ubisense;1381814900000;4.014881625144097;3.0015192139931908
Ubisense;1381814900148;3.216240035133424;5.6182873400847155
Ubisense;1381814900336;2.8589860354533534;5.739013193084991
Ubisense;1381814901000;2.8691224760085037;2.166748062951724
Ubisense;1381814901273;2.2343011334206233;5.812191152156506
Ubisense;1381814901785;2.0115278800678165;1.4857508874148397
Ubisense;1381814902115;1.8989738385618231;5.770619360431692
Ubisense;1381814902350;1.575770188272858;5.813390045924825
Ubisense;1381815800000;1.98;2.8973775955726424
Ubisense;1381815801000;1.080885721320782;2.560000805539152
Ubisense;1381815802000;0.6104618202956424;1.7010365457715209
Ubisense;1381815803000;0.8033353059340518;0.7288213183424188
Ubisense;1381815804000;1.613903299152251;0.14631691293812252
Ubisense;1381815805000;2.5917954266655276;0.24177455981242257
Ubisense;1381815806000;3.279040427331898;0.9081678795893015
Ubisense;1381815807000;3.3400144181200315;1.8896432402438132
Ubisense;1381815808000;2.741344510173712;2.693571901073971
Ubisense;1381819700000;2.9841521647661176;0.9997117044072212
Ubisense;1381819701000;2.9777609481740983;0.9964978223244682
Ubisense;1381819702000;2.9898716742977776;1.0006100441542878
Ubisense;1381819703000;2.979818326345662;0.9884379364706816
Ubisense;1381819704000;2.968886126906481;0.9834437969804412
Ubisense;1381821200563;1.6587758890860376;1.4007150865136095
Ubisense;1381821201156;1.95;1.6199999999999999
Ubisense;1381821201406;2.3;1.7923347852848008
Ubisense;1381821202186;2.6613764977374657;1.9561770794918598
Ubisense;1381821202375;2.9649783572443025;2.1234878204203445
Ubisense;1381821202780;3.289015184167092;2.3127995197808864
Ubisense;1381821203560;3.6180445864578576;2.5014126428613968
Ubisense;1381821203811;3.9299042661094896;2.798213637670516
Ubisense;1381821204575;4.25624532725289;3.04
Ubisense;1381821204841;4.548369526037314;3.3896566285171095
Ubisense;1381821205107;4.766137513583619;3.748373285382134
Ubisense;1381821207181;4.909296232750312;4.0670898380593945
Ubisense;1381821207448;4.9755116478625805;4.374412840783568
Ubisense;1381821208290;4.910140063693489;4.711417985067215
Ubisense;1381821208759;4.812404828985057;5.018828914451137
Ubisense;1381821209211;4.500327806799765;5.28
Ubisense;1381821209430;4.189239744170563;5.418532104836094
Ubisense;1381821209790;3.851076837547313;5.494326094704211
Ubisense;1381821209961;3.532836538050201;5.539838939753029
Ubisense;1381821210148;3.20503429846885;5.614756052438735
Ubisense;1381821210336;2.8750101861016404;5.725518330952032
Ubisense;1381821210679;2.5417635685931157;5.806543795315872
Ubisense;1381821211273;2.2268983331436902;5.808972436960208
Ubisense;1381821212115;1.8974296681280476;5.762359597866259
Ubisense;1381821212350;1.5669641177833247;5.825553318275859
Storage;1381821230000;KITCHEN_SHELF;OPENED
Storage;1381821233000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381821235000;0.9918124905828739;5.5024703439154115
Ubisense;1381821235714;0.9970682239437936;6.487931491702001
Ubisense;1381821248000;0.9897067123767301;6.486344474768449
Ubisense;1381821248714;0.9975018139833879;5.514838461767065
Storage;1381821250000;KITCHEN_SHELF;OBJECT_PUT
Ubisense;1381821250000;1.0018266321934557;5.499428293345825
Ubisense;1381821251000;0.9957981353635802;6.8880753705374
Ubisense;1381821251428;1.0093013161991844;7.482482888487478
Water;1381821255000;KITCHEN_SINK_COLD;ON
Water;1381821263000;KITCHEN_SINK_COLD;OFF
