Bed;1381788000000;REM
Bed;1381788600000;N3
Bed;1381788900000;N2
Bed;1381789500000;N4
Bed;1381789800000;WACH
Bed;1381792800000;REM
Bed;1381794600000;N2
Bed;1381795800000;N3
Bed;1381796700000;N4
Bed;1381798500000;N1
Bed;1381799100000;REM
Bed;1381801200000;N2
Bed;1381801800000;N4
Bed;1381803000000;N3
Bed;1381804800000;N2
Bed;1381805400000;N1
Bed;1381808700000;N2
Bed;1381811400000;N1
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;WACH
Ubisense;1381813380000;9.774047779004668;5.4395543845367715
Ubisense;1381813380989;9.487001321166206;5.460000000000001
Ubisense;1381813382371;9.225448223597004;5.867737126775763
Ubisense;1381813383770;8.964186383061296;5.92410365498478
Ubisense;1381813386613;8.705782915532152;5.497893918069842
Ubisense;1381813388327;9.038404450647395;4.985112897549395
Ubisense;1381813389143;8.443874107498905;4.583777995035316
Ubisense;1381813389946;8.482063184936761;4.619232576312453
Ubisense;1381813390714;8.692932606599575;4.3810616949275225
Ubisense;1381813392023;8.454974050241033;3.7747144905064394
Ubisense;1381813392533;8.497866383081817;3.401138461231384
Ubisense;1381813393319;8.67188566084;2.991841597340765
Ubisense;1381813394429;8.628330944884926;2.6555492494279322
Ubisense;1381813395037;8.852971547314024;2.214430134928155
Ubisense;1381813395587;9.26026452346889;2.4841958916570235
Ubisense;1381813396098;9.602470418161866;2.4276763912185366
Ubisense;1381813396301;9.940746422030594;2.186131654450525
Ubisense;1381813397248;10.709202176849454;2.729044406809766
Ubisense;1381813397719;10.793906260222435;2.71848961134331
Ubisense;1381813398292;11.207017019699348;2.67
Ubisense;1381813403170;11.44527760009414;2.6487105009452283
Ubisense;1381813404239;10.879157231589472;2.613764961756284
Ubisense;1381813404342;10.63048183544798;2.766491839690883
Ubisense;1381813404532;10.2532682831485;2.5063990093427626
Ubisense;1381813404872;9.959851933415328;2.463130011447651
Ubisense;1381813405332;9.418747419750593;2.737191430872118
Ubisense;1381813405453;9.319940581504094;2.5980557689148003
Ubisense;1381813405616;8.766764372805168;2.707951251217619
Ubisense;1381813405856;8.475786971697488;2.750675476180846
Ubisense;1381813406446;8.550838806784041;2.82
Ubisense;1381813407319;8.066940300827719;2.776893587697745
Ubisense;1381813410000;11.002104424455291;7.813721936884334
Ubisense;1381813410500;10.996620346966374;8.495924695596383
Ubisense;1381813470000;10.987557522585156;8.488983915218363
Water;1381813470000;BATH_TOILET_COLD;ON
Ubisense;1381813470928;9.702836580153678;8.49656340861095
Water;1381813485000;BATH_SINK_COLD;ON
Water;1381813500000;BATH_SINK_COLD;OFF
Ubisense;1381813515000;8.992774169400452;8.007097740570947
Ubisense;1381813515798;7.996476832863268;8.495570653565352
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;OFF
Water;1381813620000;BATH_SHOWER_HOT;OFF
Water;1381813695000;BATH_SHOWER_HOT;OFF
Ubisense;1381813705000;7.992463933584746;8.504389602443519
Ubisense;1381813735000;9.00575192176009;8.000242454711818
Ubisense;1381813735614;9.704412627695476;8.52
Ubisense;1381813760000;9.769600365362635;7.976888381543293
Ubisense;1381813760008;9.425969602613579;7.666494396179295
Ubisense;1381813760352;9.077125978252216;7.572081389408266
Ubisense;1381813760573;8.769557918013135;7.372397125966936
Ubisense;1381813760964;8.451736960478184;7.225725835199507
Ubisense;1381813761956;8.15;7.182604067754518
Ubisense;1381813762455;7.822632999282437;7.091625177779396
Ubisense;1381813762982;7.50701350025603;7.0973763289584815
Ubisense;1381813764297;7.221493415249383;7.085582948468506
Ubisense;1381813764492;6.950509293360519;6.764219004935107
Ubisense;1381813764674;6.924430246532073;6.469044235003983
Ubisense;1381813764826;6.882779022144591;6.163241001473693
Ubisense;1381813765016;6.904420758740604;5.840000000000001
Ubisense;1381813765242;6.908051992375947;5.550700444198458
Ubisense;1381813765366;6.928391808975522;5.210854445442053
Ubisense;1381813765553;6.938596989565178;4.903789438421512
Ubisense;1381813765938;6.992249815615413;4.283209721314831
Ubisense;1381813766120;7.0098214900786475;3.934196458190491
Ubisense;1381813766417;7.045663252820731;3.644320878782133
Ubisense;1381813766653;7.084864262870093;3.344251708663591
Ubisense;1381813766862;7.11;3.0243803145371677
Ubisense;1381813767307;7.202695355508272;2.7182612413151324
Ubisense;1381813767919;7.425213769344458;2.4241113566017916
Ubisense;1381813768334;7.713202974244103;2.214365908295027
Ubisense;1381813768960;8.040190971018903;1.9630891312665428
Ubisense;1381813800714;9.505784987612548;1.5040604711733507
Storage;1381813810000;SLEEPING_ROOM_WARDROBE;OBJECT_PUT
Ubisense;1381813825000;9.489728012980269;1.5052316548700095
Ubisense;1381813826000;10.905356442681525;1.5070342404739774
Ubisense;1381813826071;11.003549690027022;1.4956745390278448
Ubisense;1381813930000;10.994433439772335;1.486334185638921
Ubisense;1381813931000;9.590902120058582;1.4927336807680232
Ubisense;1381813931071;9.48;1.500589194205642
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813945000;9.507672514885394;1.5084404548935644
Ubisense;1381813945714;9.49828717872933;2.508756523763246
Ubisense;1381813965000;9.044229665603417;1.905205490801026
Ubisense;1381813965006;8.95878776907806;2.220984573527896
Ubisense;1381813965259;8.627933851161703;2.32002437782028
Ubisense;1381813965815;8.30191005424499;2.3662519367958446
Ubisense;1381813965948;7.971304785302035;2.3555083756497357
Ubisense;1381813966038;7.654359523027719;2.410344856522327
Ubisense;1381813966159;7.32173823805509;2.5363942572319798
Ubisense;1381813966878;6.992275696282397;2.65
Ubisense;1381813967003;6.693180528216838;2.680703324825304
Ubisense;1381813967324;6.258946460032428;2.825273253448861
Ubisense;1381813967571;5.941336118290766;3.145208891084773
Ubisense;1381813967695;5.653095422348682;3.494280459029953
Ubisense;1381813968249;5.41933080189132;3.8860698656474493
Ubisense;1381813968469;5.22846920813421;4.224942112532288
Ubisense;1381813968584;5.148041671974094;4.584379046263391
Ubisense;1381813968708;4.987201837311051;4.953501984158144
Ubisense;1381813969174;4.85793066104368;5.278486652044407
Ubisense;1381813969574;4.525084594539274;5.535782905686821
Ubisense;1381813969854;4.181244191621501;5.416164090319468
Ubisense;1381813970005;3.8272548366738466;5.4384904985616425
Ubisense;1381813970584;3.4771051314600148;5.447639982513977
Ubisense;1381813970858;3.1640871074807673;5.512746090498754
Ubisense;1381813971055;2.8470077774153952;5.568978346928576
Ubisense;1381813971655;2.509910180654274;5.616875153864495
Ubisense;1381813971940;2.162037354920296;5.678809024015191
Ubisense;1381813972675;1.8356326426640324;5.72504342021632
Ubisense;1381813990000;2.507636159996592;5.509041098834651
Ubisense;1381813991000;3.3396227935086107;6.621709233816677
Ubisense;1381813991171;3.499605268591141;6.810600401653073
Storage;1381813995000;KITCHEN_FRIDGE;OPENED
Storage;1381814000000;KITCHEN_FRIDGE;OBJECT_TAKEN
Ubisense;1381814005000;3.5053069535146;6.803297273940496
Storage;1381814005000;KITCHEN_FRIDGE;CLOSED
Ubisense;1381814006000;2.883679030917139;8.038245960184078
Ubisense;1381814006118;2.816100456887627;8.187170904544466
Power;1381814020000;HERD;ON
Ubisense;1381814290000;2.7945052350770494;8.206195903837084
Ubisense;1381814291000;2.1779482268921444;6.942801638421127
Ubisense;1381814292000;1.5761317624596969;5.675490374217385
Ubisense;1381814292140;1.490537420284963;5.5094996914626915
Storage;1381814310000;KITCHEN_SHELF;OPENED
Storage;1381814315000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381814325000;1.495851137258901;5.507451803189482
Storage;1381814325000;KITCHEN_SHELF;CLOSED
Ubisense;1381814326000;2.1024507529208107;6.749733274450546
Ubisense;1381814327000;2.7139580094097107;8.010615495232425
Ubisense;1381814327140;2.819539606951998;8.19473319049411
Power;1381814350000;HERD;OFF
Ubisense;1381814355000;1.5116955261635268;5.740337463425853
Ubisense;1381814355000;2.7950234095692283;8.199892295099064
Ubisense;1381814355282;1.8476443597824737;5.666972846821261
Ubisense;1381814355453;2.1634434090224683;5.555779853121325
Ubisense;1381814355625;2.485333734676397;5.513262240149265
Ubisense;1381814356000;2.1518370905224264;6.963989920141063
Ubisense;1381814356233;2.7984290029495194;5.49207631907693
Ubisense;1381814356546;3.135146024792739;5.430903270075943
Ubisense;1381814357000;1.525168299524116;5.739999999999999
Ubisense;1381814357012;1.5032820327097567;5.705289496360321
Ubisense;1381814358637;3.4701492159692173;5.317136915405133
Ubisense;1381814359355;3.7900163781950824;5.2726023552610854
Ubisense;1381814359605;4.101087655612817;5.318925266467454
Ubisense;1381814359839;4.44643033046419;5.2628214155744235
Ubisense;1381814360323;4.759780176537333;5.2213977623371495
Ubisense;1381814361509;4.954504071455595;4.57767571010648
Ubisense;1381814361869;4.909515799458401;4.256076105679565
Ubisense;1381814362009;4.827976651110915;3.9016259460416713
Ubisense;1381814362150;4.7977680983272695;3.5894665015292917
Ubisense;1381814362680;4.7169224941503956;3.2230110637792375
Ubisense;1381814363274;4.430000000000001;2.8984292221232244
Ubisense;1381814363586;3.7854034399450986;2.460852961075748
Ubisense;1381814363757;3.4629126913576447;2.258213028505522
Ubisense;1381814364039;3.1186391741098736;2.039201663804021
Ubisense;1381814365646;2.7998414153205555;1.894005768175974
Ubisense;1381814366115;2.505730684119413;1.798260604178814
Ubisense;1381814366708;2.16308587697876;1.6377590643632642
Ubisense;1381814367645;1.8252050085629632;1.453626762079285
Ubisense;1381814880282;1.8337959016130927;5.661281587397369
Ubisense;1381814880453;2.142017001193527;5.584244569934482
Ubisense;1381814880625;2.488499666713043;5.520680363576027
Ubisense;1381814881233;2.809550256746379;5.491295716412143
Ubisense;1381814881546;3.120329074668801;5.4405295166655465
Ubisense;1381814883637;3.4699899784014616;5.326044753050859
Ubisense;1381814884605;4.096256073323144;5.308246675860722
Ubisense;1381814884839;4.450814297439278;5.25
Ubisense;1381814885323;4.76950398337092;5.225374988372913
Ubisense;1381814885838;4.9452306972416435;4.8877206610911195
Ubisense;1381814886509;4.9450263448509;4.571435055199891
Ubisense;1381814887009;4.82760095764678;3.9120032031201273
Ubisense;1381814887150;4.78586611232401;3.564205625550522
Ubisense;1381814887680;4.72330944447584;3.2373771617197367
Ubisense;1381814888274;4.453710166830336;2.892288683436703
Ubisense;1381814888430;4.127970333389016;2.71
Ubisense;1381814888586;3.7885669593201228;2.4672064430299367
Ubisense;1381814888757;3.4561657536850174;2.243760972575719
Ubisense;1381814889039;3.1322121269156096;2.0533451982311606
Ubisense;1381814890000;1.3241564572030273;1.1796270839704492
Ubisense;1381814890563;1.657258411013632;1.3891287240023036
Ubisense;1381814890646;2.79990002832087;1.9257670641157276
Ubisense;1381814891115;2.5039831000837456;1.8053501560528082
Ubisense;1381814891156;1.975507541146444;1.639903252950991
Ubisense;1381814891406;2.3230993093885193;1.8137459117717507
Ubisense;1381814891708;2.147497353687286;1.6484241739956842
Ubisense;1381814892186;2.6434696579598156;1.94
Ubisense;1381814892375;2.9768500055041773;2.106658010376999
Ubisense;1381814892645;1.8535372189024564;1.4508492801712078
Ubisense;1381814892780;3.291002397239015;2.29
Ubisense;1381814893560;3.611269813055342;2.509459572935349
Ubisense;1381814893811;3.9341455172488393;2.7899138827061085
Ubisense;1381814894575;4.253461343429881;3.07227898048065
Ubisense;1381814894841;4.557918752226831;3.384552729655456
Ubisense;1381814895107;4.751080908243406;3.7286927759501896
Ubisense;1381814897448;4.960656549947948;4.38045833350687
Ubisense;1381814898290;4.911533668326967;4.705313263887626
Ubisense;1381814898759;4.823160984779671;5.0266108426313885
Ubisense;1381814899211;4.512994709870138;5.296973848283233
Ubisense;1381814899430;4.172192513660822;5.404602352446994
Ubisense;1381814899790;3.8645571417447417;5.478223259653399
Ubisense;1381814899961;3.538275652049811;5.526663398997839
Ubisense;1381814900000;4.01453952518061;3.005360596681994
Ubisense;1381814900148;3.1941308077323827;5.601988555956183
Ubisense;1381814900336;2.860167862159654;5.734233909835727
Ubisense;1381814900679;2.5523841387213637;5.82872143001543
Ubisense;1381814901000;2.8727565771421686;2.1645409913348
Ubisense;1381814901273;2.2298312768039845;5.79905920637292
Ubisense;1381814901785;1.98;1.5025526018782003
Ubisense;1381814902115;1.894344515314092;5.764380959604628
Ubisense;1381814902350;1.560081725471826;5.818186721496466
Ubisense;1381815800000;1.9967306000820961;2.88
Ubisense;1381815801000;1.0741991202413441;2.578580282957782
Ubisense;1381815802000;0.6141460771246718;1.7016586953248118
Ubisense;1381815803000;0.8367063218092414;0.7490643236581583
Ubisense;1381815804000;1.603052929017186;0.14
Ubisense;1381815805000;2.5735759135389964;0.23740754067986247
Ubisense;1381815806000;3.2831652102526556;0.9217757163727252
Ubisense;1381815807000;3.3463534270529527;1.901550376156625
Ubisense;1381815808000;2.7535512189676594;2.6713086715314613
Ubisense;1381815808796;1.9973077009564957;2.90610916538193
Ubisense;1381819700000;2.9823144254126284;1.0076981607001405
Ubisense;1381819701000;3.003436822748769;1.0024462722301286
Ubisense;1381819702000;3.014855068393151;1.0059825759392944
Ubisense;1381819703000;3.001476004085888;1.0197007253466521
Ubisense;1381819704000;3.004833067254513;1.0120155425402222
Ubisense;1381821200000;1.3332387178371352;1.1939733795796537
Ubisense;1381821200563;1.6466874907969544;1.3893978723318918
Ubisense;1381821201156;1.9754968414245309;1.6354658772101085
Ubisense;1381821201406;2.300473480266528;1.813163949293439
Ubisense;1381821202375;2.9698788738791624;2.108192153402334
Ubisense;1381821202780;3.271632434837221;2.3216099460220945
Ubisense;1381821203560;3.6073989329692657;2.5130660154520967
Ubisense;1381821203811;3.94186411949334;2.78448272476898
Ubisense;1381821204575;4.255574299518056;3.0511867968566997
Ubisense;1381821205107;4.7454215757902265;3.7396329271412942
Ubisense;1381821207448;4.964840362968261;4.375924194652999
Ubisense;1381821208290;4.891954310267684;4.720592572288437
Ubisense;1381821208759;4.817733074675146;5.0432827599029135
Ubisense;1381821209211;4.521775663382718;5.301171133584323
Ubisense;1381821209430;4.1879973430664466;5.426552966640911
Ubisense;1381821209790;3.8692754406520145;5.470719537852604
Ubisense;1381821209961;3.550483166963643;5.543520674078037
Ubisense;1381821210148;3.213707750051179;5.620527263590402
Ubisense;1381821210336;2.8509504948159523;5.7111513479362
Ubisense;1381821211273;2.21903825005184;5.8133145290246215
Ubisense;1381821212115;1.8780184676274345;5.792100916786892
Ubisense;1381821212350;1.5677174352284866;5.808800035664619
Storage;1381821230000;KITCHEN_SHELF;OPENED
Ubisense;1381821235000;0.9955721131538618;5.511680043130889
Ubisense;1381821235714;1.016495628925701;6.498647391485479
Ubisense;1381821248000;0.9919066536387605;6.4845726872899005
Ubisense;1381821248714;0.9815616639657159;5.495235355877264
Storage;1381821250000;KITCHEN_SHELF;OBJECT_PUT
Ubisense;1381821251000;1.0008640003252374;6.9020338988512835
Ubisense;1381821251428;1.014085547754957;7.501040220182224
Water;1381821255000;KITCHEN_SINK_COLD;ON
Water;1381821263000;KITCHEN_SINK_COLD;OFF
Ubisense;1381821263000;0.986970743448438;7.516282918614211
Ubisense;1381821263714;0.9930980648973396;6.498940746131821
Ubisense;1381821270000;1.0018432803402195;6.491730489266103
