Bed;1381788000000;REM
Bed;1381788600000;N1
Bed;1381789500000;N3
Bed;1381789800000;N4
Bed;1381792800000;REM
Bed;1381794600000;N2
Bed;1381796700000;N4
Bed;1381798500000;N1
Bed;1381799100000;REM
Bed;1381801200000;N2
Bed;1381804800000;N2
Bed;1381805400000;N1
Bed;1381808700000;N2
Bed;1381811400000;N1
Bed;1381813200000;WACH
Ubisense;1381813380000;9.78015106652227;5.430506619116958
Ubisense;1381813380989;9.46;5.491959486099314
Ubisense;1381813382371;9.21653329762324;5.842162835828135
Ubisense;1381813383770;8.962463791075004;5.894100574650223
Ubisense;1381813386613;8.692044867747342;5.488937452805039
Ubisense;1381813388327;9.034527680628113;4.986016240627778
Ubisense;1381813389946;8.47961280393874;4.6192120966924906
Ubisense;1381813390714;8.674376532687196;4.358865298850844
Ubisense;1381813391434;8.746004056504912;3.756787858510153
Ubisense;1381813392023;8.469316065517404;3.76
Ubisense;1381813392533;8.487675466342726;3.4073705837988313
Ubisense;1381813393319;8.685978552877758;2.988082599304024
Ubisense;1381813394429;8.604270553763357;2.653952999063746
Ubisense;1381813395037;8.837316157725777;2.2074627353192433
Ubisense;1381813395587;9.27683475693422;2.4688738668288863
Ubisense;1381813396098;9.61416322771774;2.4386652112911884
Ubisense;1381813396301;9.94381946989097;2.169113772095263
Ubisense;1381813396513;10.269652850302696;2.5055511109575384
Ubisense;1381813397248;10.739217814428834;2.7165754617943167
Ubisense;1381813397719;10.780164846932713;2.6905856399787123
Ubisense;1381813398292;11.197847852396995;2.683911846007345
Ubisense;1381813403711;11.093526816125346;2.757241261451236
Ubisense;1381813404239;10.877927456757451;2.602654262518921
Ubisense;1381813404342;10.621231342622158;2.7728183150194257
Ubisense;1381813404532;10.24147776729821;2.481735247528833
Ubisense;1381813404872;9.954938220134425;2.4616593893478567
Ubisense;1381813405332;9.406468739695912;2.753906138666761
Ubisense;1381813405453;9.322232555047306;2.6228533294528455
Ubisense;1381813405616;8.737481400086638;2.715960838980001
Ubisense;1381813405856;8.469203129764136;2.748396486813673
Ubisense;1381813406446;8.562412307202832;2.82735277758587
Ubisense;1381813410000;11.01167734268542;7.803700034185302
Ubisense;1381813410500;11.018077613937098;8.498053199509368
Ubisense;1381813470000;11.001272188156817;8.48673066331574
Ubisense;1381813470928;9.68428700908402;8.503544565221722
Water;1381813485000;BATH_SINK_COLD;ON
Water;1381813500000;BATH_SINK_COLD;OFF
Ubisense;1381813515000;9.02;7.993237232625758
Ubisense;1381813515798;8.008169718810397;8.493335385059867
Water;1381813525000;BATH_SHOWER_HOT;ON
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;ON
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;OFF
Ubisense;1381813705000;7.995499157564244;8.506643309452322
Ubisense;1381813705798;9.009253815160431;8.00827801733081
Ubisense;1381813735000;9.007200739398192;8.000717405084002
Ubisense;1381813735614;9.686776593348839;8.508459613494717
Ubisense;1381813760000;9.789863927063937;7.991191821443396
Ubisense;1381813760008;9.418834387319734;7.665577959776741
Ubisense;1381813760352;9.083286129065927;7.573129627684105
Ubisense;1381813760573;8.744120518880539;7.3613607146665005
Ubisense;1381813760964;8.433429088969794;7.243123303755582
Ubisense;1381813761956;8.118630352449316;7.155998555160442
Ubisense;1381813762455;7.841369494637364;7.091129617988592
Ubisense;1381813762982;7.5353148688884435;7.075015000248973
Ubisense;1381813764492;6.9624553288920685;6.784624303777748
Ubisense;1381813764674;6.9301200105469105;6.4559082869396205
Ubisense;1381813764826;6.898203495877667;6.17390203314855
Ubisense;1381813765016;6.901217802679858;5.85471958191706
Ubisense;1381813765242;6.92;5.549960060006906
Ubisense;1381813765366;6.941343845737831;5.215686418310213
Ubisense;1381813765553;6.914065187820458;4.908473802932544
Ubisense;1381813765713;6.949621610206833;4.593876733495941
Ubisense;1381813765938;7.000235808321362;4.28888413872867
Ubisense;1381813766120;7.017063175324541;3.9425731643369697
Ubisense;1381813766653;7.076470768491108;3.3410105761169704
Ubisense;1381813766862;7.130431930198855;3.0361141706654533
Ubisense;1381813767307;7.207091383359619;2.724107276204386
Ubisense;1381813768334;7.708669687661665;2.2244630551887283
Ubisense;1381813768960;8.04320975118188;1.9886316788881722
Ubisense;1381813800000;9.501774553756889;2.496378299151439
Ubisense;1381813800714;9.490893880013562;1.508328074174508
Storage;1381813810000;SLEEPING_ROOM_WARDROBE;OPENED
Storage;1381813815000;SLEEPING_ROOM_WARDROBE;OBJECT_TAKEN
Ubisense;1381813825000;9.507073235042885;1.4887811924174261
Ubisense;1381813826000;10.882972857096295;1.499448248235356
Ubisense;1381813826071;10.984518524514028;1.5000381199147668
Ubisense;1381813930000;10.993908799640561;1.5093996149858333
Ubisense;1381813931000;9.59821869602116;1.5115991152135289
Ubisense;1381813931071;9.501476949650309;1.4920934643780608
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813945000;9.512341396222705;1.518217688654486
Ubisense;1381813945714;9.508952676984402;2.5045176328713894
Ubisense;1381813965000;9.059955658063208;1.9032534130733025
Ubisense;1381813965006;8.95014432885272;2.2208636639716937
Ubisense;1381813965259;8.601863791511107;2.3090543533797567
Ubisense;1381813965815;8.304792112141635;2.373049788232289
Ubisense;1381813965948;7.995070307213783;2.34
Ubisense;1381813966038;7.670803555465523;2.44
Ubisense;1381813966159;7.320997179297214;2.5304816417599287
Ubisense;1381813966878;7.0052885615384515;2.62199404112668
Ubisense;1381813967003;6.679603714011284;2.677980817783287
Ubisense;1381813967324;6.251890344262212;2.8258249089650795
Ubisense;1381813967571;5.937561585302777;3.140575685910969
Ubisense;1381813967695;5.652255745186641;3.482797439693818
Ubisense;1381813968249;5.434852956903701;3.8768928374521163
Ubisense;1381813968469;5.224046582494553;4.237844795875539
Ubisense;1381813968584;5.153696972144368;4.574440787027699
Ubisense;1381813968708;4.9899970412349886;4.932388984783951
Ubisense;1381813969174;4.865359134774274;5.271427066504137
Ubisense;1381813969854;4.16;5.408284337616825
Ubisense;1381813970005;3.8341568453359693;5.4295994861369286
Ubisense;1381813970584;3.499096050789607;5.4687668100042846
Ubisense;1381813971655;2.5247317494200376;5.6101681438557645
Ubisense;1381813972675;1.82;5.7323375956546805
Ubisense;1381813990000;2.495629712421577;5.502679661058835
Ubisense;1381813991000;3.3461989902123004;6.626214004282788
Ubisense;1381813991171;3.493018231124105;6.801457432178995
Storage;1381813995000;KITCHEN_FRIDGE;OPENED
Storage;1381814000000;KITCHEN_FRIDGE;OBJECT_TAKEN
Storage;1381814005000;KITCHEN_FRIDGE;CLOSED
Ubisense;1381814005000;3.50283743819861;6.794720754990439
Ubisense;1381814006000;2.87473877624841;8.057803510324604
Ubisense;1381814006118;2.801910296326005;8.19686848666672
Power;1381814020000;HERD;ON
Ubisense;1381814290000;2.7904522191690035;8.195684880530402
Ubisense;1381814291000;2.1961606281654245;6.944434747746458
