Bed;1381788000000;REM
Bed;1381788600000;N1
Bed;1381789500000;N3
Bed;1381789800000;N4
Bed;1381792800000;REM
Bed;1381794600000;N2
Bed;1381795800000;N1
Bed;1381796700000;N4
Bed;1381798500000;N1
Bed;1381799100000;REM
Bed;1381801200000;N2
Bed;1381801800000;N4
Bed;1381803000000;NREM
Bed;1381804800000;N2
Bed;1381805400000;N1
Bed;1381808700000;N2
Bed;1381811400000;N1
Alarm;1381813200000;alarm;wecker
Ubisense;1381813380000;9.771129999861566;5.428374086109685
Ubisense;1381813380989;9.474956597153515;5.472926254270039
Ubisense;1381813382371;9.218735450946758;5.847155755869871
Ubisense;1381813383770;8.968988511485925;5.904818753849772
Ubisense;1381813386613;8.700781365231952;5.509336748364941
Ubisense;1381813388327;9.040466881493073;5.0013161353368885
Ubisense;1381813389143;8.4425129420451;4.589136702296143
Ubisense;1381813389946;8.490607641164708;4.604441827819246
Ubisense;1381813391434;8.741252546843924;3.7431645373987936
Ubisense;1381813392023;8.469742056404597;3.7920436183677246
Ubisense;1381813392533;8.48753215322255;3.407483000820927
Ubisense;1381813393319;8.7;2.96
Ubisense;1381813394429;8.61872420942938;2.636345857714664
Ubisense;1381813395037;8.846745086904717;2.2227894962051686
Ubisense;1381813395587;9.25930042438459;2.466911987564107
Ubisense;1381813396098;9.600934029225499;2.4245523135661906
Ubisense;1381813396301;9.92451219939917;2.2
Ubisense;1381813396513;10.26953257960015;2.4812815781600435
Ubisense;1381813397248;10.713714722602003;2.7251445477256016
Ubisense;1381813397719;10.782200772743503;2.6977349248904385
Ubisense;1381813398292;11.204900267286924;2.687763740540124
Ubisense;1381813403170;11.43629649516706;2.66403754497696
Ubisense;1381813403711;11.08110419375323;2.7572673745606258
Ubisense;1381813404239;10.860000000000001;2.5928756778682933
Ubisense;1381813404342;10.623174017601498;2.777953405604097
Ubisense;1381813404532;10.26350498044155;2.5061113810512565
Ubisense;1381813404872;9.95438151999569;2.4631363138638998
Ubisense;1381813405332;9.418401255664895;2.7507580080492797
Ubisense;1381813405453;9.302576192598217;2.6199724859587894
Ubisense;1381813406446;8.571692421570082;2.847091201309308
Ubisense;1381813407319;8.059219295452543;2.778651526833023
Ubisense;1381813410000;10.98;7.803679315431875
Ubisense;1381813410500;10.986366765287386;8.500021936462215
