Bed;1381788600000;N1
Bed;1381788900000;N2
Bed;1381789500000;N3
Bed;1381792800000;REM
Bed;1381794600000;N2
Bed;1381795800000;N3
Bed;1381796700000;N4
Bed;1381798500000;N1
Bed;1381799100000;REM
Bed;1381801200000;N2
Bed;1381801800000;N4
Bed;1381804800000;N2
Bed;1381805400000;N1
Bed;1381808700000;N2
Bed;1381811400000;WACH
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;WACH
Ubisense;1381813380989;9.477367454517651;5.4731008406057455
Ubisense;1381813382371;9.211680418204416;5.851789182635422
Ubisense;1381813383770;8.953227809418234;5.894585448912334
Ubisense;1381813386613;8.688526269933824;5.509947927625519
Ubisense;1381813388327;9.027756573989626;4.989517784712647
Ubisense;1381813389143;8.437791566830127;4.5840957700082425
Ubisense;1381813389946;8.485784662695165;4.6184872816941125
Ubisense;1381813390714;8.679030072924924;4.3508604558309525
Ubisense;1381813391434;8.721044983215611;3.7541926019965266
Ubisense;1381813392023;8.46507069684935;3.7681734245266627
Ubisense;1381813393319;8.695178806801025;2.985988042248864
Ubisense;1381813394429;8.612115489010705;2.642184577414854
Ubisense;1381813395037;8.83343745270178;2.2168354746367505
Ubisense;1381813395587;9.271412957614398;2.4753752450515596
Ubisense;1381813396301;9.943808718844576;2.176218562147201
Ubisense;1381813396513;10.24645171019637;2.4814479252911648
Ubisense;1381813397248;10.717186420034384;2.7124887921527066
Ubisense;1381813397719;10.785577789525766;2.705248411265232
Ubisense;1381813398292;11.212578032215184;2.683240617643096
Ubisense;1381813404239;10.884128924361375;2.58
Ubisense;1381813404342;10.615382107772556;2.773853566375635
Ubisense;1381813404532;10.254737911252946;2.4918811091801922
Ubisense;1381813404872;9.959957240267475;2.4610456579106423
Ubisense;1381813405332;9.4039944127812;2.7571476814710443
Ubisense;1381813405453;9.315524604198826;2.605492180008103
Ubisense;1381813405616;8.73579194435538;2.7146978687632823
Ubisense;1381813405856;8.46;2.738309667119523
Ubisense;1381813406446;8.5514150036575;2.8432634943207984
Ubisense;1381813410000;10.994946771232947;7.81684333574922
Ubisense;1381813410500;11.001156064621002;8.495173969591857
Ubisense;1381813470000;10.9900187167352;8.501999550890515
Water;1381813470000;BATH_TOILET_COLD;ON
Ubisense;1381813470928;9.700237495496845;8.494598052394773
Water;1381813485000;BATH_SINK_COLD;ON
Ubisense;1381813515000;9.005652728935775;8.001774046718893
Ubisense;1381813515798;8.004923193565265;8.505961940464202
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Ubisense;1381813705000;8.002686805230086;8.503379911455058
Ubisense;1381813705798;9.001723723959431;7.983053890205077
Ubisense;1381813735000;8.988940121098386;8.005816595058539
Ubisense;1381813735614;9.692253173247558;8.499218109817692
Ubisense;1381813760000;9.775151746446673;7.981573646152679
Ubisense;1381813760008;9.40656638099909;7.670596020373927
Ubisense;1381813760352;9.079784436001137;7.557909443370847
Ubisense;1381813760573;8.737245969529097;7.373980764043444
Ubisense;1381813760964;8.44177902284602;7.241472438905311
Ubisense;1381813761956;8.112768935679599;7.179472690932616
Ubisense;1381813762455;7.834620019886877;7.08635541510782
Ubisense;1381813762982;7.5;7.099179531323853
Ubisense;1381813764297;7.216655436605417;7.083823510045115
Ubisense;1381813764492;6.975064155269436;6.782164853043142
Ubisense;1381813764674;6.941182167110573;6.457842769746108
Ubisense;1381813764826;6.892733295101626;6.1584022681947586
Ubisense;1381813765016;6.892559257859667;5.8788016594973
Ubisense;1381813765242;6.897676076358794;5.557286907852674
Ubisense;1381813765366;6.942911731266993;5.2299999999999995
Ubisense;1381813765553;6.9415937217488075;4.93
Ubisense;1381813765713;6.944503598851829;4.602576451749523
Ubisense;1381813765938;6.9709360463297925;4.2966860556013104
Ubisense;1381813766120;6.998692995171664;3.944407228137167
Ubisense;1381813766417;7.033471921298684;3.6483835203922648
Ubisense;1381813766653;7.06734447912408;3.3343849988534275
Ubisense;1381813766862;7.143947962241908;3.0158458941215125
Ubisense;1381813767307;7.203516393003188;2.7232530252973857
Ubisense;1381813767919;7.390000000000001;2.4300925431364595
Ubisense;1381813768334;7.722169068067293;2.2102769387952024
Ubisense;1381813768960;8.055828631489206;1.9885264323143292
Ubisense;1381813800000;9.519871773255238;2.4999409943055415
Storage;1381813810000;SLEEPING_ROOM_WARDROBE;OPENED
Storage;1381813815000;SLEEPING_ROOM_WARDROBE;OBJECT_TAKEN
Ubisense;1381813826071;11.009714895792422;1.5043647003368374
Ubisense;1381813931000;9.605532302278247;1.4884708826730393
Ubisense;1381813931071;9.492080213220559;1.5110870521484403
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813945000;9.509918465161693;1.5077239496531574
Ubisense;1381813945714;9.487062221722494;2.5008245697156637
Ubisense;1381813965000;9.063871219669764;1.89470096102052
Ubisense;1381813965006;8.940518802159588;2.2364190294868025
Ubisense;1381813965259;8.630017240511059;2.2904833832975
Ubisense;1381813965815;8.293415345119374;2.35842255752033
Ubisense;1381813965948;7.960000000000001;2.362564208894623
Ubisense;1381813966038;7.6508786185742945;2.4311099820252755
Ubisense;1381813966159;7.328032418875744;2.5
Ubisense;1381813966878;7.018281874151838;2.620082976145347
Ubisense;1381813967003;6.687917700091718;2.7045435022223496
Ubisense;1381813967324;6.269397491827158;2.8198547467357415
Ubisense;1381813967695;5.652290484064414;3.4921328613506226
Ubisense;1381813968249;5.422813070506575;3.869553082931537
Ubisense;1381813968469;5.235446668861281;4.213114077279535
Ubisense;1381813968584;5.156111561676487;4.578802876547296
Ubisense;1381813968708;5.004123674629855;4.940358068031816
Ubisense;1381813969174;4.8565618901445085;5.273767837780238
Ubisense;1381813969574;4.51404559128279;5.539257496530733
Ubisense;1381813970005;3.85;5.437433221779101
Ubisense;1381813970584;3.478570714404549;5.453235128222375
Ubisense;1381813971055;2.8345174625640412;5.56495237349079
Ubisense;1381813971655;2.5173752804653335;5.607571316397257
Ubisense;1381813971940;2.142190696253327;5.673458523684736
Ubisense;1381813972675;1.8541064818901407;5.742038202850679
Ubisense;1381813990000;2.499148598008449;5.52
Ubisense;1381813991000;3.3492632108097435;6.612814287895843
Ubisense;1381813991171;3.50010378150192;6.7880085852506165
Storage;1381813995000;KITCHEN_FRIDGE;OPENED
Storage;1381814000000;KITCHEN_FRIDGE;OBJECT_TAKEN
Storage;1381814005000;KITCHEN_FRIDGE;CLOSED
Ubisense;1381814005000;3.5004186749328117;6.797561114396648
Ubisense;1381814006000;2.88139543533816;8.051806906398804
Ubisense;1381814006118;2.7959288888770724;8.189211748871113
Power;1381814020000;HERD;ON
Ubisense;1381814290000;2.7928742272537206;8.216839940257946
Ubisense;1381814291000;2.1877362589248603;6.939988699821364
Ubisense;1381814292140;1.4908946720403842;5.497223279865545
Storage;1381814310000;KITCHEN_SHELF;OPENED
Storage;1381814315000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381814325000;1.5009165570744998;5.50696285567293
Storage;1381814325000;KITCHEN_SHELF;CLOSED
Ubisense;1381814326000;2.1031092662631425;6.76603840178273
Ubisense;1381814327000;2.69;8.003795819806875
Ubisense;1381814327140;2.7886105727151076;8.216947511059066
Power;1381814350000;HERD;OFF
Ubisense;1381814355000;1.5203704122181123;5.731384821645162
Ubisense;1381814355000;2.802391629914511;8.20919605322097
Ubisense;1381814355282;1.8366750559306884;5.666767158379976
Ubisense;1381814355453;2.1592330910437023;5.575880493809669
Ubisense;1381814355625;2.4876136890870937;5.523701155198743
Ubisense;1381814356000;2.1690151069385677;6.954088051032634
Ubisense;1381814356233;2.794765638380104;5.489483056835555
Ubisense;1381814356546;3.1133410468847047;5.416771445218473
Ubisense;1381814357000;1.53;5.711153188955413
Ubisense;1381814357012;1.4992142346151078;5.686050626117695
Ubisense;1381814358637;3.4614126874575173;5.332513511522234
Ubisense;1381814359355;3.7797696149840303;5.276856949807253
Ubisense;1381814359605;4.107240302126069;5.3152403153764185
Ubisense;1381814360323;4.754383141259167;5.225281171885455
Ubisense;1381814360838;4.932750249821877;4.882249097146228
Ubisense;1381814361509;4.924843303207506;4.566981285845506
Ubisense;1381814361869;4.899430169977937;4.246920675092209
Ubisense;1381814362009;4.8200893826549915;3.8966841094192715
Ubisense;1381814362150;4.805819211185868;3.5717603542977407
Ubisense;1381814362680;4.70877907855493;3.22003618463286
Ubisense;1381814363274;4.444417454409595;2.8956645297643955
Ubisense;1381814363430;4.125135940611491;2.6841179568209568
Ubisense;1381814363586;3.7632798731581096;2.4687920162492016
Ubisense;1381814363757;3.4583139279121973;2.2620672886524944
Ubisense;1381814364039;3.1242844707556148;2.036166301825793
Ubisense;1381814365646;2.7982731470103106;1.9095870316275898
Ubisense;1381814366115;2.5100000000000002;1.7892981656838844
Ubisense;1381814367645;1.8551564199330601;1.4381260195542245
Ubisense;1381814880000;1.5101971756608275;5.740943669894667
Ubisense;1381814880282;1.8242994258497607;5.658638102112012
Ubisense;1381814880453;2.165546448815608;5.562987388725385
Ubisense;1381814880625;2.5001236014829087;5.526689812191688
Ubisense;1381814881233;2.8058538586638617;5.485246627274114
Ubisense;1381814881546;3.1207353128035327;5.449999999999999
Ubisense;1381814883637;3.4792605054824395;5.34
Ubisense;1381814884605;4.11053126522539;5.28
Ubisense;1381814884839;4.4589367904969;5.284661169930138
Ubisense;1381814885323;4.764606847294146;5.213934067384405
Ubisense;1381814885838;4.9543088762698515;4.89725302442334
Ubisense;1381814886509;4.96;4.576903287292103
Ubisense;1381814886869;4.925947809712531;4.250109213933836
Ubisense;1381814887009;4.829534489615202;3.9028729160567144
Ubisense;1381814887150;4.810381519638519;3.5656813052719802
Ubisense;1381814887680;4.723318689135268;3.235004766829106
Ubisense;1381814888274;4.4420825673189555;2.900871115649664
Ubisense;1381814888430;4.125983150484622;2.670745403356388
Ubisense;1381814888586;3.7804651730477246;2.45
Ubisense;1381814888757;3.447656200764867;2.2730050497226677
Ubisense;1381814889039;3.1361160369575902;2.0405534739613036
Ubisense;1381814890000;1.3277890187806876;1.1714813120873393
Ubisense;1381814890563;1.6608565978002232;1.382891069315843
Ubisense;1381814890646;2.8116057005040296;1.909455317017169
Ubisense;1381814891115;2.4795950169433407;1.7981540273363132
Ubisense;1381814891156;1.9756470966369541;1.6399034679302626
Ubisense;1381814891406;2.3157652992244366;1.8043993481940692
Ubisense;1381814891708;2.1518335606952834;1.6404099154328453
Ubisense;1381814892186;2.6615996421061165;1.962187249970463
Ubisense;1381814892375;2.9834222397460386;2.127196701442433
Ubisense;1381814892645;1.82;1.452685637091519
Ubisense;1381814892780;3.3041317671714228;2.2946758478672833
Ubisense;1381814893560;3.639805208557331;2.5129963749858293
Ubisense;1381814893811;3.9279494603193346;2.787528351200509
Ubisense;1381814894575;4.2495037403741485;3.046699624641511
Ubisense;1381814894841;4.570145063710102;3.398811176574831
Ubisense;1381814895107;4.756411410418009;3.742339694022621
Ubisense;1381814897181;4.923499688688162;4.079999999999999
Ubisense;1381814897448;4.965533228959409;4.385511980327353
Ubisense;1381814898290;4.915062032406818;4.710603577111419
Ubisense;1381814898759;4.83788008589693;5.029325598672085
Ubisense;1381814899211;4.504564181493784;5.299524058674908
Ubisense;1381814899790;3.866554066089105;5.486755309409936
Ubisense;1381814900000;3.999621321319535;3.001937673860622
Ubisense;1381814900148;3.212600618081364;5.614966101749065
Ubisense;1381814900336;2.8447789117767748;5.726137430567291
Ubisense;1381814901000;2.8828917678042014;2.1678546145098085
Ubisense;1381814901273;2.24;5.799170413139609
Ubisense;1381814901785;2.001679811231446;1.5081288915474906
Ubisense;1381814902115;1.885569425277727;5.7883235829368695
Ubisense;1381814902350;1.55;5.8028286962969515
Ubisense;1381815800000;1.996731883710304;2.89215007949446
Ubisense;1381815802000;0.6057710148425142;1.7015276514199387
Ubisense;1381815803000;0.834782215274962;0.7388159982030683
Ubisense;1381815804000;1.6127466802736135;0.17084375957672346
Ubisense;1381815805000;2.583338091471811;0.2327080975001833
Ubisense;1381815806000;3.278640830185414;0.9084113322218779
Ubisense;1381815807000;3.348573691252039;1.904403569991638
Ubisense;1381815808000;2.7474014054464537;2.6722980169579906
Ubisense;1381815808796;2.0051320265924706;2.8948891564601977
Ubisense;1381819700000;3.0038654656306885;0.9996247149780961
Ubisense;1381819701000;3.016000309962339;0.9790856409937576
Ubisense;1381819702000;3.019177507230731;0.9643720245490904
Ubisense;1381819703000;3.0444944995437018;0.9574999729800753
Ubisense;1381819704000;3.0296208140083833;0.9455522256346472
Ubisense;1381821200000;1.3121762460900417;1.1687842677513387
Ubisense;1381821201156;1.982812612991901;1.632014739306789
Ubisense;1381821202186;2.6536060514116726;1.9656920235992117
Ubisense;1381821202375;2.971414154074527;2.1248160630548965
Ubisense;1381821202780;3.2993276890295453;2.300649519169548
Ubisense;1381821203560;3.606221990420344;2.4969525230753318
Ubisense;1381821203811;3.948804558321014;2.7949933995692193
Ubisense;1381821204575;4.267465094982011;3.059411635911899
Ubisense;1381821205107;4.760648128103415;3.743835487289978
Ubisense;1381821207448;4.9799999999999995;4.376047208129055
Ubisense;1381821208290;4.8940224862213055;4.699280782483409
Ubisense;1381821208759;4.84462321897914;5.014931165338794
Ubisense;1381821209211;4.492137963475739;5.303197440680813
Ubisense;1381821209430;4.166256717172234;5.4107942139938885
Ubisense;1381821209790;3.8721180865330895;5.474943114225983
Ubisense;1381821209961;3.552477297044235;5.555251009903476
Ubisense;1381821210148;3.211478803315316;5.621131508972182
Ubisense;1381821210336;2.847375786639416;5.734273699415926
Ubisense;1381821210679;2.529949861066077;5.797074343231075
Ubisense;1381821211273;2.2175140182090676;5.809260931703465
Ubisense;1381821212115;1.8822169443209975;5.787855904300688
Ubisense;1381821212350;1.5552450679767302;5.801038014605665
Storage;1381821230000;KITCHEN_SHELF;OPENED
Storage;1381821233000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381821235000;0.991680002865095;5.4967136708246
Ubisense;1381821235714;1.0161361419287125;6.487819636549405
Ubisense;1381821248000;0.98;6.507613283656239
Ubisense;1381821248714;0.9837778046928315;5.483399921882025
Ubisense;1381821250000;0.98;5.511347328368687
Storage;1381821250000;KITCHEN_SHELF;OBJECT_PUT
Ubisense;1381821251000;1.0051810487108201;6.896444105856332
Ubisense;1381821251428;0.9885592438677784;7.498209149471026
Water;1381821255000;KITCHEN_SINK_COLD;ON
Ubisense;1381821263000;0.9959245739963528;7.496457557364165
Water;1381821263000;KITCHEN_SINK_COLD;OFF
Ubisense;1381821263714;0.9864679060345034;6.4975755550038885
Ubisense;1381821270000;0.9893712156566037;6.503181448821715
Ubisense;1381821270714;0.9860139396452406;5.504566923815493
Storage;1381821275000;KITCHEN_SHELF;CLOSED
Ubisense;1381821276000;0.9833921155273949;5.48
Ubisense;1381821276714;1.0031858311897397;6.502930277991653
Power;1381821320000;KAFFEMASCHINE;ON
Alarm;1381821320000;Kaffemaschiene;fertig
Ubisense;1381821330000;1.5103029514175363;5.742239725934444
Ubisense;1381821330282;1.8367493705431859;5.66166456681482
Ubisense;1381821330453;2.1703211740937083;5.561058696337276
