Bed;1381788600000;N1
Bed;1381788900000;N2
Bed;1381789500000;N3
Bed;1381789800000;N4
Bed;1381792800000;N4
Bed;1381794600000;N2
Bed;1381795800000;N3
Bed;1381796700000;N4
Bed;1381798500000;N1
Bed;1381799100000;REM
Bed;1381801200000;N2
Bed;1381801800000;N4
Bed;1381803000000;N3
Bed;1381804800000;N2
Bed;1381805400000;N1
Bed;1381808700000;N2
Bed;1381811400000;N1
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;WACH
Ubisense;1381813380000;9.76397098067422;5.430427468274453
Ubisense;1381813382371;9.200000000000001;5.866574993703079
Ubisense;1381813383770;8.965885246958836;5.922477770050181
Ubisense;1381813386613;8.703773187449535;5.490718208784436
Ubisense;1381813388327;9.022326012075553;5.007066703194728
Ubisense;1381813389143;8.438821878772094;4.592381042422794
Ubisense;1381813389946;8.49229477138443;4.610150379118867
Ubisense;1381813390714;8.676831881635906;4.367577167413796
Ubisense;1381813391434;8.73930001305455;3.7372796824843455
Ubisense;1381813392023;8.476291357009861;3.7850874009580004
Ubisense;1381813392533;8.499869820134661;3.4160166785542523
Ubisense;1381813393319;8.66;2.985496023320796
Ubisense;1381813395037;8.847437185044557;2.225451845448864
Ubisense;1381813395587;9.260250203099357;2.4636619300984073
Ubisense;1381813396098;9.589369510967575;2.4201446638152455
Ubisense;1381813396301;9.9532133345644;2.1799174435379887
Ubisense;1381813396513;10.259960987708638;2.4801069223905987
Ubisense;1381813397248;10.721910212139393;2.722988376087145
Ubisense;1381813397719;10.782156029627581;2.704594852713116
Ubisense;1381813398292;11.203225812122657;2.706777894062894
Ubisense;1381813403170;11.442750536385034;2.654870844994974
Ubisense;1381813403711;11.097269178769938;2.758676421438826
Ubisense;1381813404239;10.89217786371662;2.6047469827828214
Ubisense;1381813404342;10.614740824536627;2.784317885085525
Ubisense;1381813404532;10.246799573452838;2.4834282219328316
Ubisense;1381813404872;9.953943926086703;2.4597276753823576
Ubisense;1381813405332;9.39;2.7623558571659528
Ubisense;1381813405453;9.337452849517431;2.6212439134113064
Ubisense;1381813405856;8.473935841555088;2.7439421333796084
Ubisense;1381813406446;8.563488023293479;2.8353120594751537
Ubisense;1381813407319;8.06084681100331;2.7817887487838084
Ubisense;1381813410000;11.002206379699647;7.796730895942628
Ubisense;1381813410500;10.997998800793457;8.505146705568414
Ubisense;1381813470000;10.98956536371349;8.500820877741917
Ubisense;1381813470928;9.70298725934277;8.50421168617778
Water;1381813485000;BATH_SINK_COLD;ON
Water;1381813500000;BATH_SINK_COLD;OFF
Ubisense;1381813515798;7.992847797685821;8.485514678146016
Water;1381813525000;BATH_SHOWER_HOT;ON
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;ON
Ubisense;1381813705000;8.002996185517905;8.50626707308883
Ubisense;1381813705798;9.006023604321294;7.9908850635283235
Ubisense;1381813735000;9.015098991776624;7.994097936534249
Ubisense;1381813760000;9.799608222626883;7.991328850380369
Ubisense;1381813760008;9.42523679349462;7.670012962711694
Ubisense;1381813760352;9.068189256538085;7.553351009794795
Ubisense;1381813760573;8.769635690284636;7.383587379369088
Ubisense;1381813760964;8.436318984013118;7.227864750153055
Ubisense;1381813761956;8.127683923921273;7.187795232765293
Ubisense;1381813762455;7.81897688833189;7.086256066659713
Ubisense;1381813762982;7.504233652076276;7.07
Ubisense;1381813764297;7.19;7.0879047838251905
Ubisense;1381813764492;6.9799999999999995;6.798983671043947
Ubisense;1381813764674;6.937256782276611;6.47243330244882
Ubisense;1381813765242;6.902154281090302;5.56314970980011
Ubisense;1381813765366;6.9260146411150885;5.202980542065744
Ubisense;1381813765553;6.93260400494538;4.93
Ubisense;1381813765713;6.970967123363497;4.588824043338069
Ubisense;1381813765938;6.988842928253745;4.31
Ubisense;1381813766120;7.012924934526081;3.964950547301809
Ubisense;1381813766417;7.048543687593649;3.6542335939462105
Ubisense;1381813766653;7.065833170777325;3.3491630099894696
Ubisense;1381813766862;7.131252572312189;3.0354735695492123
Ubisense;1381813767307;7.207537783841557;2.730729135613193
Ubisense;1381813767919;7.429683560468718;2.4216284099767056
Ubisense;1381813768334;7.705676808476044;2.210562694807883
Ubisense;1381813768960;8.045991340279484;1.9824944115233818
Ubisense;1381813800000;9.50450644271643;2.4983625099894535
Ubisense;1381813800714;9.507039441909868;1.4982688965281292
Storage;1381813810000;SLEEPING_ROOM_WARDROBE;OPENED
Storage;1381813815000;SLEEPING_ROOM_WARDROBE;OBJECT_TAKEN
Ubisense;1381813825000;9.508183189903017;1.501056662796751
Ubisense;1381813826000;10.903897307030732;1.49915657159983
Ubisense;1381813826071;11.01581079384863;1.5162773139197405
Ubisense;1381813930000;11.018214212146615;1.5026416972069696
Ubisense;1381813931000;9.606567085328587;1.5068672564778585
Ubisense;1381813931071;9.517615634325178;1.506525868973315
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813945000;9.501468562164652;1.4963913131498618
Ubisense;1381813945714;9.507249198810403;2.5056056626645042
Ubisense;1381813965259;8.6;2.3158512991804696
Ubisense;1381813965815;8.291291957062137;2.354174568454854
Ubisense;1381813966038;7.661379585589373;2.4039453643158315
Ubisense;1381813966159;7.3274496121253305;2.504900117671811
Ubisense;1381813967003;6.704188246883448;2.6835572797708287
Ubisense;1381813967324;6.258292216584429;2.813420917335509
Ubisense;1381813967571;5.921990929054664;3.1379089370514692
Ubisense;1381813967695;5.651284659634664;3.4861797234109515
Ubisense;1381813968249;5.422234813928642;3.8837592726150234
Ubisense;1381813968469;5.217320058965387;4.235816371246801
Ubisense;1381813968584;5.1564747171642695;4.56185034042594
Ubisense;1381813968708;5.006957601854138;4.937333796500153
Ubisense;1381813969174;4.865663025450339;5.280701163793905
Ubisense;1381813969854;4.179559581811874;5.414740650734183
Ubisense;1381813970005;3.825768488370005;5.434321279214535
Ubisense;1381813970584;3.477107476603749;5.46081666444038
Ubisense;1381813970858;3.164544475317003;5.496640941318366
Ubisense;1381813971055;2.841364330399829;5.582500487634281
Ubisense;1381813971655;2.521620042895135;5.64
Ubisense;1381813971940;2.1709324692359866;5.658992045455165
Ubisense;1381813972675;1.8304819804317016;5.726270715346796
Ubisense;1381813990000;2.48;5.49371902482385
Ubisense;1381813991000;3.3365684140848866;6.604640737010179
Ubisense;1381813991171;3.4924867171051215;6.802086601630673
Storage;1381813995000;KITCHEN_FRIDGE;OPENED
Storage;1381814000000;KITCHEN_FRIDGE;OBJECT_TAKEN
Storage;1381814005000;KITCHEN_FRIDGE;CLOSED
Ubisense;1381814005000;3.5133813393344497;6.805510987629827
Ubisense;1381814006000;2.87553757367909;8.03125029447973
Ubisense;1381814006118;2.7965854295305514;8.198505286352896
Ubisense;1381814290000;2.7915179021012393;8.209058542975262
Ubisense;1381814291000;2.1939178409249;6.948120225023056
Ubisense;1381814292000;1.61;5.681280576171149
Ubisense;1381814292140;1.4980664883809462;5.516386019633332
Storage;1381814310000;KITCHEN_SHELF;OPENED
Storage;1381814315000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381814325000;1.5018163932560402;5.509494643592892
Storage;1381814325000;KITCHEN_SHELF;CLOSED
Ubisense;1381814326000;2.1053997112961254;6.764558736539267
Ubisense;1381814327000;2.699476149422048;8.007234825911157
Ubisense;1381814327140;2.7952785586487434;8.182107584934265
Power;1381814350000;HERD;OFF
Ubisense;1381814355000;1.5217748365715993;5.745508580243209
Ubisense;1381814355000;2.7982110560937055;8.184061012339441
Ubisense;1381814355282;1.82569158297187;5.674573930633497
Ubisense;1381814355453;2.1621509212875396;5.562809623387748
Ubisense;1381814355625;2.501321149289787;5.521949980778357
Ubisense;1381814356000;2.1532572741774163;6.949597846106988
Ubisense;1381814356233;2.810847531269727;5.479750585579084
Ubisense;1381814356546;3.11;5.445346641339952
Ubisense;1381814357000;1.5072703500530678;5.71368268577544
Ubisense;1381814357012;1.5004570597256721;5.697162371448113
Ubisense;1381814359355;3.7847478858154724;5.261284995321929
Ubisense;1381814359605;4.0997298200951455;5.292922436386822
Ubisense;1381814359839;4.454220324499302;5.274798090402603
Ubisense;1381814360323;4.772296690790039;5.21595757127866
Ubisense;1381814360838;4.945014688016053;4.891975356913037
Ubisense;1381814361509;4.9389269831257305;4.566202868209135
Ubisense;1381814362680;4.724055664812911;3.219223798410773
Ubisense;1381814363586;3.781152580016264;2.464766187603268
Ubisense;1381814363757;3.472158130485801;2.2699830405181807
Ubisense;1381814364039;3.1170877916272723;2.0338538907670043
Ubisense;1381814365646;2.804084437313186;1.9209515813257583
Ubisense;1381814366115;2.496100132829753;1.7965545777148142
Ubisense;1381814366708;2.1499594625477694;1.646916791189909
Ubisense;1381814367645;1.843389221211234;1.4438565867364697
Ubisense;1381814880000;1.514668700106002;5.724368009069607
Ubisense;1381814880282;1.8352832235496075;5.679593328680562
Ubisense;1381814880453;2.1616029069179623;5.550000000000001
Ubisense;1381814880625;2.4702078773130034;5.509686330314456
Ubisense;1381814881233;2.801580420134923;5.484599197183417
Ubisense;1381814881546;3.14195547047157;5.433063036968547
Ubisense;1381814883637;3.452037550647415;5.300206852580411
Ubisense;1381814884355;3.785899725055787;5.270641821167212
Ubisense;1381814884605;4.119999999999999;5.297782689893065
Ubisense;1381814884839;4.430000000000001;5.26468145652259
Ubisense;1381814885323;4.761697468311449;5.230308175297894
Ubisense;1381814885838;4.950671023638583;4.908871820708399
Ubisense;1381814886509;4.942263927575541;4.59
Ubisense;1381814886869;4.9092847190492055;4.247321760931903
Ubisense;1381814887009;4.8233342038174465;3.8983191269918094
Ubisense;1381814887150;4.78;3.555860560994892
Ubisense;1381814887680;4.720643244831441;3.208970301811761
Ubisense;1381814888274;4.464382148530436;2.9017527193192008
Ubisense;1381814888430;4.138062119370222;2.6984467812032076
Ubisense;1381814888586;3.776615002314355;2.4583691241311456
Ubisense;1381814888757;3.4578160968005305;2.255771563452165
Ubisense;1381814889039;3.1284085173990435;2.051168456432468
Ubisense;1381814890000;1.319214051358936;1.1744351068327603
Ubisense;1381814890563;1.644440839430566;1.401644300786013
Ubisense;1381814890646;2.797903585230374;1.93
Ubisense;1381814891115;2.4843358004931826;1.788792390156017
Ubisense;1381814891156;1.9639089856433232;1.6417097433626378
Ubisense;1381814891406;2.3288164559085467;1.797062985183907
Ubisense;1381814892375;2.9657835034943463;2.115453256881208
Ubisense;1381814892645;1.840744359756865;1.4611069322101307
Ubisense;1381814893560;3.616279726662711;2.499666420117749
Ubisense;1381814893811;3.9226628447879377;2.7809881887671173
Ubisense;1381814894575;4.275765372208102;3.0598904552309993
Ubisense;1381814894841;4.562974183267063;3.401139802777767
Ubisense;1381814895107;4.75414526199968;3.728097260068904
Ubisense;1381814897181;4.913444828921289;4.042950676091988
Ubisense;1381814897448;4.966006825929914;4.378635815184855
Ubisense;1381814898290;4.904258781427789;4.703980960758803
Ubisense;1381814898759;4.823669236360574;5.0199839596902525
Ubisense;1381814899211;4.510724327632741;5.2973315452896985
Ubisense;1381814899430;4.182573065255953;5.425181273491
Ubisense;1381814899790;3.855627862864776;5.499570882455301
Ubisense;1381814899961;3.5488004774586703;5.537506113965497
Ubisense;1381814900000;3.987899017543437;3.0168834645953337
Ubisense;1381814900148;3.208951209921194;5.618097293566803
Ubisense;1381814900336;2.877399524273259;5.736502209117331
Ubisense;1381814900679;2.5393815156967166;5.814172361058848
Ubisense;1381814901000;2.8737859488930777;2.1782211922737442
Ubisense;1381814901273;2.209887420789515;5.814217126671673
Ubisense;1381814901785;1.9968379200292716;1.4946239606814204
Ubisense;1381814902115;1.888459589174359;5.776635725403349
Ubisense;1381814902350;1.5711937944149537;5.825135362231031
Ubisense;1381815800000;2.002068240187262;2.901607527082028
Ubisense;1381815801000;1.0731222076155473;2.550866929708254
Ubisense;1381815802000;0.6122633529078682;1.7108885379430128
Ubisense;1381815803000;0.819716178424066;0.7492191138685733
Ubisense;1381815804000;1.6030232466971708;0.15036110359901783
Ubisense;1381815805000;2.5908932802366533;0.21611264568754748
Ubisense;1381815806000;3.274028037639607;0.9196962021558337
Ubisense;1381815807000;3.3487543951571936;1.894587045053319
Ubisense;1381815808000;2.7371744042830857;2.685830326283174
Ubisense;1381815808796;1.9836342446482182;2.8938225927332746
Ubisense;1381819700000;3.003855532708417;0.9921582902116844
Ubisense;1381819701000;2.983768984491448;0.982121204722112
Ubisense;1381819702000;2.992903861023299;0.9796210149085187
Ubisense;1381819703000;2.9922136645769415;0.9623797905432132
Ubisense;1381819704000;2.992105487023993;0.9928213336067261
Ubisense;1381821200000;1.3208798949141543;1.1667327164508186
Ubisense;1381821200563;1.6583729203929016;1.3918393605473638
Ubisense;1381821201406;2.3063249379319615;1.7983848619216067
Ubisense;1381821202375;2.966301173715815;2.1078691899153523
Ubisense;1381821202780;3.300568513113297;2.30866227342959
Ubisense;1381821203560;3.6164622011833076;2.4992426079041037
Ubisense;1381821203811;3.923720238064279;2.7990732715081648
Ubisense;1381821204575;4.2758289613132705;3.062448777488636
Ubisense;1381821204841;4.571338238006129;3.380440626330008
Ubisense;1381821205107;4.750489176568648;3.7407447280891017
Ubisense;1381821207181;4.93;4.056156459048531
Ubisense;1381821207448;4.94;4.378875366739619
Ubisense;1381821208290;4.904307042659941;4.718384159469356
Ubisense;1381821208759;4.821486765456187;5.0231188951844
Ubisense;1381821209211;4.521108471500928;5.310488417958803
Ubisense;1381821209430;4.1961045032830615;5.398746616275979
Ubisense;1381821209790;3.844743491586384;5.496291537835127
Ubisense;1381821209961;3.538992531363699;5.537713761273614
Ubisense;1381821210148;3.2063747369164766;5.633307619935752
Ubisense;1381821210336;2.8717341519667405;5.729789252637461
Ubisense;1381821211273;2.2265935092474716;5.816369032045807
Ubisense;1381821212115;1.874580501198672;5.78878684243917
Ubisense;1381821212350;1.5696779480364438;5.808453591189267
Storage;1381821230000;KITCHEN_SHELF;OPENED
Storage;1381821233000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381821235000;1.004549490718696;5.503457153883719
Ubisense;1381821235714;0.9824557862876331;6.4924606081818945
Ubisense;1381821248000;1.02;6.510561097756705
Ubisense;1381821248714;0.9807577584500183;5.492957005067911
Ubisense;1381821250000;0.9889972024635564;5.505928430339579
Storage;1381821250000;KITCHEN_SHELF;OBJECT_PUT
Ubisense;1381821251428;1.0019237749751315;7.496483384045884
Water;1381821255000;KITCHEN_SINK_COLD;ON
Ubisense;1381821263000;1.0186446919180545;7.5071319204467155
Ubisense;1381821270000;1.0084114915117777;6.487702487155994
Ubisense;1381821270714;0.9930128281337017;5.496968505467511
Storage;1381821273000;KITCHEN_SHELF;OBJECT_TAKEN
Storage;1381821275000;KITCHEN_SHELF;CLOSED
Power;1381821290000;KAFFEMASCHINE;ON
Alarm;1381821320000;Kaffemaschiene;fertig
Ubisense;1381821330000;1.5282041471303927;5.722301954209071
Ubisense;1381821330282;1.8457806698741608;5.682106969495866
Ubisense;1381821330453;2.166182473160946;5.5624644974005975
Ubisense;1381821330625;2.4799811477737626;5.517098232124047
