Bed;1381788000000;REM
Bed;1381788600000;N1
Bed;1381788900000;N2
Bed;1381789500000;N3
Bed;1381789800000;N4
Bed;1381792800000;N4
Bed;1381794600000;N2
Bed;1381795800000;N3
Bed;1381796700000;N4
Bed;1381798500000;N1
Bed;1381799100000;REM
Bed;1381801200000;N2
Bed;1381801800000;N4
Bed;1381803000000;N3
Bed;1381804800000;N2
Bed;1381805400000;N1
Bed;1381808700000;N2
Bed;1381811400000;N1
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;WACH
Ubisense;1381813380989;9.479218353721427;5.4807322571907235
Ubisense;1381813382371;9.217319740700972;5.840206072726425
Ubisense;1381813383770;8.968206348053458;5.905322675412419
Ubisense;1381813386613;8.709486331894157;5.49456218318321
Ubisense;1381813388327;9.03074291032292;4.989077648308887
Ubisense;1381813389143;8.452744464205427;4.595197141572774
Ubisense;1381813389946;8.46485731998838;4.609897789579056
Ubisense;1381813390714;8.688875481947292;4.373181789148225
Ubisense;1381813391434;8.734193594578109;3.7470783198530184
Ubisense;1381813392023;8.476175688992633;3.7738585084029923
Ubisense;1381813393319;8.682124124412255;2.98623995254084
Ubisense;1381813394429;8.62123202997865;2.66
Ubisense;1381813395037;8.832110900572596;2.200876896105582
Ubisense;1381813395587;9.284101630554938;2.4895766206403116
Ubisense;1381813396098;9.604285485757668;2.424235920747795
Ubisense;1381813396301;9.941624968675134;2.1871222676160107
Ubisense;1381813396513;10.254996310554821;2.501887715863744
Ubisense;1381813397248;10.72786999232404;2.708325859799993
Ubisense;1381813397719;10.763273928351083;2.7202903200240405
Ubisense;1381813398292;11.213162837934858;2.6968069841393847
Ubisense;1381813403170;11.437076435307437;2.6584182901516242
Ubisense;1381813403711;11.08682149671155;2.7588783043492695
Ubisense;1381813404239;10.890403166647335;2.59936441677879
Ubisense;1381813404342;10.606505443328354;2.763680452097141
Ubisense;1381813404532;10.25026507854962;2.5021586308785064
Ubisense;1381813405453;9.315165360891386;2.612270027850381
Ubisense;1381813405616;8.759003358190087;2.7179167409537945
Ubisense;1381813405856;8.481926021498502;2.753902767223993
Ubisense;1381813406446;8.540000000000001;2.86
Ubisense;1381813410500;10.999699958605047;8.505459823970273
Water;1381813470000;BATH_TOILET_COLD;ON
Ubisense;1381813470928;9.69096108627484;8.502944193222872
Water;1381813485000;BATH_SINK_COLD;ON
Water;1381813500000;BATH_SINK_COLD;OFF
Ubisense;1381813515000;9.009362855815304;8.010953646286204
Ubisense;1381813515798;8.009156557641592;8.509194711000923
Water;1381813525000;BATH_SHOWER_HOT;ON
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;OFF
Ubisense;1381813705798;8.995465349424803;8.02
Ubisense;1381813735000;9.004397106335997;8.000395896060885
Ubisense;1381813760000;9.788916226882247;7.9830304296191885
Ubisense;1381813760008;9.422500678460883;7.673590877813374
Ubisense;1381813760352;9.083199966062454;7.559140140518204
Ubisense;1381813760573;8.74006477168391;7.3647177131562795
Ubisense;1381813760964;8.43564352182412;7.226295835333388
Ubisense;1381813761956;8.11432025874634;7.184638284825993
Ubisense;1381813762455;7.835835404892465;7.081336245771686
Ubisense;1381813762982;7.500316832910296;7.076527646730639
Ubisense;1381813764297;7.213427242360218;7.098231652624834
Ubisense;1381813764492;6.970251904091408;6.781159881015573
Ubisense;1381813764826;6.916000841507787;6.159763488083873
Ubisense;1381813765016;6.916526858789967;5.86156375779878
Ubisense;1381813765242;6.912931004402176;5.565790025516972
Ubisense;1381813765366;6.934193331576286;5.208874212753628
Ubisense;1381813765553;6.9240594885356;4.906278010531522
Ubisense;1381813765713;6.950014678910766;4.606428171198881
Ubisense;1381813765938;6.9824272466563935;4.303233898874166
Ubisense;1381813766120;7.022762717788169;3.947943768312734
Ubisense;1381813766417;7.046834511745334;3.6485921208578427
Ubisense;1381813766653;7.062116662351604;3.3352867560479513
Ubisense;1381813766862;7.133133148048691;3.030004134592302
Ubisense;1381813767307;7.2186366076815744;2.7069696395097975
Ubisense;1381813767919;7.403837627697017;2.431546909988115
Ubisense;1381813768960;8.050861455338609;1.9704633934323499
Ubisense;1381813800000;9.501628634321237;2.4943778530919847
Ubisense;1381813800714;9.48801699201669;1.4922003147309042
Storage;1381813810000;SLEEPING_ROOM_WARDROBE;OPENED
Ubisense;1381813825000;9.52;1.519788573757236
Ubisense;1381813826000;10.897598539986689;1.5044873793548892
Ubisense;1381813826071;11.02;1.4984382883175291
Ubisense;1381813930000;11.003906343383425;1.498284515820652
Ubisense;1381813931000;9.602815957983726;1.5146844566570479
Ubisense;1381813931071;9.490103689993685;1.4984310409728208
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813945000;9.48381490535872;1.5068005760194145
Ubisense;1381813945714;9.489074974409144;2.505017046997389
Ubisense;1381813965000;9.06258018392961;1.9211284635548427
Ubisense;1381813965006;8.949438513201216;2.2260119908436287
Ubisense;1381813965815;8.31522002207707;2.356346228454322
Ubisense;1381813965948;7.985680747902044;2.359202914814908
Ubisense;1381813966159;7.35;2.5286789166176695
Ubisense;1381813966878;7.011764493348068;2.619636321165452
Ubisense;1381813967003;6.696783159223426;2.6938534576774744
Ubisense;1381813967324;6.2690079308585265;2.8147325130840706
Ubisense;1381813967571;5.9130006420325;3.127901020746455
Ubisense;1381813967695;5.68;3.47751245310802
Ubisense;1381813968249;5.422043489518038;3.86518792516956
Ubisense;1381813968469;5.230058268042247;4.215219630240902
Ubisense;1381813968584;5.14437103347741;4.571593093768863
Ubisense;1381813968708;4.990924037138453;4.959233389303343
Ubisense;1381813969174;4.876142714093418;5.273417828395187
Ubisense;1381813969574;4.525189007324686;5.532138884069489
Ubisense;1381813969854;4.181702681905918;5.41365076622027
Ubisense;1381813970005;3.822288754526788;5.433538809421975
Ubisense;1381813970584;3.468949660259178;5.457301584475158
Ubisense;1381813970858;3.1567008989622662;5.515898337334278
Ubisense;1381813971055;2.8369004089583663;5.572060473234172
Ubisense;1381813971655;2.5172951190943333;5.602391690480823
Ubisense;1381813971940;2.1731062930119807;5.6899999999999995
Ubisense;1381813972675;1.8483113868662775;5.732937086028633
Ubisense;1381813990000;2.5097664255584453;5.501882458236506
Ubisense;1381813991000;3.3375326719450906;6.594426481958457
Ubisense;1381813991171;3.4935442206757776;6.784339303603198
Storage;1381813995000;KITCHEN_FRIDGE;OPENED
Storage;1381814005000;KITCHEN_FRIDGE;CLOSED
Ubisense;1381814006000;2.857973520700676;8.065370981608687
Ubisense;1381814006118;2.801450453833323;8.187193031337829
Power;1381814020000;HERD;ON
Ubisense;1381814290000;2.8041913711743223;8.18
Ubisense;1381814291000;2.175040359058435;6.930472123022501
Ubisense;1381814292000;1.5742880737500458;5.6765855388453055
Ubisense;1381814292140;1.5054058457943948;5.495154241982661
Storage;1381814310000;KITCHEN_SHELF;OPENED
Storage;1381814315000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381814325000;1.5016404176365008;5.511235749417399
Ubisense;1381814326000;2.13;6.76182859472802
Ubisense;1381814327000;2.7068576437377736;8.017395233705326
Ubisense;1381814327140;2.7967919262225154;8.181094584089452
Power;1381814350000;HERD;OFF
Ubisense;1381814355000;1.5318855754072065;5.7216283649864055
Ubisense;1381814355282;1.8329186753620932;5.667350976851505
Ubisense;1381814355453;2.157898748298335;5.5752523936652505
Ubisense;1381814355625;2.48832823262455;5.502818265620647
Ubisense;1381814356233;2.8086227813605036;5.490604586975678
Ubisense;1381814356546;3.1271063940481887;5.448882802218584
Ubisense;1381814357000;1.505328752879159;5.730455729418359
Ubisense;1381814357012;1.48;5.693946886904939
Ubisense;1381814358637;3.458822365324936;5.333920431273042
Ubisense;1381814359355;3.7797080185595697;5.27715299563218
Ubisense;1381814359605;4.0970620208308715;5.301644819760507
Ubisense;1381814359839;4.455939204249391;5.264860798412934
Ubisense;1381814360323;4.781914884654444;5.223042173761639
Ubisense;1381814360838;4.9292400134031435;4.894910416195944
Ubisense;1381814361509;4.9391804251935225;4.553184666349914
Ubisense;1381814361869;4.920232746364195;4.2482922094994935
Ubisense;1381814362009;4.827572298358857;3.9077517274196443
Ubisense;1381814362150;4.8108757805002424;3.574774382863161
Ubisense;1381814362680;4.7;3.2258109413990756
Ubisense;1381814363274;4.442936900748572;2.9172834140753303
Ubisense;1381814363430;4.132662002238362;2.680392433086946
Ubisense;1381814363586;3.7844012221478267;2.480767860625787
Ubisense;1381814364039;3.1424073746115786;2.033609417238726
Ubisense;1381814365646;2.817893596434637;1.8975831217345005
Ubisense;1381814366115;2.496062712424244;1.794198789088404
Ubisense;1381814366708;2.1708461433354977;1.6518993083548648
Ubisense;1381814880000;1.5063081309139188;5.736309358941332
Ubisense;1381814880453;2.1559501468898423;5.569927331577716
Ubisense;1381814880625;2.487880429409576;5.5169680540784665
Ubisense;1381814881233;2.827256089777281;5.473628873520501
Ubisense;1381814881546;3.134183318663963;5.436502595858753
Ubisense;1381814883637;3.4643130441582617;5.319419804393843
Ubisense;1381814884355;3.7816128817574026;5.28150626532377
Ubisense;1381814884605;4.106708348427424;5.317927547041066
Ubisense;1381814884839;4.455112997274289;5.277727551575674
Ubisense;1381814886509;4.950932187032412;4.552991886871805
Ubisense;1381814886869;4.890094775203278;4.246327122374856
Ubisense;1381814887009;4.8198831881395625;3.8882716273754347
Ubisense;1381814887150;4.7996305040056315;3.561214208738123
Ubisense;1381814887680;4.714251701576641;3.2
Ubisense;1381814888430;4.1209791043420365;2.691068569212633
Ubisense;1381814888586;3.76;2.4851822994349493
Ubisense;1381814888757;3.4602154849631463;2.2581473814290502
Ubisense;1381814889039;3.13492036777803;2.0364336867167987
Ubisense;1381814890000;1.35;1.1642162540891037
Ubisense;1381814890563;1.6460023383670408;1.3798499049981012
Ubisense;1381814890646;2.8143914170171898;1.899733665511111
Ubisense;1381814891156;1.9657989564220377;1.6397407500169274
Ubisense;1381814891406;2.309339360806357;1.8045619039339398
Ubisense;1381814891708;2.1475041930180327;1.6433074399112877
Ubisense;1381814892186;2.6578432318838923;1.9565043974240688
Ubisense;1381814892375;2.985453835455821;2.1146473965715087
Ubisense;1381814892645;1.8375758931918598;1.43
Ubisense;1381814892780;3.296985232345982;2.3089516814144626
Ubisense;1381814893560;3.6242766196467104;2.4944633992035423
Ubisense;1381814893811;3.9357976845683935;2.784783706148491
Ubisense;1381814894575;4.250006045578532;3.049343105354389
Ubisense;1381814894841;4.565913260476992;3.391262305153714
Ubisense;1381814897448;4.9647632344953605;4.376388574599795
Ubisense;1381814898290;4.914513154800537;4.7111571520407
Ubisense;1381814899211;4.5021817866147495;5.298254273747616
Ubisense;1381814899430;4.199999999999999;5.421344923050423
Ubisense;1381814899790;3.861495315410226;5.482306654248549
Ubisense;1381814899961;3.5467481287507208;5.554572425121065
Ubisense;1381814900000;3.9814727670156036;3.001906098936509
Ubisense;1381814900148;3.19;5.622583952773354
Ubisense;1381814900336;2.8563341933812865;5.738191194829278
Ubisense;1381814900679;2.552663302420447;5.803408266961504
Ubisense;1381814901000;2.8990957638137367;2.14
Ubisense;1381814901273;2.236032277896777;5.806584926680188
Ubisense;1381814901785;1.9826038237623087;1.5080803920326076
Ubisense;1381814902115;1.888166229141379;5.771357511615357
Ubisense;1381815800000;1.9975383420078807;2.8944088625562903
Ubisense;1381815801000;1.0723440034628702;2.58
Ubisense;1381815802000;0.6022385242320627;1.7126869686006243
Ubisense;1381815803000;0.8254867918426475;0.7460153099025567
Ubisense;1381815804000;1.59;0.16147760786321583
Ubisense;1381815805000;2.564290756309016;0.23128416848730007
Ubisense;1381815807000;3.3543325443149437;1.9043030201824767
Ubisense;1381815808000;2.756777894970885;2.6789714672888407
Ubisense;1381815808796;1.9892332923042357;2.897925860142328
Ubisense;1381819700000;2.993518027319176;1.004443865710555
Ubisense;1381819701000;3.002694978951617;1.0036075778199924
Ubisense;1381819702000;2.9768496822493193;1.0067678666570365
Ubisense;1381819703000;2.961354650838257;1.0169894097570047
Ubisense;1381819704000;2.957435216243211;1.0027159479375802
Ubisense;1381821200000;1.321089621824515;1.1764677367857093
Ubisense;1381821200563;1.6331029082134958;1.3961892139771894
Ubisense;1381821201156;1.9671703552662338;1.6336801732820436
Ubisense;1381821201406;2.31714755187841;1.803834759660968
Ubisense;1381821202186;2.644908414069231;1.951027888832859
Ubisense;1381821202780;3.2730939126294456;2.316291212977403
Ubisense;1381821203560;3.618129320518845;2.493390726330004
Ubisense;1381821203811;3.930100762170395;2.7777091050404557
Ubisense;1381821204575;4.258265731684616;3.0575385246486
Ubisense;1381821204841;4.578695260896857;3.392332725256703
Ubisense;1381821207448;4.967083957372998;4.38857131089566
Ubisense;1381821208290;4.91971990914679;4.700708301881308
Ubisense;1381821208759;4.826424356690638;5.041832092773979
Ubisense;1381821209211;4.503707345637923;5.303349139805534
Ubisense;1381821209430;4.171075516658243;5.406618316961151
Ubisense;1381821209961;3.53323122664272;5.541157485997884
Ubisense;1381821210148;3.1954002805909885;5.612475805475266
Ubisense;1381821210336;2.865347695155525;5.713544994373755
Ubisense;1381821210679;2.5494254459866275;5.815990418386612
Ubisense;1381821211273;2.2036559918261767;5.829294611026157
Ubisense;1381821212115;1.882580120656679;5.774385009877806
Ubisense;1381821212350;1.5756056215089826;5.815589818484392
Storage;1381821230000;KITCHEN_SHELF;OBJECT_TAKEN
Storage;1381821233000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381821235000;1.0040695481924027;5.4891989884167485
Ubisense;1381821235714;1.001163211617485;6.507728142582335
Ubisense;1381821248000;0.9998679976421061;6.509921617931813
Ubisense;1381821248714;1.0173078581182462;5.497221935553496
Storage;1381821250000;KITCHEN_SHELF;OBJECT_PUT
Ubisense;1381821250000;1.0148671249065055;5.496816825020918
Ubisense;1381821251428;0.9832177447704896;7.502909149043868
Ubisense;1381821263000;0.9906633435748167;7.5116723222527915
Water;1381821263000;KITCHEN_SINK_COLD;OFF
Ubisense;1381821263714;1.0096869168200364;6.484665398685245
Ubisense;1381821270000;0.9918379012389549;6.489911401009488
Ubisense;1381821270714;1.0004552790358496;5.488362311523589
Storage;1381821273000;KITCHEN_SHELF;OBJECT_TAKEN
Storage;1381821275000;KITCHEN_SHELF;CLOSED
Ubisense;1381821276714;0.98;6.511831358608142
Power;1381821290000;KAFFEMASCHINE;ON
Power;1381821320000;KAFFEMASCHINE;ON
Alarm;1381821320000;Kaffemaschiene;fertig
Ubisense;1381821330282;1.8402365914432635;5.676363163308046
Ubisense;1381821330453;2.1687439436406857;5.5849164544242775
Ubisense;1381821330625;2.47998386115883;5.518668332093748
Ubisense;1381821331233;2.8036573475745943;5.489324999703401
Ubisense;1381821331546;3.1402606859262425;5.442485041919209
Ubisense;1381821334355;3.7690950955487827;5.284333869264081
Ubisense;1381821334839;4.432160563768764;5.2811848621957385
Ubisense;1381821335323;4.7742075763846445;5.235596346082682
Ubisense;1381821335838;4.926594467906735;4.9010433805728955
Ubisense;1381821336869;4.914448736337226;4.240572022792986
Ubisense;1381821337009;4.817486976487331;3.903063483834644
