Bed;1381788000000;REM
Bed;1381789500000;N3
Bed;1381789800000;N4
Bed;1381792800000;N2
Bed;1381794600000;N2
Bed;1381798500000;N1
Bed;1381799100000;REM
Bed;1381801200000;N2
Bed;1381801800000;N4
Bed;1381803000000;N3
Bed;1381804800000;N2
Bed;1381805400000;N1
Bed;1381808700000;N2
Bed;1381811400000;N1
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;WACH
Ubisense;1381813380000;9.79;5.4286357554992835
Ubisense;1381813382371;9.24;5.856031841706384
Ubisense;1381813383770;8.948678079498851;5.9231811116639435
Ubisense;1381813386613;8.710820657692901;5.485853815725611
Ubisense;1381813389946;8.484856695625538;4.59655183862923
Ubisense;1381813390714;8.690040560113605;4.3500000000000005
Ubisense;1381813391434;8.746528826780002;3.7359553622419823
Ubisense;1381813392023;8.477493922807987;3.775296653521887
Ubisense;1381813392533;8.484388341633883;3.389318164068259
Ubisense;1381813393319;8.66;2.977744199207635
Ubisense;1381813395037;8.84418190041396;2.202357182532989
Ubisense;1381813395587;9.267685679649238;2.4714818122263678
Ubisense;1381813396098;9.601225012176032;2.42481464032262
Ubisense;1381813396301;9.930654610031912;2.186995463858751
Ubisense;1381813396513;10.241777249219982;2.4923944313650743
Ubisense;1381813397719;10.776653377490806;2.7004009020143647
Ubisense;1381813398292;11.196865320356052;2.6816436137693875
Ubisense;1381813403711;11.091346881520073;2.743705437155243
Ubisense;1381813404239;10.882022486422365;2.6124262063320387
Ubisense;1381813404342;10.63387834354879;2.7524268892228623
Ubisense;1381813404532;10.251084311772392;2.4897552151104363
Ubisense;1381813404872;9.96315202190189;2.446710806374749
Ubisense;1381813405332;9.419229589537137;2.768064258873047
Ubisense;1381813405453;9.331918650436997;2.609843367646783
Ubisense;1381813405616;8.757544489378608;2.7146575980012564
Ubisense;1381813405856;8.48814611619298;2.742753235506857
Ubisense;1381813406446;8.547768685698191;2.8562625031082924
Ubisense;1381813407319;8.056413049282057;2.782561128059761
Ubisense;1381813410000;11.011466414502786;7.806600098000628
Ubisense;1381813410500;11.009096778235198;8.505346448103897
Ubisense;1381813470000;11.006911089849105;8.52
Water;1381813470000;BATH_TOILET_COLD;OFF
Ubisense;1381813470928;9.68;8.483846682055614
Water;1381813485000;BATH_SINK_COLD;ON
Water;1381813500000;BATH_SINK_COLD;OFF
Ubisense;1381813515000;8.989466292221499;7.989131303934934
Ubisense;1381813515798;7.994744667799401;8.52
Water;1381813525000;BATH_SHOWER_HOT;ON
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;OFF
Ubisense;1381813705000;8.009940432277368;8.506019462039305
Ubisense;1381813705798;9.003510955954905;8.009991320154304
Ubisense;1381813735000;8.992583752822249;7.999046477681066
Ubisense;1381813735614;9.698484011006494;8.494418037894476
Ubisense;1381813760000;9.77953635129818;7.9663475534111665
Ubisense;1381813760008;9.422359039364796;7.689730561698991
Ubisense;1381813760573;8.739282383159102;7.37317997789019
Ubisense;1381813760964;8.440337373082325;7.230216425345404
Ubisense;1381813761956;8.138461468127472;7.15
Ubisense;1381813762455;7.819098847975475;7.090846127368738
Ubisense;1381813762982;7.523502881902562;7.093175691896225
Ubisense;1381813764297;7.220836731413135;7.083271332043726
Ubisense;1381813764492;6.966411225363272;6.774132247836028
Ubisense;1381813764674;6.9244337947039645;6.477251527111255
Ubisense;1381813765016;6.8912273898683445;5.877891710403217
Ubisense;1381813765242;6.892265333730363;5.546733340793543
Ubisense;1381813765366;6.940778300490112;5.215918427464042
Ubisense;1381813765553;6.929394356044244;4.902657151217942
Ubisense;1381813765713;6.9637053349699425;4.5976492830487565
Ubisense;1381813765938;6.981575629781121;4.2700000000000005
Ubisense;1381813766120;7.007948107947801;3.943139446265891
Ubisense;1381813766417;7.051841976288459;3.651446978562249
Ubisense;1381813766653;7.080712726210071;3.341348285249867
Ubisense;1381813766862;7.138039029621241;3.0176247928986517
Ubisense;1381813767307;7.210433189803013;2.720653921975361
Ubisense;1381813767919;7.419106553728758;2.430781747512168
Ubisense;1381813768334;7.718656646292666;2.2278847321850845
Ubisense;1381813768960;8.066442306916873;1.9734155209416107
Ubisense;1381813800000;9.500722006435122;2.507956914281439
Ubisense;1381813800714;9.49651119124729;1.4943508038500626
Storage;1381813810000;SLEEPING_ROOM_WARDROBE;OPENED
Storage;1381813815000;SLEEPING_ROOM_WARDROBE;OBJECT_TAKEN
Ubisense;1381813825000;9.48;1.5179992977309653
Ubisense;1381813826000;10.88893010482799;1.5101274658963846
Ubisense;1381813826071;11.006204178331055;1.5083498284745123
Ubisense;1381813930000;11.002981045769303;1.5144963668698348
Ubisense;1381813931000;9.58837842831192;1.5060488330095727
Ubisense;1381813931071;9.495770983013402;1.5040863899645185
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813945000;9.501904241599286;1.4956988146232202
Ubisense;1381813965000;9.051920698370449;1.8913724973007184
Ubisense;1381813965259;8.616159739323162;2.3001035094325024
Ubisense;1381813965815;8.284930930752724;2.354591780327222
Ubisense;1381813965948;7.965869161361927;2.362700226724553
Ubisense;1381813966038;7.671566308720985;2.4178950376610926
Ubisense;1381813966159;7.334504611765652;2.5221030460869143
Ubisense;1381813966878;7.022009011270714;2.618970845724233
Ubisense;1381813967003;6.673237315875174;2.68033469152127
Ubisense;1381813967324;6.268796147968274;2.8083108785771547
Ubisense;1381813967571;5.941865462378201;3.137070203432468
Ubisense;1381813967695;5.670012616448359;3.5100000000000002
Ubisense;1381813968249;5.424203210025758;3.8685286313491805
Ubisense;1381813968469;5.225777327726829;4.214292406562459
Ubisense;1381813968584;5.141298084466938;4.56005400573699
Ubisense;1381813968708;5.00387491212467;4.946928077127795
Ubisense;1381813969174;4.864217736301704;5.274990279839005
Ubisense;1381813969574;4.526518361918325;5.542144267862931
Ubisense;1381813969854;4.1756587046575095;5.406616552225557
Ubisense;1381813970584;3.4891362408209936;5.456246247777253
Ubisense;1381813970858;3.1713175826721147;5.509098677431336
Ubisense;1381813971055;2.845687971091413;5.552747713841411
Ubisense;1381813971655;2.5104785191498658;5.62622870246968
Ubisense;1381813971940;2.146843486337551;5.669622114287121
Ubisense;1381813990000;2.5028481752834826;5.504208357803031
Ubisense;1381813991000;3.342081084839473;6.603626589868605
Ubisense;1381813991171;3.5107329804695846;6.789694613075396
Storage;1381813995000;KITCHEN_FRIDGE;OPENED
Storage;1381814000000;KITCHEN_FRIDGE;OBJECT_TAKEN
Ubisense;1381814005000;3.4861558514412962;6.808784828886122
Storage;1381814005000;KITCHEN_FRIDGE;CLOSED
Ubisense;1381814006000;2.875197874141775;8.044439494914037
Ubisense;1381814006118;2.7939043422928513;8.194445990614435
Ubisense;1381814290000;2.8173093131539533;8.20938355528032
Ubisense;1381814291000;2.195828529858389;6.936145887451424
Ubisense;1381814292000;1.6026549280537632;5.67131353340834
Ubisense;1381814292140;1.52;5.4983771348277815
Storage;1381814310000;KITCHEN_SHELF;OPENED
Storage;1381814315000;KITCHEN_SHELF;OBJECT_TAKEN
Storage;1381814325000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381814325000;1.48;5.500615609296629
Ubisense;1381814326000;2.12880962027256;6.759814646847155
Ubisense;1381814327000;2.7020071156692804;8.007769620190384
Ubisense;1381814327140;2.8054510050893366;8.193561101506454
Power;1381814350000;HERD;OFF
Ubisense;1381814355000;2.810395106651778;8.194237401407266
Ubisense;1381814355000;1.51647282243403;5.713600761259014
Ubisense;1381814355282;1.8331585572715021;5.661691746650406
Ubisense;1381814355453;2.162417698709747;5.565738019232548
Ubisense;1381814355625;2.488422906593935;5.5017410192250855
Ubisense;1381814356000;2.1432619312571037;6.952276253132704
Ubisense;1381814356233;2.83;5.491018014321224
Ubisense;1381814356546;3.13803339524934;5.425416965200052
Ubisense;1381814357000;1.5170832551204325;5.721600269097545
Ubisense;1381814357012;1.4844932164722455;5.68281585893219
Ubisense;1381814358637;3.467310982067322;5.3172550948196236
Ubisense;1381814359355;3.763310363444823;5.262672359586031
Ubisense;1381814359605;4.115594824794291;5.285358597437763
Ubisense;1381814359839;4.446290734929461;5.2609717074927325
Ubisense;1381814360323;4.778397765528436;5.213586653106176
Ubisense;1381814360838;4.943785428959123;4.883363225907654
Ubisense;1381814361509;4.95752088822873;4.5787664083940065
Ubisense;1381814362009;4.837304100157089;3.8992527246687634
Ubisense;1381814362150;4.800882234164607;3.5602689831275396
Ubisense;1381814362680;4.7250844968382655;3.2035245624586937
Ubisense;1381814363274;4.453953351770613;2.886974240103321
Ubisense;1381814363430;4.14176662524681;2.682438377232464
Ubisense;1381814363586;3.781886318123766;2.4841903472158617
Ubisense;1381814364039;3.1286151279130863;2.039141098992154
Ubisense;1381814365646;2.803977122155607;1.8974319117632552
Ubisense;1381814366115;2.4949824019573654;1.8191274181045631
Ubisense;1381814366708;2.1756001177593607;1.643837612416719
Ubisense;1381814367645;1.853431311472863;1.4429137766191769
Ubisense;1381814880282;1.8228795092196077;5.681095421925604
Ubisense;1381814881233;2.8116507216941176;5.502165468126053
Ubisense;1381814883637;3.457432912388872;5.3353261134742365
Ubisense;1381814884355;3.7894862274597614;5.260618610156043
Ubisense;1381814884605;4.110168798494915;5.291082991677226
Ubisense;1381814885323;4.766433358126702;5.222892478586361
Ubisense;1381814885838;4.937970776723237;4.878560038869704
Ubisense;1381814886509;4.928859743119119;4.57153499221937
Ubisense;1381814886869;4.916680369158548;4.243327488008082
Ubisense;1381814887150;4.789252938084837;3.56841674606116
Ubisense;1381814887680;4.707301228634715;3.20842020859406
Ubisense;1381814888274;4.441171293221676;2.9077361946426166
Ubisense;1381814888430;4.126517732924591;2.705541988977442
Ubisense;1381814888586;3.7734523378739038;2.47581435586252
Ubisense;1381814888757;3.4578778982173697;2.2605254323295565
Ubisense;1381814889039;3.1193553999733528;2.0445755446398506
Ubisense;1381814890000;1.326447657384205;1.1843018254995514
Ubisense;1381814890563;1.6526387792109951;1.41
Ubisense;1381814890646;2.820083427294678;1.9069029868073215
Ubisense;1381814891156;1.9800605005894396;1.639667964674881
Ubisense;1381814891406;2.3052732647494443;1.7943130792590465
Ubisense;1381814891708;2.154122462181369;1.656018020283395
Ubisense;1381814892186;2.6436123099449063;1.952609666531172
Ubisense;1381814892375;2.9728490232556712;2.1241988990406746
Ubisense;1381814892645;1.8408633607904679;1.445793240786374
Ubisense;1381814892780;3.286480081201294;2.3184352362049268
Ubisense;1381814893560;3.6110674429732366;2.5086071507695653
Ubisense;1381814893811;3.94206534124311;2.802189256518107
Ubisense;1381814894575;4.248467121323972;3.0646622333428817
Ubisense;1381814894841;4.559288716461866;3.3872347291683598
Ubisense;1381814895107;4.740639703662262;3.738471541300082
Ubisense;1381814897181;4.915105014446084;4.061005027485262
Ubisense;1381814897448;4.965673545364294;4.373099121644158
Ubisense;1381814898759;4.835390282823156;5.038054353394488
Ubisense;1381814899211;4.503677633893906;5.296311082177862
Ubisense;1381814899430;4.162220457542811;5.402412498129219
Ubisense;1381814899790;3.8632330617500856;5.48238767355789
Ubisense;1381814899961;3.5433308166950357;5.537601836963144
Ubisense;1381814900000;3.999877904986167;2.9973213847350078
Ubisense;1381814900148;3.227091635891477;5.61893472281834
Ubisense;1381814900336;2.848367804212352;5.733830022028803
Ubisense;1381814900679;2.550646371055745;5.814874379697603
Ubisense;1381814901000;2.8821208828549874;2.1578205975760705
Ubisense;1381814901273;2.219714309252504;5.816433628543607
Ubisense;1381814901785;2.0088150779648726;1.4964895329877113
Ubisense;1381814902115;1.8871407508019429;5.773064263848768
Ubisense;1381814902350;1.5705301622370116;5.814635027498341
Ubisense;1381815800000;2.0099120028922566;2.8826494750944485
Ubisense;1381815801000;1.0810712480602338;2.5531387596820405
Ubisense;1381815802000;0.623852772283841;1.708440949198231
Ubisense;1381815803000;0.8284882812148441;0.7488170495855876
Ubisense;1381815804000;1.5990666102398234;0.14795110891184582
Ubisense;1381815805000;2.5735303937634897;0.22467045425067772
Ubisense;1381815806000;3.2723678097746265;0.9183929785386675
Ubisense;1381815807000;3.3424719310646505;1.8936432591168195
Ubisense;1381815808796;2.0054111602732387;2.917159865975007
Ubisense;1381819700000;2.98;0.9921623356707859
Ubisense;1381819701000;3.001202020229253;0.9921055693228924
Ubisense;1381819702000;3.010909716843713;1.006838344941869
Ubisense;1381819704000;2.995869811082009;0.9833779481002325
Ubisense;1381821200000;1.3489188182998262;1.1851214285220708
Ubisense;1381821201156;1.9709833255228617;1.6448170780444735
Ubisense;1381821201406;2.319546478725534;1.8113938164352783
Ubisense;1381821202375;2.9695069155550016;2.1081739825006762
Ubisense;1381821202780;3.2853707435650943;2.302269180750148
Ubisense;1381821203560;3.6293378247896464;2.511476304840941
Ubisense;1381821203811;3.930209808844566;2.7851133981074385
Ubisense;1381821204575;4.252604593302571;3.08
Ubisense;1381821205107;4.762148272668236;3.726527890151813
Ubisense;1381821207181;4.909516766769118;4.0654091034005795
Ubisense;1381821208290;4.919930054309632;4.719097112066436
Ubisense;1381821208759;4.818641087728316;5.035677677818702
Ubisense;1381821209211;4.5229969516110655;5.309585749362015
Ubisense;1381821209430;4.165505578200537;5.404525790022877
Ubisense;1381821209790;3.8468432359983487;5.488564128179341
Ubisense;1381821210148;3.2205969566917263;5.630734345022298
Ubisense;1381821210336;2.863690800215029;5.736534001175589
Ubisense;1381821211273;2.2390336880694273;5.820373808285208
Ubisense;1381821212115;1.8948946933375128;5.775446130161738
Ubisense;1381821212350;1.5585967574256274;5.809497546676749
Storage;1381821230000;KITCHEN_SHELF;OPENED
Storage;1381821233000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381821235714;0.9857175797672638;6.509464681921537
Ubisense;1381821248000;1.0177338951570678;6.501841070862489
Ubisense;1381821248714;1.0114501735075674;5.5032585847201
Storage;1381821250000;KITCHEN_SHELF;OBJECT_PUT
Ubisense;1381821251000;1.014184115020773;6.907579823232849
Ubisense;1381821251428;1.02;7.50442895258493
Water;1381821255000;KITCHEN_SINK_COLD;ON
Water;1381821263000;KITCHEN_SINK_COLD;OFF
Ubisense;1381821263000;0.9886857187680236;7.491855492292644
Ubisense;1381821263714;0.9978269907082418;6.502571249624327
Ubisense;1381821270000;0.9884009781074061;6.5049295565239476
Ubisense;1381821270714;0.9938741661026673;5.502458490022984
Storage;1381821273000;KITCHEN_SHELF;OBJECT_TAKEN
Storage;1381821275000;KITCHEN_SHELF;CLOSED
Ubisense;1381821276000;1.0097794037871772;5.493933882886128
Ubisense;1381821276714;1.0165534551988948;6.508728816327073
Power;1381821320000;KAFFEMASCHINE;ON
Alarm;1381821320000;Kaffemaschiene;fertig
Ubisense;1381821330000;1.517127418038035;5.718752816802069
Ubisense;1381821330282;1.8453922257169246;5.671603236457484
Ubisense;1381821330453;2.1567597405421988;5.586803039352811
Ubisense;1381821330625;2.4956376434565866;5.512509207090175
Ubisense;1381821331233;2.82219375063237;5.470000000000001
Ubisense;1381821331546;3.125620382771262;5.41
Ubisense;1381821333637;3.465209242737566;5.325121114606464
