Bed;1381788000000;REM
Bed;1381788600000;NREM
Bed;1381788900000;N2
Bed;1381789500000;N1
Bed;1381789800000;N4
Bed;1381792800000;REM
Bed;1381794600000;N2
Bed;1381796700000;N4
Bed;1381798500000;N1
Bed;1381799100000;REM
Bed;1381801200000;N1
Bed;1381801800000;N4
Bed;1381803000000;N3
Bed;1381804800000;N3
Bed;1381808700000;N2
Bed;1381811400000;N1
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;WACH
Ubisense;1381813380000;9.782822620615805;5.444329563427574
Ubisense;1381813380989;9.478753871051309;5.486057694978822
Ubisense;1381813382371;9.233478786256066;5.8473138723800915
Ubisense;1381813383770;8.957995381494332;5.912508933283728
Ubisense;1381813386613;8.704475660424745;5.50299566983694
Ubisense;1381813388327;9.018496018391646;4.991995959068873
Ubisense;1381813389946;8.479552059209606;4.608953155804188
Ubisense;1381813390714;8.670693008238052;4.3507632509004495
Ubisense;1381813391434;8.738831893572854;3.755570485173447
Ubisense;1381813392023;8.461865304449839;3.8
Ubisense;1381813392533;8.505475629773327;3.3868413104412682
Ubisense;1381813393319;8.691166923929895;2.982546649254633
Ubisense;1381813394429;8.6;2.6267363518618954
Ubisense;1381813395037;8.848486155471502;2.2030754640047485
Ubisense;1381813395587;9.264482454378946;2.4808617155545734
Ubisense;1381813396098;9.605784406832816;2.436248682621366
Ubisense;1381813396301;9.944758810517268;2.170362256439527
Ubisense;1381813396513;10.258505915154613;2.4958505361750314
Ubisense;1381813397248;10.733257427297593;2.704459028010618
Ubisense;1381813397719;10.789723327591181;2.7167867593551267
Ubisense;1381813398292;11.212431605952304;2.67
Ubisense;1381813403711;11.087830991108602;2.759458742078236
Ubisense;1381813404239;10.893859950772141;2.6068431918327692
Ubisense;1381813404342;10.610760760168102;2.763493265393904
Ubisense;1381813404532;10.264315364689402;2.487213318147759
Ubisense;1381813404872;9.963334519695948;2.449561645032856
Ubisense;1381813405332;9.420277049811643;2.751251602685634
Ubisense;1381813405453;9.318404766212701;2.613847466905929
Ubisense;1381813405616;8.76635220327773;2.7150164691025083
Ubisense;1381813405856;8.483803697920601;2.7431351702160023
Ubisense;1381813406446;8.569338394303852;2.822032957104991
Ubisense;1381813407319;8.08621297468781;2.8049400708506904
Ubisense;1381813410000;10.997062684334493;7.819999999999999
Ubisense;1381813470000;10.999449681929805;8.49962103736526
Water;1381813470000;BATH_TOILET_COLD;ON
Ubisense;1381813470928;9.688626301637141;8.492397246221252
Water;1381813485000;BATH_SINK_COLD;ON
Water;1381813500000;BATH_SINK_COLD;OFF
Ubisense;1381813515798;7.995781786134751;8.514587430298239
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;OFF
Ubisense;1381813705000;7.986887064246598;8.52
Ubisense;1381813705798;8.988342227124853;7.99393316366661
Ubisense;1381813735000;9.003830362153305;8.008868603708928
Ubisense;1381813735614;9.70606955628443;8.497350637166504
Ubisense;1381813760000;9.794526304789349;7.972820105347607
Ubisense;1381813760008;9.41432351120661;7.65
Ubisense;1381813760352;9.076648457814219;7.547603529294221
Ubisense;1381813760964;8.430287656367433;7.232809643498697
Ubisense;1381813761956;8.12082036856622;7.1653700613304885
Ubisense;1381813762455;7.840590611407348;7.084627848814362
Ubisense;1381813762982;7.5287560566085725;7.076837740045911
Ubisense;1381813764297;7.204776269921146;7.089800165242743
Ubisense;1381813764492;6.961592399623252;6.788495742626972
Ubisense;1381813764674;6.916465170951859;6.474063814380909
Ubisense;1381813764826;6.908045050416752;6.1599042031335545
Ubisense;1381813765242;6.903530750431129;5.556150474369331
Ubisense;1381813765366;6.921786571437221;5.199576146842543
Ubisense;1381813765553;6.9279748909289465;4.925162480558557
Ubisense;1381813765713;6.969505990644137;4.5990573734564455
Ubisense;1381813765938;6.980145856849163;4.307224899419719
Ubisense;1381813766417;7.038386705325929;3.67
Ubisense;1381813766653;7.074831202688817;3.3450833908827704
Ubisense;1381813766862;7.1256508256944056;3.030664724334365
Ubisense;1381813767307;7.2299999999999995;2.717753322296498
Ubisense;1381813767919;7.424818633706301;2.415561027515856
Ubisense;1381813768334;7.711369918687334;2.2082572558840456
Ubisense;1381813768960;8.068687926828437;1.9712074039137606
Ubisense;1381813800000;9.495686076233554;2.507906270065109
Ubisense;1381813800714;9.494753358671215;1.5096180206117285
Storage;1381813810000;SLEEPING_ROOM_WARDROBE;OPENED
Storage;1381813815000;SLEEPING_ROOM_WARDROBE;OBJECT_TAKEN
Ubisense;1381813825000;9.491084525263433;1.5123362286380817
Ubisense;1381813826071;11.006552684265369;1.5038146820659786
Ubisense;1381813930000;10.984164130585008;1.5057145748914285
Ubisense;1381813931000;9.602533872350834;1.507031569009845
Ubisense;1381813931071;9.48;1.4974531275712029
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813945000;9.510438335316124;1.5122233938004477
Ubisense;1381813945714;9.497857405418296;2.4840484444912203
Ubisense;1381813965000;9.055654011579028;1.8909677244105738
Ubisense;1381813965006;8.951731256855883;2.219521830599366
Ubisense;1381813965259;8.618087581727602;2.304572844970894
Ubisense;1381813965815;8.297458837484811;2.348285462933315
Ubisense;1381813965948;7.9851235152466895;2.3733974269351856
Ubisense;1381813966038;7.669730929983977;2.4
Ubisense;1381813966159;7.348656865460796;2.508385723833274
Ubisense;1381813967003;6.683314075327366;2.6936203040921987
Ubisense;1381813967571;5.926219126580879;3.127929042885384
Ubisense;1381813967695;5.6711282252313815;3.4883208138196036
Ubisense;1381813968249;5.400611317464263;3.887423505910436
Ubisense;1381813968469;5.232620642783133;4.225624282235156
Ubisense;1381813968584;5.144090771590671;4.5725709252873825
Ubisense;1381813968708;4.984966283859506;4.934653613915468
Ubisense;1381813969174;4.8547797139065265;5.262385508609663
Ubisense;1381813969574;4.535690656625109;5.56
Ubisense;1381813969854;4.170487537959367;5.41160419742607
Ubisense;1381813970005;3.842889792366848;5.418883194001317
Ubisense;1381813970584;3.4690130066677254;5.4669216491847825
Ubisense;1381813970858;3.1543008477816827;5.50637298870778
Ubisense;1381813971055;2.831206875194451;5.57286973294877
Ubisense;1381813971655;2.5010823676711955;5.624517811583517
Ubisense;1381813971940;2.14;5.6609014084584945
Ubisense;1381813972675;1.8460931442744977;5.7213467621004614
Ubisense;1381813990000;2.52;5.504806639254648
Ubisense;1381813991000;3.3579736147442993;6.5982332463676565
Ubisense;1381813991171;3.502009856618785;6.804946841414778
Storage;1381813995000;KITCHEN_FRIDGE;OPENED
Storage;1381814000000;KITCHEN_FRIDGE;OPENED
Storage;1381814005000;KITCHEN_FRIDGE;CLOSED
Ubisense;1381814005000;3.4892100824957764;6.79819473351496
Ubisense;1381814006000;2.854828717547066;8.030000000000001
Ubisense;1381814006118;2.815339021549726;8.189697093168652
Power;1381814020000;HERD;ON
Ubisense;1381814290000;2.8074762873010934;8.198636030956953
Ubisense;1381814291000;2.1786543561013496;6.931287335569293
Ubisense;1381814292000;1.57;5.699999999999999
Ubisense;1381814292140;1.4844512529561649;5.495508591098721
Storage;1381814310000;KITCHEN_SHELF;OPENED
Storage;1381814315000;KITCHEN_SHELF;OBJECT_TAKEN
Storage;1381814325000;KITCHEN_SHELF;CLOSED
Ubisense;1381814325000;1.487748794648148;5.509065244848883
Ubisense;1381814326000;2.13;6.776292013312184
Ubisense;1381814327000;2.721255223432391;8.0
Ubisense;1381814327140;2.7909768715943164;8.189423837060048
Power;1381814350000;HERD;OFF
Ubisense;1381814355000;2.797835036284496;8.195860740701535
Ubisense;1381814355000;1.5170571223586349;5.722660485713666
Ubisense;1381814355282;1.8410017390548494;5.683553906112301
Ubisense;1381814355453;2.18;5.574997969899976
Ubisense;1381814356000;2.150508234145744;6.9523685095000936
Ubisense;1381814356233;2.8198301700759854;5.502806627433309
Ubisense;1381814356546;3.118998289140297;5.415571771540032
Ubisense;1381814357000;1.5110799570917965;5.717046988258
Ubisense;1381814357012;1.5108656929902555;5.711672615545841
Ubisense;1381814358637;3.4613776728819006;5.313654861701437
Ubisense;1381814359605;4.102014549800672;5.300262130356091
Ubisense;1381814359839;4.444552503883978;5.270782144920137
Ubisense;1381814360323;4.7667414917395625;5.239731617480192
Ubisense;1381814360838;4.929460873771556;4.87
Ubisense;1381814361509;4.936156858712729;4.575874821841764
Ubisense;1381814361869;4.916121748424536;4.248205823471855
Ubisense;1381814362009;4.849216353815571;3.9060749943391113
Ubisense;1381814362150;4.791782410590112;3.5801599129732606
Ubisense;1381814362680;4.722291287553339;3.2181072984138166
Ubisense;1381814363274;4.450778942810208;2.893180692909168
Ubisense;1381814363430;4.141888142951433;2.701184696810653
Ubisense;1381814363586;3.7814391351973486;2.475625934990013
Ubisense;1381814363757;3.469257065281223;2.270734494478235
Ubisense;1381814364039;3.112718398508562;2.048919759598064
Ubisense;1381814366115;2.506826141985837;1.7952124995275607
Ubisense;1381814366708;2.162091853032236;1.6397782242376264
Ubisense;1381814367645;1.8308402602264753;1.4592184125587866
Ubisense;1381814880000;1.5;5.733646851018376
Ubisense;1381814880282;1.8397244897648253;5.6716247084170135
Ubisense;1381814880453;2.1545315595339143;5.578460784456979
Ubisense;1381814880625;2.4765443259807065;5.499853583918387
Ubisense;1381814881546;3.1408335946064034;5.417214890835981
Ubisense;1381814883637;3.4595320537924463;5.315618246205446
Ubisense;1381814884355;3.7976744367199102;5.275765626115355
Ubisense;1381814884605;4.116491660202816;5.296719494588951
Ubisense;1381814884839;4.45369320263149;5.260873593248516
Ubisense;1381814885323;4.75;5.211570095150786
Ubisense;1381814885838;4.932366254910661;4.883892947916935
Ubisense;1381814886509;4.945341467342366;4.575314438899927
Ubisense;1381814886869;4.912879616567696;4.240716770876867
Ubisense;1381814887009;4.839543283570459;3.904357281971938
Ubisense;1381814887150;4.789007358632806;3.568697779860159
Ubisense;1381814887680;4.723674029015011;3.2027745617734698
Ubisense;1381814888274;4.449752861168315;2.88
Ubisense;1381814888430;4.133756644970714;2.6786565848982553
Ubisense;1381814888586;3.768579131922566;2.4661424806285934
Ubisense;1381814889039;3.114904532981035;2.023555832244769
Ubisense;1381814890000;1.3230347353234433;1.1842031703468188
Ubisense;1381814890563;1.6500100035114027;1.3888033435266756
Ubisense;1381814890646;2.8023436712201875;1.90879336463751
Ubisense;1381814891115;2.488849352544682;1.79065443449223
Ubisense;1381814891156;1.9751809719324451;1.6399738345489583
Ubisense;1381814891406;2.34;1.7849655018731387
Ubisense;1381814891708;2.175299148763555;1.624252905915431
Ubisense;1381814892186;2.6695689738878374;1.9718844523690664
Ubisense;1381814892375;2.9605680635755616;2.122488710362111
Ubisense;1381814892780;3.2855912741804776;2.3011582313598637
Ubisense;1381814893560;3.6228480925860405;2.498293658348296
Ubisense;1381814893811;3.9344923056166348;2.7743570252156218
Ubisense;1381814894575;4.259650427023576;3.058288922476193
Ubisense;1381814894841;4.574823225727701;3.3992193228100582
Ubisense;1381814895107;4.760658889807569;3.7428399913853174
Ubisense;1381814897181;4.903259847403011;4.056083328106735
Ubisense;1381814897448;4.967790752408329;4.385575787945507
Ubisense;1381814898290;4.9160734367813035;4.706953112116103
Ubisense;1381814898759;4.833267414731393;5.033426250391491
Ubisense;1381814899211;4.500325065960281;5.31490773841321
Ubisense;1381814899430;4.1763316550440654;5.390000000000001
Ubisense;1381814899790;3.843408999177879;5.489934752172425
Ubisense;1381814899961;3.5443389533578493;5.536919592771549
Ubisense;1381814900000;3.996129209905652;3.0060671110059474
Ubisense;1381814900148;3.2212091061833665;5.638571642086213
Ubisense;1381814900336;2.8521554245947938;5.727828262890882
Ubisense;1381814900679;2.5378163152725794;5.829999999999999
Ubisense;1381814901000;2.8741087514224866;2.1585451583693733
Ubisense;1381814901273;2.209395664630979;5.8127114758019465
Ubisense;1381814902115;1.8889415516360069;5.7921168179888
Ubisense;1381814902350;1.555354752536447;5.816231555322908
Ubisense;1381815800000;2.0112325320998075;2.92
Ubisense;1381815801000;1.0736293108370547;2.5729367289417087
Ubisense;1381815802000;0.6066115942412259;1.7120693520452752
Ubisense;1381815803000;0.8259207457677558;0.7527842529819813
Ubisense;1381815804000;1.6210576512009633;0.14
Ubisense;1381815805000;2.5963783701468355;0.23886819635643258
Ubisense;1381815806000;3.2714835030148866;0.9020668442687697
Ubisense;1381815807000;3.321905639078299;1.8952989984504607
Ubisense;1381815808000;2.751711179517849;2.6698944307907153
Ubisense;1381815808796;2.003270969519941;2.8934662725061973
Ubisense;1381819700000;2.9950137514914985;0.9945667538079395
Ubisense;1381819701000;3.0063375716866654;1.0037298806064667
Ubisense;1381819702000;3.0139313960039518;0.9934925695587524
Ubisense;1381819704000;3.026628720578032;1.0022431092009167
Ubisense;1381821200000;1.328963133950924;1.1702653366011049
Ubisense;1381821200563;1.6504450533875212;1.3832807274342669
Ubisense;1381821201406;2.3215887847957184;1.786247961758715
Ubisense;1381821202186;2.6657408658716393;1.944233433414847
Ubisense;1381821202375;2.976624246862802;2.118165995236084
Ubisense;1381821203560;3.6293704961690327;2.5111601974765208
Ubisense;1381821204575;4.2752891989381325;3.043479791815394
Ubisense;1381821205107;4.77;3.740591788173932
Ubisense;1381821207181;4.8992170953179075;4.0766524607444135
Ubisense;1381821207448;4.968655142507785;4.394740910972976
Ubisense;1381821208290;4.891333584715366;4.706981437525891
Ubisense;1381821208759;4.812592401130942;5.019531550562868
Ubisense;1381821209430;4.181355280341007;5.411702268983901
Ubisense;1381821209790;3.8497502916775277;5.486996099558517
Ubisense;1381821209961;3.5372106522161673;5.544152747110125
Ubisense;1381821210148;3.2127873014018236;5.62702529424915
Ubisense;1381821210336;2.861452273405842;5.75
Ubisense;1381821210679;2.5538471132584593;5.813208446837857
Ubisense;1381821211273;2.2171786969760285;5.80760183123371
Ubisense;1381821212115;1.8916832179097236;5.776918935427658
Ubisense;1381821212350;1.5716203335123031;5.796555063262406
Storage;1381821230000;KITCHEN_SHELF;OPENED
Storage;1381821233000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381821235000;1.006347068307081;5.487456282972337
Ubisense;1381821235714;0.9832629835323733;6.508290170128962
Ubisense;1381821248000;0.98;6.494243620539378
Ubisense;1381821248714;1.0038271786326611;5.489067450094468
Storage;1381821250000;KITCHEN_SHELF;OPENED
Ubisense;1381821250000;0.98;5.487212837609949
Ubisense;1381821251000;1.008551886266643;6.9003796629264365
Ubisense;1381821251428;0.9926984080794722;7.500795019972557
Water;1381821255000;KITCHEN_SINK_COLD;ON
Water;1381821263000;KITCHEN_SINK_COLD;OFF
Ubisense;1381821263000;1.0047193730849007;7.490251907052867
Ubisense;1381821263714;0.994690372891939;6.500049717025293
Ubisense;1381821270000;1.0124420007362016;6.496085551964493
Ubisense;1381821270714;0.9891399915800296;5.507293363464862
Storage;1381821273000;KITCHEN_SHELF;OBJECT_TAKEN
Storage;1381821275000;KITCHEN_SHELF;CLOSED
Ubisense;1381821276000;1.0161636339727789;5.509042866315595
Ubisense;1381821276714;1.0005179270546014;6.505183077494366
Power;1381821290000;KAFFEMASCHINE;OFF
