Bed;1381788600000;N1
Bed;1381788900000;N2
Bed;1381789500000;N3
Bed;1381789800000;N4
Bed;1381792800000;REM
Bed;1381794600000;REM
Bed;1381795800000;N2
Bed;1381799100000;REM
Bed;1381801200000;N1
Bed;1381801800000;N4
Bed;1381803000000;REM
Bed;1381804800000;N1
Bed;1381805400000;N1
Bed;1381808700000;WACH
Bed;1381811400000;N1
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;NREM
Ubisense;1381813380000;9.789580519229986;5.405555510680389
Ubisense;1381813380989;9.48930647750415;5.454880598832069
Ubisense;1381813382371;9.222093610674406;5.829549474865023
Ubisense;1381813383770;8.966810943027378;5.909666362526385
Ubisense;1381813386613;8.69180465351519;5.4928004497365075
Ubisense;1381813389946;8.500375185780461;4.57
Ubisense;1381813390714;8.65941920378022;4.3322869649931075
Ubisense;1381813391434;8.741784551676309;3.789086970394242
Ubisense;1381813392533;8.490671729046818;3.3909951116838815
Ubisense;1381813394429;8.623100276622955;2.6567813052409948
Ubisense;1381813395037;8.852747291430656;2.2073366174510767
Ubisense;1381813395587;9.255380492513167;2.451081701765289
Ubisense;1381813396098;9.585527659978684;2.4526276565460696
Ubisense;1381813396513;10.255854780491214;2.4749894127266368
Ubisense;1381813397248;10.71975423935531;2.7015480925663353
Ubisense;1381813397719;10.816210477667932;2.7237225382476917
Ubisense;1381813403170;11.423653999922086;2.6481405131830438
Ubisense;1381813403711;11.111155920481893;2.7214305681554225
Ubisense;1381813404239;10.872858749875729;2.585619463239539
Ubisense;1381813404342;10.642382187067698;2.776911644663913
Ubisense;1381813404532;10.246333371666381;2.5090004438850784
Ubisense;1381813404872;9.961779683261064;2.476877062535664
Ubisense;1381813405332;9.421252651269896;2.7520870078388238
Ubisense;1381813405453;9.315509878070642;2.594743274457754
Ubisense;1381813405616;8.76235317244134;2.725984526443734
Ubisense;1381813405856;8.465464168669882;2.764696943237072
Ubisense;1381813406446;8.578018787839037;2.8388976181353494
Ubisense;1381813407319;8.06182189695034;2.7756202695558945
Ubisense;1381813410000;10.974246293184029;7.776708356392446
Ubisense;1381813410500;10.991802101182989;8.53289050669233
Ubisense;1381813470000;11.036388908348238;8.53281029340885
Ubisense;1381813470928;9.732611182132196;8.476701737249941
Water;1381813485000;BATH_SINK_COLD;ON
Water;1381813500000;BATH_SINK_COLD;OFF
Ubisense;1381813515798;8.027166785303658;8.460816610613223
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;ON
Ubisense;1381813705000;7.978995326390777;8.472903190152207
Ubisense;1381813705798;9.012664308543547;8.037346789178722
Ubisense;1381813735614;9.73766397519811;8.487278949394714
Ubisense;1381813760000;9.755180260097072;7.97184599327443
Ubisense;1381813760008;9.40677533032967;7.65237322440574
Ubisense;1381813760352;9.069642903492692;7.573675052413803
Ubisense;1381813760964;8.447078086678156;7.236102241567499
Ubisense;1381813761956;8.144736946499433;7.190301001573652
Ubisense;1381813762455;7.823177267144662;7.110934472442566
Ubisense;1381813762982;7.535364525069208;7.119026890355719
Ubisense;1381813764297;7.185371489801743;7.050883810099539
Ubisense;1381813764492;6.92752889978501;6.784337462514857
Ubisense;1381813764674;6.941442344455894;6.509011323273305
Ubisense;1381813764826;6.9148142246017885;6.132289704378337
Ubisense;1381813765016;6.9039722432574875;5.856058645930399
Ubisense;1381813765242;6.94;5.5338910698524995
Ubisense;1381813765366;6.9118115089394765;5.17
Ubisense;1381813765553;6.944735074486053;4.893526279555111
Ubisense;1381813765713;6.974691464570861;4.59285796210795
Ubisense;1381813765938;6.986236435284413;4.25
Ubisense;1381813766120;7.027602441106731;3.920671167012875
Ubisense;1381813766417;7.077764183032044;3.638073657345906
Ubisense;1381813766653;7.088239297008836;3.3311075544552504
Ubisense;1381813766862;7.138244852633909;3.0321542910815835
Ubisense;1381813767919;7.409593286857426;2.4151631856177906
Ubisense;1381813768960;8.050621939362621;1.9470812223940759
Ubisense;1381813800000;9.479909915393527;2.5215653880621622
Ubisense;1381813800714;9.521282454776424;1.5059406871159455
Ubisense;1381813825000;9.478711990061761;1.5020147446847718
Ubisense;1381813826000;10.897794960327948;1.4761328495729937
Ubisense;1381813826071;10.968003512755368;1.5040705772135985
Ubisense;1381813930000;11.01145774549198;1.4924166001448962
Ubisense;1381813931000;9.598355556410205;1.4979121529164448
Ubisense;1381813945000;9.49928462172008;1.4995799951484892
Ubisense;1381813965000;9.082807064085463;1.9280995809467543
Ubisense;1381813965006;8.943517709657943;2.2269808256334023
Ubisense;1381813965815;8.324656437047352;2.3819747250919727
Ubisense;1381813965948;7.967194507209368;2.3727961637372075
Ubisense;1381813966038;7.662917647268654;2.41668791258433
Ubisense;1381813966159;7.339447419574273;2.5406393177651023
Ubisense;1381813967003;6.680130126841319;2.65
Ubisense;1381813967324;6.268344188075779;2.792250598364409
Ubisense;1381813967571;5.924620429628001;3.1715409579613536
Ubisense;1381813967695;5.7;3.4926408739375594
Ubisense;1381813968249;5.418461414714666;3.857577411170867
Ubisense;1381813968469;5.226989950954233;4.226166985015086
Ubisense;1381813968708;4.985694680126337;4.947994413810687
Ubisense;1381813969174;4.82;5.23184400405704
Ubisense;1381813969574;4.498619472359626;5.536224202728031
Ubisense;1381813969854;4.166922341664725;5.428765517681535
Ubisense;1381813970005;3.83625941820869;5.428421957534307
Ubisense;1381813970584;3.463153413606153;5.492780710022736
Ubisense;1381813970858;3.12341075554084;5.525710438460819
Ubisense;1381813971055;2.870210012295288;5.5799317909222195
Ubisense;1381813971940;2.125249146274035;5.674779382788653
Ubisense;1381813972675;1.8608870904030053;5.7197445803742735
Ubisense;1381813990000;2.5087977054871597;5.477805943333426
Ubisense;1381813991000;3.3330151641510337;6.585855903217854
Ubisense;1381813991171;3.478537898898205;6.788007417450298
Storage;1381814000000;KITCHEN_FRIDGE;OBJECT_TAKEN
Ubisense;1381814005000;3.4887409549071777;6.7747888685025295
Storage;1381814005000;KITCHEN_FRIDGE;CLOSED
Ubisense;1381814006000;2.876113938964263;8.060705469577323
Ubisense;1381814006118;2.8341512075148354;8.204248032364415
Power;1381814020000;HERD;ON
Ubisense;1381814290000;2.8103058889620898;8.198483062925499
Ubisense;1381814291000;2.1920284858203734;6.906092869469976
Ubisense;1381814292000;1.6021857331548754;5.694997992793659
Storage;1381814310000;KITCHEN_SHELF;CLOSED
Storage;1381814315000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381814325000;1.4657266352906047;5.47922631916841
Ubisense;1381814326000;2.0969850148268185;6.747971536151214
Ubisense;1381814327000;2.701249804692258;8.022589646230704
Ubisense;1381814327140;2.810483494352711;8.22181538180087
Power;1381814350000;HERD;ON
Ubisense;1381814355000;1.5146646102414343;5.718808971959872
Ubisense;1381814355453;2.1526460042267463;5.598119971031201
Ubisense;1381814355625;2.459603317161545;5.516568990835162
Ubisense;1381814356000;2.1550012244324512;6.95390565850449
Ubisense;1381814356233;2.8109051861774166;5.4912823189286675
Ubisense;1381814356546;3.125719552261541;5.39
Ubisense;1381814357000;1.4893747057030524;5.716147069934275
Ubisense;1381814358637;3.468065962738137;5.293007285929894
Ubisense;1381814359355;3.7538535814144494;5.306372360646227
Ubisense;1381814359839;4.444626600903453;5.2800435850026455
Ubisense;1381814360323;4.7381482526633;5.231628968487272
Ubisense;1381814361869;4.890267252992185;4.241941631023317
Ubisense;1381814362150;4.767166423153576;3.5467915853902046
Ubisense;1381814362680;4.704371934133657;3.2346588071850793
Ubisense;1381814363274;4.457950648424317;2.882572354553124
Ubisense;1381814363430;4.115095603472346;2.6829558822573936
Ubisense;1381814363586;3.7795893451705087;2.43
Ubisense;1381814363757;3.4390483138875396;2.25648109612654
Ubisense;1381814364039;3.1161710902444;2.0329775802391987
Ubisense;1381814365646;2.807932020712867;1.8811024664434153
Ubisense;1381814366115;2.5300000000000002;1.7925838760574013
Ubisense;1381814366708;2.1626254072543665;1.610282580081629
Ubisense;1381814367645;1.8760366280460954;1.437010646379258
Ubisense;1381814880000;1.5094493668098095;5.715151577743746
Ubisense;1381814880282;1.851452718159611;5.633795475152825
Ubisense;1381814880453;2.1721090677539507;5.551410383586009
Ubisense;1381814880625;2.4705814540368647;5.542552565959091
Ubisense;1381814881233;2.820895427555499;5.53
Ubisense;1381814883637;3.4459778389368254;5.313573672450904
Ubisense;1381814884355;3.7762044828844434;5.270637960134695
Ubisense;1381814885323;4.81;5.233668841751688
Ubisense;1381814885838;4.944285424766985;4.898573225253342
Ubisense;1381814886869;4.880990205674051;4.274171274798774
Ubisense;1381814887009;4.860136064360467;3.885215669160115
Ubisense;1381814887150;4.801488938155348;3.551872516287653
Ubisense;1381814887680;4.704193548745861;3.1933457215353633
Ubisense;1381814888274;4.4493155179471255;2.94
Ubisense;1381814888430;4.117946583111543;2.694795873228043
Ubisense;1381814888586;3.791767130852928;2.460175452918053
Ubisense;1381814888757;3.4747382261004836;2.2263610424675657
Ubisense;1381814889039;3.1476395760331424;2.024569559475396
Ubisense;1381814891115;2.4946698586814464;1.7955584112306797
Ubisense;1381814891156;1.9579600674316588;1.6688939522427368
Ubisense;1381814891406;2.3112308872166225;1.815759188824723
Ubisense;1381814891708;2.1457619474785616;1.6308115802161929
Ubisense;1381814892186;2.644455004122897;1.9582439320304639
Ubisense;1381814892375;2.9531550261121216;2.1180391146937616
Ubisense;1381814892645;1.8555931290632175;1.4590599785511336
Ubisense;1381814892780;3.2857674077902574;2.307723386571643
Ubisense;1381814893811;3.9429469788716514;2.78368209784171
Ubisense;1381814894575;4.242488266917846;3.0687379464080378
Ubisense;1381814894841;4.552041204373112;3.371962015365277
Ubisense;1381814895107;4.71;3.759796719207405
Ubisense;1381814897448;4.967799259705577;4.362424377387917
Ubisense;1381814898759;4.833226500733616;5.07
Ubisense;1381814899211;4.5023788014929504;5.283647200784535
Ubisense;1381814899430;4.2050100710933735;5.408432790576186
Ubisense;1381814899961;3.5244908041524674;5.555202319081191
Ubisense;1381814900000;4.013453642648194;2.9967331358850617
Ubisense;1381814900148;3.236497344341787;5.653894391379304
Ubisense;1381814900336;2.868473123970995;5.7139072601582175
Ubisense;1381814900679;2.5031171319249053;5.83599153846719
Ubisense;1381814901000;2.8592009199997155;2.186481838519732
Ubisense;1381814901273;2.2119895539647123;5.801999752243904
Ubisense;1381814902115;1.9103275637902288;5.777257658061261
Ubisense;1381814902350;1.608483758314316;5.7818473832038695
Ubisense;1381815801000;1.0546434416941326;2.566799578337966
Ubisense;1381815803000;0.8208828770741583;0.7451250325082454
Ubisense;1381815806000;3.275973925577348;0.9396623008420466
Ubisense;1381815807000;3.354878315168938;1.8929928183216755
Ubisense;1381815808000;2.77333878419585;2.72
Ubisense;1381819701000;2.9703625343367412;0.9677403782801878
Ubisense;1381819702000;2.991847821882466;0.9465358068018539
Ubisense;1381821200000;1.326025343712141;1.198651772084786
Ubisense;1381821201156;1.9697490671420017;1.6655636360686608
Ubisense;1381821201406;2.310513708637202;1.7972039096673649
Ubisense;1381821202375;2.9972879082383215;2.1339795521897145
Ubisense;1381821202780;3.2985619656488896;2.2959607301685985
Ubisense;1381821203811;3.936405528382985;2.788707499185435
Ubisense;1381821204575;4.250546832322858;3.0700218079624286
Ubisense;1381821204841;4.572866895140101;3.368633565125198
Ubisense;1381821205107;4.778628506889792;3.730514124223831
Ubisense;1381821207181;4.895307474833411;4.061950072565493
Ubisense;1381821207448;4.9528915891182015;4.42
Ubisense;1381821208290;4.878414327304768;4.688962198716882
Ubisense;1381821208759;4.815266863570726;5.023441985379153
Ubisense;1381821209211;4.523186016659338;5.324962168134674
Ubisense;1381821209790;3.880984117078128;5.49289819642113
Ubisense;1381821209961;3.548641058251737;5.50742924524819
Ubisense;1381821210336;2.859940768452256;5.730059983082328
Ubisense;1381821210679;2.5363826648266437;5.786398182875501
Ubisense;1381821211273;2.232917196865625;5.78902778339107
Ubisense;1381821212115;1.8931264183812775;5.775022046485355
Ubisense;1381821212350;1.546662108142785;5.82761684297187
Storage;1381821230000;KITCHEN_SHELF;OPENED
Storage;1381821233000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381821235714;1.0139473560681325;6.473357701822415
Ubisense;1381821248714;0.9907261402160766;5.4949781279926775
Storage;1381821250000;KITCHEN_SHELF;OBJECT_PUT
Ubisense;1381821251000;0.9722549438266279;6.8972260273033275
Water;1381821255000;KITCHEN_SINK_COLD;ON
Water;1381821263000;KITCHEN_SINK_COLD;OFF
Ubisense;1381821263000;1.0075582629915179;7.512931936685121
Ubisense;1381821270000;0.9835775880256259;6.510112606452125
Storage;1381821273000;KITCHEN_SHELF;OBJECT_TAKEN
Storage;1381821275000;KITCHEN_SHELF;CLOSED
Ubisense;1381821276000;0.9764570200888621;5.503263673606481
Ubisense;1381821276714;0.9726766504992126;6.513394979027727
Power;1381821290000;KAFFEMASCHINE;ON
Power;1381821320000;KAFFEMASCHINE;ON
Ubisense;1381821330000;1.491956548721616;5.754423667151441
Ubisense;1381821330282;1.8169938518346096;5.705816204280475
Ubisense;1381821330453;2.161912058191769;5.5751638261673895
Ubisense;1381821331546;3.09;5.406147616475119
Ubisense;1381821333637;3.4580561321974117;5.317703159730748
Ubisense;1381821334605;4.111383008106168;5.2976957893373475
Ubisense;1381821334839;4.445887413511792;5.259358895646595
Ubisense;1381821335323;4.759303001718737;5.216618795022497
Ubisense;1381821335838;4.972757580646003;4.894906270814087
