Bed;1381788000000;REM
Bed;1381788600000;N1
Bed;1381789500000;N3
Bed;1381789800000;N4
Bed;1381794600000;N2
Bed;1381798500000;N1
Bed;1381799100000;REM
Bed;1381801200000;N3
Bed;1381801800000;N4
Bed;1381803000000;N3
Bed;1381811400000;N1
Ubisense;1381813380989;9.459899783202703;5.509523058305546
Ubisense;1381813382371;9.185378764615407;5.846298914116348
Ubisense;1381813383770;8.954363578540635;5.92197019039041
Ubisense;1381813388327;9.002890584053839;5.00801252183236
Ubisense;1381813389143;8.454955090576837;4.610188476594527
Ubisense;1381813389946;8.483559655223747;4.594066178664413
Ubisense;1381813390714;8.676969216747793;4.386768801497733
Ubisense;1381813392023;8.456129762533552;3.800377950008269
Ubisense;1381813392533;8.503731858485786;3.410507885040388
Ubisense;1381813393319;8.66625037893542;2.9754600267962408
Ubisense;1381813394429;8.629404260189945;2.6489629588045007
Ubisense;1381813395037;8.845326829101111;2.224596628598185
Ubisense;1381813396098;9.606134038876382;2.3928332373143277
Ubisense;1381813396301;9.940995110541465;2.1906706083511116
Ubisense;1381813396513;10.248539612268498;2.504717835228918
Ubisense;1381813397248;10.727179847396021;2.720958090580429
Ubisense;1381813397719;10.768003410588882;2.7267167200528797
Ubisense;1381813398292;11.188921541195533;2.6886456015166957
Ubisense;1381813403170;11.4;2.651150301845202
Ubisense;1381813404239;10.877576628066397;2.620947350488159
Ubisense;1381813404342;10.619469476362086;2.754159765037664
Ubisense;1381813404532;10.26305991402977;2.481838134598031
Ubisense;1381813405453;9.339605141077099;2.57
Ubisense;1381813405616;8.71;2.6898676023161876
Ubisense;1381813405856;8.48311184495417;2.787385055234607
Ubisense;1381813406446;8.553451988652439;2.852295172948608
Ubisense;1381813407319;8.105157735992071;2.825072487086845
Ubisense;1381813410000;10.979967607301349;7.770164309102724
Water;1381813470000;BATH_TOILET_COLD;ON
Ubisense;1381813470000;11.022917947237527;8.496774950815082
Ubisense;1381813470928;9.689186821315651;8.514413841256106
Water;1381813485000;BATH_SINK_COLD;ON
Water;1381813500000;BATH_SINK_COLD;OFF
Ubisense;1381813515000;8.97593628242053;7.991783013319866
Ubisense;1381813515798;8.030330128798889;8.483292935575886
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;OFF
Ubisense;1381813705000;7.9758210025136576;8.500597596310039
Ubisense;1381813705798;9.001049840401427;8.013033103855053
Ubisense;1381813735000;8.960422491477642;7.980099112711069
Ubisense;1381813735614;9.694318113138669;8.498682851571363
Ubisense;1381813760000;9.792238643348645;7.969108399667361
Ubisense;1381813760008;9.422216254365425;7.672129420510111
Ubisense;1381813760352;9.08045577981126;7.539009473785532
Ubisense;1381813761956;8.117134784313249;7.190047641352286
Ubisense;1381813762455;7.83178294607649;7.086851401371647
Ubisense;1381813762982;7.528018981334857;7.119357276192217
Ubisense;1381813764297;7.230131527700167;7.090170737241604
Ubisense;1381813764674;6.937163728003258;6.46386573607406
Ubisense;1381813764826;6.88679624414471;6.1686043608147445
Ubisense;1381813765242;6.903505320154302;5.559507795904868
Ubisense;1381813765366;6.947315276686315;5.212265594910328
Ubisense;1381813765553;6.926799578427529;4.875334555285368
Ubisense;1381813765713;7.0;4.606027163173371
Ubisense;1381813765938;6.975973226228742;4.279368300079495
Ubisense;1381813766120;6.993294151794485;3.9551971115932107
Ubisense;1381813766417;7.039773938870205;3.6485528237003075
Ubisense;1381813766653;7.053902313714704;3.3456443135931875
Ubisense;1381813766862;7.129449151060717;3.0580731535826735
Ubisense;1381813767307;7.199978009131184;2.7587183910354236
Ubisense;1381813767919;7.390762412607833;2.400298892201796
Ubisense;1381813768334;7.688906761018805;2.230395821695561
Ubisense;1381813768960;8.031147887367178;1.9898578388461317
Ubisense;1381813800000;9.506888294430494;2.4905163557065757
Ubisense;1381813825000;9.515981653957388;1.5328323428927486
Ubisense;1381813826000;10.88383595341946;1.54
Ubisense;1381813930000;11.00214559548545;1.4706638981100444
Ubisense;1381813931000;9.604460722672767;1.4917680622049476
Ubisense;1381813931071;9.538128555277373;1.54
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;OPENED
Ubisense;1381813945000;9.54;1.4983617917476626
Ubisense;1381813945714;9.498231821399415;2.486261823211999
Ubisense;1381813965006;8.945341805448614;2.27
Ubisense;1381813965259;8.640005096659968;2.3026901720654354
Ubisense;1381813965815;8.3016438605186;2.3550270134303024
Ubisense;1381813966038;7.647174376838258;2.4315086149870395
Ubisense;1381813966159;7.340113496285035;2.488213101857981
Ubisense;1381813966878;6.97;2.6088755863858912
Ubisense;1381813967003;6.694532549550502;2.688628078699157
Ubisense;1381813967324;6.261591988250297;2.8379629508778503
Ubisense;1381813967695;5.636398602753469;3.4783789887322274
Ubisense;1381813968249;5.383953794542741;3.8966438515178274
Ubisense;1381813968469;5.243612420376518;4.202624257551562
Ubisense;1381813968584;5.13326940823899;4.575371809486949
Ubisense;1381813969174;4.9;5.28560677408586
Ubisense;1381813970005;3.853615175772674;5.436404352082605
Ubisense;1381813971055;2.864757479523707;5.555761856232247
Ubisense;1381813971655;2.53095607421083;5.632605138017936
Ubisense;1381813971940;2.15937487281207;5.703696408762461
Ubisense;1381813972675;1.8484366486254347;5.767310774433979
Ubisense;1381813990000;2.5095076935057157;5.4839088686178155
Ubisense;1381813991000;3.3572071842591136;6.57
Ubisense;1381813991171;3.5359235450225333;6.776509572227149
Storage;1381813995000;KITCHEN_FRIDGE;OPENED
Storage;1381814000000;KITCHEN_FRIDGE;OBJECT_TAKEN
Storage;1381814005000;KITCHEN_FRIDGE;OPENED
Ubisense;1381814005000;3.5239180532941954;6.806514146722849
Ubisense;1381814006000;2.8747085211195844;8.049202908448164
Ubisense;1381814006118;2.7604725388074756;8.192667257497472
Ubisense;1381814290000;2.776776189829358;8.228513815062616
Ubisense;1381814291000;2.15;6.949642511110502
Ubisense;1381814292000;1.5514560417808543;5.705217275279866
Ubisense;1381814292140;1.5170287400984104;5.483264433959954
Storage;1381814310000;KITCHEN_SHELF;OPENED
Storage;1381814315000;KITCHEN_SHELF;OPENED
Ubisense;1381814326000;2.1190513385476235;6.742887029817709
Ubisense;1381814327000;2.7136844365854524;8.02990409782133
Ubisense;1381814327140;2.7911715915381694;8.18442335657162
Power;1381814350000;HERD;OFF
Ubisense;1381814355000;2.8101566450601645;8.228844642470587
Ubisense;1381814355000;1.5066847730236432;5.755520611636848
Ubisense;1381814355282;1.8285471652856118;5.684955108949088
Ubisense;1381814355453;2.1595083723256554;5.576036716266687
Ubisense;1381814356000;2.16264734643583;6.968007293246318
Ubisense;1381814356233;2.822710951583106;5.47366774003401
Ubisense;1381814356546;3.1364708559665067;5.397528612818191
Ubisense;1381814357000;1.4902103961225976;5.735186788820611
Ubisense;1381814358637;3.4668046707650584;5.337118129381034
Ubisense;1381814359605;4.113908973877451;5.292660199572279
Ubisense;1381814359839;4.452533992781342;5.2854331227871585
Ubisense;1381814360323;4.741101024610606;5.227082256124687
Ubisense;1381814360838;4.935485358494961;4.880711231980838
Ubisense;1381814361509;4.944762126300586;4.573247966516597
Ubisense;1381814361869;4.878812268768543;4.255353237109989
Ubisense;1381814362009;4.835482965152721;3.9233210202394297
Ubisense;1381814362150;4.810766246849793;3.5869058710426605
Ubisense;1381814362680;4.750873581530974;3.211515359424153
Ubisense;1381814363274;4.436953083862323;2.888027747601992
Ubisense;1381814363430;4.111310224017095;2.678823950599697
Ubisense;1381814363586;3.8079677449308176;2.459894233496869
Ubisense;1381814364039;3.146429229345078;2.034845904042264
Ubisense;1381814365646;2.8308328094986472;1.930324398781387
Ubisense;1381814366115;2.4873499763175553;1.8251103343105999
Ubisense;1381814366708;2.1548291476878902;1.6211985671600115
Ubisense;1381814367645;1.8588031146573658;1.4528020455552482
Ubisense;1381814880282;1.863075244131971;5.665915265148456
Ubisense;1381814880453;2.142781597029259;5.568216968274325
Ubisense;1381814880625;2.4745111362751766;5.502866614228762
Ubisense;1381814884355;3.751735648482835;5.238990512336395
Ubisense;1381814884605;4.08400183602264;5.28733528584409
Ubisense;1381814884839;4.470714497921214;5.245829243401854
Ubisense;1381814885838;4.9255873374142745;4.893151173182352
Ubisense;1381814886509;4.934926643555969;4.566256190075584
Ubisense;1381814886869;4.903852672099294;4.25261382867096
Ubisense;1381814887009;4.833073529126544;3.8649073393831386
Ubisense;1381814887150;4.83489299518645;3.587201740822589
Ubisense;1381814887680;4.688082340526739;3.2185065734346434
Ubisense;1381814888586;3.7399999999999998;2.477928772907653
Ubisense;1381814888757;3.4401947589743447;2.2382543055395048
Ubisense;1381814889039;3.1121301324238915;2.032580026135189
Ubisense;1381814890000;1.3149837468715493;1.1660991060530943
Ubisense;1381814890646;2.823385906300832;1.9406643760457967
Ubisense;1381814891115;2.487156781339676;1.7902659808641652
Ubisense;1381814892186;2.6391840767927617;1.9603980449864769
Ubisense;1381814892375;2.9822013138216708;2.08
Ubisense;1381814892645;1.83571863216896;1.4389055065269398
Ubisense;1381814892780;3.282439335349408;2.2833549886915043
Ubisense;1381814893811;3.9377201826084667;2.754456697666248
Ubisense;1381814894575;4.284970528744969;3.02
Ubisense;1381814895107;4.715646034585868;3.725920993647713
Ubisense;1381814897181;4.90439063370935;4.055132214942396
Ubisense;1381814897448;4.975043770971119;4.372270548147717
Ubisense;1381814898290;4.916788234535147;4.696442419563172
Ubisense;1381814898759;4.8314541260383335;5.031130054183985
Ubisense;1381814899430;4.156020193848628;5.37
Ubisense;1381814899961;3.5483128004764626;5.5063527186362435
Ubisense;1381814900000;3.9987331289666317;2.969141381984108
Ubisense;1381814900148;3.229866967037482;5.608127475680787
Ubisense;1381814900336;2.8679520994900782;5.757339393385165
Ubisense;1381814900679;2.5436984468655512;5.775037310918852
Ubisense;1381814901000;2.8980237206716404;2.15478700118349
Ubisense;1381814901273;2.2180791139861245;5.8385044177468695
Ubisense;1381814902115;1.891541252644829;5.7641190021507525
Ubisense;1381815800000;2.013323711754869;2.9124327481776415
Ubisense;1381815801000;1.1098548974449878;2.5539344233399297
Ubisense;1381815802000;0.6099324147285319;1.6612522938647725
Ubisense;1381815803000;0.7940428619928862;0.7554190559090956
Ubisense;1381815804000;1.6384104019846233;0.1547408427168101
Ubisense;1381815805000;2.584102736970718;0.24666733329546744
Ubisense;1381815806000;3.24228642800861;0.9054605043393097
Ubisense;1381815807000;3.352479585250822;1.9336106162867697
Ubisense;1381815808000;2.7217773364977544;2.6545583357637463
Ubisense;1381819700000;2.967635626739681;1.0185627042776817
Ubisense;1381819702000;2.941945351126226;1.0070890041119185
Ubisense;1381819703000;2.941709321803965;0.9937835465242388
Ubisense;1381819704000;2.900433160376667;1.073783546524239
Ubisense;1381821200000;1.294480909619034;1.1430127155011112
Ubisense;1381821201406;2.316974660506742;1.8080254098896844
Ubisense;1381821202186;2.6485010782033216;1.9409966944271067
Ubisense;1381821202375;2.945963582832082;2.123104600425116
Ubisense;1381821202780;3.2946444775293138;2.2784783292597197
Ubisense;1381821203560;3.6393707864999336;2.478937184402406
Ubisense;1381821203811;3.9241000721393995;2.789582061460937
Ubisense;1381821204575;4.232113475531491;3.04774234862591
Ubisense;1381821204841;4.563334312476148;3.3987825630293886
Ubisense;1381821205107;4.771985521158145;3.7378254078698845
Ubisense;1381821207181;4.930478084400994;4.077114801035229
Ubisense;1381821207448;4.9582705316613;4.37150265628765
Ubisense;1381821208290;4.920501372221935;4.6755780378718566
Ubisense;1381821208759;4.827551703210405;4.99
Ubisense;1381821209211;4.500398852920188;5.305913239322541
Ubisense;1381821209430;4.168577968335893;5.370935811060396
Ubisense;1381821209961;3.530026661159906;5.5131174426762195
Ubisense;1381821210148;3.177475404293447;5.607060255189877
Ubisense;1381821210336;2.8484347457026313;5.71771230120664
Ubisense;1381821210679;2.5785498516785004;5.805237285240865
Ubisense;1381821211273;2.195342480706678;5.827232767048595
Ubisense;1381821212350;1.5894529708881917;5.779941375870593
Storage;1381821230000;KITCHEN_SHELF;OPENED
Ubisense;1381821235000;1.0134257029825637;5.475677285206447
Ubisense;1381821235714;0.9924566849253849;6.500253638291255
Ubisense;1381821248000;1.034975959162229;6.504067412539754
Ubisense;1381821248714;1.0044331367578039;5.504870972018885
Storage;1381821250000;KITCHEN_SHELF;OBJECT_PUT
Ubisense;1381821250000;1.0061493951940643;5.486133328668681
Ubisense;1381821251000;0.9743697833365568;6.875047347900514
Ubisense;1381821263000;1.0015852511262553;7.500767821138074
Water;1381821263000;KITCHEN_SINK_COLD;OFF
Ubisense;1381821263714;0.9928033433774014;6.504953802835954
Ubisense;1381821270000;1.0028503656431196;6.4924140344423735
Ubisense;1381821270714;1.0096825103595983;5.51504725759872
Storage;1381821273000;KITCHEN_SHELF;OBJECT_TAKEN
Storage;1381821275000;KITCHEN_SHELF;CLOSED
Ubisense;1381821276000;0.9968712121798599;5.470556607889597
Ubisense;1381821276714;0.9649450674149745;6.519954142589852
Power;1381821320000;KAFFEMASCHINE;ON
Alarm;1381821320000;Kaffemaschiene;fertig
Ubisense;1381821330000;1.5204069183755977;5.728969504947828
Ubisense;1381821330453;2.136024115356775;5.542357457831741
Ubisense;1381821330625;2.5233839854707907;5.499253288382633
Ubisense;1381821331233;2.8173255891968467;5.490980848646945
Ubisense;1381821331546;3.128154345389719;5.452974898029257
Ubisense;1381821334355;3.7821364216006477;5.2709970374929505
Ubisense;1381821334839;4.469082843007878;5.280625376443736
Ubisense;1381821335838;4.9272434987295695;4.916977989063752
Ubisense;1381821336509;4.926826317757993;4.605253422729154
Ubisense;1381821336869;4.879298541655813;4.259008514544764
Ubisense;1381821337009;4.87;3.937800004301832
Ubisense;1381821337150;4.802521423294494;3.567962267633102
Ubisense;1381821337680;4.735764761658229;3.2094863630961794
Ubisense;1381821338274;4.443826730134708;2.871649946340244
Ubisense;1381821338430;4.112363981782295;2.6916691513431465
Ubisense;1381821338586;3.8120695453521054;2.453981907175955
