Bed;1381788000000;REM
Bed;1381788600000;N1
Bed;1381788900000;N2
Bed;1381789500000;N3
Bed;1381789800000;N4
Bed;1381792800000;REM
Bed;1381794600000;N2
Bed;1381795800000;N3
Bed;1381796700000;N4
Bed;1381798500000;N1
Bed;1381801800000;N4
Bed;1381803000000;N3
Bed;1381804800000;N2
Bed;1381808700000;N2
Bed;1381811400000;N1
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;WACH
Ubisense;1381813380000;9.791491015415426;5.4055312650746155
Ubisense;1381813380989;9.485267509748276;5.4850906048268255
Ubisense;1381813383770;8.951938388780261;5.8855351294221485
Ubisense;1381813386613;8.728834635505255;5.505768120034901
Ubisense;1381813389143;8.424082943645725;4.586267448428066
Ubisense;1381813389946;8.457790207734753;4.639549952468139
Ubisense;1381813390714;8.714676158302202;4.382619948439034
Ubisense;1381813391434;8.710764823647967;3.7616954650244856
Ubisense;1381813392023;8.479536406336164;3.787895208528444
Ubisense;1381813392533;8.479363655070202;3.390789146040555
Ubisense;1381813393319;8.690622406231425;3.0033961300260748
Ubisense;1381813394429;8.60481529151959;2.6536423480279976
Ubisense;1381813395587;9.285656782243095;2.482277315046166
Ubisense;1381813396098;9.596534631949476;2.423055069117293
Ubisense;1381813396301;9.92791818270857;2.179370984360188
Ubisense;1381813397248;10.715642798596928;2.7397446464600264
Ubisense;1381813398292;11.217664779211045;2.712256071105068
Ubisense;1381813403711;11.09137792725701;2.775203135739356
Ubisense;1381813404239;10.84961236028804;2.60434260115528
Ubisense;1381813404342;10.604629045945831;2.745174038716353
Ubisense;1381813404532;10.251492061648943;2.4841558737099967
Ubisense;1381813404872;9.974748123700829;2.481407264412872
Ubisense;1381813405332;9.41583122649425;2.75294453675595
Ubisense;1381813405453;9.332686966845147;2.611025152581494
Ubisense;1381813407319;8.094626100466257;2.812239439232364
Ubisense;1381813410000;11.018008745914477;7.804783044950585
Ubisense;1381813410500;11.023623871670988;8.499428037209512
Water;1381813470000;BATH_TOILET_COLD;ON
Ubisense;1381813470928;9.683997342821698;8.500360388344125
Water;1381813485000;BATH_SINK_COLD;ON
Water;1381813500000;BATH_SINK_COLD;ON
Ubisense;1381813515000;8.995654379789167;8.024006902901082
Ubisense;1381813515798;8.00269521744751;8.49550250116135
Water;1381813525000;BATH_SHOWER_HOT;ON
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;OFF
Ubisense;1381813705000;8.026521673876141;8.522393515075683
Ubisense;1381813705798;9.01094703046761;7.989037794260352
Ubisense;1381813735614;9.665835973389791;8.498909574927165
Ubisense;1381813760000;9.778983697438365;7.995419016942304
Ubisense;1381813760008;9.408901899369761;7.698042793481415
Ubisense;1381813760352;9.07353332294135;7.590621634035048
Ubisense;1381813760573;8.721036677332455;7.391847118865675
Ubisense;1381813761956;8.141225935685522;7.191716745342819
Ubisense;1381813762455;7.81872816908238;7.084692926128513
Ubisense;1381813762982;7.527303444351801;7.093108981534436
Ubisense;1381813764297;7.182392319354481;7.089101042394386
Ubisense;1381813764492;6.978779670796426;6.780666187305967
Ubisense;1381813764674;6.928960738301092;6.471853020523904
Ubisense;1381813764826;6.890954458249974;6.191003236978787
Ubisense;1381813765016;6.86;5.845170632010647
Ubisense;1381813765242;6.94;5.5736818137719535
Ubisense;1381813765366;6.962458429590364;5.213361344388714
Ubisense;1381813765553;6.89;4.887035608407227
Ubisense;1381813765713;6.92453955671794;4.587419786350108
Ubisense;1381813766120;7.043733110739095;3.969715715680503
Ubisense;1381813767307;7.211342256160371;2.715836280423263
Ubisense;1381813767919;7.4308729008842755;2.4229160920921653
Ubisense;1381813768334;7.714078951616438;2.2145582232738725
Ubisense;1381813768960;8.09;1.9853224498633095
Ubisense;1381813800000;9.513967725160137;2.5121988262913235
Ubisense;1381813800714;9.474634906340858;1.5065760109262796
Storage;1381813810000;SLEEPING_ROOM_WARDROBE;OPENED
Storage;1381813815000;SLEEPING_ROOM_WARDROBE;OBJECT_TAKEN
Ubisense;1381813826071;11.008744317663492;1.51338551534819
Ubisense;1381813930000;11.006509274845435;1.5214611210635847
Ubisense;1381813931071;9.476529028733355;1.4704003071681997
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813945000;9.507650973597636;1.480822622607374
Ubisense;1381813945714;9.54;2.5097709020905024
Ubisense;1381813965006;8.967539094568604;2.221797310770261
Ubisense;1381813965815;8.271032947467097;2.377066860486786
Ubisense;1381813965948;8.0001328742882;2.3386802211920874
Ubisense;1381813966038;7.6255117437330835;2.428774803424515
Ubisense;1381813966159;7.352702988789396;2.519773173843085
Ubisense;1381813966878;7.006189777595089;2.6221731607924257
Ubisense;1381813967003;6.668939553387426;2.7002847650375896
Ubisense;1381813967324;6.263381413595593;2.850862981875093
Ubisense;1381813967695;5.674034102117277;3.484585965633076
Ubisense;1381813968249;5.414319063276113;3.855143153166421
Ubisense;1381813968469;5.212627889636206;4.201514409248066
Ubisense;1381813968584;5.144660534602508;4.53
Ubisense;1381813968708;4.984369407114555;4.946492786361784
Ubisense;1381813969174;4.873584912955896;5.268141179082948
Ubisense;1381813969574;4.515790620448243;5.527601727467798
Ubisense;1381813969854;4.22;5.406749716483986
Ubisense;1381813970005;3.858768777204371;5.41138993000035
Ubisense;1381813970584;3.4759177293003143;5.479817727482089
Ubisense;1381813971055;2.8679880505484086;5.554180313713238
Ubisense;1381813971655;2.504268457642577;5.58
Ubisense;1381813971940;2.163674184846947;5.6612627944820275
Ubisense;1381813972675;1.8107225575288886;5.69
Ubisense;1381813990000;2.515656705833142;5.484996203246764
Ubisense;1381813991000;3.3782107876079936;6.636934823189907
Ubisense;1381813991171;3.4879293989475664;6.797013776895111
Storage;1381813995000;KITCHEN_FRIDGE;OPENED
Storage;1381814000000;KITCHEN_FRIDGE;OPENED
Ubisense;1381814005000;3.5201420368323206;6.818822827729135
Ubisense;1381814006000;2.8850045423437387;8.010000000000002
Ubisense;1381814291000;2.192404338216942;6.935522499672652
Ubisense;1381814292000;1.6081671449509982;5.7048964449424915
Ubisense;1381814292140;1.505850782854032;5.506141720559043
Storage;1381814310000;KITCHEN_SHELF;OPENED
Storage;1381814315000;KITCHEN_SHELF;CLOSED
Ubisense;1381814325000;1.4831724431582458;5.511293217000744
Storage;1381814325000;KITCHEN_SHELF;CLOSED
Ubisense;1381814326000;2.1121669079542293;6.737244751173566
Ubisense;1381814327140;2.84;8.198774265959141
Power;1381814350000;HERD;OFF
Ubisense;1381814355000;1.5346771631663905;5.720757003933638
Ubisense;1381814355000;2.7843651756475563;8.199228576997182
Ubisense;1381814355282;1.8546514686784494;5.70318726705723
Ubisense;1381814355453;2.1616764844492624;5.577703679498387
Ubisense;1381814356000;2.132388072367174;6.948855777026405
Ubisense;1381814356233;2.811895810693836;5.495946689725823
Ubisense;1381814356546;3.116607890558351;5.4438373189727916
Ubisense;1381814357000;1.5070154630374601;5.704663526449698
Ubisense;1381814357012;1.5049166596408687;5.711647820371908
Ubisense;1381814358637;3.4711027455941648;5.341244897917076
Ubisense;1381814359605;4.085637145439565;5.2709418605030685
Ubisense;1381814359839;4.4441398133000085;5.2887952035702765
Ubisense;1381814360323;4.796933264345841;5.242829729860081
Ubisense;1381814360838;4.937566868945709;4.884014040836657
Ubisense;1381814361509;4.908929647972611;4.55284068058249
Ubisense;1381814361869;4.914601931939323;4.275679287504027
Ubisense;1381814362150;4.767522572039108;3.61
Ubisense;1381814362680;4.737372764552852;3.231260284799144
Ubisense;1381814363430;4.123424588086137;2.65
Ubisense;1381814363757;3.5;2.269192976857294
Ubisense;1381814364039;3.102962804872943;2.064010775793225
Ubisense;1381814365646;2.7883784316488676;1.9064063530921254
Ubisense;1381814366115;2.5300000000000002;1.8120680563772158
Ubisense;1381814366708;2.1495311772881833;1.6074255623396698
Ubisense;1381814367645;1.8244321116778095;1.4161724927108368
Ubisense;1381814880000;1.4923391965346757;5.709324451178852
Ubisense;1381814880282;1.8665429074948217;5.671302998710241
Ubisense;1381814881233;2.8161035006617374;5.4986632537136595
Ubisense;1381814881546;3.100268190629285;5.437958862581623
Ubisense;1381814884355;3.812504541371815;5.302439914456912
Ubisense;1381814884605;4.112482973815194;5.29782354510886
Ubisense;1381814884839;4.4213277123848576;5.251836169032179
Ubisense;1381814885323;4.761901546556351;5.238478921322014
Ubisense;1381814885838;4.925808343427233;4.867571623693877
Ubisense;1381814886869;4.87;4.2521230218236825
Ubisense;1381814887150;4.821922523517951;3.5393547597933948
Ubisense;1381814887680;4.68;3.238176229202053
Ubisense;1381814888430;4.100295668812121;2.65
Ubisense;1381814888586;3.783623082550498;2.4684273699506094
Ubisense;1381814888757;3.481313733766206;2.294984164690016
Ubisense;1381814889039;3.1398828770821594;2.0145687116454893
Ubisense;1381814890000;1.326373626468889;1.1742589485067376
Ubisense;1381814890646;2.8083719705430585;1.9104196532271516
Ubisense;1381814891115;2.51089881314382;1.7948546123694686
Ubisense;1381814891156;1.9898670240196725;1.6616572292164649
Ubisense;1381814891406;2.3462613771184704;1.8014564021302977
Ubisense;1381814891708;2.1395108615091187;1.6714308130562903
Ubisense;1381814892186;2.6413699672743336;1.9426361515506612
Ubisense;1381814892375;2.9640388446482064;2.0918036409553578
Ubisense;1381814892645;1.8523020272704926;1.4679245209006249
Ubisense;1381814892780;3.283925608432159;2.3165800010646667
Ubisense;1381814893560;3.6141242574959067;2.4868654476168373
Ubisense;1381814893811;3.9279270546593397;2.780228962893518
Ubisense;1381814894575;4.265187562039145;3.090257311992503
Ubisense;1381814894841;4.5771182708579214;3.365441844389564
Ubisense;1381814895107;4.777780002638839;3.7009458815248326
Ubisense;1381814897181;4.893180724079835;4.022184744967754
Ubisense;1381814897448;4.960739800179168;4.397057330000048
Ubisense;1381814898290;4.89146046149187;4.747405939708762
Ubisense;1381814898759;4.843830229397327;5.03405090176292
Ubisense;1381814899211;4.502062504112015;5.299528510103199
Ubisense;1381814899430;4.184935774438554;5.38008951066992
Ubisense;1381814899790;3.872142017475087;5.493477563308903
Ubisense;1381814899961;3.5748093990230747;5.526619985547681
Ubisense;1381814900000;3.9969216232572444;3.0051655137469977
Ubisense;1381814900148;3.1951793270776423;5.59955772065863
Ubisense;1381814900336;2.849531702836297;5.730629325510525
Ubisense;1381814901273;2.228700647759426;5.833475530029256
Ubisense;1381814901785;1.9989851834794095;1.4831441958058869
Ubisense;1381814902115;1.8862776302316884;5.779716079672999
Ubisense;1381814902350;1.5480919647605056;5.808797325726966
Ubisense;1381815800000;2.0039288182787693;2.8796311932215057
Ubisense;1381815801000;1.067905530096078;2.5285620284322867
Ubisense;1381815802000;0.5779819728865306;1.681744200783935
Ubisense;1381815804000;1.6244281193835706;0.18502660245651198
Ubisense;1381815805000;2.580141480181598;0.21048404452988895
Ubisense;1381815806000;3.2758701417532277;0.9216286330773377
Ubisense;1381815807000;3.3642640486446638;1.883961877876028
Ubisense;1381815808000;2.7595161818646607;2.667383680277614
Ubisense;1381819700000;2.985773782100369;0.9782731199625067
Ubisense;1381819701000;3.0076178363050854;0.9530632156379764
Ubisense;1381819702000;3.0033396835825976;0.9133058641255928
Ubisense;1381819703000;3.0005333736278432;0.893175718947745
Ubisense;1381819704000;3.0369948767509674;0.8775058177286884
Ubisense;1381821200000;1.3243352424666452;1.1441243204747307
Ubisense;1381821200563;1.6352984755469795;1.4136084191579341
Ubisense;1381821201156;1.9797022621287057;1.6108061643603346
Ubisense;1381821202186;2.6696465262454203;2.0
Ubisense;1381821202375;2.9693586436395845;2.1530505269369855
Ubisense;1381821202780;3.301130974774083;2.303547446986147
Ubisense;1381821203560;3.596510913554539;2.472247481314614
Ubisense;1381821204575;4.260996997492313;3.0756627739851745
Ubisense;1381821204841;4.559696156026709;3.3931872179001132
Ubisense;1381821205107;4.761609105295455;3.771493433975524
Ubisense;1381821207448;4.965125059333716;4.348701683507554
Ubisense;1381821208290;4.904402466211518;4.69377556060836
Ubisense;1381821208759;4.8451953305598305;5.024266670449775
Ubisense;1381821209211;4.521808380314766;5.271436860811133
Ubisense;1381821209790;3.856202596194221;5.5123410292383825
Ubisense;1381821209961;3.5556987756601033;5.565492653146695
Ubisense;1381821210148;3.1840553166306704;5.644999612259338
Ubisense;1381821210336;2.8540071233217787;5.731080008608144
Ubisense;1381821210679;2.5442773111550268;5.77
Ubisense;1381821211273;2.226956723260033;5.773970227794394
Ubisense;1381821212350;1.5618816979382368;5.77505071474877
Storage;1381821230000;KITCHEN_SHELF;OPENED
Storage;1381821233000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381821235000;1.0134820623114116;5.497666519920143
Ubisense;1381821235714;0.9912257580357836;6.512813901573964
Ubisense;1381821248714;1.0042088627102814;5.46600320820741
Storage;1381821250000;KITCHEN_SHELF;OBJECT_PUT
Ubisense;1381821251000;0.9955470314672797;6.901817236656824
Ubisense;1381821251428;1.0011565163056193;7.499527835193853
Water;1381821255000;KITCHEN_SINK_COLD;ON
Ubisense;1381821263000;0.976301877521869;7.4773744739208166
Water;1381821263000;KITCHEN_SINK_COLD;OFF
Ubisense;1381821263714;0.9984619639425996;6.514200115307892
Ubisense;1381821270000;1.0294227515373084;6.467298402644626
Ubisense;1381821270714;1.0218548502611913;5.476507777674436
Storage;1381821273000;KITCHEN_SHELF;OBJECT_TAKEN
Storage;1381821275000;KITCHEN_SHELF;CLOSED
Ubisense;1381821276000;1.0009301184985413;5.496208414734379
Ubisense;1381821276714;0.9647323880071699;6.522003147524628
Power;1381821290000;KAFFEMASCHINE;ON
Power;1381821320000;KAFFEMASCHINE;ON
Ubisense;1381821330282;1.8383143621743057;5.665216345893182
Ubisense;1381821330453;2.168305627607296;5.577079078335755
Ubisense;1381821331233;2.813145278062068;5.513202278298476
Ubisense;1381821331546;3.120003148213031;5.417458053361057
Ubisense;1381821334355;3.7633388014928917;5.285848000465797
Ubisense;1381821334605;4.065939835267712;5.302012173673686
Ubisense;1381821334839;4.444127264244089;5.265855545046832
Ubisense;1381821335323;4.749978878821795;5.23297904752014
Ubisense;1381821336509;4.956041392328101;4.61
Ubisense;1381821337009;4.819822255225073;3.9139402608468044
Ubisense;1381821337150;4.799823219267149;3.5792434611315023
Ubisense;1381821337680;4.70290065000276;3.2199720019957443
Ubisense;1381821338274;4.451977075127746;2.886421359771946
Ubisense;1381821338430;4.148577705566586;2.7129626232940645
Ubisense;1381821338586;3.753933135684639;2.503261855501189
Ubisense;1381821338757;3.436176862958405;2.2199999999999998
Ubisense;1381821339039;3.1441166693369733;2.030212257133515
Ubisense;1381821340646;2.789747733702045;1.9088825783676715
Ubisense;1381821341115;2.49256761497732;1.784657440733164
Ubisense;1381821341708;2.152589813139233;1.6325070637209278
Ubisense;1381821342645;1.804487134177596;1.422340775764673
Ubisense;1381827800000;2.0168678487190035;1.4925224402935307
Ubisense;1381827801000;3.155646528265078;2.356212324868682
Ubisense;1381830000000;3.9871003349140266;3.0089587009167142
Ubisense;1381830001000;2.798639265479524;3.7191070121088736
Ubisense;1381830001665;2.006761244662059;4.211868700054168
