Bed;1381788000000;REM
Bed;1381788600000;N1
Bed;1381788900000;N2
Bed;1381789500000;N3
Bed;1381792800000;REM
Bed;1381794600000;N2
Bed;1381795800000;N3
Bed;1381796700000;N4
Bed;1381798500000;N1
Bed;1381799100000;REM
Bed;1381801800000;N3
Bed;1381804800000;N2
Bed;1381808700000;N2
Bed;1381811400000;N1
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;WACH
Ubisense;1381813380989;9.494867819371889;5.466158246447642
Ubisense;1381813382371;9.230466644701828;5.8493231712422356
Ubisense;1381813383770;8.994899569629062;5.894418714006275
Ubisense;1381813388327;9.008318010161023;5.023936445763036
Ubisense;1381813389946;8.507931533973615;4.626189797775402
Ubisense;1381813390714;8.682012187365855;4.365786439830874
Ubisense;1381813391434;8.728344127224188;3.730932324637662
Ubisense;1381813392023;8.47337868937115;3.7807385222141736
Ubisense;1381813392533;8.482978980048609;3.381794713189181
Ubisense;1381813393319;8.666843514361087;2.965065139709117
Ubisense;1381813394429;8.60174190825519;2.6005129254535775
Ubisense;1381813395037;8.859249975375814;2.1940905139859326
Ubisense;1381813395587;9.253326596495008;2.4544218489055667
Ubisense;1381813396098;9.613138611867624;2.3924102886647636
Ubisense;1381813396301;9.95795548509756;2.1773266234773794
Ubisense;1381813398292;11.21819843847683;2.668167778373976
Ubisense;1381813403170;11.446688487605845;2.656440016731639
Ubisense;1381813403711;11.099961914796314;2.763150671898155
Ubisense;1381813404872;9.95668319539827;2.5
Ubisense;1381813405332;9.408541169898994;2.7512518441919367
Ubisense;1381813405453;9.288021213795103;2.6013067521282727
Ubisense;1381813405616;8.715629469302495;2.7157945780885555
Ubisense;1381813407319;8.09353435498465;2.8217090115178087
Ubisense;1381813410000;11.018347169766399;7.796763591238655
Ubisense;1381813410500;11.004962599329593;8.496791967228102
Water;1381813470000;BATH_TOILET_COLD;ON
Ubisense;1381813470928;9.69574061829301;8.490275437298305
Water;1381813485000;BATH_SINK_COLD;OFF
Ubisense;1381813515000;9.017518240666725;8.014251155458947
Ubisense;1381813515798;7.996590480142757;8.471848080472581
Water;1381813525000;BATH_SHOWER_HOT;OFF
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;OFF
Ubisense;1381813705000;8.016731784232444;8.512971166240671
Ubisense;1381813705798;8.980483642899912;7.9777885938830275
Ubisense;1381813735000;8.997625941503905;8.008019993408684
Ubisense;1381813735614;9.692524752649135;8.54
Ubisense;1381813760000;9.801510182711752;7.950688576271601
Ubisense;1381813760008;9.449811076187958;7.700238119169289
Ubisense;1381813760352;9.066792503446445;7.533301103423421
Ubisense;1381813760573;8.75960450882039;7.409137438704301
Ubisense;1381813760964;8.439463499459919;7.243541349771146
Ubisense;1381813761956;8.134525615727835;7.160304376137926
Ubisense;1381813762982;7.492010317427235;7.094510849900199
Ubisense;1381813764297;7.224759848465621;7.074167957224811
Ubisense;1381813764492;6.979820015247164;6.81293639931542
Ubisense;1381813764674;6.900285051088157;6.444264069285595
Ubisense;1381813764826;6.899734761132177;6.175190060902688
Ubisense;1381813765016;6.897205403237811;5.843445581993682
Ubisense;1381813765242;6.8680226759496446;5.522532586920573
Ubisense;1381813765553;6.9351139492927345;4.885598387280995
Ubisense;1381813765713;6.9356759883757135;4.562202473109765
Ubisense;1381813765938;6.981412265753376;4.292500877297863
Ubisense;1381813766120;6.975781590961151;3.9282271339482606
Ubisense;1381813766653;7.098307198724997;3.345740943952933
Ubisense;1381813767307;7.201492220314337;2.7055160228940585
Ubisense;1381813767919;7.406045230692571;2.46
Ubisense;1381813768334;7.726664335568783;2.219107442849433
Ubisense;1381813800000;9.492865197369515;2.4946263659267487
Ubisense;1381813800714;9.496421963936273;1.4854539024159905
Storage;1381813815000;SLEEPING_ROOM_WARDROBE;OBJECT_TAKEN
Ubisense;1381813825000;9.484485207025898;1.503106002922425
Ubisense;1381813826071;11.00393493753741;1.4887944154659554
Ubisense;1381813930000;11.022147268294312;1.5061942286609464
Ubisense;1381813931000;9.578373099695028;1.493883979727174
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813945000;9.511022635685096;1.477849311154035
Ubisense;1381813945714;9.485600271996788;2.5149867547261335
Ubisense;1381813965000;9.083159859640404;1.8882273145158937
Ubisense;1381813965006;8.951977243958863;2.214764302725361
Ubisense;1381813965259;8.612760611464255;2.3060470157469584
Ubisense;1381813965815;8.311382098179001;2.3393013469859905
Ubisense;1381813966038;7.661230973486765;2.3901357350071617
Ubisense;1381813966878;7.033614444916043;2.605170329835334
Ubisense;1381813967003;6.693108642216327;2.688115482596101
Ubisense;1381813967571;5.936950602716057;3.1041271243033757
Ubisense;1381813967695;5.667919701342537;3.4904468375884523
Ubisense;1381813968249;5.399627515231808;3.894689683806636
Ubisense;1381813968584;5.144771786219477;4.5934747212244895
Ubisense;1381813968708;4.978856939111882;4.9763591449478595
Ubisense;1381813969174;4.853191191499024;5.299942090357495
Ubisense;1381813969854;4.173155366990213;5.393240065724665
Ubisense;1381813970005;3.8147735508188956;5.424576600631734
Ubisense;1381813970584;3.497093647388553;5.460449594238871
Ubisense;1381813970858;3.151507955255067;5.54016792976293
Ubisense;1381813971055;2.8463417435931904;5.600611759267895
Ubisense;1381813971940;2.1454615655992777;5.674832575024145
Ubisense;1381813972675;1.8554387862171267;5.698469167508914
Ubisense;1381813991000;3.31;6.635849108653423
Ubisense;1381813991171;3.474548138755883;6.797751681057999
Storage;1381813995000;KITCHEN_FRIDGE;OBJECT_PUT
Storage;1381814000000;KITCHEN_FRIDGE;OBJECT_TAKEN
Ubisense;1381814005000;3.522056914170849;6.778908609394323
Storage;1381814005000;KITCHEN_FRIDGE;CLOSED
Ubisense;1381814006000;2.83;8.028018000736603
Power;1381814020000;HERD;ON
Ubisense;1381814290000;2.8162280229624086;8.178459578361949
Ubisense;1381814292140;1.4982699765622258;5.508725288859526
Ubisense;1381814325000;1.483127284205995;5.487405120769383
Storage;1381814325000;KITCHEN_SHELF;CLOSED
Ubisense;1381814326000;2.0867645836482596;6.7241498219755735
Ubisense;1381814327000;2.716534729261145;8.040080231248929
Ubisense;1381814327140;2.7879402110205165;8.208961983783258
Power;1381814350000;HERD;OFF
Ubisense;1381814355000;1.5259074775002388;5.690972943625933
Ubisense;1381814355000;2.7687481496379713;8.221014896711004
Ubisense;1381814355282;1.8795196720000709;5.688885501574346
Ubisense;1381814355453;2.1616771499839684;5.587094479619988
Ubisense;1381814355625;2.458248607689586;5.510924886582859
Ubisense;1381814356000;2.11;6.952547641658197
Ubisense;1381814356233;2.8000429169595273;5.484529414854298
Ubisense;1381814357012;1.508359133910753;5.687418642704777
Ubisense;1381814358637;3.437554595793987;5.324210084372202
Ubisense;1381814359355;3.795117563555799;5.26267952784023
Ubisense;1381814359605;4.106147452794484;5.280942476011116
Ubisense;1381814359839;4.421448796382251;5.2586070059738965
Ubisense;1381814360323;4.79508522082092;5.207296617872228
Ubisense;1381814360838;4.9497837254229395;4.91476542119324
Ubisense;1381814361509;4.967394424523582;4.569119207032759
Ubisense;1381814362009;4.869020253670809;3.898727309891501
Ubisense;1381814362150;4.79497293170122;3.5923945032145292
Ubisense;1381814362680;4.698378015757593;3.247949403306698
Ubisense;1381814363274;4.41;2.9076934412745965
Ubisense;1381814363430;4.143753885509341;2.7178153109293572
Ubisense;1381814363586;3.7625927745651815;2.4725635917242204
Ubisense;1381814364039;3.1200407241119246;2.0392503963676614
Ubisense;1381814365646;2.8060799483392174;1.8961097456616165
Ubisense;1381814366708;2.1532422579384893;1.6310801061446283
Ubisense;1381814367645;1.831653654541316;1.4510149939772408
Ubisense;1381814880000;1.5304826938866523;5.714954994940555
Ubisense;1381814880282;1.8360021751043296;5.652037701266572
Ubisense;1381814880453;2.15695001653104;5.565876316101667
Ubisense;1381814880625;2.4795274762213144;5.496638510265934
Ubisense;1381814881233;2.7897251126728944;5.486862469453807
Ubisense;1381814881546;3.1127475376495823;5.4430180137164434
Ubisense;1381814883637;3.492411304044082;5.319203376751579
Ubisense;1381814884605;4.06;5.283466742685631
Ubisense;1381814884839;4.452831848138519;5.267911860116812
Ubisense;1381814885323;4.7456839882208985;5.231688347588445
Ubisense;1381814885838;4.935370770426745;4.8860100796953585
Ubisense;1381814887009;4.854092585011182;3.94
Ubisense;1381814887150;4.770774475696087;3.5646999907508157
Ubisense;1381814887680;4.74263587070971;3.230037480732292
Ubisense;1381814888274;4.446684632139362;2.8838822443115695
Ubisense;1381814888430;4.161728299675389;2.675513394109113
Ubisense;1381814888757;3.4321775395124052;2.261221404191724
Ubisense;1381814889039;3.145791628313468;2.0616564314583012
Ubisense;1381814890000;1.3432353012055878;1.1756594990904303
Ubisense;1381814890563;1.6713763830343487;1.3821354761110183
Ubisense;1381814890646;2.829129191952018;1.9183463196987824
Ubisense;1381814891115;2.4521655081404807;1.8018854906659163
Ubisense;1381814891406;2.3442432011026697;1.7915762364857604
Ubisense;1381814891708;2.1681847786318755;1.642569162907132
Ubisense;1381814892375;2.9423011207702223;2.0983988635483546
Ubisense;1381814892645;1.821365868687445;1.4557649530820607
Ubisense;1381814892780;3.25;2.2991383202718505
Ubisense;1381814893560;3.6269368163024063;2.4943955203105745
Ubisense;1381814893811;3.9200631523937393;2.7852602633338006
Ubisense;1381814894575;4.260307141021411;3.056942910686523
Ubisense;1381814894841;4.558466414473364;3.394828190846
Ubisense;1381814895107;4.779819750548225;3.7800000000000002
Ubisense;1381814897181;4.93555879187009;4.038826346003322
Ubisense;1381814897448;4.92242539140347;4.372016711724608
Ubisense;1381814898759;4.7939317910150745;4.998985975452614
Ubisense;1381814899211;4.513962997536497;5.289844140172033
Ubisense;1381814899790;3.8790311796898727;5.53
Ubisense;1381814899961;3.555477578046851;5.534737227456748
Ubisense;1381814900000;3.993489113592248;2.9931589698764403
Ubisense;1381814900336;2.8709963698572345;5.766003135105516
Ubisense;1381814901000;2.8964829092955857;2.1382631374909256
Ubisense;1381814901273;2.2276079912687337;5.811837782138348
Ubisense;1381814901785;1.96881490081105;1.5305833909359639
Ubisense;1381814902350;1.5815590344233799;5.85
Ubisense;1381815800000;2.04;2.876630598483846
Ubisense;1381815801000;1.0827828461003182;2.552821701387455
Ubisense;1381815802000;0.6314439119693722;1.6843371109004173
Ubisense;1381815803000;0.8300106229292903;0.7221894283078304
Ubisense;1381815805000;2.587127360359089;0.2360730893261099
Ubisense;1381815807000;3.3457984581808167;1.9170947900263204
Ubisense;1381815808796;1.9869132969364849;2.9088278431950227
Ubisense;1381819701000;2.977638325931222;0.9786280271673719
Ubisense;1381819703000;2.984689874963919;0.9560353341371239
Ubisense;1381819704000;2.9791037843257033;0.893610117965441
Ubisense;1381821200000;1.3148489663251817;1.169142852003334
Ubisense;1381821200563;1.6752451905703443;1.4070140158832019
Ubisense;1381821202186;2.6719014910318504;1.9580522606944877
Ubisense;1381821203560;3.6153979064800237;2.4820110735612375
Ubisense;1381821204575;4.292302885086402;3.022019842111427
Ubisense;1381821204841;4.569667388732049;3.356591882394673
Ubisense;1381821205107;4.76755345466527;3.7
Ubisense;1381821207181;4.945036347302132;4.072717265151044
Ubisense;1381821207448;4.975918923187855;4.372810353871301
Ubisense;1381821208290;4.939883799564279;4.680228122346427
Ubisense;1381821208759;4.841174982132452;5.065865538933731
Ubisense;1381821209211;4.498149748805062;5.321987305104728
Ubisense;1381821209430;4.182159177901033;5.379744429708483
Ubisense;1381821209790;3.859967331962281;5.471850273067722
Ubisense;1381821209961;3.5517565349301177;5.563257454204297
Ubisense;1381821210336;2.8662466193770326;5.733794201277662
Ubisense;1381821210679;2.5247450573581505;5.840456339640687
Ubisense;1381821211273;2.2314194399815834;5.823661820490666
Ubisense;1381821212115;1.8852182548241796;5.749318021520375
Ubisense;1381821212350;1.592406055342325;5.804274372689588
Storage;1381821230000;KITCHEN_SHELF;CLOSED
Storage;1381821233000;KITCHEN_SHELF;OBJECT_PUT
Ubisense;1381821235000;1.0085190100062578;5.52002028273517
Ubisense;1381821235714;1.0036279352602973;6.482537190572306
Ubisense;1381821248000;0.9895828100912497;6.487381768925411
Storage;1381821250000;KITCHEN_SHELF;OPENED
Ubisense;1381821250000;1.0207473527211932;5.490136605072889
Ubisense;1381821251000;0.990724976793216;6.924746096058097
Ubisense;1381821263000;0.9705062565044441;7.501060865086809
Water;1381821263000;KITCHEN_SINK_COLD;OFF
Ubisense;1381821263714;0.9803101306154893;6.507703938879322
Ubisense;1381821270000;0.9645151876905359;6.52158133239968
Ubisense;1381821270714;0.9809191212527302;5.5162984463279585
Storage;1381821275000;KITCHEN_SHELF;CLOSED
Ubisense;1381821276000;0.9862010422216769;5.49431932253757
Ubisense;1381821276714;0.9756094419572181;6.494335025690008
Power;1381821290000;KAFFEMASCHINE;ON
Power;1381821320000;KAFFEMASCHINE;ON
Ubisense;1381821330000;1.5186727726325429;5.747427849681019
Ubisense;1381821330282;1.8541054095146825;5.6427766108805715
Ubisense;1381821330453;2.1694247877869177;5.544264825176929
Ubisense;1381821331233;2.8085552732890657;5.490371591050507
Ubisense;1381821331546;3.0981215039206194;5.431258256892986
Ubisense;1381821333637;3.4524947329327325;5.2937547467134
Ubisense;1381821334605;4.136198898176725;5.30511666257332
Ubisense;1381821334839;4.413038867584734;5.300258274602953
Ubisense;1381821335323;4.768383866943412;5.2546308323098865
Ubisense;1381821336509;4.92541995893901;4.554557522423145
Ubisense;1381821336869;4.921068385159794;4.232823554744651
Ubisense;1381821337009;4.791489282400685;3.9154914604645232
Ubisense;1381821337150;4.804389443501348;3.537081222730248
Ubisense;1381821337680;4.696536653192381;3.18807285078731
Ubisense;1381821338274;4.481272249831503;2.9028254548094634
Ubisense;1381821338430;4.146084137659601;2.6666738178397384
Ubisense;1381821338586;3.763516535825988;2.4908178022258802
Ubisense;1381821338757;3.480583668134575;2.266193045033125
Ubisense;1381821339039;3.132977398616479;2.025531549388133
Ubisense;1381821340646;2.773156670864756;1.8953440813626339
Ubisense;1381821341115;2.499242124156042;1.7886617780072498
Ubisense;1381821341708;2.150654533752367;1.654134128679655
Ubisense;1381821342645;1.8363061200610078;1.4444399622355462
Ubisense;1381827800000;2.0121501371532022;1.5094497485353477
Ubisense;1381827801000;3.1174730814196425;2.335320055338385
Ubisense;1381827801785;4.002270798620242;3.0148563261857015
Ubisense;1381830000000;3.9644643447410783;2.982669625861364
Ubisense;1381830001000;2.8055972446408717;3.722176685932817
Ubisense;1381830001665;2.0050503537678743;4.2017156835593665
Ubisense;1381830060714;2.995256541556612;4.214297679803103
Ubisense;1381830300000;2.9839490658439134;4.178436493718461
Ubisense;1381830301000;1.56;4.16929890792031
Ubisense;1381830301428;0.992651165558464;4.211192769157224
Ubisense;1381830450000;2.009605211621111;4.182568209606921
Ubisense;1381830450714;2.011967147697737;4.176970982221368
Ubisense;1381830451000;3.2052654301688133;3.4552389029024284
Ubisense;1381830451665;4.00570197782628;2.997778692486331
Ubisense;1381831080000;1.3145274362380952;1.1551737901255372
Ubisense;1381831080563;1.6357621530665742;1.3811718245495852
