Bed;1381788000000;N4
Bed;1381788900000;N2
Bed;1381789500000;N3
Bed;1381789800000;N4
Bed;1381792800000;REM
Bed;1381794600000;N2
Bed;1381795800000;REM
Bed;1381798500000;N1
Bed;1381801200000;N2
Bed;1381801800000;N4
Bed;1381804800000;N2
Bed;1381805400000;N1
Bed;1381808700000;N2
Bed;1381811400000;N4
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;WACH
Ubisense;1381813380000;9.795437929304772;5.449214980701693
Ubisense;1381813380989;9.491989956948062;5.469215520323366
Ubisense;1381813382371;9.221280921953653;5.89
Ubisense;1381813388327;9.069999999999999;4.965787958074524
Ubisense;1381813389143;8.437670870727414;4.588365703723862
Ubisense;1381813389946;8.470037519263697;4.598533561086194
Ubisense;1381813390714;8.664348889132636;4.355007801544638
Ubisense;1381813391434;8.770199097072217;3.7540867568182446
Ubisense;1381813392533;8.508190375888997;3.3796418228660348
Ubisense;1381813393319;8.679810532653097;2.9649016293811825
Ubisense;1381813394429;8.617253256560637;2.6312189725254913
Ubisense;1381813395037;8.853796965141685;2.233308010871578
Ubisense;1381813395587;9.307862371022376;2.471803344090624
Ubisense;1381813396098;9.623462427911017;2.403386162767734
Ubisense;1381813396301;9.908316311371205;2.146120471069212
Ubisense;1381813396513;10.27770744153152;2.4666756171487245
Ubisense;1381813397248;10.716330818002985;2.7461160783300596
Ubisense;1381813397719;10.770191149044129;2.7208364603610202
Ubisense;1381813403170;11.435560405949834;2.7
Ubisense;1381813403711;11.108254567240479;2.7295758382703283
Ubisense;1381813404239;10.887731309363078;2.6189174334112555
Ubisense;1381813404342;10.603920742009453;2.744510613678182
Ubisense;1381813404532;10.265734383701595;2.4641630173431976
Ubisense;1381813405332;9.427772596464795;2.7656099323060457
Ubisense;1381813405616;8.751663449520802;2.684771798589402
Ubisense;1381813405856;8.494412556809706;2.7663932720629543
Ubisense;1381813406446;8.54797534902404;2.8159194216488217
Ubisense;1381813407319;8.034890572297824;2.7944683018402348
Ubisense;1381813410000;11.010629652040759;7.792306089158621
Ubisense;1381813470000;10.996065829932824;8.515731889921135
Water;1381813470000;BATH_TOILET_COLD;ON
Ubisense;1381813470928;9.718019401946187;8.535636033736564
Water;1381813485000;BATH_SINK_COLD;ON
Water;1381813500000;BATH_SINK_COLD;OFF
Ubisense;1381813515000;9.011052293089321;8.002329808486538
Ubisense;1381813515798;8.01813042320737;8.488919815150371
Water;1381813525000;BATH_SHOWER_HOT;ON
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;OFF
Ubisense;1381813705000;7.985461280465932;8.51248878438366
Ubisense;1381813705798;8.996202746244824;7.98030295632161
Ubisense;1381813735000;8.994522355142333;8.007718466162473
Ubisense;1381813735614;9.739999999999998;8.51736881200684
Ubisense;1381813760000;9.74;7.990497859015952
Ubisense;1381813760008;9.432562429868764;7.7076764803017594
Ubisense;1381813760352;9.103409907461671;7.56623260126129
Ubisense;1381813760573;8.72765447625115;7.350629085621405
Ubisense;1381813760964;8.414194680104483;7.246885668450771
Ubisense;1381813761956;8.129031293098068;7.142911578543634
Ubisense;1381813762455;7.834935972979062;7.092804402365888
Ubisense;1381813764297;7.209695389958362;7.101896679894703
Ubisense;1381813764492;6.940021737836839;6.804058987103286
Ubisense;1381813764674;6.9501282513691685;6.467305687753374
Ubisense;1381813764826;6.877986005201314;6.170506666202237
Ubisense;1381813765016;6.925285065623229;5.853557832903492
Ubisense;1381813765242;6.9227873339371735;5.541131168624104
Ubisense;1381813765366;6.944409261703483;5.21304461047571
Ubisense;1381813765553;6.949284153566535;4.926461574860734
Ubisense;1381813765713;6.951423308100722;4.572069178112977
Ubisense;1381813765938;6.9759922651409605;4.306793733999049
Ubisense;1381813766417;7.055922990983002;3.6608841055468386
Ubisense;1381813766862;7.131543206246067;2.9899999999999998
Ubisense;1381813767307;7.215959424887894;2.7462002070307014
Ubisense;1381813767919;7.440806462440571;2.4169198187494096
Ubisense;1381813768334;7.7060221463445515;2.218557938720358
Ubisense;1381813768960;8.038324979159048;1.952089050794548
Ubisense;1381813800000;9.475692919441043;2.508824534629038
Ubisense;1381813800714;9.490957707821337;1.46
Storage;1381813810000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813826071;11.019138386548708;1.5232590848634193
Ubisense;1381813930000;10.9818332941902;1.4971874118086048
Ubisense;1381813931000;9.572589575009582;1.4932414674726255
Ubisense;1381813931071;9.512045802434526;1.5348699733163407
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813945000;9.529953464503471;1.5148483992116748
Ubisense;1381813945714;9.481721850319746;2.501697211264415
Ubisense;1381813965000;9.020000000000001;1.8937399605282135
Ubisense;1381813965006;8.94596002489974;2.229043504102722
Ubisense;1381813965259;8.648536616933429;2.326315540022349
Ubisense;1381813965815;8.319582390394249;2.3812447691651086
Ubisense;1381813965948;7.953810984462542;2.379651405381805
Ubisense;1381813966038;7.621246631007127;2.4009485659828007
Ubisense;1381813966159;7.328885576751732;2.51096296825326
Ubisense;1381813966878;7.019447737444088;2.6343753916736246
Ubisense;1381813967324;6.272044401503321;2.782728499793167
Ubisense;1381813967571;5.9371638817298935;3.151774786965874
Ubisense;1381813967695;5.6506437836227885;3.45
Ubisense;1381813968249;5.424783898506541;3.883820013323192
Ubisense;1381813968469;5.246540257580486;4.20777709596043
Ubisense;1381813968708;5.005577384181966;4.948187560012904
Ubisense;1381813969174;4.82;5.27002859195318
Ubisense;1381813969574;4.520555387753727;5.56237927359816
Ubisense;1381813969854;4.158503587475259;5.394340634994081
Ubisense;1381813970005;3.8558239495966244;5.448471204932782
Ubisense;1381813970584;3.4940469491898263;5.448265335965661
Ubisense;1381813971940;2.1643425785225094;5.656360689358712
Ubisense;1381813972675;1.8497984318078307;5.695730144234573
Ubisense;1381813990000;2.49804705071997;5.5173361009288175
Ubisense;1381813991000;3.356584450227811;6.615902600178653
Ubisense;1381813991171;3.515718296528851;6.795710676900172
Storage;1381813995000;KITCHEN_FRIDGE;OPENED
Storage;1381814000000;KITCHEN_FRIDGE;OBJECT_TAKEN
Storage;1381814005000;KITCHEN_FRIDGE;CLOSED
Ubisense;1381814005000;3.490818755169078;6.771447187244487
Ubisense;1381814006000;2.8611057026651534;8.062000297855029
Ubisense;1381814006118;2.7964894671209914;8.212516092042975
Power;1381814020000;HERD;ON
Ubisense;1381814290000;2.8314058904146555;8.18126265205417
Ubisense;1381814292000;1.5958883336797596;5.698191694187175
Ubisense;1381814292140;1.4822916778817115;5.51509758595749
Storage;1381814310000;KITCHEN_SHELF;OPENED
Storage;1381814325000;KITCHEN_SHELF;CLOSED
Ubisense;1381814325000;1.5070982835223403;5.487811531228377
Ubisense;1381814326000;2.112141213644795;6.741516036484469
Ubisense;1381814327000;2.7104497489935615;8.019956167513401
Ubisense;1381814327140;2.807867917696848;8.165503329053271
Ubisense;1381814355000;1.525363775967746;5.740049522277249
Ubisense;1381814355282;1.8375038847701404;5.63
Ubisense;1381814355625;2.5300000000000002;5.490574185753772
Ubisense;1381814356000;2.1537450742401005;6.984615887126597
Ubisense;1381814356233;2.7794240972584565;5.462472550911057
Ubisense;1381814356546;3.1460846600660552;5.44988146051292
Ubisense;1381814357000;1.4985146616128906;5.720354850211
Ubisense;1381814359355;3.759150339523335;5.2436728519738915
Ubisense;1381814359605;4.104194750362341;5.287554923784165
Ubisense;1381814359839;4.485964514809186;5.27647918061592
Ubisense;1381814360838;4.926613132216524;4.875815975286879
Ubisense;1381814361869;4.9012439512268795;4.241183312983115
Ubisense;1381814362009;4.82151785894086;3.872844108490886
Ubisense;1381814362150;4.785356405023201;3.572490063803083
Ubisense;1381814362680;4.736611373875411;3.209581645072307
Ubisense;1381814363430;4.130692154382814;2.708172906781798
Ubisense;1381814363586;3.7511154017806967;2.474753240293963
Ubisense;1381814363757;3.430865095209583;2.272465508856039
Ubisense;1381814364039;3.094117398786809;2.045477239934752
Ubisense;1381814365646;2.804094347248436;1.8972498528807133
Ubisense;1381814366708;2.2;1.6439195135964912
Ubisense;1381814880000;1.5314856350143826;5.730946463455853
Ubisense;1381814880282;1.8187082536398682;5.669922090135576
Ubisense;1381814880453;2.1745726682683193;5.580646276870046
Ubisense;1381814880625;2.506996969957949;5.506892694398483
Ubisense;1381814881233;2.7706800098320077;5.514447311593099
Ubisense;1381814881546;3.1223264260785517;5.4235773530204
Ubisense;1381814883637;3.481418285122103;5.310886505649597
Ubisense;1381814884605;4.103263863409655;5.304763985396429
Ubisense;1381814884839;4.462365317509945;5.244207235250891
Ubisense;1381814885323;4.757242801336957;5.1996752625154
Ubisense;1381814885838;4.9;4.875109591179882
Ubisense;1381814886509;4.952180628773362;4.578547611667457
Ubisense;1381814886869;4.8974764742279735;4.21
Ubisense;1381814887009;4.804700276749105;3.9204560523096843
Ubisense;1381814887150;4.803208521943414;3.5842041570780174
Ubisense;1381814887680;4.715861516788267;3.1950679676681
Ubisense;1381814888274;4.411507264722675;2.912448617892602
Ubisense;1381814888430;4.126838264061856;2.674160697375912
Ubisense;1381814888586;3.807999773115768;2.468558080541753
Ubisense;1381814888757;3.4536680663802377;2.284972530583789
Ubisense;1381814889039;3.17;2.016139787530197
Ubisense;1381814890000;1.315404426077048;1.1567780798703693
Ubisense;1381814890563;1.641806919140603;1.3867511584833971
Ubisense;1381814890646;2.8251312720944624;1.916342363433637
Ubisense;1381814891115;2.4872703935021043;1.8110170109906802
Ubisense;1381814891406;2.3547483090869354;1.807524421393548
Ubisense;1381814891708;2.1472836761119307;1.6730569738109398
Ubisense;1381814892375;2.9478367282919846;2.106387738950618
Ubisense;1381814892645;1.846889926363953;1.438158438259094
Ubisense;1381814892780;3.2654195379484965;2.30558981497985
Ubisense;1381814893560;3.6137168975412157;2.5155690326260514
Ubisense;1381814893811;3.947683091519439;2.8286836472231336
Ubisense;1381814894575;4.3;3.059987590612989
Ubisense;1381814894841;4.560229779206135;3.4114282949946597
Ubisense;1381814895107;4.724641762171946;3.7356559624985137
Ubisense;1381814897181;4.900931805411369;4.045560978768262
Ubisense;1381814897448;4.975792875151355;4.403126996661757
Ubisense;1381814898290;4.95;4.703788507916742
Ubisense;1381814898759;4.80991308945008;4.998152361735976
Ubisense;1381814899211;4.5228582853721555;5.324547506847147
Ubisense;1381814899430;4.1699448025737755;5.421384693630423
Ubisense;1381814899790;3.84910439554172;5.514828735368153
Ubisense;1381814900000;4.00625940509545;2.983207924955761
Ubisense;1381814900148;3.221048966031327;5.614079755992067
Ubisense;1381814900336;2.8607248574176953;5.737890758679496
Ubisense;1381814900679;2.555028202032272;5.8110878267220585
Ubisense;1381814901000;2.873731427388962;2.1282012453775847
Ubisense;1381814901273;2.2264091377778015;5.805436341170664
Ubisense;1381814902115;1.8703918904673655;5.766234829403019
Ubisense;1381815801000;1.0753962662358265;2.5570213475685026
Ubisense;1381815802000;0.5994774500660037;1.7178281708960963
Ubisense;1381815803000;0.8042290498139906;0.7186426764695797
Ubisense;1381815804000;1.6111202112386287;0.12406431721765754
Ubisense;1381815805000;2.5936519117353942;0.19
Ubisense;1381815806000;3.232625704901672;0.8996365637451849
Ubisense;1381815808796;2.0030021667038045;2.9076789064583135
Ubisense;1381819700000;3.0221301642458513;0.9889591661271117
Ubisense;1381819701000;3.019472039620001;0.9673194749902012
Ubisense;1381819702000;3.03661186328157;0.9477398673467066
Ubisense;1381819703000;3.0083435660123863;0.9363380539167733
Ubisense;1381819704000;2.9776470742957435;0.8848859435283658
Ubisense;1381821200000;1.3442671602294418;1.2033888001761313
Ubisense;1381821200563;1.6343521701379027;1.3618669505419982
Ubisense;1381821201406;2.3196690575511076;1.7990711897981124
Ubisense;1381821202186;2.675534224736674;1.968890196739226
Ubisense;1381821202375;2.9966965620181036;2.0954751538408063
Ubisense;1381821203560;3.6133705953721913;2.4965485923265454
Ubisense;1381821203811;3.931689981683617;2.83
Ubisense;1381821204575;4.272517038227577;3.03460087704581
Ubisense;1381821204841;4.542373229420299;3.3695943242558024
Ubisense;1381821205107;4.756198290698435;3.755885859107406
Ubisense;1381821207448;4.981644719055032;4.387831874796718
Ubisense;1381821208759;4.850698205387693;5.034878590116498
Ubisense;1381821209211;4.51861521154316;5.323875559658807
Ubisense;1381821209430;4.21426789362741;5.387138334723543
Ubisense;1381821209790;3.8646481079345603;5.48986820319126
Ubisense;1381821209961;3.5447944238837588;5.5407408421235465
Ubisense;1381821210148;3.1868024028052804;5.6022497711654555
Ubisense;1381821210679;2.5457341888484875;5.8328819031640755
Ubisense;1381821212115;1.874884945182586;5.750097150573598
Storage;1381821230000;KITCHEN_SHELF;OPENED
Storage;1381821233000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381821235000;0.9891634909494534;5.503979433407113
Ubisense;1381821235714;1.0316527171388592;6.495974463460869
Ubisense;1381821248000;1.0121945382730262;6.496233323131874
Ubisense;1381821248714;1.007271672887875;5.4866438511450575
Storage;1381821250000;KITCHEN_SHELF;OBJECT_PUT
Ubisense;1381821250000;1.0231993406801116;5.498062875987998
Ubisense;1381821251000;0.9964531587449615;6.8672766775286025
Ubisense;1381821251428;0.9942310479576679;7.4957563734378345
Water;1381821255000;KITCHEN_SINK_COLD;ON
Water;1381821263000;KITCHEN_SINK_COLD;OFF
Ubisense;1381821263714;0.96;6.4798881222852875
Ubisense;1381821270000;1.0368834284868527;6.490775722820064
Ubisense;1381821270714;0.9892813704012562;5.523806860459796
Storage;1381821275000;KITCHEN_SHELF;CLOSED
Ubisense;1381821276000;0.9951008805235614;5.54
Ubisense;1381821276714;1.0398039151883633;6.489428823013522
Power;1381821290000;KAFFEMASCHINE;ON
Power;1381821320000;KAFFEMASCHINE;ON
Alarm;1381821320000;Kaffemaschiene;fertig
Ubisense;1381821330000;1.5122177131178312;5.7237943403731215
Ubisense;1381821330453;2.1814749170603154;5.579755548074336
Ubisense;1381821331233;2.816084051231724;5.500220367937296
Ubisense;1381821331546;3.105431113771681;5.47
Ubisense;1381821333637;3.4752877434961205;5.342354376416964
Ubisense;1381821334355;3.7945175574412238;5.250220572426947
Ubisense;1381821334605;4.1021173016523615;5.308705731468388
Ubisense;1381821334839;4.438104178503873;5.251028763262183
Ubisense;1381821335323;4.788986197916048;5.213802664715814
Ubisense;1381821335838;4.961883892833962;4.913986126541174
Ubisense;1381821336509;4.929328016125112;4.544822915172714
Ubisense;1381821336869;4.929410158194148;4.219289557082623
Ubisense;1381821337009;4.821763063067403;3.903998858413703
Ubisense;1381821337150;4.778960547526364;3.5999411188448813
Ubisense;1381821337680;4.73483970849264;3.199285681715049
Ubisense;1381821338274;4.486913263051917;2.915310935762158
Ubisense;1381821338430;4.129582585155455;2.7189934544364407
Ubisense;1381821338586;3.784039759597518;2.491917984675897
Ubisense;1381821338757;3.441197705815952;2.258578732685888
Ubisense;1381821341708;2.146530586452559;1.6384523242219038
Ubisense;1381821342645;1.852078599550864;1.4755476398094594
Alarm;1381822340000;Telefon;Kontakt1
Ubisense;1381827800000;1.9761454595271326;1.4800379724920445
