Bed;1381788000000;REM
Bed;1381788600000;N1
Bed;1381788900000;N2
Bed;1381789500000;N3
Bed;1381792800000;NREM
Bed;1381794600000;N2
Bed;1381795800000;N3
Bed;1381796700000;REM
Bed;1381798500000;N1
Bed;1381799100000;REM
Bed;1381801200000;N2
Bed;1381801800000;N4
Bed;1381803000000;WACH
Bed;1381805400000;N1
Bed;1381808700000;N2
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;WACH
Ubisense;1381813380000;9.775121528838318;5.4344747217109015
Ubisense;1381813380989;9.484754255837512;5.453879699665929
Ubisense;1381813383770;8.984210981840816;5.916210172667857
Ubisense;1381813386613;8.66;5.4728447766172135
Ubisense;1381813388327;9.003721364502027;5.03
Ubisense;1381813389143;8.42608397777528;4.610413988263759
Ubisense;1381813389946;8.482824160375307;4.6113122654877134
Ubisense;1381813390714;8.682790131747163;4.345092662261452
Ubisense;1381813391434;8.748008308550796;3.740177523555327
Ubisense;1381813392533;8.494674877486252;3.36
Ubisense;1381813395037;8.851951482898507;2.1995425933519637
Ubisense;1381813395587;9.247711196537923;2.462902859465017
Ubisense;1381813396098;9.618811391780138;2.4269742547446294
Ubisense;1381813396301;9.942851391973976;2.1610553544987448
Ubisense;1381813396513;10.299999999999999;2.484821169458543
Ubisense;1381813398292;11.173107950030271;2.7160318784721
Ubisense;1381813403170;11.416516850965962;2.6608658257541125
Ubisense;1381813403711;11.062483666567992;2.758344485687199
Ubisense;1381813404239;10.852365045299202;2.57970646051676
Ubisense;1381813404532;10.278065869962107;2.4806766370060584
Ubisense;1381813404872;9.968414108618529;2.4995448334227577
Ubisense;1381813405332;9.434751977620325;2.79
Ubisense;1381813406446;8.529539357417221;2.867295775949093
Ubisense;1381813407319;8.074886548548266;2.8051182911663672
Ubisense;1381813410000;11.005146846260951;7.8222197285736055
Ubisense;1381813410500;10.975254353755593;8.484038217552166
Ubisense;1381813470000;10.994534474770882;8.498980894255846
Water;1381813470000;BATH_TOILET_COLD;ON
Ubisense;1381813470928;9.699489536908391;8.475493417848217
Water;1381813485000;BATH_SINK_COLD;ON
Ubisense;1381813515798;7.991955125082912;8.479592450078409
Water;1381813525000;BATH_SHOWER_HOT;ON
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;ON
Ubisense;1381813705000;7.9868829198435725;8.538992999527968
Ubisense;1381813705798;9.018661907216506;7.985081568218356
Ubisense;1381813735614;9.67470081827189;8.508455919105995
Ubisense;1381813760000;9.76260717718637;7.941491573509502
Ubisense;1381813760352;9.079223548994934;7.536006325590655
Ubisense;1381813760573;8.723861555493642;7.373248452824374
Ubisense;1381813761956;8.12953960062772;7.182743675521817
Ubisense;1381813762455;7.80447138622624;7.097906331741082
Ubisense;1381813762982;7.486895717985532;7.114566663287157
Ubisense;1381813764297;7.201390341734178;7.112849892553327
Ubisense;1381813764492;6.940956846841515;6.787676808707361
Ubisense;1381813765016;6.921110647305428;5.873583008996339
Ubisense;1381813765242;6.890198099457843;5.572521977008739
Ubisense;1381813765366;6.953715838546598;5.206131893998019
Ubisense;1381813765553;6.92711691203721;4.935243202131415
Ubisense;1381813765713;6.933927470011697;4.599208119987316
Ubisense;1381813765938;6.95;4.300825110640727
Ubisense;1381813766120;7.01774754160367;3.9557837580357016
Ubisense;1381813766417;7.0518231477171165;3.6503692690288156
Ubisense;1381813766653;7.105897767293022;3.3313030638714665
Ubisense;1381813766862;7.150918260394546;3.0414864070066026
Ubisense;1381813767307;7.2055628334730475;2.7115196139405473
Ubisense;1381813767919;7.413789829349898;2.441682474651769
Ubisense;1381813768334;7.700298986457519;2.2107791905884655
Ubisense;1381813768960;8.010000000000002;2.002539708063712
Ubisense;1381813800000;9.497676556908678;2.505583326377189
Storage;1381813810000;SLEEPING_ROOM_WARDROBE;OPENED
Storage;1381813815000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813825000;9.526518616534085;1.4897754349295944
Ubisense;1381813826000;10.906753696273563;1.4765101416293815
Ubisense;1381813826071;11.007177989697064;1.52691126261193
Ubisense;1381813930000;11.010056967422733;1.4926912800544487
Ubisense;1381813931071;9.471391634241064;1.5215923017459354
Ubisense;1381813945714;9.518833861289115;2.4908581915523373
Ubisense;1381813965000;9.040572542655488;1.8989946272287148
Ubisense;1381813965006;8.946395681986282;2.232447269917209
Ubisense;1381813965259;8.6069660095599;2.27
Ubisense;1381813965815;8.274513808067063;2.3452826631778767
Ubisense;1381813966038;7.654932806263211;2.4348206239814276
Ubisense;1381813966159;7.332722577736807;2.48
Ubisense;1381813966878;7.039938673562138;2.6343295404580993
Ubisense;1381813967003;6.705193765333446;2.659837468685673
Ubisense;1381813967324;6.260495124959499;2.78
Ubisense;1381813968249;5.3975031254584644;3.866288232343698
Ubisense;1381813968469;5.24041289610693;4.2352632180377014
Ubisense;1381813968584;5.171963112538683;4.576407076064451
Ubisense;1381813968708;5.008609013760688;4.983555949388541
Ubisense;1381813969174;4.864083051100814;5.278366465955761
Ubisense;1381813969854;4.177404212743303;5.428940371056886
Ubisense;1381813970005;3.8166308884543794;5.45435872869672
Ubisense;1381813970584;3.4660645483307966;5.42721720587506
Ubisense;1381813970858;3.1419909357748255;5.505900204645048
Ubisense;1381813971055;2.827146675807253;5.5680672381926986
Ubisense;1381813971655;2.5108983582597886;5.642524834356712
Ubisense;1381813971940;2.1567061616925756;5.68030522685711
Ubisense;1381813972675;1.8395524857994467;5.711099072498609
Ubisense;1381813991000;3.3104935844434884;6.615162089650343
Storage;1381813995000;KITCHEN_FRIDGE;OPENED
Storage;1381814000000;KITCHEN_FRIDGE;OBJECT_PUT
Storage;1381814005000;KITCHEN_FRIDGE;CLOSED
Ubisense;1381814006118;2.76;8.205106263604799
Power;1381814020000;HERD;ON
Ubisense;1381814290000;2.76;8.189689606804828
Ubisense;1381814291000;2.2178769809775947;6.917391719755552
Ubisense;1381814292000;1.5911324969909022;5.684219801433045
Ubisense;1381814292140;1.4909289384238338;5.526210010885961
Storage;1381814310000;KITCHEN_SHELF;OPENED
Storage;1381814315000;KITCHEN_SHELF;OBJECT_TAKEN
Storage;1381814325000;KITCHEN_SHELF;CLOSED
Ubisense;1381814325000;1.5067956074955307;5.478175428221787
Ubisense;1381814326000;2.1041809169717816;6.74697081834008
Ubisense;1381814327140;2.7718614167621047;8.207612109051137
Ubisense;1381814355000;1.5152127934960933;5.752229214029219
Ubisense;1381814355000;2.784561946723528;8.196755827548051
Ubisense;1381814355282;1.8466790104534625;5.690198100184687
Ubisense;1381814355625;2.5300000000000002;5.508003091043621
Ubisense;1381814356000;2.175609865126862;6.969118104562031
Ubisense;1381814356233;2.77;5.488612031491942
Ubisense;1381814356546;3.0959661089288457;5.396218580821144
Ubisense;1381814357000;1.5330395471183256;5.728732313134703
Ubisense;1381814357012;1.4671145006458317;5.710621258731069
Ubisense;1381814358637;3.42380476986677;5.290338410946973
Ubisense;1381814359355;3.774016940383764;5.31
Ubisense;1381814359839;4.451318286583646;5.251531781214605
Ubisense;1381814360323;4.771761711946173;5.204489553190569
Ubisense;1381814360838;4.98;4.887098228443096
Ubisense;1381814361509;4.922729533298529;4.564256943320688
Ubisense;1381814361869;4.897130160584727;4.269775832870488
Ubisense;1381814362009;4.848563674933247;3.897322733470085
Ubisense;1381814363274;4.481674623380161;2.8789678523870865
Ubisense;1381814363430;4.114960753301375;2.6774231827968973
Ubisense;1381814363586;3.8082767702137006;2.4709945572225296
Ubisense;1381814363757;3.4742327107607918;2.2831307552194877
Ubisense;1381814364039;3.1416167732437694;2.062851276710057
Ubisense;1381814365646;2.7892355414895986;1.9179356167589932
Ubisense;1381814366115;2.4905935249356888;1.7786229867943402
Ubisense;1381814366708;2.150845378729094;1.6591886656893582
Ubisense;1381814367645;1.8686048859326665;1.4392767089601604
Ubisense;1381814880000;1.5155433054722154;5.72789006044754
Ubisense;1381814880282;1.8152416415050967;5.648087911441137
Ubisense;1381814880453;2.1821395047920564;5.61
Ubisense;1381814880625;2.495101608897059;5.505787664591518
Ubisense;1381814881233;2.8107602930334608;5.4929311556638565
Ubisense;1381814881546;3.1570658520108212;5.465085529268664
Ubisense;1381814883637;3.4485333371241764;5.3147614791587
Ubisense;1381814884839;4.433821236080668;5.253056031468733
Ubisense;1381814886509;4.956520847737559;4.589417773501207
Ubisense;1381814886869;4.912584549983241;4.236146906416543
Ubisense;1381814887009;4.800710122663998;3.8861914262821458
Ubisense;1381814887150;4.778458280502471;3.61
Ubisense;1381814887680;4.729380033825224;3.2397740889834292
Ubisense;1381814888274;4.49;2.875155046865668
Ubisense;1381814888430;4.136693328372362;2.6895460876219244
Ubisense;1381814888757;3.4485194308022087;2.2404807122299584
Ubisense;1381814889039;3.147006885419288;2.08
Ubisense;1381814890000;1.3382924012057507;1.1476827447594915
Ubisense;1381814891115;2.4618576410006447;1.7931432754885888
Ubisense;1381814891156;1.9718837586164266;1.6273948055557552
Ubisense;1381814891406;2.3256069360916425;1.8269540590918134
Ubisense;1381814891708;2.1868974936797225;1.6474453191288467
Ubisense;1381814892186;2.6525140887109675;1.9749845621296847
Ubisense;1381814892375;2.9783380944549998;2.103830193143793
Ubisense;1381814892645;1.848625461268753;1.454513983411105
Ubisense;1381814892780;3.28082550762682;2.2892367341914017
Ubisense;1381814893560;3.630960495814374;2.487129831719534
Ubisense;1381814893811;3.9535233033421915;2.775736654891414
Ubisense;1381814894575;4.251995536913476;3.034446223240921
Ubisense;1381814894841;4.524945286463394;3.364966670953425
Ubisense;1381814895107;4.746510249423829;3.7384553895257766
Ubisense;1381814897181;4.899854112238638;4.056459369142763
Ubisense;1381814897448;4.972483793466221;4.354915385277353
Ubisense;1381814898290;4.913728402812007;4.7332653136001195
Ubisense;1381814898759;4.847904597435722;5.025391500343396
Ubisense;1381814899211;4.494561380091411;5.292030275348009
Ubisense;1381814899430;4.189031297048244;5.43256398792514
Ubisense;1381814899790;3.8604370730125286;5.510036164057697
Ubisense;1381814899961;3.509801796350952;5.508525657143312
Ubisense;1381814900000;3.9968454210047977;3.0002974451796356
Ubisense;1381814900148;3.2143222486090424;5.626278256985026
Ubisense;1381814900336;2.881209645181714;5.746616210978156
Ubisense;1381814900679;2.5;5.830712729601879
Ubisense;1381814901000;2.8802210231374814;2.1634402725877275
Ubisense;1381814901785;2.01328839033649;1.5048356183894984
Ubisense;1381814902115;1.8499999999999999;5.797034849385486
Ubisense;1381814902350;1.5857820080418714;5.776569332365706
Ubisense;1381815800000;2.006220517753037;2.895699080747576
Ubisense;1381815801000;1.047714554927055;2.572731732182563
Ubisense;1381815802000;0.6425903000596395;1.7057191278351975
Ubisense;1381815803000;0.8196023204982154;0.750309536601886
Ubisense;1381815804000;1.5988422158079034;0.14783949097319954
Ubisense;1381815805000;2.5708293732533996;0.24026111354166146
Ubisense;1381815806000;3.280036098524874;0.9279986415860229
Ubisense;1381815808000;2.7353957929566333;2.6820006301736323
Ubisense;1381815808796;2.04;2.9122484817636596
Ubisense;1381819700000;2.9920265512660595;1.000296992778055
Ubisense;1381819701000;2.962385949487865;1.0060865317039593
Ubisense;1381819703000;2.942367081548382;1.0093460388292987
Ubisense;1381819704000;2.8934012802311186;1.0618939745516838
Ubisense;1381821200000;1.318259553769631;1.1606934110576732
Ubisense;1381821200563;1.653250100124548;1.395188222544631
Ubisense;1381821201406;2.3219911441142242;1.7858827272071391
Ubisense;1381821202375;2.9517475842525225;2.124570554276571
Ubisense;1381821202780;3.2868582878124504;2.2844123148156816
Ubisense;1381821203560;3.5861703273194605;2.5194400091103564
Ubisense;1381821204575;4.264129477963842;3.0734858349825354
Ubisense;1381821204841;4.561555647109595;3.3598769702830564
Ubisense;1381821205107;4.73901980372002;3.7258812959084495
Ubisense;1381821207181;4.902833912187319;4.029512585974694
Ubisense;1381821208290;4.9261984621537005;4.739983011997363
Ubisense;1381821209211;4.51851185874216;5.275415331028946
Ubisense;1381821209430;4.203214910001796;5.403015315221577
Ubisense;1381821209790;3.8726747080733186;5.475197967299302
Ubisense;1381821209961;3.5382230051230024;5.56077167003923
Ubisense;1381821210336;2.870486459854383;5.691473721134755
Ubisense;1381821210679;2.505258857319454;5.824035135034638
Ubisense;1381821211273;2.191019713063211;5.807885966636516
Ubisense;1381821212115;1.8708664703388205;5.7525827293952805
Ubisense;1381821212350;1.5787733863702236;5.804616822806316
Storage;1381821230000;KITCHEN_SHELF;OPENED
Storage;1381821233000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381821235000;0.9714293109218275;5.5156706072748625
Ubisense;1381821235714;0.9915368611835209;6.501524280586209
Ubisense;1381821248000;0.9688188748029201;6.516403636790595
Ubisense;1381821248714;0.9677451686412148;5.497776058590375
Ubisense;1381821250000;1.022235317824749;5.5021197389090375
Ubisense;1381821251428;1.0251129820846072;7.521389553778995
Water;1381821255000;KITCHEN_SINK_COLD;ON
Ubisense;1381821263000;1.0168737293603485;7.462516583153553
Water;1381821263000;KITCHEN_SINK_COLD;OFF
Ubisense;1381821263714;1.0209292931853906;6.522254275104286
Ubisense;1381821270000;1.0296519292717672;6.486726689260663
Storage;1381821273000;KITCHEN_SHELF;OBJECT_TAKEN
Storage;1381821275000;KITCHEN_SHELF;CLOSED
Ubisense;1381821276000;1.0112489907915916;5.482447279879667
Ubisense;1381821276714;1.0069917787058227;6.470444093953133
Power;1381821290000;KAFFEMASCHINE;ON
Power;1381821320000;KAFFEMASCHINE;ON
Alarm;1381821320000;Kaffemaschiene;fertig
Ubisense;1381821330000;1.5432377589472268;5.717559596650596
Ubisense;1381821330282;1.8366777804769125;5.668649355883033
Ubisense;1381821330625;2.5224707279550334;5.499825583517732
Ubisense;1381821331233;2.836122001670851;5.474168759109826
Ubisense;1381821331546;3.120416718818073;5.43174421875347
Ubisense;1381821333637;3.465417456054944;5.311107284777244
Ubisense;1381821334605;4.091986905464258;5.290862936691457
Ubisense;1381821334839;4.49;5.23521637669839
Ubisense;1381821335323;4.764839754792848;5.19417883125634
Ubisense;1381821335838;4.922827799511249;4.904081261944814
Ubisense;1381821336509;4.936257081240003;4.53
Ubisense;1381821337009;4.814847900385262;3.8646912192463247
Ubisense;1381821337150;4.81292871983523;3.5558866077106264
Ubisense;1381821338274;4.431950366530044;2.9054292573535743
Ubisense;1381821338430;4.127423020423961;2.7032458163774455
Ubisense;1381821338586;3.772454887168972;2.4560065610670136
Ubisense;1381821338757;3.5;2.247735239407063
Ubisense;1381821339039;3.114287448118701;2.039658170849282
Ubisense;1381821340646;2.819325393294439;1.9053721592731165
Ubisense;1381821341115;2.489686480857224;1.8170423070934878
Ubisense;1381821342645;1.8243872826659533;1.4355122769331423
Alarm;1381822340000;Telefon;Kontakt1
Ubisense;1381827800000;2.017254481040171;1.4708442932440882
Ubisense;1381827801000;3.08;2.362738660979366
Ubisense;1381827801785;4.004700601272485;3.010178184709669
Ubisense;1381830000000;3.9975694526596306;3.014160044687787
Ubisense;1381830001665;2.014330804278404;4.171524229014983
Ubisense;1381830060000;1.983591581139829;4.185738564912392
