Bed;1381788000000;REM
Bed;1381788600000;N1
Bed;1381788900000;N2
Bed;1381789800000;N4
Bed;1381795800000;N3
Bed;1381796700000;N4
Bed;1381798500000;N1
Bed;1381801800000;N4
Bed;1381803000000;N3
Bed;1381804800000;N2
Bed;1381808700000;N2
Bed;1381811400000;N1
Ubisense;1381813380000;9.776368506338846;5.409261880779029
Ubisense;1381813382371;9.246935993038326;5.834804380929464
Ubisense;1381813386613;8.72296414370708;5.499423475917682
Ubisense;1381813389143;8.425442154164886;4.571593014114328
Ubisense;1381813389946;8.487386462695625;4.574533578582962
Ubisense;1381813390714;8.685007041630751;4.372175955372303
Ubisense;1381813391434;8.726757852254824;3.7628481777422156
Ubisense;1381813392023;8.484731729209756;3.798147126706963
Ubisense;1381813392533;8.517270123112247;3.387339054693352
Ubisense;1381813393319;8.675671453893958;2.988408206197604
Ubisense;1381813394429;8.606364863099314;2.6520691204714826
Ubisense;1381813395037;8.859725222350459;2.216299430390321
Ubisense;1381813395587;9.282828940055872;2.4625416355556786
Ubisense;1381813396301;9.955489703874049;2.195754533900492
Ubisense;1381813396513;10.278743411550183;2.4869055064879984
Ubisense;1381813397248;10.727005356097179;2.6891427070799194
Ubisense;1381813397719;10.777224963681324;2.67
Ubisense;1381813398292;11.185621642642179;2.7212541113605244
Ubisense;1381813403170;11.459354360263623;2.6833272397311454
Ubisense;1381813403711;11.087277374627238;2.762534070282848
Ubisense;1381813404239;10.888404424504527;2.5661098160366804
Ubisense;1381813404342;10.608366358190416;2.776894701983747
Ubisense;1381813404532;10.23939528949486;2.46
Ubisense;1381813404872;9.96194718769364;2.446802451312709
Ubisense;1381813405332;9.400646583837352;2.75855870514015
Ubisense;1381813405453;9.338734761568892;2.594390029629841
Ubisense;1381813405616;8.721214244396764;2.6990597783754104
Ubisense;1381813406446;8.570203612390518;2.8546513028570777
Ubisense;1381813407319;8.037099704519276;2.8003974681013917
Ubisense;1381813410000;10.977722708062549;7.808800798936645
Water;1381813470000;BATH_TOILET_COLD;ON
Ubisense;1381813470928;9.708430274240625;8.505423543287204
Water;1381813485000;BATH_SINK_COLD;ON
Ubisense;1381813515000;8.986237101061432;8.003192174591472
Ubisense;1381813515798;7.983440109519165;8.510658619566385
Water;1381813525000;BATH_SHOWER_HOT;ON
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;ON
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;ON
Ubisense;1381813705000;7.979810841912044;8.478500784577609
Ubisense;1381813705798;8.999741813385434;8.030856432941818
Ubisense;1381813735000;9.027391885948251;8.005210877685878
Ubisense;1381813735614;9.723205577312486;8.48294443573139
Ubisense;1381813760000;9.806645518236525;7.968985761628497
Ubisense;1381813760008;9.413833575347113;7.655067186947529
Ubisense;1381813760352;9.046394781883365;7.592329293953968
Ubisense;1381813760573;8.76663676990679;7.398009657368194
Ubisense;1381813760964;8.464747637570754;7.223317564970355
Ubisense;1381813761956;8.135652966488191;7.1909879101068865
Ubisense;1381813762455;7.812978874130013;7.077174936005579
Ubisense;1381813762982;7.49696886155871;7.094027548322808
Ubisense;1381813764297;7.208521571491603;7.06360007792975
Ubisense;1381813764492;6.961588860071128;6.78083898979761
Ubisense;1381813764674;6.947203973569673;6.459431782631972
Ubisense;1381813764826;6.888788420364805;6.18044654103227
Ubisense;1381813765016;6.870429106078853;5.855618465639582
Ubisense;1381813765242;6.889878043395368;5.578491428965383
Ubisense;1381813765366;6.9446840643483325;5.22640921749959
Ubisense;1381813765553;6.95606357106243;4.907108529117764
Ubisense;1381813765938;7.005002478630022;4.25
Ubisense;1381813766120;6.996993887836119;3.944876346709434
Ubisense;1381813766417;7.042462747901239;3.6398800315349127
Ubisense;1381813766653;7.099277040648793;3.350549342793108
Ubisense;1381813767919;7.396079313002368;2.4010584306713554
Ubisense;1381813768334;7.713743410161984;2.238587881687828
Ubisense;1381813768960;8.028816927333718;2.01
Ubisense;1381813800000;9.49405655078467;2.4718872004521675
Storage;1381813810000;SLEEPING_ROOM_WARDROBE;CLOSED
Storage;1381813815000;SLEEPING_ROOM_WARDROBE;OPENED
Ubisense;1381813825000;9.512365843090192;1.5179343331069648
Ubisense;1381813826000;10.908544850735852;1.4861470276513185
Ubisense;1381813930000;10.993795556776274;1.4965060561888346
Ubisense;1381813931000;9.59811836075284;1.46
Ubisense;1381813945000;9.490025798979815;1.5225038699694255
Ubisense;1381813945714;9.46;2.5383657027877815
Ubisense;1381813965000;9.1;1.8954185340984815
Ubisense;1381813965259;8.61657112769084;2.329483423198339
