Bed;1381788000000;N4
Bed;1381788600000;N1
Bed;1381788900000;N2
Bed;1381789500000;N4
Bed;1381795800000;N3
Bed;1381796700000;NREM
Bed;1381798500000;N1
Bed;1381799100000;REM
Bed;1381801200000;N2
Bed;1381801800000;N1
Bed;1381803000000;WACH
Bed;1381804800000;N2
Bed;1381805400000;N1
Bed;1381808700000;N2
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;WACH
Ubisense;1381813380000;9.781696964224905;5.440749578921982
Ubisense;1381813380989;9.49108374967286;5.501607528318429
Ubisense;1381813382371;9.20932906037938;5.84574386177944
Ubisense;1381813383770;8.945391357038666;5.904774453074389
Ubisense;1381813386613;8.701949001260413;5.4794523906413595
Ubisense;1381813389143;8.435475263813277;4.5968492611317675
Ubisense;1381813389946;8.485561180677223;4.632416297112191
Ubisense;1381813390714;8.660799175165284;4.33227339466716
Ubisense;1381813391434;8.74186124158766;3.75696011749463
Ubisense;1381813392023;8.457119848708874;3.7986167887751843
Ubisense;1381813393319;8.68097129631326;2.9993733030187597
Ubisense;1381813394429;8.594850193603383;2.6623785271216183
Ubisense;1381813395037;8.839784442423674;2.2302307252924294
Ubisense;1381813395587;9.289337329671465;2.4827419481729285
Ubisense;1381813396098;9.60530886882414;2.4131018266638726
Ubisense;1381813396301;9.968751205615067;2.178829075091795
Ubisense;1381813396513;10.277825516719268;2.5153088925632607
Ubisense;1381813397248;10.728689853110957;2.7161374297509737
Ubisense;1381813398292;11.183522643112614;2.686462086652
Ubisense;1381813403170;11.438503063349795;2.6644867807188395
Ubisense;1381813403711;11.091959214339047;2.7563794370081687
Ubisense;1381813404342;10.58;2.7784372641158983
Ubisense;1381813404872;9.936018950702419;2.4796686598208306
Ubisense;1381813405332;9.381760406169994;2.776953163240036
Ubisense;1381813405453;9.333828242637537;2.6087945719314223
Ubisense;1381813405616;8.772029445761532;2.709317152577505
Ubisense;1381813405856;8.463739310752382;2.760589615511834
Ubisense;1381813407319;8.07542534009462;2.751833339644437
Ubisense;1381813410500;11.014800035730197;8.50893940937689
Ubisense;1381813470000;10.983057043913824;8.492975147060676
Ubisense;1381813470928;9.716068671851728;8.474954490320986
Water;1381813485000;BATH_SINK_COLD;ON
Water;1381813500000;BATH_SINK_COLD;OFF
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Ubisense;1381813705000;8.005049089793793;8.54
Ubisense;1381813705798;8.97096488550789;7.9994491309918265
Ubisense;1381813735000;8.99494479905492;7.9985432824275025
Ubisense;1381813735614;9.718451801583162;8.507088483060823
Ubisense;1381813760573;8.74221994623137;7.336095250037677
Ubisense;1381813761956;8.144806843504865;7.135070445024643
Ubisense;1381813762455;7.827022080920736;7.108365131759969
Ubisense;1381813762982;7.5322556580914135;7.09591196805453
Ubisense;1381813764674;6.932743710500998;6.450559690154773
Ubisense;1381813764826;6.890270320445222;6.176097466704534
Ubisense;1381813765016;6.909023772520496;5.8421428302726826
Ubisense;1381813765242;6.91799575435119;5.541430624642538
Ubisense;1381813765366;6.907066197407664;5.210171912574904
Ubisense;1381813765553;6.921598155055384;4.902458966289937
Ubisense;1381813765713;6.964863601690397;4.585435210171734
Ubisense;1381813765938;6.974657215432126;4.266710149354653
Ubisense;1381813766120;6.975073893654317;3.940615350903597
Ubisense;1381813766417;7.041505761446516;3.6490549138064114
Ubisense;1381813766653;7.09122753662162;3.33966239673428
Ubisense;1381813766862;7.131411822956178;3.004813682592016
Ubisense;1381813767307;7.196854595359355;2.7005197868190063
Ubisense;1381813767919;7.4034118734263314;2.40154611886591
Ubisense;1381813768960;8.062904850175876;1.9468407563104746
Ubisense;1381813800000;9.472487179608827;2.490699192391806
Ubisense;1381813800714;9.50860471258541;1.5140741247752494
Storage;1381813810000;SLEEPING_ROOM_WARDROBE;OPENED
Storage;1381813815000;SLEEPING_ROOM_WARDROBE;OBJECT_TAKEN
Ubisense;1381813825000;9.514606052354239;1.4984470148086066
Ubisense;1381813826000;10.90754043288687;1.4997640781550068
Ubisense;1381813826071;11.04;1.5212150378185576
Ubisense;1381813931000;9.6245062467;1.4637665089534464
Ubisense;1381813931071;9.488981759775474;1.5221285358113927
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813945000;9.509176665102673;1.483411331193669
Ubisense;1381813945714;9.46;2.4702911719589324
Ubisense;1381813965000;9.050897266542377;1.8916212991501138
Ubisense;1381813965006;8.91958159079138;2.2085026248596873
Ubisense;1381813965259;8.603296982922027;2.290219433259157
Ubisense;1381813965815;8.308881933549449;2.3704938026075757
Ubisense;1381813966038;7.6767644127770875;2.4392107568918395
Ubisense;1381813967571;5.921158287710213;3.1381309214962636
Ubisense;1381813967695;5.671317735732262;3.488871180545368
Ubisense;1381813968249;5.418121080050369;3.9043328699440822
Ubisense;1381813968469;5.208716858000629;4.214111542276596
Ubisense;1381813968584;5.15723139878732;4.5761691311719765
Ubisense;1381813969174;4.874462095241929;5.25180376793942
Ubisense;1381813969574;4.500533344993258;5.55820258255179
Ubisense;1381813970584;3.4451827682042677;5.469523709822565
Ubisense;1381813970858;3.163619850433718;5.518993939968672
Ubisense;1381813971055;2.8306344730876782;5.571554097287137
Ubisense;1381813971655;2.514114675536568;5.613311119793342
Ubisense;1381813971940;2.136161517791115;5.651987370644711
Ubisense;1381813972675;1.8466476751366974;5.696237608447914
Ubisense;1381813990000;2.4839201438430583;5.480519547920727
Ubisense;1381813991000;3.3235309461926237;6.640505410183184
Ubisense;1381813991171;3.5009241784273373;6.784880745365698
Storage;1381813995000;KITCHEN_FRIDGE;OPENED
Storage;1381814000000;KITCHEN_FRIDGE;OBJECT_TAKEN
Storage;1381814005000;KITCHEN_FRIDGE;CLOSED
Ubisense;1381814005000;3.4858871357134253;6.797603647529481
Ubisense;1381814006000;2.841376635414605;8.072850039374737
Power;1381814020000;HERD;ON
Ubisense;1381814290000;2.8199762649388576;8.218869381096265
Ubisense;1381814291000;2.191249797457937;6.941010328588559
Ubisense;1381814292000;1.5544094100258001;5.696602399592786
Ubisense;1381814292140;1.5114406523790582;5.495190151433561
Storage;1381814310000;KITCHEN_SHELF;OPENED
Storage;1381814325000;KITCHEN_SHELF;CLOSED
Ubisense;1381814326000;2.096330655334606;6.785914379535596
Ubisense;1381814327000;2.695157725696817;8.01967391904634
Ubisense;1381814355000;2.795074524157268;8.239999999999998
Ubisense;1381814355000;1.5016039322116288;5.723295958853012
Ubisense;1381814355282;1.8341444471492487;5.639684000191252
Ubisense;1381814355453;2.1717380119141287;5.566760016977646
Ubisense;1381814355625;2.460139867662644;5.530428547111284
Ubisense;1381814356000;2.13903323210763;6.968968024676898
Ubisense;1381814356233;2.8102619964091495;5.523736211913433
Ubisense;1381814356546;3.1129894793720125;5.43173600262514
Ubisense;1381814357000;1.5291332914446079;5.720379340838027
Ubisense;1381814357012;1.498103980451167;5.713335931979274
Ubisense;1381814358637;3.448667731860513;5.303123129000482
Ubisense;1381814359355;3.7990565875821605;5.245066204635088
Ubisense;1381814359605;4.0983639585367735;5.306475707456637
Ubisense;1381814359839;4.442651425315489;5.242890586190114
Ubisense;1381814360838;4.933650609275753;4.869452875704617
Ubisense;1381814361509;4.92078336002642;4.593802158552707
Ubisense;1381814361869;4.900701499006017;4.246485780878092
Ubisense;1381814362009;4.857553896503661;3.887072321698419
Ubisense;1381814362680;4.754578553035697;3.231490979958896
Ubisense;1381814363274;4.461483407638654;2.884438769166232
Ubisense;1381814363430;4.142473643297419;2.676977160792607
Ubisense;1381814363586;3.8001774649873856;2.4885393390256705
Ubisense;1381814363757;3.4594154273677176;2.242398083785856
Ubisense;1381814364039;3.128349992799448;2.0078090222347997
Ubisense;1381814365646;2.835773480413653;1.9045456594930539
Ubisense;1381814366115;2.496965528831604;1.8045446473806341
Ubisense;1381814366708;2.176772485433293;1.6480280407978267
Ubisense;1381814367645;1.8518657468654056;1.4855106660782955
Ubisense;1381814880000;1.5537842938297133;5.76637602937379
Ubisense;1381814880282;1.8012843806849497;5.634120504987571
Ubisense;1381814880453;2.1625466665408464;5.580781426181986
Ubisense;1381814880625;2.522900847441194;5.507481905373397
Ubisense;1381814881233;2.7941884186693176;5.4631911584692245
Ubisense;1381814881546;3.1266395637446878;5.41940832602896
Ubisense;1381814883637;3.4756737955834693;5.28472840596316
Ubisense;1381814884355;3.7601513939396787;5.270907217126939
Ubisense;1381814884605;4.126749446214204;5.297055767254591
Ubisense;1381814885323;4.791626861195521;5.20084678185125
Ubisense;1381814885838;4.941989800768338;4.8785435654479254
Ubisense;1381814886509;4.938808386978929;4.5595724335964665
Ubisense;1381814886869;4.919321494534512;4.272783678689677
Ubisense;1381814887009;4.80853253161218;3.9158282552498322
Ubisense;1381814887150;4.805893012416397;3.5645562525715127
Ubisense;1381814887680;4.726319557133392;3.2265510307751906
Ubisense;1381814888430;4.120171411048912;2.691253332473417
Ubisense;1381814888586;3.8058598426387147;2.44455900685544
Ubisense;1381814888757;3.4972405390125587;2.266504038614745
Ubisense;1381814889039;3.1499588624043007;2.0254057418072313
Ubisense;1381814890000;1.3194871251969977;1.173815565853112
Ubisense;1381814890563;1.6411473820561955;1.3843626348429512
Ubisense;1381814890646;2.85;1.9093583870737358
Ubisense;1381814891115;2.511437426835312;1.8282226497567264
Ubisense;1381814891406;2.3495797608115545;1.8076491507535353
Ubisense;1381814891708;2.1251434310272717;1.6476690598014998
Ubisense;1381814892186;2.625688298163147;1.9970332691517736
Ubisense;1381814892375;2.946746145441885;2.11224775075149
Ubisense;1381814892645;1.835233163896046;1.452380762495177
Ubisense;1381814893560;3.637747604623606;2.4884591477632516
Ubisense;1381814893811;3.9355760438052574;2.780901797721076
Ubisense;1381814894575;4.242463463841905;3.046320192132689
Ubisense;1381814894841;4.53602742390384;3.3889237845982496
Ubisense;1381814895107;4.75333975515035;3.758249815787771
Ubisense;1381814898290;4.8847431258289165;4.715392609500225
Ubisense;1381814898759;4.848117083234038;5.031996605900211
Ubisense;1381814899211;4.474858935194714;5.280151775631463
Ubisense;1381814899430;4.155232565845334;5.390777959159386
Ubisense;1381814899790;3.8536113369279237;5.500520511913204
Ubisense;1381814900000;3.988917279091498;3.0113055973879117
Ubisense;1381814900148;3.25;5.589925408619142
Ubisense;1381814900336;2.873905332055271;5.713278662543782
Ubisense;1381814901000;2.8802661742824758;2.139336708193206
Ubisense;1381814901273;2.2224416383749945;5.789402312769864
Ubisense;1381814901785;1.9876024314066534;1.488430465010036
Ubisense;1381814902350;1.5430102066122344;5.830054307289147
Ubisense;1381815800000;1.9880107905559492;2.912641308049048
Ubisense;1381815801000;1.0901699480152702;2.547132262539055
Ubisense;1381815802000;0.6261103557875001;1.6608783673744572
Ubisense;1381815803000;0.8160938553597882;0.75497807807712
Ubisense;1381815804000;1.6096909694865527;0.157765842811047
Ubisense;1381815806000;3.278661637655041;0.913332942107348
Ubisense;1381815807000;3.3612165015233484;1.9187149489305113
Ubisense;1381815808796;1.96;2.94
Ubisense;1381819700000;3.012329048354684;1.0045140911545873
Ubisense;1381819701000;3.00872531152316;1.0268017797569722
Ubisense;1381819702000;3.009753380248664;1.032514467917393
Ubisense;1381819703000;2.9991529824347056;1.030617773188315
Ubisense;1381819704000;2.971232775067273;1.036376077009057
Ubisense;1381821200000;1.335751373623478;1.2072363176337713
Ubisense;1381821201156;1.9682397894909862;1.625557695902053
Ubisense;1381821201406;2.324936839719835;1.7933628716608931
Ubisense;1381821202186;2.6598059642608027;1.9575901141556595
Ubisense;1381821202375;2.983337997143168;2.116385335291848
Ubisense;1381821202780;3.3029100594512824;2.3330301439852894
Ubisense;1381821203811;3.9509284501029565;2.806074211076057
Ubisense;1381821204575;4.252025209008756;3.065623403412007
Ubisense;1381821205107;4.751380211340957;3.7326453298504974
Ubisense;1381821207181;4.937100114046686;4.069934901887085
Ubisense;1381821208290;4.922925257164485;4.696906606668886
Ubisense;1381821208759;4.827770673296061;5.041923720615942
Ubisense;1381821209211;4.488927518682699;5.330365000033412
Ubisense;1381821209430;4.191883432443012;5.4175501090731
Ubisense;1381821209790;3.840708792417119;5.46898434561541
Ubisense;1381821209961;3.5421122196037738;5.53709819303664
Ubisense;1381821210336;2.8726160787189374;5.710488778291836
Ubisense;1381821210679;2.5262919508252577;5.819345752222709
Ubisense;1381821211273;2.2354124937577153;5.770749748638993
Ubisense;1381821212115;1.920445148451513;5.757360327809699
Ubisense;1381821212350;1.5707203623614316;5.800349704460735
Storage;1381821230000;KITCHEN_SHELF;OPENED
Storage;1381821233000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381821235000;0.9920870997534603;5.503337176322831
Ubisense;1381821248000;0.9900978720411365;6.503011695212619
Ubisense;1381821248714;0.9766585013623651;5.494761219666013
Storage;1381821250000;KITCHEN_SHELF;OBJECT_PUT
Ubisense;1381821251000;0.9790909401477879;6.876379007715938
Ubisense;1381821251428;0.9982892188724767;7.5070878750634575
Water;1381821255000;KITCHEN_SINK_COLD;OFF
Ubisense;1381821263000;1.0395754570789495;7.46
Ubisense;1381821263714;1.0074836802879217;6.511672420664381
Ubisense;1381821270000;1.0049381662479835;6.480410636443948
Ubisense;1381821270714;1.0109166527516351;5.478576486377528
Storage;1381821273000;KITCHEN_SHELF;OBJECT_TAKEN
Ubisense;1381821276714;0.9976425309734965;6.505103757918439
Power;1381821290000;KAFFEMASCHINE;OFF
Power;1381821320000;KAFFEMASCHINE;ON
Alarm;1381821320000;Kaffemaschiene;fertig
Ubisense;1381821330000;1.492439491166109;5.73501500848408
Ubisense;1381821330453;2.1697374758817602;5.590336704208127
Ubisense;1381821330625;2.481524671259169;5.513541158397426
Ubisense;1381821331233;2.7961080476334614;5.476412957700136
Ubisense;1381821333637;3.449336575486234;5.3204251587770015
Ubisense;1381821334605;4.074488824131779;5.3208999210353225
Ubisense;1381821334839;4.435218145999716;5.252054965137365
Ubisense;1381821335323;4.81;5.193654443853868
Ubisense;1381821335838;4.962737310496313;4.91610065145138
Ubisense;1381821336509;4.915833309962393;4.536198783699044
Ubisense;1381821336869;4.937139717869621;4.246573961582101
Ubisense;1381821337009;4.838235632029295;3.9077168573970713
Ubisense;1381821337150;4.811576576392888;3.5507485994986574
Ubisense;1381821337680;4.693882301392483;3.215390261565883
Ubisense;1381821338274;4.461938138366816;2.9030273079691318
Ubisense;1381821338430;4.122213221122453;2.661467653003125
Ubisense;1381821338586;3.7947551065054657;2.509251995170812
Ubisense;1381821338757;3.4575799800003004;2.2720458657165907
Ubisense;1381821340646;2.7953117330445476;1.9037509105430777
Ubisense;1381821341115;2.4759968640660586;1.8217507022763875
Ubisense;1381821341708;2.178225803313165;1.6272133714662749
Ubisense;1381821342645;1.8256775858401053;1.458334002978256
Alarm;1381822340000;Telefon;Kontakt1
Ubisense;1381827800000;1.986974589235315;1.5040001358894541
Ubisense;1381827801000;3.111006487570002;2.3330466786067343
Ubisense;1381827801785;3.9934751422920187;3.003299243378417
Ubisense;1381830000000;3.9726804873678385;2.9983275961035827
Ubisense;1381830001000;2.7929354639344512;3.7353576669885356
Ubisense;1381830001665;1.9908560947221658;4.214268270513759
