Bed;1381788000000;REM
Bed;1381788600000;N1
Bed;1381789500000;N3
Bed;1381789800000;N4
Bed;1381792800000;REM
Bed;1381795800000;N3
Bed;1381796700000;N4
Bed;1381799100000;REM
Bed;1381801200000;N2
Bed;1381801800000;N4
Bed;1381803000000;N3
Bed;1381804800000;N2
Bed;1381805400000;N1
Bed;1381813200000;WACH
Ubisense;1381813380000;9.757182031787126;5.42801171457218
Ubisense;1381813380989;9.46114759389227;5.454499241160636
Ubisense;1381813383770;8.939659259330352;5.918006010469795
Ubisense;1381813388327;9.010998470679903;5.015147459791878
Ubisense;1381813389143;8.410795628573945;4.590951548800759
Ubisense;1381813389946;8.493895677339584;4.621672494693696
Ubisense;1381813390714;8.679429460777317;4.367704674410543
Ubisense;1381813391434;8.735889768810756;3.756801327032227
Ubisense;1381813392023;8.48882419611928;3.792243496834491
Ubisense;1381813393319;8.68872469116659;2.968117469618077
Ubisense;1381813395037;8.846971096878214;2.2379327852510174
Ubisense;1381813395587;9.279443258169627;2.502110531599452
Ubisense;1381813396098;9.564569094207668;2.4277265871279146
Ubisense;1381813396301;9.956511242892557;2.202914882617537
Ubisense;1381813397248;10.708475084162547;2.709280486906054
Ubisense;1381813397719;10.749183762305847;2.6939948522214427
Ubisense;1381813398292;11.203654498952172;2.7036734595614758
Ubisense;1381813403170;11.440622443647356;2.657696825850567
Ubisense;1381813403711;11.079400759393833;2.766150047181707
Ubisense;1381813404239;10.882207079045912;2.590264891190669
Ubisense;1381813404342;10.601389981739622;2.7966366822527635
Ubisense;1381813404532;10.261644662313019;2.523036410663121
Ubisense;1381813405332;9.370000000000001;2.7331911119672947
Ubisense;1381813405616;8.782277838628332;2.7354451511452367
Ubisense;1381813405856;8.47817309965628;2.745070476111928
Ubisense;1381813406446;8.549049240440302;2.8405043851378213
Ubisense;1381813407319;8.068612992920139;2.7575290387084768
Ubisense;1381813410000;11.008368104689408;7.769406665451614
Ubisense;1381813410500;10.973907846146705;8.504787252645508
Ubisense;1381813470000;10.978761782018209;8.527196722338017
Water;1381813485000;BATH_SINK_COLD;ON
Water;1381813500000;BATH_SINK_COLD;OFF
Ubisense;1381813515000;9.016920907770086;7.996845057900718
Ubisense;1381813515798;8.019737446939065;8.50666922441584
Water;1381813525000;BATH_SHOWER_HOT;ON
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813575000;BATH_SHOWER_HOT;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;OFF
Ubisense;1381813705000;8.015622609762978;8.501377194438563
Ubisense;1381813735000;9.000906763505235;8.013461528945731
Ubisense;1381813735614;9.701249195728316;8.511406771250819
Ubisense;1381813760008;9.432810933610696;7.679018677795427
Ubisense;1381813760352;9.045098789123156;7.541431105520175
Ubisense;1381813760964;8.420877293010962;7.218385368658182
Ubisense;1381813761956;8.165826425590101;7.205255008759353
Ubisense;1381813762455;7.808509337036005;7.083179189450302
Ubisense;1381813762982;7.543784263257824;7.083454999131415
Ubisense;1381813764297;7.2173530871018;7.092997269945069
Ubisense;1381813764492;6.9676109758611116;6.769716579013874
Ubisense;1381813764674;6.945147487743902;6.476900529147958
