Bed;1381788000000;REM
Bed;1381788600000;REM
Bed;1381788900000;N2
Bed;1381789500000;N3
Bed;1381789800000;N4
Bed;1381794600000;N2
Bed;1381795800000;N3
Bed;1381796700000;N4
Bed;1381798500000;N1
Bed;1381799100000;REM
Bed;1381801800000;N4
Bed;1381803000000;N3
Bed;1381805400000;N1
Bed;1381808700000;N2
Alarm;1381813200000;alarm;wecker
Bed;1381813200000;WACH
Ubisense;1381813380000;9.73711436852854;5.432594952754067
Ubisense;1381813380989;9.447279724657557;5.455818845532898
Ubisense;1381813382371;9.223493236635147;5.852730616144467
Ubisense;1381813389946;8.476204634065022;4.617961674716827
Ubisense;1381813391434;8.7111290910501;3.7335359201911493
Ubisense;1381813392023;8.464891974388355;3.7740555440705834
Ubisense;1381813392533;8.514497854847901;3.376624234980725
Ubisense;1381813394429;8.642221431607858;2.68
Ubisense;1381813395587;9.270500517124484;2.484690257530048
Ubisense;1381813396098;9.571734768846598;2.38
Ubisense;1381813396301;9.929106430523671;2.163084985582758
Ubisense;1381813396513;10.280422938509867;2.473394433323821
Ubisense;1381813397248;10.731105360298638;2.7320644439432678
Ubisense;1381813397719;10.784741972904554;2.7146041917537276
Ubisense;1381813403170;11.425301647851322;2.660966394171306
Ubisense;1381813403711;11.079472448657823;2.7637026831902944
Ubisense;1381813404532;10.264202974081325;2.5251484710084053
Ubisense;1381813404872;9.952142888558026;2.454796896895916
Ubisense;1381813405332;9.407169264642176;2.720620199447351
Ubisense;1381813405453;9.328917006043175;2.5906082099234804
Ubisense;1381813405616;8.71;2.7236330032556397
Ubisense;1381813405856;8.460894416740167;2.740334541938324
Ubisense;1381813406446;8.560897523009741;2.8618454937316167
Ubisense;1381813407319;8.030000000000001;2.809344758632868
Ubisense;1381813410000;10.999179629421727;7.799981719913474
Ubisense;1381813470000;11.007076088877017;8.527012428779699
Water;1381813470000;BATH_TOILET_COLD;ON
Water;1381813485000;BATH_SINK_COLD;ON
Ubisense;1381813515000;8.998174267078666;8.001520453601499
Ubisense;1381813515798;8.02628409902357;8.50545150965447
Water;1381813530000;BATH_TOILET_COLD;OFF
Water;1381813620000;BATH_SHOWER_HOT;ON
Water;1381813695000;BATH_SHOWER_HOT;ON
Ubisense;1381813705000;7.9901569579833085;8.507296358061987
Ubisense;1381813705798;9.009903038257901;8.014772949681683
Ubisense;1381813735000;8.998746573892557;7.974121414887153
Ubisense;1381813735614;9.716251345765604;8.466581391742281
Ubisense;1381813760000;9.796219963660754;7.976874945466554
Ubisense;1381813760008;9.45681181404722;7.690157910980055
Ubisense;1381813760352;9.053339612278808;7.59154073513646
Ubisense;1381813760573;8.782435407415374;7.356934196938411
Ubisense;1381813760964;8.438672834009385;7.229190358313485
Ubisense;1381813761956;8.106821536539872;7.146192576103652
Ubisense;1381813762982;7.502375733623198;7.092040872838779
Ubisense;1381813764297;7.195931593109813;7.118446288979511
Ubisense;1381813764492;6.931681284905183;6.762470459396678
Ubisense;1381813764674;6.921518345226821;6.482415800229923
Ubisense;1381813764826;6.913874654237542;6.15586190237902
Ubisense;1381813765016;6.900793237622334;5.872649885715803
Ubisense;1381813765366;6.911304358534524;5.235386252880947
Ubisense;1381813765553;6.936802645096027;4.9201831361986805
Ubisense;1381813766120;7.022455486573487;3.9579994475538784
Ubisense;1381813766417;7.016496353927896;3.6621469238989874
Ubisense;1381813766653;7.0989145579012165;3.3195462343677558
Ubisense;1381813766862;7.103916316897373;3.036560582056784
Ubisense;1381813767307;7.25;2.7205799563447055
Ubisense;1381813768960;8.062526784854734;1.96119111246253
Ubisense;1381813800000;9.509132298609396;2.54
Ubisense;1381813800714;9.522004379994911;1.5165879023317883
Storage;1381813815000;SLEEPING_ROOM_WARDROBE;OBJECT_TAKEN
Ubisense;1381813825000;9.528252378105663;1.513715025712395
Ubisense;1381813826000;10.914479173623553;1.5193934181515847
Ubisense;1381813826071;11.025017543520725;1.5021436186332362
Ubisense;1381813930000;10.977106307925702;1.5003266194810707
Ubisense;1381813931000;9.589983528117195;1.4662919977732463
Ubisense;1381813931071;9.484564275918931;1.4808553257011783
Storage;1381813940000;SLEEPING_ROOM_WARDROBE;CLOSED
Ubisense;1381813945000;9.46;1.4972005002386246
Ubisense;1381813965000;9.079076563853093;1.9498277938859279
Ubisense;1381813965006;8.942465220570648;2.2377164888490415
Ubisense;1381813965259;8.591057701765472;2.312588634237943
Ubisense;1381813965815;8.260000000000002;2.347819367424742
Ubisense;1381813965948;7.9968818592487345;2.367527255169353
Ubisense;1381813966038;7.643292078386823;2.419373087891047
Ubisense;1381813966159;7.348640853732199;2.5408877939087686
Ubisense;1381813966878;6.975410814530088;2.644956576096398
Ubisense;1381813967324;6.269273955927346;2.8198232856266094
Ubisense;1381813967571;5.938726207104154;3.1633849619791605
Ubisense;1381813967695;5.696329745870758;3.4829959846954157
Ubisense;1381813968249;5.387431820763022;3.846251234124358
Ubisense;1381813968584;5.1485832812708265;4.5706743006552735
Ubisense;1381813968708;5.0025365014974374;4.931089928213543
Ubisense;1381813969174;4.867156266930598;5.287279587520211
Ubisense;1381813969854;4.165002308509679;5.380045980560672
Ubisense;1381813970005;3.8107165068748463;5.399121005139645
Ubisense;1381813970584;3.4836686189401322;5.48430625021377
Ubisense;1381813970858;3.1490826416115376;5.4937287634647305
Ubisense;1381813971055;2.8041508225154157;5.579564246733021
Ubisense;1381813971655;2.4830477934038075;5.617484040346171
Ubisense;1381813971940;2.170774029139621;5.690745720606647
Ubisense;1381813990000;2.502940395554149;5.495346098796479
Ubisense;1381813991000;3.363274322861132;6.581288151681006
Ubisense;1381813991171;3.5280523424693038;6.776855845292618
Storage;1381813995000;KITCHEN_FRIDGE;OPENED
Storage;1381814000000;KITCHEN_FRIDGE;OBJECT_TAKEN
Ubisense;1381814005000;3.493426027287451;6.8087966555986394
Storage;1381814005000;KITCHEN_FRIDGE;CLOSED
Ubisense;1381814006000;2.8876993284124906;8.029027842482728
Ubisense;1381814006118;2.7709081511552407;8.170489823461736
Power;1381814020000;HERD;OFF
Ubisense;1381814290000;2.7978192887603495;8.210262247341252
Ubisense;1381814292000;1.5823319227601385;5.667769127507937
Ubisense;1381814292140;1.5015221414946214;5.524386224748666
Storage;1381814310000;KITCHEN_SHELF;OPENED
Storage;1381814315000;KITCHEN_SHELF;OBJECT_PUT
Ubisense;1381814326000;2.0863601941405094;6.7594528760187185
Ubisense;1381814327000;2.7328214436016376;7.99395589049628
Ubisense;1381814327140;2.8134609232019367;8.193567310767422
Power;1381814350000;HERD;OFF
Ubisense;1381814355282;1.8249109023542607;5.674972017729465
Ubisense;1381814355453;2.144274972456342;5.557101451992641
Ubisense;1381814355625;2.493194414394295;5.477067806255416
Ubisense;1381814356000;2.11;6.9270948251935245
Ubisense;1381814356233;2.7896700469553855;5.508087493662087
Ubisense;1381814356546;3.1413629870487;5.4305088015505
Ubisense;1381814357000;1.4940529811305623;5.727168306197435
Ubisense;1381814359355;3.811698338437023;5.258928810146292
Ubisense;1381814359605;4.078342023621278;5.276266095372146
Ubisense;1381814359839;4.424661545096892;5.31
Ubisense;1381814360323;4.782907921165514;5.234478220755501
Ubisense;1381814360838;4.947743879695134;4.894331456015658
Ubisense;1381814361509;4.93042590425488;4.593011282433209
Ubisense;1381814361869;4.900199104758815;4.2338855381697975
Ubisense;1381814362009;4.820787154130394;3.9016576475253566
Ubisense;1381814362150;4.7905044444209866;3.574883088180688
Ubisense;1381814362680;4.713249341405015;3.1942330333409514
Ubisense;1381814363430;4.162159791793972;2.6823569475934987
Ubisense;1381814363586;3.7782652716325886;2.4841089346978404
Ubisense;1381814364039;3.15780225998902;2.0570733158747734
Ubisense;1381814365646;2.824818548777627;1.915876035056459
Ubisense;1381814366708;2.169670555546606;1.6221639697127888
Ubisense;1381814880453;2.149700842335909;5.54729267268033
Ubisense;1381814881233;2.7941614211317285;5.527889476116564
Ubisense;1381814881546;3.1388519662295375;5.447959060331334
Ubisense;1381814883637;3.4438828181857075;5.302455727313963
Ubisense;1381814884355;3.7674111829384906;5.274543527088637
Ubisense;1381814884605;4.110723655795922;5.275892260719517
Ubisense;1381814884839;4.431100104296978;5.253206399081698
Ubisense;1381814885323;4.7633998924744985;5.206408664852293
Ubisense;1381814885838;4.939381496280941;4.883632273883393
Ubisense;1381814886509;4.94966348610882;4.5671901012619385
Ubisense;1381814886869;4.923806191757151;4.269626841986643
Ubisense;1381814887009;4.853238117239028;3.916115846325739
Ubisense;1381814887150;4.786941863142438;3.580220277022733
Ubisense;1381814887680;4.692199233044791;3.222987707669836
Ubisense;1381814888274;4.4868062912807325;2.86
Ubisense;1381814888430;4.12528646345889;2.6841971327825407
Ubisense;1381814888586;3.7753794995308265;2.479044911128173
Ubisense;1381814888757;3.4681966140845004;2.269819707046522
Ubisense;1381814889039;3.1393538505347753;2.0483279607603633
Ubisense;1381814890563;1.632285854230438;1.4237082992096026
Ubisense;1381814890646;2.8390767639362853;1.909639314251137
Ubisense;1381814891115;2.506761397040928;1.7848250951990514
Ubisense;1381814891156;1.96677527536097;1.6432259512587253
Ubisense;1381814891406;2.305997927573819;1.8005063848270118
Ubisense;1381814891708;2.1867765952244747;1.6777182724423958
Ubisense;1381814892186;2.6849741714743987;1.9600225887393883
Ubisense;1381814892375;2.9890158175434682;2.1219218493200884
Ubisense;1381814892645;1.8202947315556752;1.440355573033234
Ubisense;1381814892780;3.304245790588285;2.2950921823278
Ubisense;1381814893560;3.635979990297504;2.52091551042536
Ubisense;1381814894575;4.2552230672971065;3.046930664459558
Ubisense;1381814894841;4.523645861827256;3.4045638967813536
Ubisense;1381814897181;4.920744605440697;4.04400542266837
Ubisense;1381814897448;4.971078669635104;4.371415828351741
Ubisense;1381814898290;4.917541408126718;4.701912314659987
Ubisense;1381814898759;4.830471613935033;5.027907749082144
Ubisense;1381814899211;4.52647879213319;5.320866005790586
Ubisense;1381814899430;4.167162901582685;5.404410464481467
Ubisense;1381814899790;3.843274586994762;5.49397143967088
Ubisense;1381814900148;3.2384254643495183;5.630325875531983
Ubisense;1381814900336;2.859921411837462;5.693983508965625
Ubisense;1381814901000;2.86034721656898;2.1755559870425216
Ubisense;1381814901785;2.023258221306153;1.538870197233351
Ubisense;1381814902115;1.8542298254210507;5.774051706934259
Ubisense;1381814902350;1.5857572380303089;5.826681514170688
Ubisense;1381815800000;1.995953228921607;2.88967090769775
Ubisense;1381815801000;1.0915438733185738;2.5456815032023163
Ubisense;1381815802000;0.6256728288401323;1.7135468297662226
Ubisense;1381815804000;1.5922702164282079;0.18561659436943362
Ubisense;1381815805000;2.62;0.2387682934771539
Ubisense;1381815806000;3.265079752347264;0.9307148864708348
Ubisense;1381815807000;3.330171579444832;1.88655581835734
Ubisense;1381815808000;2.736772048812662;2.717494024406176
Ubisense;1381815808796;2.0346470494500384;2.9271861361683356
Ubisense;1381819700000;3.0309841986224084;1.013888186762265
Ubisense;1381819701000;3.0187423472536645;0.9863988662652501
Ubisense;1381819702000;3.0292887574241396;1.0383718131910484
Ubisense;1381819704000;3.0308295256695583;0.9902759027778312
Ubisense;1381821200000;1.3007726746036232;1.1685353260907132
Ubisense;1381821201156;1.9861474582651795;1.6124742084935901
Ubisense;1381821202186;2.6363166077717373;1.9466565091355665
Ubisense;1381821202780;3.2701224320142375;2.2818409035248783
Ubisense;1381821204575;4.278975505061402;3.0636042697195056
Ubisense;1381821204841;4.581082689694422;3.401657060132696
Ubisense;1381821207181;4.921513168239382;4.086469951598859
Ubisense;1381821207448;4.94344398457153;4.42
Ubisense;1381821208290;4.928662986430155;4.737808979410328
Ubisense;1381821208759;4.865054474117762;5.052419073086786
Ubisense;1381821209211;4.535240468407466;5.3061748392878405
Ubisense;1381821209790;3.9;5.5082001077159735
Ubisense;1381821209961;3.549068388615786;5.523429221872369
Ubisense;1381821210148;3.2055281562084765;5.626073888863911
Ubisense;1381821210336;2.891598684586713;5.725578574221579
Ubisense;1381821211273;2.2064155635763107;5.821653918155657
Ubisense;1381821212350;1.5610243337844305;5.794049551599193
Storage;1381821230000;KITCHEN_SHELF;OPENED
Ubisense;1381821235714;1.04;6.4980601878973046
Ubisense;1381821248714;1.0064155050541754;5.54
Ubisense;1381821250000;0.9681330937786432;5.49222433971685
Storage;1381821250000;KITCHEN_SHELF;OBJECT_PUT
Ubisense;1381821251000;0.9868085121311482;6.9296848097647965
Water;1381821255000;KITCHEN_SINK_COLD;ON
Ubisense;1381821263000;1.0018660260622778;7.46
Water;1381821263000;KITCHEN_SINK_COLD;OFF
Ubisense;1381821263714;0.9932156407888039;6.520855805357246
Ubisense;1381821270000;0.9918545528718166;6.5022616722479585
Storage;1381821273000;KITCHEN_SHELF;OBJECT_TAKEN
Storage;1381821275000;KITCHEN_SHELF;CLOSED
Ubisense;1381821276000;1.0158695850511108;5.507907469911983
Ubisense;1381821276714;0.9699601251374573;6.51156253197442
Power;1381821290000;KAFFEMASCHINE;ON
Power;1381821320000;KAFFEMASCHINE;ON
Alarm;1381821320000;Kaffemaschiene;fertig
Ubisense;1381821330282;1.821946519525842;5.650121499529013
Ubisense;1381821330453;2.179632491398797;5.585943819407682
Ubisense;1381821330625;2.488840003842769;5.509318778587425
Ubisense;1381821331233;2.8115991773445743;5.483029567073753
Ubisense;1381821331546;3.1326670949646895;5.424625323494938
Ubisense;1381821333637;3.437415101589809;5.31059129055421
Ubisense;1381821334355;3.762286133576386;5.2527037672786365
Ubisense;1381821334605;4.104903515494361;5.271243435816183
Ubisense;1381821334839;4.46775349561867;5.256642233054493
Ubisense;1381821335323;4.769616270616703;5.238638104787806
Ubisense;1381821335838;4.930370790536202;4.920177747562538
Ubisense;1381821336869;4.888393736142516;4.260400493517555
Ubisense;1381821337009;4.82012174763268;3.925197565524596
Ubisense;1381821337680;4.728273400101279;3.1972236475684452
Ubisense;1381821338274;4.423696777274199;2.930057026187948
Ubisense;1381821338430;4.122634302411565;2.6753320550062436
Ubisense;1381821338757;3.4719896861072037;2.250289845553542
Ubisense;1381821339039;3.096707830739149;2.040809036952668
Ubisense;1381821340646;2.8143161851296568;1.9262558134953423
Ubisense;1381821341708;2.158487220002457;1.6052711102905988
Ubisense;1381821342645;1.83548322914425;1.4683066212944627
Ubisense;1381827800000;2.04;1.5229664781128083
Ubisense;1381827801000;3.1417482734765403;2.3522019315444163
Ubisense;1381830000000;3.99050475106713;2.968280042121661
Ubisense;1381830001000;2.812007923747596;3.6913491277802666
Ubisense;1381830001665;1.9986137836503355;4.208559526085115
Ubisense;1381830060000;2.03348973817503;4.220229757633588
Ubisense;1381830060714;2.9947902336334473;4.209439520064685
Ubisense;1381830300000;3.0244335918547636;4.180877023840066
Ubisense;1381830301428;0.9895972349426372;4.16
Ubisense;1381830450000;1.975404449881702;4.234294850148739
Ubisense;1381830451000;3.16;3.512579349207539
Ubisense;1381830451665;3.977858280548973;3.0185679050783056
Ubisense;1381831081156;1.996930597900239;1.6137311064174216
Ubisense;1381831081406;2.3149821670513098;1.8041589259203994
Ubisense;1381831082375;2.9652033206921695;2.0873378503129323
Ubisense;1381831082780;3.3121944481958305;2.3041804264674117
Ubisense;1381831083560;3.595321132131116;2.488023563321863
