ankleiden;0;0,314;0,293;0;0;0,293;0;0,292;0,231;0,290;
abwaschen;0,327;0,246;0,477;0,508;0,510;0,482;0,420;0,503;0,514;0,409;
toilette;0,508;0,375;0,375;0,500;0,539;0,500;0,579;0,552;0,558;0,445;
essen;0,634;0,669;0,633;0,659;0,640;0,455;0,682;0,718;0,667;0,669;
schlafenabends;0,314;0,429;0,171;0,314;0,143;0,171;0,171;0,429;0,400;0,629;
duschen;0,450;0,500;0,300;0,458;0,300;0,405;0,507;0,455;0,205;0,300;
hinsetzen;0;0;1,000;0;0;0;1,000;0;0;0;
arbeiten;0,734;0,733;0,730;0,735;0,743;0,642;0,722;0,795;0,751;0,752;
schlafenmorgends;0,684;0,737;0,579;0,705;0,726;0,579;0,632;0,737;0,737;0,800;
kaffekochen;0,513;0,512;0,493;0,515;0,508;0,494;0,506;0,499;0,494;0,508;
fernsehen;0,400;0,516;0,565;0,400;0,400;0,505;0,400;0,605;0,400;0,515;
touchtisch;0,174;0,059;0,172;0,086;0,098;0,069;0,087;0,096;0,154;0,047;
Cluster Anzahl;116;87;95;86;130;109;97;84;117;107;
