ankleiden;0,017;0,105;0,091;0;0,017;0,091;0;0,017;0,017;0,012;
abwaschen;0,050;0,052;0,052;0,051;0,050;0,045;0,052;0,052;0,042;0,052;
toilette;0,016;0,000;0;0;0;0;0,000;0,061;0;0,090;
essen;0,654;0,561;0,419;0,620;0,601;0,210;0,622;0,565;0,413;0,591;
schlafenabends;entfällt
duschen;0,018;0,018;0,018;0,018;0,034;0,018;0;0,040;0,018;0;
hinsetzen;entfällt
arbeiten;0,719;0,649;0,541;0,690;0,678;0,411;0,690;0,655;0,506;0,685;
schlafenmorgends;entfällt
kaffekochen;0,070;0,097;0,078;0,101;0,069;0,061;0,078;0,061;0,080;0,071;
fernsehen;0,014;0,014;0,012;0,012;0,014;0,012;0,012;0,012;0,012;0,012;
touchtisch;0,127;0,059;0,124;0,086;0,098;0,069;0,087;0,096;0,125;0,047;
Cluster Anzahl;40;37;60;42;39;69;48;48;58;47;
