ankleiden;0,500;0;0;0,667;0;0;0;0;0;0;
abwaschen;0,500;0,500;0,500;0,500;0,500;0,700;0,500;0,500;0,500;0,500;
toilette;0,250;0,250;0,250;0,250;0,250;0,250;0,250;0,250;0,250;0;
essen;0;0,375;0;0;0;0,500;0;0,125;0;0;
schlafenabends;0,229;0,171;0,171;0;0,229;0,314;0,286;0;0,229;0,229;
duschen;0,250;0,750;0,250;0,250;0,250;0,250;0,250;0,250;0,250;0,250;
hinsetzen;1,000;1,000;0;0;0;1,000;1,000;0;1,000;1,000;
arbeiten;0,273;0,182;0,273;0,182;0,273;0,273;0,182;0,273;0;0,364;
schlafenmorgends;0,579;0,400;0,263;0,568;0,263;0,684;0,421;0,568;0,632;0,263;
kaffekochen;0;0,200;0,200;0,200;0;0,300;0;0,200;0;0,400;
fernsehen;0;0,500;0;0;0;0,250;0,167;0;0;0,167;
touchtisch;entfällt
Cluster Anzahl;57;27;48;33;72;40;53;38;86;52;
